"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;Australia;South Australia;;;135;-29.7;6;
2;Australia;South Australia;Adelaide;;138.61;-34.93;6;
2;Australia;South Australia;Agery;;137.7333333;-34.1666667;6;
2;Australia;South Australia;Alawoona;;140.5166667;-34.7333333;6;
2;Australia;South Australia;Aldgate;;138.7333333;-35.0166667;6;
2;Australia;South Australia;Aldinga;;138.4833333;-35.2833333;6;
2;Australia;South Australia;Alford;;137.8166667;-33.8166667;6;
2;Australia;South Australia;Allandale North;;138.9166667;-34.3;6;
2;Australia;South Australia;Allendale East;;140.7;-38.0166667;6;
2;Australia;South Australia;Allendale North;;138.9166667;-34.3;6;
2;Australia;South Australia;Alma;;138.6333333;-34.2666667;6;
2;Australia;South Australia;Altona;;138.9166667;-34.6;6;
2;Australia;South Australia;Amata;;131.15;-26.1666667;6;
2;Australia;South Australia;American River;;137.7666667;-35.7833333;6;
2;Australia;South Australia;Amyton;;138.3333333;-32.6;6;
2;Australia;South Australia;Androssan;;137.9;-34.4333333;6;
2;Australia;South Australia;Angas Plains;;139;-35.35;6;
2;Australia;South Australia;Angas Valley;;139.3;-34.7666667;6;
2;Australia;South Australia;Angaston;;139.0333333;-34.5;6;
2;Australia;South Australia;Angle Vale;;138.65;-34.6333333;6;
2;Australia;South Australia;Annadale;;139.3333333;-34.4;6;
2;Australia;South Australia;Apoinga;;138.9333333;-33.95;6;
2;Australia;South Australia;Appila;;138.4166667;-33.05;6;
2;Australia;South Australia;Ardrossan;;137.9;-34.4333333;6;
2;Australia;South Australia;Arno Bay;;136.5666667;-33.9;6;
2;Australia;South Australia;Arthurton;;137.75;-34.2666667;6;
2;Australia;South Australia;Arwakurra;;138.4166667;-32.8833333;6;
2;Australia;South Australia;Ashbourne;;138.7666667;-35.3;6;
2;Australia;South Australia;Ashton;;138.7333333;-34.9333333;6;
2;Australia;South Australia;Ashville;;139.3666667;-35.5166667;6;
2;Australia;South Australia;Athenna;;133.4333333;-32.0166667;6;
2;Australia;South Australia;Auburn;;138.6833333;-34.0166667;6;
2;Australia;South Australia;Auld;;140.35;-34.8833333;6;
2;Australia;South Australia;Australia Plains;;139.1333333;-34.1;6;
2;Australia;South Australia;Avenue Range;;140.2333333;-36.9666667;6;
2;Australia;South Australia;Avenue;;140.2333333;-36.9666667;6;
2;Australia;South Australia;Avon;;138.3333333;-34.2833333;6;
2;Australia;South Australia;Bakara;;139.7666667;-34.6666667;6;
2;Australia;South Australia;Baker Gully;;138.6333333;-35.1333333;6;
2;Australia;South Australia;Bakers Gully;;138.6333333;-35.1333333;6;
2;Australia;South Australia;Balaklava;;138.4166667;-34.15;6;
2;Australia;South Australia;Bald Hills;;138.4166667;-35.5166667;6;
2;Australia;South Australia;Balgowan;;137.4833333;-34.3333333;6;
2;Australia;South Australia;Balhannah;;138.8333333;-34.9833333;6;
2;Australia;South Australia;Bangor;;138.15;-32.9666667;6;
2;Australia;South Australia;Barabba;;138.5833333;-34.35;6;
2;Australia;South Australia;Barmera;;140.4666667;-34.25;6;
2;Australia;South Australia;Baroota;;138.0333333;-32.85;6;
2;Australia;South Australia;Barossa;;138.8333333;-34.65;6;
2;Australia;South Australia;Barunga North;;138.0833333;-33.6833333;6;
2;Australia;South Australia;Barunga;;138.1333333;-33.7166667;6;
2;Australia;South Australia;Basket Range;;138.7666667;-34.9333333;6;
2;Australia;South Australia;Beachport;;140.0166667;-37.5;6;
2;Australia;South Australia;Beaufort;;138.2;-34.0833333;6;
2;Australia;South Australia;Beaumont;;138.65;-34.9333333;6;
2;Australia;South Australia;Bedford Park;;138.5666667;-35.0333333;6;
2;Australia;South Australia;Beetaloo Valley;;138.2333333;-33.2333333;6;
