"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;Australia;Western Australia;;;122.5;-25.7;6;
2;Australia;Western Australia;Abbotts;;118.3833333;-26.3166667;6;
2;Australia;Western Australia;Agnew;;120.5;-28.0833333;6;
2;Australia;Western Australia;Ajana;;114.6333333;-27.95;6;
2;Australia;Western Australia;Albany;;117.8916667;-35.0169444;6;
2;Australia;Western Australia;Aldersyde;;117.2666667;-32.3833333;6;
2;Australia;Western Australia;Allanson;;116.1;-33.3333333;6;
2;Australia;Western Australia;Amery;;117.0833333;-31.15;6;
2;Australia;Western Australia;Amphion;;116.2;-32.7666667;6;
2;Australia;Western Australia;Ardath;;118.1;-32.0333333;6;
2;Australia;Western Australia;Armadale;;116;-32.15;6;
2;Australia;Western Australia;Arrino;;115.6166667;-29.4333333;6;
2;Australia;Western Australia;Arthur River;;117.0333333;-33.3333333;6;
2;Australia;Western Australia;Arumvale;;115.0833333;-34.1666667;6;
2;Australia;Western Australia;Attadale;;115.7958333;-32.0236111;6;
2;Australia;Western Australia;Augusta;;115.1666667;-34.3166667;6;
2;Australia;Western Australia;Australind;;115.7166667;-33.2666667;6;
2;Australia;Western Australia;Baandee;;117.9666667;-31.5833333;6;
2;Australia;Western Australia;Babakin;;118.0166667;-32.1166667;6;
2;Australia;Western Australia;Baddera;;114.6333333;-28.2833333;6;
2;Australia;Western Australia;Badgebup;;117.9;-33.6333333;6;
2;Australia;Western Australia;Badjaling;;117.5;-32;6;
2;Australia;Western Australia;Bakers Hill;;116.45;-31.75;6;
2;Australia;Western Australia;Baladjie;;118.9333333;-30.9833333;6;
2;Australia;Western Australia;Balbarrup;;116.2;-34.2333333;6;
2;Australia;Western Australia;Balgarri;;121.1166667;-30.4833333;6;
2;Australia;Western Australia;Balgo Hill;;127.9666667;-20.15;6;
2;Australia;Western Australia;Balgo;;127.9666667;-20.15;6;
2;Australia;Western Australia;Balingup;;115.9666667;-33.8;6;
2;Australia;Western Australia;Balkuling;;117.1333333;-31.9833333;6;
2;Australia;Western Australia;Ballaying;;117.55;-33.3;6;
2;Australia;Western Australia;Ballidu;;116.7666667;-30.6;6;
2;Australia;Western Australia;Bally Bally;;117.1;-32.1666667;6;
2;Australia;Western Australia;Bamboo Creek;;120.2166667;-20.9333333;6;
2;Australia;Western Australia;Bamboo Mining Centre;;120.2166667;-20.9333333;6;
2;Australia;Western Australia;Bamboo;;120.2166667;-20.9333333;6;
2;Australia;Western Australia;Bangemall Mining Centre;;116.4666667;-24.2;6;
2;Australia;Western Australia;Bangemall;;116.4666667;-24.2;6;
2;Australia;Western Australia;Banksiadale;;116.0833333;-32.65;6;
2;Australia;Western Australia;Bannister North;;116.4333333;-32.5833333;6;
2;Australia;Western Australia;Barbalin;;118.1166667;-30.8833333;6;
2;Australia;Western Australia;Barberton;;116.0333333;-30.75;6;
2;Australia;Western Australia;Bardoc;;121.2833333;-30.3333333;6;
2;Australia;Western Australia;Barrambie;;119.1166667;-27.4333333;6;
2;Australia;Western Australia;Barronhurst;;116.0666667;-34.4166667;6;
2;Australia;Western Australia;Bartons Mill;;116.2;-32.0666667;6;
2;Australia;Western Australia;Bassendean;;115.95;-31.9;6;
2;Australia;Western Australia;Beacon;;117.85;-30.4333333;6;
2;Australia;Western Australia;Bedfordale;;116.05;-32.1833333;6;
2;Australia;Western Australia;Beechina;;116.3166667;-31.85;6;
2;Australia;Western Australia;Beelerup;;115.85;-33.5666667;6;
2;Australia;Western Australia;Beenong;;118.5833333;-33.05;6;
2;Australia;Western Australia;Beermullah;;115.7666667;-31.2666667;6;
2;Australia;Western Australia;Beete;;121.55;-32.75;6;
2;Australia;Western Australia;Bejoording;;116.5;-31.4;6;
2;Australia;Western Australia;Belka;;118.1833333;-31.7333333;6;
2;Australia;Western Australia;Bellevue;;116.0166667;-31.9;6;
2;Australia;Western Australia;Belmunging;;117.0666667;-31.8166667;6;
2;Australia;Western Australia;Bencubbin;;117.8666667;-30.8;6;
2;Australia;Western Australia;Bendering West;;118.1666667;-32.35;6;
2;Australia;Western Australia;Bendering;;118.3166667;-32.3833333;6;
2;Australia;Western Australia;Benger;;115.85;-33.1666667;6;
2;Australia;Western Australia;Benjinup;;116.3166667;-33.7666667;6;
2;Australia;Western Australia;Bentley;;115.9166667;-32;6;
2;Australia;Western Australia;Berakin;;116.3166667;-32.0833333;6;
2;Australia;Western Australia;Beraking;;116.3166667;-32.0833333;6;
2;Australia;Western Australia;Berkshire Valley;;116.1666667;-30.55;6;
2;Australia;Western Australia;Beverley;;116.9166667;-32.1166667;6;
2;Australia;Western Australia;Bickley;;116.0833333;-32;6;
2;Australia;Western Australia;Bicton;;115.7833333;-32.0277778;6;
2;Australia;Western Australia;Big Bell;;117.6666667;-27.35;6;
2;Australia;Western Australia;Billaricay;;118.3333333;-32.3;6;
2;Australia;Western Australia;Bindi Bindi;;116.3666667;-30.6333333;6;
2;Australia;Western Australia;Binningup;;115.6833333;-33.15;6;
2;Australia;Western Australia;Binnu;;114.65;-28.0333333;6;
2;Australia;Western Australia;Black Flag;;121.2333333;-30.5666667;6;
2;Australia;Western Australia;Blue Spec;;120.2833333;-21.8;6;
2;Australia;Western Australia;Bodallin;;118.8666667;-31.3666667;6;
2;Australia;Western Australia;Boddalin;;118.8666667;-31.3666667;6;
2;Australia;Western Australia;Boddington;;116.4666667;-32.8;6;
2;Australia;Western Australia;Bokal;;116.9;-33.5;6;
2;Australia;Western Australia;Bolgart;;116.5;-31.2666667;6;
2;Australia;Western Australia;Bonnie Rock;;118.35;-30.5333333;6;
2;Australia;Western Australia;Bonnie Vale;;121.1666667;-30.85;6;
