"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Bedfordshire;Ampthill;;W0.50;N52.02;10;
2;England;Bedfordshire;Apsley End;;W0.37;N51.97;10;
2;England;Bedfordshire;Arlesey;;W0.26;N52.00;10;
2;England;Bedfordshire;Aspley Guise;;W0.63;N52.01;10;
2;England;Bedfordshire;Aspley Heath;;W0.66;N52.00;10;
2;England;Bedfordshire;Astwick;;W0.23;N52.02;10;
2;England;Bedfordshire;Astwood;;W0.61;N52.11;10;
2;England;Bedfordshire;Atterbury;;W0.70;N52.04;10;
2;England;Bedfordshire;Ballingdon Bottom;;W0.50;N51.81;10;
2;England;Bedfordshire;Barton le Clay;;W0.42;N51.96;10;
2;England;Bedfordshire;Battlesden;;W0.60;N51.94;10;
2;England;Bedfordshire;Beadlow;;W0.39;N52.02;10;
2;England;Bedfordshire;Beanhill;;W0.74;N52.01;10;
2;England;Bedfordshire;Bedford;;W0.46;N52.12;10;
2;England;Bedfordshire;Beecroft;;W0.54;N51.88;10;
2;England;Bedfordshire;Beeston;;W0.30;N52.11;10;
2;England;Bedfordshire;Biddenham;;W0.51;N52.13;10;
2;England;Bedfordshire;Bidwell;;W0.53;N51.90;10;
2;England;Bedfordshire;Biggleswade;;W0.26;N52.08;10;
2;England;Bedfordshire;Billington;;W0.63;N51.88;10;
2;England;Bedfordshire;Birchmoor Green;;W0.63;N51.98;10;
2;England;Bedfordshire;Biscot;;W0.43;N51.88;10;
2;England;Bedfordshire;Blakelands;;W0.74;N52.06;10;
2;England;Bedfordshire;Bleak Hall;;W0.76;N52.01;10;
2;England;Bedfordshire;Bletchley;;W0.74;N51.99;10;
2;England;Bedfordshire;Bletsoe;;W0.50;N52.21;10;
2;England;Bedfordshire;Blunham;;W0.32;N52.14;10;
2;England;Bedfordshire;Bolnhurst;;W0.42;N52.21;10;
2;England;Bedfordshire;Bougton End;;W0.57;N52.02;10;
2;England;Bedfordshire;Bourne End;;W0.60;N52.08;10;
2;England;Bedfordshire;Bow Brickhill;;W0.69;N51.99;10;
2;England;Bedfordshire;Box End;;W0.54;N52.12;10;
2;England;Bedfordshire;Bradville;;W0.79;N52.06;10;
2;England;Bedfordshire;Bradwell;;W0.79;N52.04;10;
2;England;Bedfordshire;Bradwell Common;;W0.77;N52.04;10;
2;England;Bedfordshire;Brickhill;;W0.46;N52.15;10;
2;England;Bedfordshire;Bridge End;;W0.54;N52.13;10;
2;England;Bedfordshire;Brinklow;;W0.68;N52.02;10;
2;England;Bedfordshire;Broad Green;;W0.61;N52.07;10;
2;England;Bedfordshire;Brogborough;;W0.60;N52.03;10;
2;England;Bedfordshire;Bromham;;W0.53;N52.14;10;
2;England;Bedfordshire;Brook End;;W0.30;N52.10;10;
2;England;Bedfordshire;Brook End;;W0.43;N52.25;10;
2;England;Bedfordshire;Brook End;;W0.67;N52.08;10;
2;England;Bedfordshire;Broom;;W0.29;N52.07;10;
2;England;Bedfordshire;Browns Wood;;W0.69;N52.00;10;
2;England;Bedfordshire;Bury End;;W0.37;N51.99;10;
2;England;Bedfordshire;Bury End;;W0.56;N52.13;10;
2;England;Bedfordshire;Bury Park;;W0.43;N51.87;10;
2;England;Bedfordshire;Bushmead;;W0.37;N52.22;10;
2;England;Bedfordshire;Caddington;;W0.46;N51.85;10;
2;England;Bedfordshire;Caldecotte;;W0.70;N52.00;10;
2;England;Bedfordshire;Calverton;;W0.84;N52.04;10;
2;England;Bedfordshire;Cam (Rhee);;W0.15;N52.08;10;
2;England;Bedfordshire;Campton;;W0.35;N52.02;10;
2;England;Bedfordshire;Cardington;;W0.42;N52.11;10;
2;England;Bedfordshire;Carlton;;W0.61;N52.18;10;
2;England;Bedfordshire;Caulcott;;W0.55;N52.06;10;
2;England;Bedfordshire;Central Milton Keynes;;W0.76;N52.03;10;
2;England;Bedfordshire;Central Milton Keynes;;W0.77;N52.03;10;
2;England;Bedfordshire;Chadwell End;;W0.41;N52.27;10;
2;England;Bedfordshire;Chalgrave;;W0.53;N51.93;10;
2;England;Bedfordshire;Chalton;;W0.50;N51.92;10;
2;England;Bedfordshire;Chalton;;W0.33;N52.13;10;
2;England;Bedfordshire;Channel's End;;W0.37;N52.19;10;
2;England;Bedfordshire;Chapel End;;W0.46;N52.06;10;
2;England;Bedfordshire;Chapel End;;W0.40;N52.11;10;
2;England;Bedfordshire;Chapel End;;W0.39;N52.20;10;
2;England;Bedfordshire;Chaul End;;W0.47;N51.87;10;
2;England;Bedfordshire;Chawston;;W0.31;N52.19;10;
2;England;Bedfordshire;Chellington;;W0.61;N52.18;10;
2;England;Bedfordshire;Chicheley;;W0.68;N52.09;10;
2;England;Bedfordshire;Chicksands;;W0.36;N52.03;10;
2;England;Bedfordshire;Chiltern Green;;W0.36;N51.85;10;
2;England;Bedfordshire;Church End;;W0.50;N51.85;10;
2;England;Bedfordshire;Church End;;W0.56;N51.87;10;
2;England;Bedfordshire;Church End;;W0.57;N51.97;10;
2;England;Bedfordshire;Church End;;W0.26;N52.01;10;
2;England;Bedfordshire;Church End;;W0.61;N52.01;10;
2;England;Bedfordshire;Church End;;W0.30;N52.16;10;
2;England;Bedfordshire;Church End;;W0.43;N52.17;10;
2;England;Bedfordshire;Church End;;W0.39;N52.20;10;
2;England;Bedfordshire;Church End;;W0.46;N52.21;10;
2;England;Bedfordshire;Clapham;;W0.50;N52.16;10;
2;England;Bedfordshire;Clapham Green;;W0.49;N52.15;10;
2;England;Bedfordshire;Clement's End;;W0.52;N51.82;10;
2;England;Bedfordshire;Clifton;;W0.31;N52.02;10;
2;England;Bedfordshire;Clifton Reynes;;W0.68;N52.15;10;
2;England;Bedfordshire;Clipstone;;W0.63;N51.92;10;
2;England;Bedfordshire;Clipstone Brook;;W0.58;N51.92;10;
2;England;Bedfordshire;Cliton Manor;;W0.31;N52.03;10;
2;England;Bedfordshire;Clophill;;W0.42;N52.02;10;
2;England;Bedfordshire;Cockayne Hatley;;W0.16;N52.12;10;
2;England;Bedfordshire;Cockernhoe;;W0.37;N51.89;10;
2;England;Bedfordshire;Coffee Hall;;W0.74;N52.01;10;
2;England;Bedfordshire;Cold Brayfield;;W0.65;N52.15;10;
2;England;Bedfordshire;Colesden;;W0.36;N52.18;10;
2;England;Bedfordshire;Colmworth;;W0.39;N52.20;10;
2;England;Bedfordshire;Colworth Ho;;W0.56;N52.22;10;
2;England;Bedfordshire;Conniburrow;;W0.76;N52.04;10;
2;England;Bedfordshire;Cooper's Hill;;W0.51;N52.02;10;
2;England;Bedfordshire;Cople;;W0.39;N52.11;10;
2;England;Bedfordshire;Cotton End;;W0.42;N52.09;10;
2;England;Bedfordshire;Covington;;W0.46;N52.31;10;
2;England;Bedfordshire;Cranfield;;W0.61;N52.06;10;
2;England;Bedfordshire;Cross End;;W0.44;N52.21;10;
2;England;Bedfordshire;Cross End;;W0.67;N52.02;10;
2;England;Bedfordshire;Crowhill;;W0.80;N52.02;10;
2;England;Bedfordshire;Deadman's Cross;;W0.38;N52.05;10;
2;England;Bedfordshire;Deepdale;;W0.24;N52.12;10;
2;England;Bedfordshire;Downhead Park;;W0.74;N52.05;10;
2;England;Bedfordshire;Downside;;W0.50;N51.86;10;
2;England;Bedfordshire;Duck End;;W0.45;N52.08;10;
2;England;Bedfordshire;Duck End;;W0.56;N52.15;10;
2;England;Bedfordshire;Duloe;;W0.31;N52.22;10;
2;England;Bedfordshire;Dunstable;;W0.53;N51.87;10;
2;England;Bedfordshire;Dunton;;W0.20;N52.08;10;
2;England;Bedfordshire;Eaglestone;;W0.74;N52.02;10;
2;England;Bedfordshire;East End;;W0.60;N52.06;10;
2;England;Bedfordshire;East End;;W0.39;N52.18;10;
2;England;Bedfordshire;East End;;W0.62;N52.08;10;
2;England;Bedfordshire;East Hyde;;W0.37;N51.84;10;
2;England;Bedfordshire;Eastcotts;;W0.45;N52.11;10;
2;England;Bedfordshire;Eaton Socon;;W0.30;N52.21;10;
2;England;Bedfordshire;Edworth;;W0.22;N52.05;10;
2;England;Bedfordshire;Eggington;;W0.62;N51.91;10;
2;England;Bedfordshire;Elstow;;W0.46;N52.10;10;
2;England;Bedfordshire;Emberton;;W0.71;N52.13;10;
2;England;Bedfordshire;Emerson Valley;;W0.77;N51.99;10;
2;England;Bedfordshire;Eversholt;;W0.55;N51.98;10;
2;England;Bedfordshire;Everton;;W0.24;N52.14;10;
2;England;Bedfordshire;Eyeworth;;W0.19;N52.08;10;
2;England;Bedfordshire;Fancott;;W0.53;N51.93;10;
2;England;Bedfordshire;Farley Hill;;W0.44;N51.86;10;
2;England;Bedfordshire;Felmersham;;W0.55;N52.20;10;
2;England;Bedfordshire;Fenlake;;W0.45;N52.12;10;
2;England;Bedfordshire;Fenny Stratford;;W0.71;N51.99;10;
2;England;Bedfordshire;Filgrave;;W0.73;N52.12;10;
2;England;Bedfordshire;Fishermead;;W0.74;N52.03;10;
2;England;Bedfordshire;Flitton;;W0.47;N52.00;10;
2;England;Bedfordshire;Flitwick;;W0.50;N51.99;10;
2;England;Bedfordshire;Fox Corner;;W0.66;N51.95;10;
2;England;Bedfordshire;Froxfield;;W0.58;N51.98;10;
2;England;Bedfordshire;Furzton;;W0.77;N52.00;10;
2;England;Bedfordshire;Gamlinghay Great Heath;;W0.23;N52.14;10;
2;England;Bedfordshire;Gayhurst;;W0.77;N52.10;10;
2;England;Bedfordshire;Gibraltar;;W0.54;N52.10;10;
2;England;Bedfordshire;Giffard Park;;W0.74;N52.06;10;
2;England;Bedfordshire;Goldington;;W0.43;N52.13;10;
2;England;Bedfordshire;Gossard's Green;;W0.60;N52.07;10;
2;England;Bedfordshire;Great Barford;;W0.36;N52.15;10;
2;England;Bedfordshire;Great Holm;;W0.80;N52.03;10;
2;England;Bedfordshire;Great Linford;;W0.76;N52.07;10;
2;England;Bedfordshire;Great Ouse;;W0.52;N52.13;10;
2;England;Bedfordshire;Green End;;W0.45;N52.03;10;
2;England;Bedfordshire;Green End;;W0.52;N52.11;10;
2;England;Bedfordshire;Green End;;W0.36;N52.15;10;
2;England;Bedfordshire;Green End;;W0.38;N52.25;10;
2;England;Bedfordshire;Green End;;W0.43;N52.26;10;
2;England;Bedfordshire;Greenfield;;W0.47;N51.99;10;
2;England;Bedfordshire;Greenley;;W0.83;N52.05;10;
2;England;Bedfordshire;Hall End;;W0.44;N52.02;10;
2;England;Bedfordshire;Hall End;;W0.54;N52.09;10;
2;England;Bedfordshire;Hanscombe End;;W0.38;N51.98;10;
2;England;Bedfordshire;Hanslope;;W0.83;N52.10;10;
2;England;Bedfordshire;Hardmead;;W0.64;N52.11;10;
2;England;Bedfordshire;Hargrave;;W0.49;N52.31;10;
2;England;Bedfordshire;Harlington;;W0.50;N51.95;10;
2;England;Bedfordshire;Harrold;;W0.62;N52.19;10;
2;England;Bedfordshire;Harrowden;;W0.45;N52.11;10;
2;England;Bedfordshire;Hart Hill;;W0.40;N51.88;10;
2;England;Bedfordshire;Hatch;;W0.32;N52.10;10;
2;England;Bedfordshire;Hatch End;;W0.43;N52.23;10;
