"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Buckinghamshire;Addington;;W0.92;N51.94;10; 
2;England;Buckinghamshire;Adstock;;W0.93;N51.96;10; 
2;England;Buckinghamshire;Akeley;;W0.98;N52.02;10; 
2;England;Buckinghamshire;Alscot;;W0.84;N51.72;10; 
2;England;Buckinghamshire;Amersham;;W0.61;N51.67;10; 
2;England;Buckinghamshire;Amersham Common;;W0.61;N51.66;10; 
2;England;Buckinghamshire;Amersham Old Town;;W0.62;N51.66;10; 
2;England;Buckinghamshire;Amersham on the Hill;;W0.61;N51.67;10; 
2;England;Buckinghamshire;Ashendon;;W0.98;N51.82;10; 
2;England;Buckinghamshire;Asheridge;;W0.65;N51.72;10; 
2;England;Buckinghamshire;Ashley Green;;W0.59;N51.73;10; 
2;England;Buckinghamshire;Askett;;W0.82;N51.73;10; 
2;England;Buckinghamshire;Aston Abbotts;;W0.78;N51.87;10; 
2;England;Buckinghamshire;Aston Clinton;;W0.73;N51.80;10; 
2;England;Buckinghamshire;Aston Sandford;;W0.91;N51.75;10; 
2;England;Buckinghamshire;Astrope;;W0.71;N51.81;10; 
2;England;Buckinghamshire;Austenwood;;W0.57;N51.59;10; 
2;England;Buckinghamshire;Aylesbury;;W0.82;N51.81;10; 
2;England;Buckinghamshire;Baker's Wood;;W0.52;N51.57;10; 
2;England;Buckinghamshire;Ballinger Bottom;;W0.68;N51.71;10; 
2;England;Buckinghamshire;Ballinger Bottom (South);;W0.68;N51.70;10; 
2;England;Buckinghamshire;Ballinger Common;;W0.68;N51.71;10; 
2;England;Buckinghamshire;Barley End;;W0.60;N51.81;10; 
2;England;Buckinghamshire;Barton Hartshorn;;W01.06;N51.97;10; 
2;England;Buckinghamshire;Beachampton;;W0.87;N52.01;10; 
2;England;Buckinghamshire;Beacon Hill;;W0.70;N51.62;10; 
2;England;Buckinghamshire;Beacon's Bottom;;W0.87;N51.64;10; 
2;England;Buckinghamshire;Beaconsfield;;W0.62;N51.59;10; 
2;England;Buckinghamshire;Beaconsfield;;W0.65;N51.60;10; 
2;England;Buckinghamshire;Beamond End;;W0.68;N51.65;10; 
2;England;Buckinghamshire;Bedgrove;;W0.78;N51.80;10; 
2;England;Buckinghamshire;Bellingdon;;W0.64;N51.73;10; 
2;England;Buckinghamshire;Belmont;;W0.32;N51.59;10; 
2;England;Buckinghamshire;Bennett End;;W0.87;N51.65;10; 
2;England;Buckinghamshire;Berghers Hill;;W0.68;N51.57;10; 
2;England;Buckinghamshire;Biddlesden;;W01.08;N52.04;10; 
2;England;Buckinghamshire;Bierton;;W0.79;N51.82;10; 
2;England;Buckinghamshire;Bishopstone;;W0.84;N51.78;10; 
2;England;Buckinghamshire;Bledlow;;W0.88;N51.71;10; 
2;England;Buckinghamshire;Bledlow Ridge;;W0.85;N51.66;10; 
2;England;Buckinghamshire;Boarstall;;W01.10;N51.82;10; 
2;England;Buckinghamshire;Bockmer End;;W0.83;N51.56;10; 
2;England;Buckinghamshire;Bolter End;;W0.86;N51.62;10; 
2;England;Buckinghamshire;Booker;;W0.80;N51.61;10; 
2;England;Buckinghamshire;Botley;;W0.58;N51.70;10; 
2;England;Buckinghamshire;Botolph Claydon;;W0.94;N51.91;10; 
2;England;Buckinghamshire;Bottrells Close;;W0.58;N51.62;10; 
2;England;Buckinghamshire;Bourne End;;W0.71;N51.57;10; 
2;England;Buckinghamshire;Bourton;;W0.98;N51.99;10; 
2;England;Buckinghamshire;Bovingdon Green;;W0.80;N51.56;10; 
2;England;Buckinghamshire;Bradenham;;W0.81;N51.66;10; 
2;England;Buckinghamshire;Bragenham;;W0.69;N51.94;10; 
2;England;Buckinghamshire;Brill;;W01.05;N51.81;10; 
2;England;Buckinghamshire;Broughton;;W0.78;N51.80;10; 
2;England;Buckinghamshire;Bryant's Bottom;;W0.77;N51.68;10; 
2;England;Buckinghamshire;Buckingham;;W0.99;N51.99;10; 
2;England;Buckinghamshire;Buckland;;W0.72;N51.79;10; 
2;England;Buckinghamshire;Buckland Common;;W0.66;N51.74;10; 
2;England;Buckinghamshire;Bucklandwharf;;W0.71;N51.79;10; 
2;England;Buckinghamshire;Buckmoorend;;W0.78;N51.72;10; 
2;England;Buckinghamshire;Buffler's Holt;;W01.03;N52.00;10; 
2;England;Buckinghamshire;Burcott;;W0.78;N51.82;10; 
2;England;Buckinghamshire;Burcott;;W0.73;N51.89;10; 
2;England;Buckinghamshire;Burnham;;W0.67;N51.52;10; 
2;England;Buckinghamshire;Burroughs Grove;;W0.77;N51.59;10; 
2;England;Buckinghamshire;Butlers Cross;;W0.60;N51.61;10; 
2;England;Buckinghamshire;Butler's Cross;;W0.78;N51.75;10; 
2;England;Buckinghamshire;Bye Green;;W0.75;N51.79;10; 
2;England;Buckinghamshire;Cadmore End;;W0.87;N51.62;10; 
2;England;Buckinghamshire;Calvert;;W01.01;N51.91;10; 
2;England;Buckinghamshire;Canons Park;;W0.29;N51.60;10; 
2;England;Buckinghamshire;Chackmore;;W01.01;N52.00;10; 
2;England;Buckinghamshire;Chalfont Common;;W0.55;N51.61;10; 
2;England;Buckinghamshire;Chalfont Grove;;W0.58;N51.60;10; 
2;England;Buckinghamshire;Chalfont St Giles;;W0.58;N51.62;10; 
2;England;Buckinghamshire;Chalfont St Peter;;W0.55;N51.60;10; 
2;England;Buckinghamshire;Chalkshire;;W0.78;N51.75;10; 
2;England;Buckinghamshire;Charndon;;W01.02;N51.91;10; 
2;England;Buckinghamshire;Chartridge;;W0.65;N51.71;10; 
2;England;Buckinghamshire;Chearsley;;W0.97;N51.78;10; 
2;England;Buckinghamshire;Cheddington;;W0.66;N51.84;10; 
2;England;Buckinghamshire;Chenies;;W0.54;N51.67;10; 
2;England;Buckinghamshire;Chesham;;W0.61;N51.69;10; 
2;England;Buckinghamshire;Chesham Bois;;W0.61;N51.68;10; 
2;England;Buckinghamshire;Chessmount;;W0.61;N51.69;10; 
2;England;Buckinghamshire;Chetwode;;W01.06;N51.95;10; 
2;England;Buckinghamshire;Chiltern Hills;;W0.69;N51.74;10; 
2;England;Buckinghamshire;Chilton;;W01.01;N51.79;10; 
2;England;Buckinghamshire;Chisbridge Cross;;W0.83;N51.59;10; 
2;England;Buckinghamshire;Chivery;;W0.69;N51.75;10; 
2;England;Buckinghamshire;Cholesbury;;W0.65;N51.75;10; 
2;England;Buckinghamshire;Chorleywood West;;W0.54;N51.65;10; 
2;England;Buckinghamshire;Church End;;W0.51;N51.67;10; 
2;England;Buckinghamshire;Church End;;W0.92;N51.75;10; 
2;England;Buckinghamshire;Church End;;W0.63;N51.82;10; 
2;England;Buckinghamshire;Clanking;;W0.81;N51.75;10; 
2;England;Buckinghamshire;Claydon Brook;;W0.95;N51.97;10; 
2;England;Buckinghamshire;Codmore;;W0.59;N51.70;10; 
2;England;Buckinghamshire;Coleshill;;W0.64;N51.64;10; 
2;England;Buckinghamshire;Colne;;W0.49;N51.50;10; 
2;England;Buckinghamshire;Colne;;W0.48;N51.57;10; 
2;England;Buckinghamshire;Colne Brook;;W0.52;N51.48;10; 
2;England;Buckinghamshire;Colstrope;;W0.87;N51.58;10; 
2;England;Buckinghamshire;Coombe;;W0.78;N51.74;10; 
2;England;Buckinghamshire;Cores End;;W0.70;N51.57;10; 
2;England;Buckinghamshire;Crafton;;W0.72;N51.86;10; 
2;England;Buckinghamshire;Creslow;;W0.82;N51.88;10; 
2;England;Buckinghamshire;Cressex;;W0.78;N51.61;10; 
2;England;Buckinghamshire;Crownfield;;W0.84;N51.68;10; 
2;England;Buckinghamshire;Cryers Hill;;W0.74;N51.65;10; 
2;England;Buckinghamshire;Cublington;;W0.79;N51.89;10; 
2;England;Buckinghamshire;Cuddington;;W0.94;N51.79;10; 
2;England;Buckinghamshire;Dadford;;W01.03;N52.03;10; 
2;England;Buckinghamshire;Dagnall;;W0.56;N51.83;10; 
2;England;Buckinghamshire;Danesfield;;W0.83;N51.54;10; 
2;England;Buckinghamshire;Darvillshill;;W0.81;N51.68;10; 
2;England;Buckinghamshire;Denham;;W0.50;N51.56;10; 
2;England;Buckinghamshire;Denham;;W0.91;N51.87;10; 
2;England;Buckinghamshire;Denham Green;;W0.51;N51.58;10; 
2;England;Buckinghamshire;Dinton;;W0.89;N51.78;10; 
2;England;Buckinghamshire;Ditchfield;;W0.84;N51.61;10; 
2;England;Buckinghamshire;Dorney;;W0.66;N51.50;10; 
