"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Cambridgeshire;Abington Pigotts;;W0.10;N52.07;10;
2;England;Cambridgeshire;Ailsworth;;W0.36;N52.56;10;
2;England;Cambridgeshire;Aldreth;;E0.11;N52.33;10;
2;England;Cambridgeshire;Arbury;;E0.10;N52.21;10;
2;England;Cambridgeshire;Arrington;;W0.07;N52.13;10;
2;England;Cambridgeshire;Ashley;;E0.47;N52.22;10;
2;England;Cambridgeshire;Ashton;;W0.37;N52.63;10;
2;England;Cambridgeshire;Babraham;;E0.20;N52.12;10;
2;England;Cambridgeshire;Badgeney;;E0.09;N52.54;10;
2;England;Cambridgeshire;Bainton;;W0.39;N52.64;10;
2;England;Cambridgeshire;Balsam;;E0.30;N52.12;10;
2;England;Cambridgeshire;Bar Hill;;E0.02;N52.24;10;
2;England;Cambridgeshire;Barnack;;W0.42;N52.62;10;
2;England;Cambridgeshire;Barrington;;E0.02;N52.12;10;
2;England;Cambridgeshire;Barton;;E0.04;N52.17;10;
2;England;Cambridgeshire;Barway;;E0.25;N52.35;10;
2;England;Cambridgeshire;Bassingbourn;;W0.06;N52.06;10;
2;England;Cambridgeshire;Begdale;;E0.14;N52.63;10;
2;England;Cambridgeshire;Benwick;;W0.02;N52.49;10;
2;England;Cambridgeshire;Bevill's Leam;;W0.17;N52.50;10;
2;England;Cambridgeshire;Black Bank;;E0.24;N52.44;10;
2;England;Cambridgeshire;Black Horse Drove;;E0.34;N52.49;10;
2;England;Cambridgeshire;Bottisham;;E0.25;N52.21;10;
2;England;Cambridgeshire;Bourn;;W0.07;N52.18;10;
2;England;Cambridgeshire;Bourn Brook;;E0.07;N52.17;10;
2;England;Cambridgeshire;Boxworth;;W0.03;N52.25;10;
2;England;Cambridgeshire;Boxworth End;;W0.01;N52.28;10;
2;England;Cambridgeshire;Brampton Park;;W0.24;N52.31;10;
2;England;Cambridgeshire;Brandon Bank;;E0.38;N52.46;10;
2;England;Cambridgeshire;Brandon Creek;;E0.35;N52.49;10;
2;England;Cambridgeshire;Bretton;;W0.28;N52.58;10;
2;England;Cambridgeshire;Brinkley;;E0.36;N52.16;10;
2;England;Cambridgeshire;Broad Green;;E0.45;N52.20;10;
2;England;Cambridgeshire;Broad Hill;;E0.33;N52.35;10;
2;England;Cambridgeshire;Brook End;;W0.41;N52.34;10;
2;England;Cambridgeshire;Building End;;E0.08;N52.01;10;
2;England;Cambridgeshire;Bunker's Hill;;E0.06;N52.64;10;
2;England;Cambridgeshire;Burrough End;;E0.36;N52.16;10;
2;England;Cambridgeshire;Burrough Green;;E0.38;N52.16;10;
2;England;Cambridgeshire;Burton End;;E0.36;N52.11;10;
2;England;Cambridgeshire;Burwell;;E0.31;N52.26;10;
2;England;Cambridgeshire;California;;E0.24;N52.43;10;
2;England;Cambridgeshire;Cam;;E0.17;N52.23;10;
2;England;Cambridgeshire;Cam (Rhee);;E0.08;N52.15;10;
2;England;Cambridgeshire;Cambridge;;E0.13;N52.20;10;
2;England;Cambridgeshire;Camps End;;E0.34;N52.05;10;
2;England;Cambridgeshire;Cardinal's Green;;E0.34;N52.08;10;
2;England;Cambridgeshire;Carlton;;E0.39;N52.15;10;
2;England;Cambridgeshire;Carlton Green;;E0.39;N52.13;10;
2;England;Cambridgeshire;Castle Camps;;E0.37;N52.06;10;
2;England;Cambridgeshire;Castle End;;W0.34;N52.65;10;
2;England;Cambridgeshire;Castor;;W0.34;N52.56;10;
2;England;Cambridgeshire;Caxton;;W0.09;N52.20;10;
2;England;Cambridgeshire;Chainbridge;;E0.09;N52.57;10;
2;England;Cambridgeshire;Chapel End;;W0.35;N52.42;10;
2;England;Cambridgeshire;Chapel Head;;W0.03;N52.41;10;
2;England;Cambridgeshire;Chatteris;;E0.04;N52.44;10;
2;England;Cambridgeshire;Cherry Hinton;;E0.16;N52.18;10;
2;England;Cambridgeshire;Chettisham;;E0.26;N52.42;10;
2;England;Cambridgeshire;Cheveley;;E0.45;N52.21;10;
2;England;Cambridgeshire;Childerley Gate;;W0.02;N52.21;10;
2;England;Cambridgeshire;Chippenham;;E0.43;N52.29;10;
