"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Derbyshire;Abney;;W1.71;N53.30;10;
2;England;Derbyshire;Ainsdale;;W3.04;N53.60;10;
2;England;Derbyshire;Aintree;;W2.95;N53.47;10;
2;England;Derbyshire;Albert Village;;W1.55;N52.75;10;
2;England;Derbyshire;Aldercar;;W1.34;N53.01;10;
2;England;Derbyshire;Alderwasley;;W1.53;N53.07;10;
2;England;Derbyshire;Aldwark;;W1.67;N53.11;10;
2;England;Derbyshire;Alfreton;;W1.38;N53.09;10;
2;England;Derbyshire;Alkmonton;;W1.73;N52.93;10;
2;England;Derbyshire;Allenton;;W1.46;N52.88;10;
2;England;Derbyshire;Allestree;;W1.49;N52.94;10;
2;England;Derbyshire;Alport;;W1.67;N53.17;10;
2;England;Derbyshire;Alsop en le Dale;;W1.76;N53.09;10;
2;England;Derbyshire;Alt;;W2.97;N53.51;10;
2;England;Derbyshire;Alton;;W1.46;N53.17;10;
2;England;Derbyshire;Alvaston;;W1.43;N52.89;10;
2;England;Derbyshire;Ambaston;;W1.37;N52.88;10;
2;England;Derbyshire;Amber Valley;;W1.48;N53.06;10;
2;England;Derbyshire;Apperknowle;;W1.43;N53.29;10;
2;England;Derbyshire;Arkwright Town;;W1.37;N53.22;10;
2;England;Derbyshire;Ashford in the Water;;W1.71;N53.21;10;
2;England;Derbyshire;Ashgate;;W1.46;N53.23;10;
2;England;Derbyshire;Ashobourne;;W1.73;N53.01;10;
2;England;Derbyshire;Ashop;;W1.83;N53.40;10;
2;England;Derbyshire;Ashopton;;W1.71;N53.37;10;
2;England;Derbyshire;Ashover;;W1.49;N53.16;10;
2;England;Derbyshire;Ashover Hay;;W1.47;N53.14;10;
2;England;Derbyshire;Aston;;W1.73;N53.34;10;
2;England;Derbyshire;Aston-on-Trent;;W1.39;N52.85;10;
2;England;Derbyshire;Astwith;;W1.34;N53.17;10;
2;England;Derbyshire;Atlow;;W1.65;N53.02;10;
2;England;Derbyshire;Ault Hucknall;;W1.31;N53.18;10;
2;England;Derbyshire;Bagshaw;;W1.89;N53.32;10;
2;England;Derbyshire;Bakestone Moor;;W1.22;N53.27;10;
2;England;Derbyshire;Bakewell;;W1.68;N53.20;10;
2;England;Derbyshire;Ballidon;;W1.70;N53.08;10;
2;England;Derbyshire;Bamford;;W1.70;N53.34;10;
2;England;Derbyshire;Barber Booth;;W1.83;N53.35;10;
2;England;Derbyshire;Bargate;;W1.46;N53.01;10;
2;England;Derbyshire;Barlborough;;W1.29;N53.28;10;
2;England;Derbyshire;Barlow;;W1.49;N53.26;10;
2;England;Derbyshire;Barrow Hill;;W1.38;N53.27;10;
2;England;Derbyshire;Barrow upon Trent;;W1.48;N52.84;10;
2;England;Derbyshire;Baslow;;W1.62;N53.24;10;
2;England;Derbyshire;Beeley;;W1.61;N53.19;10;
2;England;Derbyshire;Beighton Hill;;W1.56;N53.05;10;
2;England;Derbyshire;Belper;;W1.47;N53.01;10;
2;England;Derbyshire;Belper Lane End;;W1.50;N53.03;10;
2;England;Derbyshire;Belph;;W1.19;N53.26;10;
2;England;Derbyshire;Biggin;;W1.61;N53.02;10;
2;England;Derbyshire;Biggin;;W1.77;N53.12;10;
2;England;Derbyshire;Birch Vale;;W1.97;N53.37;10;
2;England;Derbyshire;Birchover;;W1.65;N53.15;10;
2;England;Derbyshire;Birdholme;;W1.43;N53.21;10;
2;England;Derbyshire;Birkdale;;W3.01;N53.62;10;
2;England;Derbyshire;Birleyhay;;W1.41;N53.31;10;
2;England;Derbyshire;Blackbrook;;W1.50;N53.01;10;
2;England;Derbyshire;Blackbrook;;W1.89;N53.31;10;
2;England;Derbyshire;Blackwall;;W1.62;N53.03;10;
2;England;Derbyshire;Blackwell;;W1.35;N53.11;10;
2;England;Derbyshire;Blackwell;;W1.82;N53.24;10;
2;England;Derbyshire;Blowick;;W2.98;N53.63;10;
2;England;Derbyshire;Blundellsands;;W3.05;N53.48;10;
2;England;Derbyshire;Bolehill;;W1.56;N53.09;10;
2;England;Derbyshire;Bolehill;;W1.38;N53.22;10;
2;England;Derbyshire;Bolehill;;W1.50;N53.26;10;
2;England;Derbyshire;Bolsover;;W1.29;N53.22;10;
2;England;Derbyshire;Bonsall;;W1.59;N53.11;10;
2;England;Derbyshire;Boothgate;;W1.44;N53.03;10;
2;England;Derbyshire;Bootle;;W3.01;N53.43;10;
2;England;Derbyshire;Borrowash;;W1.37;N52.90;10;
2;England;Derbyshire;Boulton;;W1.43;N52.88;10;
2;England;Derbyshire;Boulton Moor;;W1.43;N52.88;10;
2;England;Derbyshire;Boylestone;;W1.73;N52.91;10;
2;England;Derbyshire;Boylestonfield;;W1.73;N52.92;10;
2;England;Derbyshire;Boythorpe;;W1.44;N53.22;10;
2;England;Derbyshire;Brackenfield;;W1.44;N53.12;10;
2;England;Derbyshire;Bradbourne;;W1.68;N53.06;10;
2;England;Derbyshire;Bradford;;W1.68;N53.17;10;
2;England;Derbyshire;Bradley;;W1.67;N53.01;10;
2;England;Derbyshire;Bradwell;;W1.74;N53.32;10;
2;England;Derbyshire;Bradwell Hills;;W1.74;N53.31;10;
2;England;Derbyshire;Brailsford;;W1.62;N52.96;10;
2;England;Derbyshire;Brailsford Green;;W1.62;N52.96;10;
2;England;Derbyshire;Bramley;;W1.40;N53.30;10;
2;England;Derbyshire;Bramley Vale;;W1.31;N53.18;10;
2;England;Derbyshire;Brampton;;W1.46;N53.22;10;
2;England;Derbyshire;Brassington;;W1.65;N53.08;10;
2;England;Derbyshire;Breadsall;;W1.45;N52.94;10;
2;England;Derbyshire;Breadsall Hilltop;;W1.46;N52.93;10;
2;England;Derbyshire;Breaston;;W1.31;N52.89;10;
2;England;Derbyshire;Bretby;;W1.57;N52.80;10;
2;England;Derbyshire;Bretton;;W1.70;N53.28;10;
2;England;Derbyshire;Bridgeholm Green;;W1.94;N53.32;10;
2;England;Derbyshire;Bridgemont;;W1.98;N53.33;10;
2;England;Derbyshire;Brightgate;;W1.61;N53.12;10;
2;England;Derbyshire;Brighton le Sands;;W3.05;N53.48;10;
2;England;Derbyshire;Brimington;;W1.40;N53.25;10;
