"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Gloucestershire;Abbeydale;;W2.20;N51.84;10;
2;England;Gloucestershire;Ablington;;W1.85;N51.76;10;
2;England;Gloucestershire;Abson;;W2.43;N51.46;10;
2;England;Gloucestershire;Acton Turville;;W2.28;N51.51;10;
2;England;Gloucestershire;Adlestrop;;W1.65;N51.94;10;
2;England;Gloucestershire;Alderley;;W2.34;N51.60;10;
2;England;Gloucestershire;Alderton;;W2.00;N51.99;10;
2;England;Gloucestershire;Alderton Fields;;W2.00;N51.98;10;
2;England;Gloucestershire;Aldsworth;;W1.78;N51.78;10;
2;England;Gloucestershire;Alkerton;;W2.33;N51.74;10;
2;England;Gloucestershire;Allaston;;W2.53;N51.73;10;
2;England;Gloucestershire;Almondsbury;;W2.57;N51.55;10;
2;England;Gloucestershire;Alstone;;W2.10;N51.89;10;
2;England;Gloucestershire;Alstone;;W2.03;N51.98;10;
2;England;Gloucestershire;Alveston;;W2.53;N51.58;10;
2;England;Gloucestershire;Alveston Down;;W2.54;N51.58;10;
2;England;Gloucestershire;Alvington;;W2.58;N51.69;10;
2;England;Gloucestershire;Amberley;;W2.21;N51.70;10;
2;England;Gloucestershire;Ampney Crucis;;W1.91;N51.70;10;
2;England;Gloucestershire;Ampney St Mary;;W1.88;N51.71;10;
2;England;Gloucestershire;Ampney St Peter;;W1.88;N51.70;10;
2;England;Gloucestershire;Andoversford;;W1.97;N51.86;10;
2;England;Gloucestershire;Anthony's Cross;;W2.42;N51.90;10;
2;England;Gloucestershire;Apperley;;W2.20;N51.95;10;
2;England;Gloucestershire;Arle;;W2.11;N51.90;10;
2;England;Gloucestershire;Arlebrook;;W2.27;N51.77;10;
2;England;Gloucestershire;Arlingham;;W2.43;N51.78;10;
2;England;Gloucestershire;Arlington;;W1.85;N51.75;10;
2;England;Gloucestershire;Ashchurch;;W2.11;N51.99;10;
2;England;Gloucestershire;Ashleworth;;W2.27;N51.92;10;
2;England;Gloucestershire;Ashley;;W2.10;N51.64;10;
2;England;Gloucestershire;Ashmead Green;;W2.34;N51.68;10;
2;England;Gloucestershire;Aston Cross;;W2.08;N51.99;10;
2;England;Gloucestershire;Aston Magna;;W1.72;N52.01;10;
2;England;Gloucestershire;Aston on Carrant;;W2.08;N52.00;10;
2;England;Gloucestershire;Aston Subedge;;W1.81;N52.06;10;
2;England;Gloucestershire;Aust;;W2.62;N51.59;10;
2;England;Gloucestershire;Avening;;W2.17;N51.68;10;
2;England;Gloucestershire;Avening Green;;W2.42;N51.63;10;
2;England;Gloucestershire;Avon;;W2.17;N51.98;10;
2;England;Gloucestershire;Awkley;;W2.59;N51.56;10;
2;England;Gloucestershire;Awre;;W2.43;N51.77;10;
