"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Hampshire;Abbots Worthy;;W1.30;N51.08;10;
2;England;Hampshire;Abbotstone;;W1.20;N51.10;10;
2;England;Hampshire;Abbotswood;;W1.48;N51.00;10;
2;England;Hampshire;Abbotts Ann;;W1.54;N51.18;10;
2;England;Hampshire;Abshot;;W1.27;N50.84;10;
2;England;Hampshire;Aldermoor;;W1.44;N50.93;10;
2;England;Hampshire;Aldershot;;W0.76;N51.24;10;
2;England;Hampshire;Allbrook;;W1.36;N50.98;10;
2;England;Hampshire;Alton;;W0.98;N51.14;10;
2;England;Hampshire;Alverstoke;;W1.16;N50.77;10;
2;England;Hampshire;Ampfield;;W1.43;N51.00;10;
2;England;Hampshire;Amport;;W1.58;N51.19;10;
2;England;Hampshire;Anchorage Park;;W1.05;N50.82;10;
2;England;Hampshire;Andover;;W1.48;N51.20;10;
2;England;Hampshire;Andover Down;;W1.44;N51.20;10;
2;England;Hampshire;Andwell;;W1.01;N51.26;10;
2;England;Hampshire;Anmore;;W1.04;N50.89;10;
2;England;Hampshire;Anna Valley;;W1.51;N51.18;10;
2;England;Hampshire;Ann's Hill;;W1.16;N50.79;10;
2;England;Hampshire;Anthill Common;;W1.09;N50.90;10;
2;England;Hampshire;Anton;;W1.37;N51.21;10;
2;England;Hampshire;Applemore;;W1.44;N50.86;10;
2;England;Hampshire;Appleshaw;;W1.57;N51.23;10;
2;England;Hampshire;Arford;;W0.82;N51.11;10;
2;England;Hampshire;Ashansworth;;W1.41;N51.31;10;
2;England;Hampshire;Ashe;;W1.24;N51.24;10;
2;England;Hampshire;Ashfield;;W1.48;N50.96;10;
2;England;Hampshire;Ashford Hill;;W1.21;N51.35;10;
2;England;Hampshire;Ashlett;;W1.34;N50.82;10;
2;England;Hampshire;Ashley;;W1.64;N50.75;10;
2;England;Hampshire;Ashley;;W1.45;N51.06;10;
2;England;Hampshire;Ashley Clinton;;W1.63;N50.73;10;
2;England;Hampshire;Ashton;;W1.23;N50.96;10;
2;England;Hampshire;Ashurst;;W1.53;N50.88;10;
2;England;Hampshire;Ashurst Bridge;;W1.51;N50.90;10;
2;England;Hampshire;Avington;;W1.24;N51.08;10;
2;England;Hampshire;Avon;;W1.77;N50.94;10;
2;England;Hampshire;Avon Water;;W1.61;N50.78;10;
2;England;Hampshire;Awbridge;;W1.53;N51.00;10;
2;England;Hampshire;Axford;;W1.12;N51.18;10;
2;England;Hampshire;Axmansford;;W1.19;N51.34;10;
2;England;Hampshire;Baffins;;W1.06;N50.80;10;
2;England;Hampshire;Bagmore;;W1.05;N51.19;10;
2;England;Hampshire;Bailey Green;;W1.05;N51.03;10;
2;England;Hampshire;Ball Hill;;W1.39;N51.36;10;
2;England;Hampshire;Balmerlawn;;W1.57;N50.82;10;
2;England;Hampshire;Bank;;W1.60;N50.86;10;
2;England;Hampshire;Bar End;;W1.31;N51.04;10;
2;England;Hampshire;Barford;;W0.78;N51.12;10;
2;England;Hampshire;Bartley;;W1.57;N50.91;10;
2;England;Hampshire;Barton on Sea;;W1.67;N50.73;10;
2;England;Hampshire;Barton Stacey;;W1.38;N51.16;10;
2;England;Hampshire;Bashley;;W1.66;N50.77;10;
2;England;Hampshire;Bashley Park;;W1.66;N50.77;10;
2;England;Hampshire;Basingstoke;;W1.09;N51.26;10;
2;England;Hampshire;Basingstoke Canal;;W1.00;N51.26;10;
2;England;Hampshire;Bassett;;W1.41;N50.94;10;
2;England;Hampshire;Bassett Green;;W1.40;N50.94;10;
2;England;Hampshire;Battramsley;;W1.57;N50.78;10;
2;England;Hampshire;Battramsley Cross;;W1.56;N50.78;10;
2;England;Hampshire;Batt's Corner;;W0.84;N51.16;10;
2;England;Hampshire;Baughurst;;W1.16;N51.33;10;
2;England;Hampshire;Baybridge;;W1.26;N51.00;10;
2;England;Hampshire;Beaulieu;;W1.46;N50.81;10;
2;England;Hampshire;Beauworth;;W1.18;N51.02;10;
2;England;Hampshire;Beckley;;W1.68;N50.76;10;
2;England;Hampshire;Bedhampton;;W1.00;N50.84;10;
2;England;Hampshire;Beech;;W1.01;N51.13;10;
2;England;Hampshire;Bell Hill;;W0.94;N51.01;10;
2;England;Hampshire;Bentley;;W0.88;N51.19;10;
2;England;Hampshire;Bentworth;;W1.05;N51.15;10;
2;England;Hampshire;Bickton;;W1.80;N50.90;10;
2;England;Hampshire;Bidden;;W0.99;N51.23;10;
2;England;Hampshire;Bighton;;W1.13;N51.10;10;
2;England;Hampshire;Binley;;W1.39;N51.27;10;
2;England;Hampshire;Binstead;;W0.90;N51.16;10;
2;England;Hampshire;Birchy Hill;;W1.60;N50.78;10;
2;England;Hampshire;Bishop's Green;;W1.28;N51.36;10;
2;England;Hampshire;Bishop's Sutton;;W1.14;N51.07;10;
2;England;Hampshire;Bishop's Waltham;;W1.21;N50.94;10;
2;England;Hampshire;Bishopstoke;;W1.34;N50.96;10;
2;England;Hampshire;Bisterne;;W1.80;N50.80;10;
2;England;Hampshire;Bisterne Close;;W1.68;N50.81;10;
2;England;Hampshire;Bitterne;;W1.36;N50.91;10;
2;England;Hampshire;Bitterne Park;;W1.37;N50.92;10;
2;England;Hampshire;Black Dam;;W1.08;N51.25;10;
2;England;Hampshire;Blackdown;;W1.24;N50.99;10;
2;England;Hampshire;Blackfield;;W1.37;N50.80;10;
2;England;Hampshire;Blackhill;;W1.57;N50.96;10;
2;England;Hampshire;Blackmoor;;W0.90;N51.09;10;
2;England;Hampshire;Blacknest;;W0.87;N51.16;10;
2;England;Hampshire;Blackwater;;W1.81;N50.75;10;
2;England;Hampshire;Blackwater;;W0.75;N51.23;10;
2;England;Hampshire;Blackwater;;W0.78;N51.32;10;
2;England;Hampshire;Blashford;;W1.78;N50.85;10;
2;England;Hampshire;Bleak Hill;;W1.81;N50.89;10;
2;England;Hampshire;Blendworth;;W0.99;N50.91;10;
2;England;Hampshire;Blissford;;W1.75;N50.91;10;
2;England;Hampshire;Boarhunt;;W1.14;N50.86;10;
2;England;Hampshire;Bohemia;;W1.71;N50.97;10;
