"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Hertfordshire;Abbots Langley;;W0.42;N51.69;10;
2;England;Hertfordshire;Adeyfield;;W0.45;N51.75;10;
2;England;Hertfordshire;Albury;;E0.07;N51.89;10;
2;England;Hertfordshire;Albury End;;E0.06;N51.88;10;
2;England;Hertfordshire;Aldbury;;W0.60;N51.79;10;
2;England;Hertfordshire;Aldenham;;W0.36;N51.66;10;
2;England;Hertfordshire;Aley Green;;W0.46;N51.85;10;
2;England;Hertfordshire;Allen's Green;;E0.10;N51.82;10;
2;England;Hertfordshire;Amwell;;W0.31;N51.80;10;
2;England;Hertfordshire;Ansells End;;W0.33;N51.84;10;
2;England;Hertfordshire;Anstey;;E0.03;N51.96;10;
2;England;Hertfordshire;Apsley;;W0.48;N51.73;10;
2;England;Hertfordshire;Ardeley;;W0.11;N51.92;10;
2;England;Hertfordshire;Arkley;;W0.23;N51.64;10;
2;England;Hertfordshire;Ashwell;;W0.16;N52.03;10;
2;England;Hertfordshire;Ashwell End;;W0.17;N52.04;10;
2;England;Hertfordshire;Aspenden;;W0.03;N51.93;10;
2;England;Hertfordshire;Aston;;W0.15;N51.88;10;
2;England;Hertfordshire;Aston End;;W0.15;N51.90;10;
2;England;Hertfordshire;Ayot Green;;W0.24;N51.81;10;
2;England;Hertfordshire;Ayot St Lawrence;;W0.27;N51.83;10;
2;England;Hertfordshire;Ayot St Peter;;W0.24;N51.82;10;
2;England;Hertfordshire;Ayres End;;W0.33;N51.79;10;
2;England;Hertfordshire;Babbs Green;;E0.01;N51.82;10;
2;England;Hertfordshire;Bakers End;;E0.01;N51.82;10;
2;England;Hertfordshire;Baldock;;W0.19;N51.98;10;
2;England;Hertfordshire;Baldock;;W0.19;N51.99;10;
2;England;Hertfordshire;Barkway;;E0.01;N51.99;10;
2;England;Hertfordshire;Barley;;E0.03;N52.02;10;
2;England;Hertfordshire;Barleycroft End;;E0.07;N51.92;10;
2;England;Hertfordshire;Barnet Gate;;W0.25;N51.64;10;
2;England;Hertfordshire;Barwick;;E0.00;N51.85;10;
2;England;Hertfordshire;Bassus Green;;W0.11;N51.90;10;
2;England;Hertfordshire;Batchworth;;W0.46;N51.63;10;
2;England;Hertfordshire;Batchworth Heath;;W0.45;N51.61;10;
2;England;Hertfordshire;Batford;;W0.34;N51.82;10;
2;England;Hertfordshire;Batlers Green;;W0.33;N51.66;10;
2;England;Hertfordshire;Bayford;;W0.11;N51.75;10;
2;England;Hertfordshire;Beane;;W0.09;N51.83;10;
2;England;Hertfordshire;Bedmond;;W0.42;N51.71;10;
2;England;Hertfordshire;Bedwell;;W0.19;N51.90;10;
2;England;Hertfordshire;Bell Bar;;W0.19;N51.73;10;
2;England;Hertfordshire;Belsize;;W0.51;N51.68;10;
2;England;Hertfordshire;Bendish;;W0.31;N51.87;10;
2;England;Hertfordshire;Bengeo;;W0.08;N51.80;10;
2;England;Hertfordshire;Benington;;W0.11;N51.89;10;
2;England;Hertfordshire;Bennetts End;;W0.46;N51.73;10;
2;England;Hertfordshire;Bentley Heath;;W0.20;N51.67;10;
2;England;Hertfordshire;Berkhamsted;;W0.58;N51.76;10;
2;England;Hertfordshire;Bernards Heath;;W0.33;N51.75;10;
2;England;Hertfordshire;Birch Green;;W0.13;N51.78;10;
2;England;Hertfordshire;Birchwood;;W0.23;N51.76;10;
2;England;Hertfordshire;Bishop's Stortford;;E0.16;N51.86;10;
2;England;Hertfordshire;Blackmore End;;W0.31;N51.83;10;
2;England;Hertfordshire;Blue Hill;;W0.12;N51.86;10;
2;England;Hertfordshire;Borehamwood;;W0.28;N51.65;10;
2;England;Hertfordshire;Bourne End;;W0.52;N51.74;10;
2;England;Hertfordshire;Bovingdon;;W0.53;N51.71;10;
2;England;Hertfordshire;Bovingdon Green;;W0.53;N51.70;10;
2;England;Hertfordshire;Bower Heath;;W0.34;N51.83;10;
2;England;Hertfordshire;Boxmoor;;W0.49;N51.74;10;
2;England;Hertfordshire;Bozen Green;;E0.03;N51.92;10;
2;England;Hertfordshire;Bragbury End;;W0.17;N51.87;10;
2;England;Hertfordshire;Bramfield;;W0.12;N51.81;10;
2;England;Hertfordshire;Braughing;;E0.01;N51.89;10;
2;England;Hertfordshire;Braughing Friars;;E0.04;N51.89;10;
2;England;Hertfordshire;Breachwood Green;;W0.33;N51.88;10;
2;England;Hertfordshire;Brent Pelham;;E0.07;N51.95;10;
2;England;Hertfordshire;Brent Reservoir;;W0.24;N51.57;10;
2;England;Hertfordshire;Brickendon;;W0.08;N51.74;10;
2;England;Hertfordshire;Bricket Wood;;W0.36;N51.70;10;
2;England;Hertfordshire;Broad Colney;;W0.30;N51.71;10;
2;England;Hertfordshire;Broadgreen Wood;;W0.10;N51.76;10;
2;England;Hertfordshire;Broadoak End;;W0.11;N51.80;10;
2;England;Hertfordshire;Broadwater;;W0.18;N51.88;10;
2;England;Hertfordshire;Broken Green;;E0.04;N51.87;10;
2;England;Hertfordshire;Bromley;;E0.04;N51.87;10;
2;England;Hertfordshire;Brook End;;W0.08;N51.93;10;
2;England;Hertfordshire;Brookmans Park;;W0.20;N51.72;10;
2;England;Hertfordshire;Broxbourne;;W0.03;N51.74;10;
2;England;Hertfordshire;Brunswick Park;;W0.15;N51.62;10;
2;England;Hertfordshire;Buckland;;W0.03;N51.97;10;
2;England;Hertfordshire;Bucks Hill;;W0.48;N51.68;10;
2;England;Hertfordshire;Bulbourne;;W0.65;N51.80;10;
2;England;Hertfordshire;Bullen's Green;;W0.24;N51.73;10;
2;England;Hertfordshire;Bull's Green;;W0.15;N51.83;10;
2;England;Hertfordshire;Bulstrode;;W0.51;N51.70;10;
2;England;Hertfordshire;Buntingford;;W0.02;N51.94;10;
2;England;Hertfordshire;Burge End;;W0.34;N51.97;10;
2;England;Hertfordshire;Burnham Green;;W0.17;N51.82;10;
2;England;Hertfordshire;Burn's Green;;W0.11;N51.88;10;
2;England;Hertfordshire;Burnt Oak;;W0.26;N51.60;10;
2;England;Hertfordshire;Bury Green;;W0.06;N51.69;10;
2;England;Hertfordshire;Bury Green;;E0.10;N51.86;10;
2;England;Hertfordshire;Bushey;;W0.36;N51.64;10;
2;England;Hertfordshire;Bushey Heath;;W0.33;N51.63;10;
2;England;Hertfordshire;Bygrave;;W0.16;N51.99;10;
2;England;Hertfordshire;Cadwell;;W0.28;N51.97;10;
2;England;Hertfordshire;Caldecote;;W0.20;N52.02;10;
2;England;Hertfordshire;Caldecote Hill;;W0.33;N51.63;10;
2;England;Hertfordshire;Cam (Rhee);;W0.19;N52.04;10;
2;England;Hertfordshire;Carpenders Park;;W0.38;N51.62;10;
2;England;Hertfordshire;Chandler's Cross;;W0.46;N51.67;10;
2;England;Hertfordshire;Chapel Green;;W0.04;N51.99;10;
2;England;Hertfordshire;Chapmore End;;W0.08;N51.82;10;
2;England;Hertfordshire;Charlton;;W0.29;N51.93;10;
2;England;Hertfordshire;Chaulden;;W0.50;N51.74;10;
2;England;Hertfordshire;Cheapside;;E0.03;N51.97;10;
2;England;Hertfordshire;Chells;;W0.16;N51.90;10;
2;England;Hertfordshire;Cherry Green;;W0.03;N51.90;10;
2;England;Hertfordshire;Cheshunt;;W0.04;N51.70;10;
2;England;Hertfordshire;Cheverell's Green;;W0.47;N51.82;10;
2;England;Hertfordshire;Child's Hill;;W0.21;N51.55;10;
2;England;Hertfordshire;Childwick Bury;;W0.36;N51.77;10;
2;England;Hertfordshire;Childwick Green;;W0.34;N51.77;10;
2;England;Hertfordshire;Chiltern Hills;;W0.49;N51.82;10;
2;England;Hertfordshire;Chipperfield;;W0.49;N51.69;10;
2;England;Hertfordshire;Chipping;;W0.03;N51.97;10;
2;England;Hertfordshire;Chipping Barnet;;W0.20;N51.64;10;
2;England;Hertfordshire;Chiswell Green;;W0.36;N51.72;10;
2;England;Hertfordshire;Chorleywood;;W0.52;N51.65;10;
2;England;Hertfordshire;Chorleywood Bottom;;W0.52;N51.64;10;
2;England;Hertfordshire;Church End;;W0.21;N51.59;10;
2;England;Hertfordshire;Church End;;W0.40;N51.78;10;
2;England;Hertfordshire;Church End;;E0.09;N51.87;10;
2;England;Hertfordshire;Church End;;W0.16;N51.95;10;
2;England;Hertfordshire;Churchgate;;W0.06;N51.70;10;
2;England;Hertfordshire;Clapgate;;E0.09;N51.90;10;
2;England;Hertfordshire;Clay End;;W0.11;N51.90;10;
2;England;Hertfordshire;Clothall;;W0.15;N51.96;10;
2;England;Hertfordshire;Clothall Common;;W0.18;N51.98;10;
