"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Kent;Abbey Gate;;E0.50;N51.29;10;
2;England;Kent;Abbey Wood;;E0.10;N51.48;10;
2;England;Kent;Acol;;E1.30;N51.35;10;
2;England;Kent;Addington;;E0.36;N51.30;10;
2;England;Kent;Adisham;;E1.17;N51.23;10;
2;England;Kent;Aldington;;E0.94;N51.08;10;
2;England;Kent;Aldington Frith;;E0.91;N51.08;10;
2;England;Kent;Alkham;;E1.21;N51.13;10;
2;England;Kent;Allhallows;;E0.63;N51.46;10;
2;England;Kent;Allhallows-on-Sea;;E0.63;N51.47;10;
2;England;Kent;Allington;;E0.49;N51.28;10;
2;England;Kent;Anvil Green;;E1.00;N51.20;10;
2;England;Kent;Appledore;;E0.77;N51.02;10;
2;England;Kent;Appledore Heath;;E0.78;N51.03;10;
2;England;Kent;Arpinge;;E1.12;N51.10;10;
2;England;Kent;Ash (near Sandwich);;E1.28;N51.27;10;
2;England;Kent;Ashbank;;E0.60;N51.24;10;
2;England;Kent;Ash-cum-Ridley;;E0.29;N51.35;10;
2;England;Kent;Ashford;;E0.85;N51.14;10;
2;England;Kent;Ashley;;E1.29;N51.18;10;
2;England;Kent;Ashurst;;E0.15;N51.12;10;
2;England;Kent;Avery Hill;;E0.07;N51.44;10;
2;England;Kent;Aycliff;;E1.28;N51.11;10;
2;England;Kent;Aylesford;;E0.46;N51.29;10;
2;England;Kent;Aylesham;;E1.19;N51.22;10;
2;England;Kent;Badgers Mount;;E0.13;N51.33;10;
2;England;Kent;Badlesmere;;E0.86;N51.24;10;
2;England;Kent;Bagham;;E0.96;N51.23;10;
2;England;Kent;Baker's Cross;;E0.54;N51.08;10;
2;England;Kent;Bapchild;;E0.75;N51.32;10;
2;England;Kent;Barden Park;;E0.24;N51.19;10;
2;England;Kent;Barfrestone;;E1.23;N51.20;10;
2;England;Kent;Barham;;E1.14;N51.20;10;
2;England;Kent;Barming Heath;;E0.46;N51.26;10;
2;England;Kent;Barnehurst;;E0.15;N51.45;10;
2;England;Kent;Barnes Cray;;E0.18;N51.45;10;
2;England;Kent;Barnes Street;;E0.34;N51.20;10;
2;England;Kent;Barnfield;;E0.74;N51.19;10;
2;England;Kent;Barnsole;;E1.25;N51.25;10;
2;England;Kent;Barrow Green;;E0.79;N51.33;10;
2;England;Kent;Barrowhill;;E0.99;N51.09;10;
2;England;Kent;Basted;;E0.29;N51.27;10;
2;England;Kent;Bay View;;E0.88;N51.39;10;
2;England;Kent;Bayley's Hill;;E0.16;N51.23;10;
2;England;Kent;Beacon Hill;;E0.59;N51.05;10;
2;England;Kent;Beal's Green;;E0.50;N51.05;10;
2;England;Kent;Bean;;E0.27;N51.42;10;
2;England;Kent;Bearsted;;E0.56;N51.26;10;
2;England;Kent;Beckenham;;W0.03;N51.40;10;
2;England;Kent;Bedgebury Cross;;E0.44;N51.08;10;
2;England;Kent;Bekesbourne;;E1.13;N51.25;10;
2;England;Kent;Bekesbourne Hill;;E1.12;N51.26;10;
2;England;Kent;Bell Green;;W0.04;N51.43;10;
2;England;Kent;Bellingham;;W0.03;N51.42;10;
2;England;Kent;Beltinge;;E1.14;N51.36;10;
2;England;Kent;Beltring;;E0.38;N51.19;10;
2;England;Kent;Belvedere;;E0.14;N51.48;10;
2;England;Kent;Benenden;;E0.56;N51.05;10;
2;England;Kent;Benover;;E0.43;N51.20;10;
2;England;Kent;Berry's Green;;E0.05;N51.31;10;
2;England;Kent;Berwick;;E1.02;N51.07;10;
2;England;Kent;Bessels Green;;E0.14;N51.27;10;
2;England;Kent;Bethersden;;E0.74;N51.12;10;
2;England;Kent;Betsham;;E0.29;N51.41;10;
2;England;Kent;Betteshanger;;E1.30;N51.22;10;
2;England;Kent;Beult;;E0.44;N51.21;10;
2;England;Kent;Bewl;;E0.40;N51.06;10;
2;England;Kent;Bexley;;E0.10;N51.45;10;
2;England;Kent;Bexleyheath;;E0.12;N51.45;10;
2;England;Kent;Bexon;;E0.70;N51.29;10;
2;England;Kent;Bickley;;E0.04;N51.40;10;
2;England;Kent;Bicknor;;E0.66;N51.29;10;
2;England;Kent;Bidborough;;E0.23;N51.16;10;
2;England;Kent;Biddenden;;E0.62;N51.11;10;
2;England;Kent;Biddenden Green;;E0.68;N51.15;10;
2;England;Kent;Biggin Hill;;E0.02;N51.31;10;
2;England;Kent;Bilsington;;E0.91;N51.06;10;
2;England;Kent;Bilting;;E0.93;N51.20;10;
2;England;Kent;Birchington;;E1.30;N51.37;10;
2;England;Kent;Bircholt Forstal;;E0.97;N51.13;10;
2;England;Kent;Birling;;E0.40;N51.31;10;
2;England;Kent;Bishopsbourne;;E1.12;N51.22;10;
2;England;Kent;Bishopstone;;E1.15;N51.36;10;
2;England;Kent;Bitchet Green;;E0.24;N51.26;10;
2;England;Kent;Blacketts;;E0.78;N51.35;10;
2;England;Kent;Blackfen;;E0.08;N51.44;10;
2;England;Kent;Blackheath;;E0.00;N51.46;10;
2;England;Kent;Blackheath Park;;E0.01;N51.45;10;
2;England;Kent;Bladbean;;E1.10;N51.18;10;
2;England;Kent;Blean;;E1.04;N51.29;10;
2;England;Kent;Bliby;;E0.88;N51.09;10;
2;England;Kent;Blue Bell Hill;;E0.49;N51.33;10;
2;England;Kent;Blue Town;;E0.74;N51.44;10;
2;England;Kent;Bluetown;;E0.73;N51.28;10;
2;England;Kent;Bobbing;;E0.69;N51.35;10;
2;England;Kent;Bockhanger;;E0.87;N51.16;10;
2;England;Kent;Bodsham;;E1.00;N51.16;10;
2;England;Kent;Bonnington;;E0.92;N51.07;10;
2;England;Kent;Borden;;E0.69;N51.32;10;
2;England;Kent;Borough Green;;E0.29;N51.28;10;
2;England;Kent;Borstal;;E0.48;N51.36;10;
2;England;Kent;Bossingham;;E1.07;N51.19;10;
2;England;Kent;Bossington;;E1.19;N51.25;10;
2;England;Kent;Bottom Pond;;E0.70;N51.28;10;
2;England;Kent;Bough Beech;;E0.13;N51.19;10;
2;England;Kent;Bough Beech Reservoir;;E0.13;N51.20;10;
2;England;Kent;Boughton Aluph;;E0.90;N51.19;10;
2;England;Kent;Boughton Corner;;E0.91;N51.19;10;
2;England;Kent;Boughton Green;;E0.51;N51.23;10;
2;England;Kent;Boughton Lees;;E0.88;N51.18;10;
2;England;Kent;Boughton Malherbe;;E0.69;N51.20;10;
2;England;Kent;Boughton Monchelsea;;E0.51;N51.23;10;
2;England;Kent;Boughton Street;;E0.95;N51.29;10;
2;England;Kent;Bowmans;;E0.18;N51.43;10;
2;England;Kent;Boxley;;E0.53;N51.29;10;
2;England;Kent;Boyden Gate;;E1.18;N51.34;10;
2;England;Kent;Brabourne;;E1.00;N51.12;10;
2;England;Kent;Brabourne Lees;;E0.97;N51.12;10;
2;England;Kent;Bramling;;E1.18;N51.26;10;
2;England;Kent;Branbridges;;E0.38;N51.20;10;
2;England;Kent;Brasted;;E0.10;N51.27;10;
2;England;Kent;Brasted Chart;;E0.09;N51.25;10;
2;England;Kent;Brattle;;E0.76;N51.06;10;
2;England;Kent;Breach;;E0.64;N51.35;10;
2;England;Kent;Bredgar;;E0.69;N51.30;10;
2;England;Kent;Bredhurst;;E0.56;N51.32;10;
2;England;Kent;Brenchley;;E0.38;N51.14;10;
2;England;Kent;Brenzett;;E0.84;N51.00;10;
2;England;Kent;Brenzett Green;;E0.86;N51.01;10;
2;England;Kent;Bridge;;E1.12;N51.24;10;
2;England;Kent;Brissenden Green;;E0.75;N51.11;10;
2;England;Kent;Broad Ford;;E0.44;N51.12;10;
2;England;Kent;Broad Oak;;E0.91;N51.10;10;
