"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Lancashire;Abbey Village;;W2.54;N53.69;10;
2;England;Lancashire;Abbeystead;;W2.67;N53.98;10;
2;England;Lancashire;Abraham Heights;;W2.82;N54.04;10;
2;England;Lancashire;Abram;;W2.60;N53.50;10;
2;England;Lancashire;Accrington;;W2.38;N53.74;10;
2;England;Lancashire;Adlington;;W2.60;N53.61;10;
2;England;Lancashire;Adlington Park;;W2.63;N53.59;10;
2;England;Lancashire;Adswood;;W2.18;N53.38;10;
2;England;Lancashire;Affetside;;W2.37;N53.61;10;
2;England;Lancashire;Aigburth;;W2.93;N53.36;10;
2;England;Lancashire;Ainsworth;;W2.36;N53.58;10;
2;England;Lancashire;Aldcliffe;;W2.82;N54.03;10;
2;England;Lancashire;Alkrington Garden Village;;W2.19;N53.53;10;
2;England;Lancashire;Allerton;;W2.88;N53.36;10;
2;England;Lancashire;Alt;;W2.87;N53.50;10;
2;England;Lancashire;Altham;;W2.35;N53.78;10;
2;England;Lancashire;Altrincham;;W2.36;N53.37;10;
2;England;Lancashire;Anchorsholme;;W3.03;N53.87;10;
2;England;Lancashire;Anderton;;W2.60;N53.61;10;
2;England;Lancashire;Andertons Mill;;W2.74;N53.62;10;
2;England;Lancashire;Anfield;;W2.94;N53.43;10;
2;England;Lancashire;Ansdell;;W3.00;N53.74;10;
2;England;Lancashire;Appley Bridge;;W2.72;N53.57;10;
2;England;Lancashire;Arden Park;;W2.13;N53.41;10;
2;England;Lancashire;Arkholme;;W2.64;N54.13;10;
2;England;Lancashire;Arrowe Hill;;W3.09;N53.37;10;
2;England;Lancashire;Artle Beck;;W2.65;N54.04;10;
2;England;Lancashire;Ashton Upon Mersey;;W2.33;N53.42;10;
2;England;Lancashire;Ashton-in-Makerfield;;W2.64;N53.48;10;
2;England;Lancashire;Ashurst;;W2.78;N53.55;10;
2;England;Lancashire;Aspull;;W2.59;N53.56;10;
2;England;Lancashire;Aspult Common;;W2.55;N53.47;10;
2;England;Lancashire;Astley;;W2.45;N53.49;10;
2;England;Lancashire;Astley Bridge;;W2.43;N53.60;10;
2;England;Lancashire;Astley Green;;W2.45;N53.48;10;
2;England;Lancashire;Atherton;;W2.49;N53.52;10;
2;England;Lancashire;Aughton;;W2.92;N53.53;10;
2;England;Lancashire;Aughton;;W2.68;N54.09;10;
2;England;Lancashire;Aughton Park;;W2.89;N53.54;10;
2;England;Lancashire;Bacon's End;;W1.75;N52.48;10;
2;England;Lancashire;Bacup;;W2.21;N53.69;10;
2;England;Lancashire;Bagslate Moor;;W2.21;N53.61;10;
2;England;Lancashire;Bailrigg;;W2.79;N54.01;10;
2;England;Lancashire;Balderstone;;W2.56;N53.78;10;
2;England;Lancashire;Balderstone;;W2.15;N53.59;10;
2;England;Lancashire;Baldingstone;;W2.30;N53.62;10;
2;England;Lancashire;Balladen;;W2.30;N53.68;10;
2;England;Lancashire;Balsall;;W1.66;N52.38;10;
2;England;Lancashire;Balsall Common;;W1.66;N52.39;10;
2;England;Lancashire;Balsall Street;;W1.67;N52.38;10;
2;England;Lancashire;Bamber Bridge;;W2.66;N53.72;10;
2;England;Lancashire;Bamford;;W2.21;N53.61;10;
2;England;Lancashire;Bamfurlong;;W2.61;N53.50;10;
2;England;Lancashire;Bank Fold;;W2.44;N53.71;10;
2;England;Lancashire;Bank Hey;;W2.47;N53.76;10;
2;England;Lancashire;Bank Houses;;W2.87;N53.97;10;
2;England;Lancashire;Bank Lane;;W2.31;N53.64;10;
2;England;Lancashire;Bank Top;;W2.42;N53.60;10;
2;England;Lancashire;Bank Top;;W2.74;N53.55;10;
2;England;Lancashire;Banks;;W2.92;N53.67;10;
2;England;Lancashire;Barber's Moor;;W2.77;N53.66;10;
2;England;Lancashire;Bare;;W2.84;N54.06;10;
2;England;Lancashire;Barley;;W2.27;N53.85;10;
2;England;Lancashire;Barley Green;;W2.29;N53.85;10;
2;England;Lancashire;Barnoldswick;;W2.19;N53.91;10;
2;England;Lancashire;Barnston;;W3.08;N53.33;10;
2;England;Lancashire;Barrow;;W2.41;N53.83;10;
2;England;Lancashire;Barrow Bridge;;W2.48;N53.59;10;
2;England;Lancashire;Barrow Nook;;W2.84;N53.51;10;
2;England;Lancashire;Barrowford;;W2.22;N53.84;10;
2;England;Lancashire;Barston;;W1.70;N52.39;10;
2;England;Lancashire;Barton;;W2.98;N53.57;10;
2;England;Lancashire;Barton;;W2.74;N53.82;10;
2;England;Lancashire;Barton Upon Irwell;;W2.36;N53.46;10;
2;England;Lancashire;Bashall Eaves;;W2.47;N53.88;10;
2;England;Lancashire;Baxenden;;W2.35;N53.73;10;
2;England;Lancashire;Bay Gate;;W2.38;N53.93;10;
2;England;Lancashire;Bay Horse;;W2.77;N53.97;10;
2;England;Lancashire;Beardwood;;W2.51;N53.75;10;
2;England;Lancashire;Bebington;;W3.00;N53.34;10;
2;England;Lancashire;Becconsall;;W2.84;N53.69;10;
2;England;Lancashire;Bedford;;W2.49;N53.48;10;
2;England;Lancashire;Beech Hill;;W2.66;N53.55;10;
2;England;Lancashire;Beechwood;;W1.61;N52.38;10;
2;England;Lancashire;Belfield;;W2.13;N53.61;10;
2;England;Lancashire;Belgrave;;W2.21;N53.68;10;
2;England;Lancashire;Belle Vale;;W2.87;N53.38;10;
2;England;Lancashire;Belmont;;W2.50;N53.63;10;
2;England;Lancashire;Belthorn;;W2.44;N53.71;10;
2;England;Lancashire;Bent Gate;;W2.31;N53.68;10;
2;England;Lancashire;Bentley Heath;;W1.76;N52.37;10;
2;England;Lancashire;Benton Green;;W1.63;N52.40;10;
2;England;Lancashire;Berkswell;;W1.64;N52.40;10;
2;England;Lancashire;Bescar;;W2.92;N53.61;10;
2;England;Lancashire;Besses o' th' Barn;;W2.28;N53.54;10;
2;England;Lancashire;Bickenhill;;W1.73;N52.43;10;
2;England;Lancashire;Bickershaw;;W2.57;N53.51;10;
2;England;Lancashire;Bickerstaffe;;W2.84;N53.53;10;
2;England;Lancashire;Bidston;;W3.08;N53.40;10;
2;England;Lancashire;Bidston Hill;;W3.08;N53.39;10;
2;England;Lancashire;Billinge;;W2.70;N53.49;10;
2;England;Lancashire;Billington;;W2.42;N53.81;10;
2;England;Lancashire;Bilsborrow;;W2.74;N53.84;10;
2;England;Lancashire;Birch;;W2.22;N53.55;10;
2;England;Lancashire;Birch Green;;W2.77;N53.54;10;
2;England;Lancashire;Birkacre;;W2.65;N53.63;10;
2;England;Lancashire;Birkenhead;;W3.05;N53.38;10;
2;England;Lancashire;Birtle;;W2.25;N53.61;10;
2;England;Lancashire;Bispham;;W3.06;N53.85;10;
2;England;Lancashire;Bispham Green;;W2.78;N53.61;10;
2;England;Lancashire;Black Lane;;W2.34;N53.56;10;
2;England;Lancashire;Black Moor;;W2.80;N53.62;10;
2;England;Lancashire;Black Pole;;W2.79;N53.81;10;
2;England;Lancashire;Blackbrook;;W2.69;N53.45;10;
2;England;Lancashire;Blackburn;;W2.48;N53.73;10;
2;England;Lancashire;Blackford Bridge;;W2.30;N53.55;10;
2;England;Lancashire;Blackleach;;W2.80;N53.80;10;
2;England;Lancashire;Blackmoor;;W2.46;N53.49;10;
2;England;Lancashire;Blacko;;W2.22;N53.86;10;
2;England;Lancashire;Blackpool;;W3.04;N53.81;10;
