"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Leicestershire;Ab Kettleby;;W0.93;N52.80;10;
2;England;Leicestershire;Agar Nook;;W1.33;N52.72;10;
2;England;Leicestershire;Allexton;;W0.80;N52.59;10;
2;England;Leicestershire;Anker;;W1.55;N52.58;10;
2;England;Leicestershire;Annwell Place;;W1.49;N52.75;10;
2;England;Leicestershire;Anstey;;W1.20;N52.66;10;
2;England;Leicestershire;Appleby Magna;;W1.54;N52.67;10;
2;England;Leicestershire;Arnesby;;W1.10;N52.52;10;
2;England;Leicestershire;Asfordby;;W0.96;N52.76;10;
2;England;Leicestershire;Asfordby Hill;;W0.93;N52.76;10;
2;England;Leicestershire;Ashby Folville;;W0.96;N52.70;10;
2;England;Leicestershire;Ashby Magna;;W1.17;N52.50;10;
2;England;Leicestershire;Ashby Parva;;W1.23;N52.48;10;
2;England;Leicestershire;Ashby-de-la-Zouch;;W1.48;N52.74;10;
2;England;Leicestershire;Ashby-de-la-Zouch Canal;;W1.42;N52.62;10;
2;England;Leicestershire;Aston Flamville;;W1.32;N52.52;10;
2;England;Leicestershire;Atterton;;W1.48;N52.57;10;
2;England;Leicestershire;Avon;;W1.08;N52.43;10;
2;England;Leicestershire;Aylestone;;W1.15;N52.59;10;
2;England;Leicestershire;Aylestone Park;;W1.14;N52.60;10;
2;England;Leicestershire;Bagworth;;W1.35;N52.66;10;
2;England;Leicestershire;Bardon;;W1.33;N52.70;10;
2;England;Leicestershire;Barkby;;W1.06;N52.67;10;
2;England;Leicestershire;Barkby Thorpe;;W1.06;N52.67;10;
2;England;Leicestershire;Barkestone le Vale;;W0.84;N52.89;10;
2;England;Leicestershire;Barlestone;;W1.38;N52.64;10;
2;England;Leicestershire;Barrow upon Soar;;W1.15;N52.74;10;
2;England;Leicestershire;Barsby;;W0.98;N52.69;10;
2;England;Leicestershire;Barton in the Beans;;W1.42;N52.65;10;
2;England;Leicestershire;Barwell;;W1.35;N52.56;10;
2;England;Leicestershire;Battram;;W1.38;N52.67;10;
2;England;Leicestershire;Beaumont Leys;;W1.17;N52.66;10;
2;England;Leicestershire;Beeby;;W1.02;N52.66;10;
2;England;Leicestershire;Belcher's Bar;;W1.40;N52.66;10;
2;England;Leicestershire;Belgrave;;W1.12;N52.64;10;
2;England;Leicestershire;Belton;;W1.34;N52.77;10;
2;England;Leicestershire;Belvoir;;W0.78;N52.88;10;
2;England;Leicestershire;Bescaby;;W0.78;N52.82;10;
2;England;Leicestershire;Billesdon;;W0.95;N52.61;10;
2;England;Leicestershire;Bilstone;;W1.46;N52.64;10;
2;England;Leicestershire;Birstall;;W1.12;N52.67;10;
2;England;Leicestershire;Bitteswell;;W1.22;N52.46;10;
2;England;Leicestershire;Blaby;;W1.17;N52.56;10;
2;England;Leicestershire;Blackfordby;;W1.52;N52.75;10;
2;England;Leicestershire;Blaston;;W0.82;N52.54;10;
2;England;Leicestershire;Bondman Hays;;W1.27;N52.65;10;
2;England;Leicestershire;Botcheston;;W1.29;N52.63;10;
2;England;Leicestershire;Bottesford;;W0.81;N52.93;10;
2;England;Leicestershire;Boundary;;W1.51;N52.75;10;
2;England;Leicestershire;Branston;;W0.79;N52.85;10;
2;England;Leicestershire;Brascote;;W1.35;N52.61;10;
2;England;Leicestershire;Braunstone;;W1.18;N52.61;10;
2;England;Leicestershire;Breedon on the Hill;;W1.40;N52.79;10;
2;England;Leicestershire;Brentingby;;W0.84;N52.75;10;
2;England;Leicestershire;Bringhurst;;W0.76;N52.51;10;
2;England;Leicestershire;Brooksby;;W1.00;N52.73;10;
2;England;Leicestershire;Broughton Astley;;W1.23;N52.52;10;
2;England;Leicestershire;Broughton Lodges;;W0.96;N52.80;10;
2;England;Leicestershire;Bruntingthorpe;;W1.11;N52.49;10;
2;England;Leicestershire;Buckminster;;W0.71;N52.78;10;
2;England;Leicestershire;Bufton;;W1.41;N52.64;10;
2;England;Leicestershire;Bulwick;;W1.02;N52.54;10;
2;England;Leicestershire;Burbage;;W1.35;N52.52;10;
2;England;Leicestershire;Burrough on the Hill;;W0.89;N52.68;10;
2;England;Leicestershire;Burton Lazars;;W0.87;N52.73;10;
2;England;Leicestershire;Burton on the Wolds;;W1.12;N52.78;10;
2;England;Leicestershire;Burton Overy;;W1.01;N52.57;10;
2;England;Leicestershire;Bushby;;W1.04;N52.63;10;
2;England;Leicestershire;Cadeby;;W1.38;N52.61;10;
2;England;Leicestershire;Caldecott;;W0.73;N52.52;10;
2;England;Leicestershire;Care Village;;W0.93;N52.55;10;
2;England;Leicestershire;Carlton;;W1.42;N52.64;10;
2;England;Leicestershire;Carlton Curlieu;;W0.98;N52.56;10;
2;England;Leicestershire;Castle Donington;;W1.34;N52.83;10;
2;England;Leicestershire;Catthorpe;;W1.19;N52.39;10;
2;England;Leicestershire;Cavendish Bridge;;W1.34;N52.85;10;
2;England;Leicestershire;Chadwell;;W0.84;N52.80;10;
2;England;Leicestershire;Chater;;W0.52;N52.63;10;
2;England;Leicestershire;Chilcote;;W1.58;N52.69;10;
2;England;Leicestershire;Church Langton;;W0.93;N52.53;10;
2;England;Leicestershire;Church Town;;W1.42;N52.74;10;
2;England;Leicestershire;Clarendon Park;;W1.12;N52.61;10;
2;England;Leicestershire;Claybrooke Magna;;W1.27;N52.48;10;
2;England;Leicestershire;Claybrooke Parva;;W1.27;N52.47;10;
2;England;Leicestershire;Coalville;;W1.37;N52.71;10;
2;England;Leicestershire;Cold Newton;;W0.95;N52.64;10;
2;England;Leicestershire;Cold Overton;;W0.80;N52.68;10;
2;England;Leicestershire;Coleorton;;W1.40;N52.74;10;
2;England;Leicestershire;Coleorton Moor;;W1.40;N52.74;10;
2;England;Leicestershire;Congerstone;;W1.46;N52.64;10;
2;England;Leicestershire;Copt Oak;;W1.29;N52.70;10;
2;England;Leicestershire;Cosby;;W1.20;N52.55;10;
2;England;Leicestershire;Cossington;;W1.11;N52.71;10;
2;England;Leicestershire;Coston;;W0.75;N52.78;10;
2;England;Leicestershire;Cotes;;W1.18;N52.77;10;
2;England;Leicestershire;Cotesbach;;W1.22;N52.43;10;
2;England;Leicestershire;Countesthorpe;;W1.14;N52.55;10;
2;England;Leicestershire;Cranoe;;W0.89;N52.54;10;
2;England;Leicestershire;Croft;;W1.24;N52.55;10;
2;England;Leicestershire;Cropston;;W1.18;N52.69;10;
2;England;Leicestershire;Crown Hills;;W1.08;N52.63;10;
2;England;Leicestershire;Croxton Kerrial;;W0.76;N52.85;10;
2;England;Leicestershire;Dadlington;;W1.41;N52.57;10;
2;England;Leicestershire;Desford;;W1.30;N52.62;10;
2;England;Leicestershire;Devon;;W0.80;N52.94;10;
2;England;Leicestershire;Diseworth;;W1.33;N52.81;10;
2;England;Leicestershire;Dishley;;W1.24;N52.78;10;
2;England;Leicestershire;Donington le Heath;;W1.39;N52.70;10;
2;England;Leicestershire;Donisthorpe;;W1.54;N52.72;10;
2;England;Leicestershire;Drayton;;W0.77;N52.51;10;
2;England;Leicestershire;Dunton Bassett;;W1.20;N52.50;10;
2;England;Leicestershire;Earl Shilton;;W1.32;N52.56;10;
2;England;Leicestershire;East Goscote;;W1.05;N52.71;10;
2;England;Leicestershire;East Langton;;W0.94;N52.52;10;
2;England;Leicestershire;East Norton;;W0.84;N52.59;10;
2;England;Leicestershire;Easthorpe;;W0.79;N52.93;10;
2;England;Leicestershire;Eastwell;;W0.85;N52.84;10;
2;England;Leicestershire;Eaton;;W0.82;N52.85;10;
2;England;Leicestershire;Edmondthorpe;;W0.74;N52.74;10;
2;England;Leicestershire;Ellistown;;W1.36;N52.69;10;
2;England;Leicestershire;Elmsthorpe;;W1.32;N52.56;10;
2;England;Leicestershire;Enderby;;W1.21;N52.58;10;
2;England;Leicestershire;Evington;;W1.08;N52.62;10;
2;England;Leicestershire;Eye;;W0.76;N52.82;10;
2;England;Leicestershire;Eye Brook;;W0.83;N52.59;10;
2;England;Leicestershire;Eyebrook;;W0.76;N52.57;10;
2;England;Leicestershire;Eyebrook Reservoir;;W0.73;N52.54;10;
2;England;Leicestershire;Eyres Monsell;;W1.16;N52.58;10;
2;England;Leicestershire;Fairham Brook;;W1.03;N52.84;10;
2;England;Leicestershire;Far Coton;;W1.44;N52.61;10;
2;England;Leicestershire;Farm Town;;W1.42;N52.74;10;
2;England;Leicestershire;Fenny Drayton;;W1.48;N52.56;10;
2;England;Leicestershire;Field Head;;W1.27;N52.67;10;
2;England;Leicestershire;Fleckney;;W1.05;N52.53;10;
2;England;Leicestershire;Foston;;W1.11;N52.54;10;
2;England;Leicestershire;Foxton;;W0.97;N52.49;10;
2;England;Leicestershire;Freeby;;W0.81;N52.77;10;
2;England;Leicestershire;Frisby;;W0.96;N52.60;10;
2;England;Leicestershire;Frisby on the Wreake;;W0.97;N52.74;10;
2;England;Leicestershire;Frolesworth;;W1.26;N52.50;10;
2;England;Leicestershire;Gaddesby;;W0.99;N52.71;10;
2;England;Leicestershire;Garthorpe;;W0.77;N52.77;10;
2;England;Leicestershire;Gaulby;;W0.98;N52.59;10;
2;England;Leicestershire;Gelsmoor;;W1.40;N52.75;10;
2;England;Leicestershire;Gilmorton;;W1.16;N52.47;10;
2;England;Leicestershire;Glen Parva;;W1.17;N52.58;10;
2;England;Leicestershire;Glenfield;;W1.20;N52.64;10;
2;England;Leicestershire;Glooston;;W0.89;N52.54;10;
2;England;Leicestershire;Goadby;;W0.89;N52.57;10;
2;England;Leicestershire;Goadby Marwood;;W0.84;N52.82;10;
2;England;Leicestershire;Grand Union Canal;;W1.16;N52.57;10;
2;England;Leicestershire;Grantham Canal;;W0.98;N52.85;10;
2;England;Leicestershire;Great Bowden;;W0.91;N52.48;10;
2;England;Leicestershire;Great Dalby;;W0.90;N52.71;10;
2;England;Leicestershire;Great Easton;;W0.76;N52.52;10;
2;England;Leicestershire;Great Glen;;W1.04;N52.56;10;
2;England;Leicestershire;Great Stretton;;W1.04;N52.59;10;
2;England;Leicestershire;Greenhill;;W1.35;N52.71;10;
2;England;Leicestershire;Griffydam;;W1.39;N52.75;10;
2;England;Leicestershire;Grimston;;W0.99;N52.78;10;
2;England;Leicestershire;Groby;;W1.23;N52.65;10;
2;England;Leicestershire;Gumley;;W0.99;N52.50;10;
2;England;Leicestershire;Gwash;;W0.92;N52.68;10;
2;England;Leicestershire;Hallaton;;W0.85;N52.55;10;
2;England;Leicestershire;Halstead;;W0.89;N52.63;10;
2;England;Leicestershire;Harby;;W0.90;N52.87;10;
