"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;London;Balham;;W0.15;N51.44;10;
2;England;London;Barnet;;W0.20;N51.64;10;
2;England;London;Barnsbury;;W0.12;N51.54;10;
2;England;London;Battersea;;W0.15;N51.46;10;
2;England;London;Bayswater;;W0.20;N51.50;10;
2;England;London;Belgravia;;W0.15;N51.49;10;
2;England;London;Bermondsey;;W0.08;N51.49;10;
2;England;London;Bethnal Green;;W0.06;N51.52;10;
2;England;London;Blackwall;;W0.01;N51.50;10;
2;England;London;Bloomsbury;;W0.12;N51.52;10;
2;England;London;Bow;;W0.04;N51.52;10;
2;England;London;Bow Common;;W0.02;N51.51;10;
2;England;London;Bowes Park;;W0.12;N51.60;10;
2;England;London;Brixton;;W0.11;N51.45;10;
2;England;London;Bromley;;W0.02;N51.52;10;
2;England;London;Brompton;;W0.17;N51.49;10;
2;England;London;Camberwell;;W0.08;N51.47;10;
2;England;London;Camden Town;;W0.14;N51.54;10;
2;England;London;Chelsea;;W0.17;N51.47;10;
2;England;London;Clapham;;W0.14;N51.45;10;
2;England;London;Clapham Park;;W0.14;N51.45;10;
2;England;London;Clerkenwell;;W0.11;N51.52;10;
2;England;London;Cranley Gardens;;W0.15;N51.58;10;
2;England;London;Crouch End;;W0.13;N51.57;10;
2;England;London;Cubitt Town;;W0.01;N51.49;10;
2;England;London;Dartmouth Park;;W0.15;N51.55;10;
2;England;London;Dulwich;;W0.07;N51.43;10;
2;England;London;Dulwich Village;;W0.08;N51.44;10;
2;England;London;Earlsfield;;W0.18;N51.44;10;
2;England;London;East Dulwich;;W0.07;N51.44;10;
2;England;London;Finsbury;;W0.11;N51.52;10;
2;England;London;Globe Town;;W0.05;N51.52;10;
2;England;London;Gospel Oak;;W0.15;N51.54;10;
2;England;London;Hackney Wick;;W0.02;N51.53;10;
2;England;London;Hampstead;;W0.18;N51.55;10;
2;England;London;Harringay;;W0.11;N51.57;10;
2;England;London;Herne Hill;;W0.10;N51.44;10;
2;England;London;Highgate;;W0.15;N51.56;10;
2;England;London;Holborn;;W0.12;N51.51;10;
2;England;London;Hornsey;;W0.12;N51.58;10;
2;England;London;Hornsey Vale;;W0.12;N51.57;10;
2;England;London;Kennington;;W0.12;N51.47;10;
2;England;London;Kensal Town;;W0.21;N51.52;10;
2;England;London;Kensington;;W0.20;N51.49;10;
2;England;London;Kentish Town;;W0.15;N51.54;10;
2;England;London;Knight's Hill;;W0.10;N51.44;10;
2;England;London;Knightsbridge;;W0.17;N51.49;10;
2;England;London;Lambeth;;W0.12;N51.48;10;
2;England;London;Limehouse;;W0.04;N51.51;10;
2;England;London;Lisson Grove;;W0.17;N51.52;10;
2;England;London;London;;W0.11;N51.51;10;
2;England;London;Maida Vale;;W0.19;N51.52;10;
2;England;London;Maitland Park;;W0.15;N51.54;10;
2;England;London;Marylebone;;W0.15;N51.51;10;
2;England;London;Mayfair;;W0.15;N51.50;10;
2;England;London;Mile End;;W0.04;N51.52;10;
2;England;London;Mill Meads;;W0.01;N51.52;10;
2;England;London;Millwall;;W0.02;N51.49;10;
2;England;London;Muswell Hill;;W0.15;N51.59;10;
2;England;London;New Cross Gate;;W0.05;N51.46;10;
2;England;London;New River;;W0.10;N51.57;10;
2;England;London;Newington;;W0.09;N51.49;10;
2;England;London;Nine Elms;;W0.14;N51.47;10;
2;England;London;Noel Park;;W0.11;N51.59;10;
2;England;London;North End;;W0.18;N51.56;10;
2;England;London;Notting Hill;;W0.21;N51.50;10;
2;England;London;Nunhead;;W0.05;N51.45;10;
2;England;London;Old Ford;;W0.04;N51.52;10;
2;England;London;Paddington;;W0.18;N51.51;10;
2;England;London;Peckham;;W0.07;N51.46;10;
2;England;London;Pimlico;;W0.14;N51.48;10;
2;England;London;Poplar;;W0.02;N51.50;10;
2;England;London;Primrose Hill;;W0.15;N51.54;10;
2;England;London;Putney;;W0.23;N51.46;10;
2;England;London;Putney Heath;;W0.23;N51.44;10;
2;England;London;Putney Vale;;W0.24;N51.43;10;
2;England;London;Queen's Park;;W0.20;N51.53;10;
2;England;London;Ratcliff;;W0.05;N51.50;10;
2;England;London;Regent's Park;;W0.15;N51.52;10;
2;England;London;Roehampton;;W0.24;N51.45;10;
2;England;London;Rotherhithe;;W0.05;N51.49;10;
2;England;London;Shadwell;;W0.05;N51.50;10;
2;England;London;Soho;;W0.14;N51.51;10;
2;England;London;Somers Town;;W0.14;N51.52;10;
2;England;London;South Bromley;;W0.01;N51.51;10;
2;England;London;South Hampstead;;W0.18;N51.54;10;
2;England;London;South Kensington;;W0.18;N51.48;10;
2;England;London;South Lambeth;;W0.12;N51.46;10;
2;England;London;Southfields;;W0.20;N51.44;10;
2;England;London;Spitalfields;;W0.08;N51.51;10;
2;England;London;St George in the East;;W0.07;N51.50;10;
2;England;London;St Giles;;W0.12;N51.51;10;
2;England;London;St James;;W0.14;N51.50;10;
2;England;London;St John's Wood;;W0.18;N51.53;10;
2;England;London;St Pancras;;W0.12;N51.52;10;
2;England;London;Stepney;;W0.07;N51.51;10;
2;England;London;Stockwell;;W0.12;N51.45;10;
2;England;London;Strand;;W0.12;N51.50;10;
2;England;London;Stratford Marsh;;W0.02;N51.52;10;
2;England;London;Streatham;;W0.13;N51.42;10;
2;England;London;Streatham Hill;;W0.13;N51.44;10;
2;England;London;Streatham Park;;W0.14;N51.42;10;
2;England;London;Stroud Green;;W0.11;N51.57;10;
2;England;London;Summerstown;;W0.18;N51.43;10;
2;England;London;The Borough;;W0.09;N51.49;10;
2;England;London;Tooting Graveney;;W0.17;N51.42;10;
2;England;London;Tottenham;;W0.08;N51.59;10;
2;England;London;Tottenham Hale;;W0.06;N51.58;10;
2;England;London;Tufnell Park;;W0.14;N51.54;10;
2;England;London;Tulse Hill;;W0.11;N51.44;10;
2;England;London;Upper Holloway;;W0.14;N51.55;10;
2;England;London;Upper Tooting;;W0.17;N51.43;10;
2;England;London;Vale of Health;;W0.18;N51.55;10;
2;England;London;Vauxhall;;W0.12;N51.48;10;
2;England;London;Walworth;;W0.10;N51.48;10;
2;England;London;Wandsworth;;W0.20;N51.46;10;
2;England;London;Wapping;;W0.07;N51.50;10;
2;England;London;West Dulwich;;W0.10;N51.43;10;
2;England;London;West Green;;W0.09;N51.58;10;
2;England;London;West Hampstead;;W0.19;N51.55;10;
2;England;London;West Hill;;W0.21;N51.45;10;
2;England;London;West Kilburn;;W0.21;N51.52;10;
2;England;London;West Norwood;;W0.10;N51.42;10;
2;England;London;Westbourne Green;;W0.19;N51.52;10;
2;England;London;Westminster;;W0.14;N51.49;10;
2;England;London;Whitechapel;;W0.08;N51.51;10;
2;England;London;Wood Green;;W0.12;N51.59;10;
