"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Middlesex;Acton;;W0.27;N51.50;10;
2;England;Middlesex;Acton Green;;W0.27;N51.49;10;
2;England;Middlesex;Alperton;;W0.29;N51.53;10;
2;England;Middlesex;Bedford Park;;W0.25;N51.49;10;
2;England;Middlesex;Botany Bay;;W0.13;N51.67;10;
2;England;Middlesex;Brent;;W0.30;N51.53;10;
2;England;Middlesex;Brimsdown;;W0.03;N51.65;10;
2;England;Middlesex;Brondesbury;;W0.21;N51.54;10;
2;England;Middlesex;Brondesbury Park;;W0.22;N51.53;10;
2;England;Middlesex;Brook Green;;W0.22;N51.49;10;
2;England;Middlesex;Bulls Cross;;W0.06;N51.67;10;
2;England;Middlesex;Bush Hill Park;;W0.07;N51.63;10;
2;England;Middlesex;Bushey Mead;;W0.23;N51.39;10;
2;England;Middlesex;Canonbury;;W0.09;N51.53;10;
2;England;Middlesex;Church End;;W0.25;N51.54;10;
2;England;Middlesex;Clapton Park;;W0.05;N51.54;10;
2;England;Middlesex;Clay Hill;;W0.09;N51.66;10;
2;England;Middlesex;Colham Green;;W0.45;N51.51;10;
2;England;Middlesex;College Park;;W0.24;N51.52;10;
2;England;Middlesex;Collier's Wood;;W0.17;N51.41;10;
2;England;Middlesex;Copse Hill;;W0.24;N51.41;10;
2;England;Middlesex;Cowley;;W0.48;N51.52;10;
2;England;Middlesex;Cowley Peachy;;W0.48;N51.51;10;
2;England;Middlesex;Crane;;W0.40;N51.50;10;
2;England;Middlesex;Cranford;;W0.41;N51.47;10;
2;England;Middlesex;Crews Hill;;W0.10;N51.67;10;
2;England;Middlesex;Cricklewood;;W0.22;N51.55;10;
2;England;Middlesex;Crooked Billet;;W0.23;N51.41;10;
2;England;Middlesex;Dalston;;W0.06;N51.53;10;
2;England;Middlesex;De Beauvoir Town;;W0.08;N51.53;10;
2;England;Middlesex;Dollis Hill;;W0.24;N51.55;10;
2;England;Middlesex;Dormer's Wells;;W0.37;N51.50;10;
2;England;Middlesex;Dudden Hill;;W0.24;N51.55;10;
2;England;Middlesex;Ealing;;W0.31;N51.50;10;
2;England;Middlesex;Earl's Court;;W0.20;N51.48;10;
2;England;Middlesex;East Acton;;W0.25;N51.50;10;
2;England;Middlesex;Eastbury;;W0.42;N51.61;10;
2;England;Middlesex;Eastcote;;W0.39;N51.58;10;
2;England;Middlesex;Eastcote Village;;W0.41;N51.58;10;
2;England;Middlesex;Edmonton;;W0.08;N51.61;10;
2;England;Middlesex;Enfield;;W0.07;N51.64;10;
2;England;Middlesex;Enfield Highway;;W0.04;N51.65;10;
2;England;Middlesex;Enfield Lock;;W0.03;N51.66;10;
2;England;Middlesex;Enfield Town;;W0.09;N51.64;10;
2;England;Middlesex;Enfield Wash;;W0.04;N51.66;10;
2;England;Middlesex;Finsbury Park;;W0.12;N51.55;10;
2;England;Middlesex;Forty Hill;;W0.07;N51.65;10;
2;England;Middlesex;Freezy Water;;W0.03;N51.67;10;
2;England;Middlesex;Fulham;;W0.21;N51.46;10;
2;England;Middlesex;Furzedown;;W0.16;N51.41;10;
2;England;Middlesex;Grand Union Canal;;W0.32;N51.54;10;
2;England;Middlesex;Grange Park;;W0.10;N51.63;10;
2;England;Middlesex;Greenford;;W0.37;N51.52;10;
2;England;Middlesex;Hackney;;W0.06;N51.53;10;
2;England;Middlesex;Haggerston;;W0.08;N51.53;10;
2;England;Middlesex;Hammersmith;;W0.24;N51.49;10;
2;England;Middlesex;Hanwell;;W0.34;N51.50;10;
2;England;Middlesex;Harefield;;W0.48;N51.59;10;
2;England;Middlesex;Harefield Grove;;W0.48;N51.60;10;
2;England;Middlesex;Harlesden;;W0.25;N51.53;10;
2;England;Middlesex;Harlington;;W0.44;N51.48;10;
2;England;Middlesex;Harmondsworth;;W0.48;N51.48;10;
2;England;Middlesex;Harrow;;W0.35;N51.57;10;
2;England;Middlesex;Hatton;;W0.43;N51.46;10;
2;England;Middlesex;Hayes;;W0.43;N51.50;10;
2;England;Middlesex;Hayes End;;W0.44;N51.52;10;
2;England;Middlesex;Hayes Town;;W0.41;N51.50;10;
2;England;Middlesex;Highbury;;W0.11;N51.54;10;
2;England;Middlesex;Hillingdon;;W0.44;N51.52;10;
2;England;Middlesex;Hillingdon Heath;;W0.45;N51.52;10;
2;England;Middlesex;Holdbrook;;W0.03;N51.67;10;
2;England;Middlesex;Homerton;;W0.05;N51.54;10;
2;England;Middlesex;Hounslow;;W0.36;N51.46;10;
2;England;Middlesex;Hoxton;;W0.08;N51.53;10;
2;England;Middlesex;Ickenham;;W0.45;N51.55;10;
2;England;Middlesex;Islington;;W0.11;N51.53;10;
2;England;Middlesex;Kensal Green;;W0.22;N51.52;10;
2;England;Middlesex;Kensal Rise;;W0.21;N51.53;10;
2;England;Middlesex;Kenton;;W0.31;N51.57;10;
2;England;Middlesex;Kilburn;;W0.21;N51.53;10;
2;England;Middlesex;Kingsbury;;W0.28;N51.57;10;
2;England;Middlesex;Kingsland;;W0.08;N51.53;10;
2;England;Middlesex;Lea Bridge;;W0.05;N51.55;10;
2;England;Middlesex;Leyton;;W0.02;N51.55;10;
2;England;Middlesex;Longford;;W0.50;N51.47;10;
2;England;Middlesex;Lower Clapton;;W0.05;N51.54;10;
2;England;Middlesex;Lower Edmonton;;W0.06;N51.62;10;
2;England;Middlesex;Lower Holloway;;W0.12;N51.54;10;
2;England;Middlesex;Lower Place;;W0.27;N51.53;10;
2;England;Middlesex;Mitcham;;W0.16;N51.39;10;
2;England;Middlesex;Morden;;W0.20;N51.39;10;
2;England;Middlesex;Mount Pleasant;;W0.49;N51.59;10;
2;England;Middlesex;Neasden;;W0.25;N51.55;10;
2;England;Middlesex;New Southgate;;W0.13;N51.61;10;
2;England;Middlesex;Newyears Green;;W0.45;N51.58;10;
2;England;Middlesex;North Acton;;W0.27;N51.52;10;
2;England;Middlesex;North Hillingdon;;W0.44;N51.54;10;
2;England;Middlesex;North Kensington;;W0.22;N51.51;10;
2;England;Middlesex;North Wembley;;W0.31;N51.56;10;
2;England;Middlesex;Northolt;;W0.37;N51.54;10;
2;England;Middlesex;Northwood;;W0.42;N51.60;10;
2;England;Middlesex;Northwood Hills;;W0.42;N51.59;10;
2;England;Middlesex;Oakwood;;W0.13;N51.63;10;
2;England;Middlesex;Old Oak Common;;W0.25;N51.52;10;
2;England;Middlesex;Palmers Green;;W0.12;N51.62;10;
2;England;Middlesex;Park Royal;;W0.28;N51.52;10;
2;England;Middlesex;Parsons Green;;W0.20;N51.46;10;
2;England;Middlesex;Pentonville;;W0.11;N51.53;10;
2;England;Middlesex;Perivale;;W0.32;N51.53;10;
2;England;Middlesex;Pinner;;W0.39;N51.58;10;
2;England;Middlesex;Ponders End;;W0.05;N51.63;10;
2;England;Middlesex;Preston;;W0.29;N51.56;10;
2;England;Middlesex;Raynes Park;;W0.23;N51.39;10;
2;England;Middlesex;Ruislip;;W0.44;N51.57;10;
2;England;Middlesex;Ruislip Common;;W0.44;N51.58;10;
2;England;Middlesex;Ruislip Gardens;;W0.42;N51.56;10;
2;England;Middlesex;Ruislip Manor;;W0.41;N51.56;10;
2;England;Middlesex;Sands End;;W0.18;N51.46;10;
2;England;Middlesex;Shacklewell;;W0.08;N51.54;10;
2;England;Middlesex;Shepherd's Bush;;W0.24;N51.50;10;
2;England;Middlesex;Shoreditch;;W0.09;N51.52;10;
2;England;Middlesex;Sipson;;W0.46;N51.49;10;
2;England;Middlesex;South Hackney;;W0.05;N51.53;10;
2;England;Middlesex;South Harefield;;W0.48;N51.59;10;
2;England;Middlesex;South Ruislip;;W0.40;N51.55;10;
2;England;Middlesex;South Tottenham;;W0.08;N51.57;10;
2;England;Middlesex;South Wimbledon;;W0.20;N51.41;10;
2;England;Middlesex;Southall;;W0.38;N51.50;10;
2;England;Middlesex;Southgate;;W0.12;N51.63;10;
2;England;Middlesex;St Luke's;;W0.09;N51.52;10;
2;England;Middlesex;Stamford Hill;;W0.08;N51.56;10;
2;England;Middlesex;Stoke Newington;;W0.08;N51.55;10;
2;England;Middlesex;Stonebridge;;W0.27;N51.53;10;
2;England;Middlesex;Streatham Vale;;W0.14;N51.41;10;
2;England;Middlesex;Sudbury;;W0.32;N51.55;10;
2;England;Middlesex;Temple Mills;;W0.02;N51.54;10;
2;England;Middlesex;The Hyde;;W0.25;N51.57;10;
2;England;Middlesex;Tokyngton;;W0.28;N51.54;10;
2;England;Middlesex;Upper Clapton;;W0.06;N51.56;10;
2;England;Middlesex;Upper Edmonton;;W0.06;N51.61;10;
2;England;Middlesex;Uxbridge;;W0.48;N51.53;10;
2;England;Middlesex;Uxbridge Moor;;W0.48;N51.53;10;
2;England;Middlesex;Walham Green;;W0.20;N51.47;10;
2;England;Middlesex;Waltham Cross;;W0.04;N51.68;10;
2;England;Middlesex;Welsh Harp;;W0.25;N51.56;10;
2;England;Middlesex;Wembley;;W0.31;N51.55;10;
2;England;Middlesex;Wembley Park;;W0.28;N51.56;10;
2;England;Middlesex;West Acton;;W0.28;N51.51;10;
2;England;Middlesex;West Brompton;;W0.20;N51.47;10;
2;England;Middlesex;West Drayton;;W0.47;N51.50;10;
2;England;Middlesex;West Ealing;;W0.32;N51.50;10;
2;England;Middlesex;West Hendon;;W0.25;N51.57;10;
2;England;Middlesex;West Kensington;;W0.21;N51.48;10;
2;England;Middlesex;West Ruislip;;W0.44;N51.56;10;
2;England;Middlesex;Willesden;;W0.24;N51.54;10;
2;England;Middlesex;Willesden Green;;W0.24;N51.53;10;
2;England;Middlesex;Wimbledon;;W0.21;N51.42;10;
2;England;Middlesex;Winchmore Hill;;W0.10;N51.62;10;
2;England;Middlesex;Wood End Green;;W0.43;N51.51;10;
2;England;Middlesex;Woodcock Hill;;W0.47;N51.61;10;
2;England;Middlesex;World's End;;W0.10;N51.64;10;
2;England;Middlesex;Yeading;;W0.40;N51.52;10;
2;England;Middlesex;Yiewsley;;W0.47;N51.50;10;
