"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Nottinghamshire;Adbolton;;W1.10;N52.93;10;
2;England;Nottinghamshire;Alma;;W1.30;N53.06;10;
2;England;Nottinghamshire;Alverton;;W0.82;N52.96;10;
2;England;Nottinghamshire;Annesley;;W1.25;N53.07;10;
2;England;Nottinghamshire;Annesley Woodhouse;;W1.27;N53.07;10;
2;England;Nottinghamshire;Arnold;;W1.12;N52.99;10;
2;England;Nottinghamshire;Askerton Hill;;W0.80;N53.00;10;
2;England;Nottinghamshire;Askham;;W0.89;N53.25;10;
2;England;Nottinghamshire;Aslockton;;W0.89;N52.95;10;
2;England;Nottinghamshire;Aspley;;W1.21;N52.97;10;
2;England;Nottinghamshire;Attenborough;;W1.24;N52.90;10;
2;England;Nottinghamshire;Averham;;W0.86;N53.07;10;
2;England;Nottinghamshire;Awsworth;;W1.28;N52.98;10;
2;England;Nottinghamshire;Babbington;;W1.27;N52.98;10;
2;England;Nottinghamshire;Babworth;;W0.98;N53.31;10;
2;England;Nottinghamshire;Bagthorpe;;W1.30;N53.05;10;
2;England;Nottinghamshire;Balderton;;W0.79;N53.05;10;
2;England;Nottinghamshire;Balk Field;;W0.93;N53.32;10;
2;England;Nottinghamshire;Barnby in the Willows;;W0.73;N53.05;10;
2;England;Nottinghamshire;Barnby Moor;;W1.00;N53.34;10;
2;England;Nottinghamshire;Barnstone;;W0.91;N52.90;10;
2;England;Nottinghamshire;Barrows Green;;W1.32;N53.06;10;
2;England;Nottinghamshire;Barton in Fabis;;W1.22;N52.88;10;
2;England;Nottinghamshire;Bassingfield;;W1.07;N52.92;10;
2;England;Nottinghamshire;Bathley;;W0.85;N53.12;10;
2;England;Nottinghamshire;Beacon Hill;;W0.79;N53.06;10;
2;England;Nottinghamshire;Beauvale;;W1.28;N53.00;10;
2;England;Nottinghamshire;Beauvale;;W1.22;N53.02;10;
2;England;Nottinghamshire;Beckingham;;W0.70;N53.06;10;
2;England;Nottinghamshire;Beckingham;;W0.84;N53.40;10;
2;England;Nottinghamshire;Beeston;;W1.22;N52.91;10;
2;England;Nottinghamshire;Beeston Canal;;W1.18;N52.92;10;
2;England;Nottinghamshire;Belle Eau Park;;W1.01;N53.12;10;
2;England;Nottinghamshire;Besthorpe;;W0.77;N53.16;10;
2;England;Nottinghamshire;Bestwood;;W1.16;N52.99;10;
2;England;Nottinghamshire;Bestwood Village;;W1.18;N53.01;10;
2;England;Nottinghamshire;Bilborough;;W1.22;N52.96;10;
2;England;Nottinghamshire;Bilby;;W1.05;N53.34;10;
2;England;Nottinghamshire;Bilsthorpe;;W1.04;N53.13;10;
2;England;Nottinghamshire;Bilsthorpe Moor;;W1.03;N53.12;10;
2;England;Nottinghamshire;Bingham;;W0.95;N52.94;10;
2;England;Nottinghamshire;Bircotes;;W1.05;N53.41;10;
2;England;Nottinghamshire;Bleasby;;W0.94;N53.03;10;
2;England;Nottinghamshire;Blidworth;;W1.12;N53.09;10;
2;England;Nottinghamshire;Blidworth Bottoms;;W1.12;N53.08;10;
2;England;Nottinghamshire;Blidworth Dale;;W1.15;N53.07;10;
2;England;Nottinghamshire;Blyth;;W1.06;N53.37;10;
