"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Rutland;Aldgate;;W0.55;N52.62;10;
2;England;Rutland;Ashwell;;W0.72;N52.70;10;
2;England;Rutland;Ayston;;W0.73;N52.60;10;
2;England;Rutland;Barleythorpe;;W0.75;N52.67;10;
2;England;Rutland;Barnsdale;;W0.67;N52.67;10;
2;England;Rutland;Barrow;;W0.68;N52.72;10;
2;England;Rutland;Barrowden;;W0.61;N52.59;10;
2;England;Rutland;Belmesthorpe;;W0.46;N52.67;10;
2;England;Rutland;Belton in Rutland;;W0.80;N52.60;10;
2;England;Rutland;Bisbrooke;;W0.70;N52.58;10;
2;England;Rutland;Braunston in Rutland;;W0.77;N52.64;10;
2;England;Rutland;Brooke;;W0.76;N52.63;10;
2;England;Rutland;Burley;;W0.69;N52.68;10;
2;England;Rutland;Carlby;;W0.44;N52.70;10;
2;England;Rutland;Clipsham;;W0.57;N52.73;10;
2;England;Rutland;Cottesmore;;W0.66;N52.70;10;
2;England;Rutland;Edith Weston;;W0.62;N52.63;10;
2;England;Rutland;Egleton;;W0.71;N52.65;10;
2;England;Rutland;Empingham;;W0.59;N52.66;10;
2;England;Rutland;Essendine;;W0.46;N52.69;10;
2;England;Rutland;Exton;;W0.64;N52.68;10;
2;England;Rutland;Geeston;;W0.55;N52.62;10;
2;England;Rutland;Glaston;;W0.68;N52.59;10;
2;England;Rutland;Great Casterton;;W0.52;N52.66;10;
2;England;Rutland;Greetham;;W0.63;N52.71;10;
2;England;Rutland;Gunthorpe;;W0.73;N52.63;10;
2;England;Rutland;Ingthorpe;;W0.53;N52.66;10;
2;England;Rutland;Ketton;;W0.56;N52.62;10;
2;England;Rutland;Langham;;W0.75;N52.69;10;
2;England;Rutland;Little Casterton;;W0.50;N52.66;10;
2;England;Rutland;Lyddington;;W0.71;N52.56;10;
2;England;Rutland;Lyndon;;W0.67;N52.62;10;
2;England;Rutland;Manton;;W0.70;N52.62;10;
2;England;Rutland;Market Overton;;W0.69;N52.73;10;
2;England;Rutland;Morcott;;W0.64;N52.59;10;
2;England;Rutland;Normanton;;W0.62;N52.64;10;
2;England;Rutland;North Luffenham;;W0.62;N52.61;10;
2;England;Rutland;Oakham;;W0.74;N52.67;10;
2;England;Rutland;Pickworth;;W0.53;N52.70;10;
2;England;Rutland;Pilton;;W0.65;N52.60;10;
2;England;Rutland;Preston;;W0.71;N52.60;10;
2;England;Rutland;Ridlington;;W0.76;N52.60;10;
2;England;Rutland;Ryhall;;W0.47;N52.67;10;
2;England;Rutland;Seaton;;W0.67;N52.57;10;
2;England;Rutland;South Luffenham;;W0.61;N52.59;10;
2;England;Rutland;Stretton;;W0.60;N52.72;10;
2;England;Rutland;Teigh;;W0.72;N52.73;10;
2;England;Rutland;Thistleton;;W0.65;N52.74;10;
2;England;Rutland;Thorpe by Water;;W0.68;N52.55;10;
2;England;Rutland;Tickencote;;W0.55;N52.67;10;
2;England;Rutland;Tinwell;;W0.52;N52.64;10;
2;England;Rutland;Tixover;;W0.56;N52.58;10;
2;England;Rutland;Toll Bar;;W0.52;N52.66;10;
2;England;Rutland;Upper Hambleton;;W0.67;N52.65;10;
2;England;Rutland;Uppingham;;W0.73;N52.58;10;
2;England;Rutland;Wardley;;W0.77;N52.59;10;
2;England;Rutland;Whissendine;;W0.78;N52.71;10;
2;England;Rutland;Whitwell;;W0.64;N52.66;10;
2;England;Rutland;Wing;;W0.68;N52.61;10;
