"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Shropshire;Abbey Green;;W2.74;N52.89;10;
2;England;Shropshire;Abcott;;W2.89;N52.39;10;
2;England;Shropshire;Abdon;;W2.63;N52.47;10;
2;England;Shropshire;Ackleton;;W2.34;N52.57;10;
2;England;Shropshire;Acton;;W3.01;N52.44;10;
2;England;Shropshire;Acton Burnell;;W2.69;N52.60;10;
2;England;Shropshire;Acton Pigott;;W2.68;N52.61;10;
2;England;Shropshire;Acton Reynald;;W2.69;N52.80;10;
2;England;Shropshire;Acton Round;;W2.54;N52.55;10;
2;England;Shropshire;Acton Scott;;W2.81;N52.49;10;
2;England;Shropshire;Adderley;;W2.50;N52.94;10;
2;England;Shropshire;Adeney;;W2.44;N52.75;10;
2;England;Shropshire;Admaston;;W2.54;N52.70;10;
2;England;Shropshire;Alberbury;;W2.94;N52.72;10;
2;England;Shropshire;Albrighton;;W2.28;N52.63;10;
2;England;Shropshire;Albrighton;;W2.75;N52.75;10;
2;England;Shropshire;Alcaston;;W2.81;N52.47;10;
2;England;Shropshire;Alderton;;W2.75;N52.80;10;
2;England;Shropshire;Aldon;;W2.83;N52.40;10;
2;England;Shropshire;Ale Oak;;W3.14;N52.44;10;
2;England;Shropshire;Alkington;;W2.71;N52.93;10;
2;England;Shropshire;All Stretton;;W2.79;N52.55;10;
2;England;Shropshire;Allscot;;W2.39;N52.56;10;
2;England;Shropshire;Allscott;;W2.57;N52.71;10;
2;England;Shropshire;Alveley;;W2.35;N52.45;10;
2;England;Shropshire;Anchor;;W3.22;N52.45;10;
2;England;Shropshire;Angelbank;;W2.63;N52.38;10;
2;England;Shropshire;Annscroft;;W2.81;N52.65;10;
2;England;Shropshire;Apley Forge;;W2.44;N52.57;10;
2;England;Shropshire;Aqueduct;;W2.47;N52.64;10;
2;England;Shropshire;Argoed;;W3.03;N52.44;10;
2;England;Shropshire;Argoed;;W3.00;N52.77;10;
2;England;Shropshire;Arleston;;W2.50;N52.68;10;
2;England;Shropshire;Arscott;;W2.84;N52.65;10;
2;England;Shropshire;Ash Magna;;W2.64;N52.94;10;
2;England;Shropshire;Ash Parva;;W2.64;N52.94;10;
2;England;Shropshire;Ashbrook;;W2.81;N52.54;10;
2;England;Shropshire;Ashfield;;W3.02;N52.81;10;
2;England;Shropshire;Ashfields;;W2.44;N52.83;10;
2;England;Shropshire;Ashford Bowdler;;W2.72;N52.32;10;
2;England;Shropshire;Ashford Carbonel;;W2.70;N52.32;10;
2;England;Shropshire;Ashmore Park;;W2.06;N52.60;10;
2;England;Shropshire;Asterley;;W2.93;N52.65;10;
2;England;Shropshire;Asterton;;W2.90;N52.51;10;
2;England;Shropshire;Astley;;W2.71;N52.75;10;
2;England;Shropshire;Astley Abbotts;;W2.44;N52.56;10;
2;England;Shropshire;Aston;;W2.29;N52.53;10;
2;England;Shropshire;Aston;;W2.69;N52.84;10;
2;England;Shropshire;Aston Botterell;;W2.54;N52.45;10;
2;England;Shropshire;Aston Eyre;;W2.51;N52.54;10;
2;England;Shropshire;Aston Munslow;;W2.72;N52.47;10;
2;England;Shropshire;Aston on Clun;;W2.89;N52.42;10;
2;England;Shropshire;Aston Pigott;;W2.99;N52.63;10;
2;England;Shropshire;Aston Rogers;;W2.97;N52.64;10;
2;England;Shropshire;Aston Sq;;W3.01;N52.84;10;
2;England;Shropshire;Atcham;;W2.68;N52.67;10;
2;England;Shropshire;Atterley;;W2.53;N52.56;10;
2;England;Shropshire;Aylesford Brook;;W3.07;N52.60;10;
2;England;Shropshire;Babbinswood;;W2.99;N52.86;10;
2;England;Shropshire;Bache;;W2.79;N52.42;10;
2;England;Shropshire;Bache Mill;;W2.73;N52.46;10;
2;England;Shropshire;Back Brook;;W2.32;N52.74;10;
2;England;Shropshire;Badger;;W2.35;N52.58;10;
2;England;Shropshire;Bagginswood;;W2.47;N52.42;10;
2;England;Shropshire;Bagley;;W2.89;N52.83;10;
2;England;Shropshire;Bagley Marsh;;W2.90;N52.84;10;
2;England;Shropshire;Ball;;W3.04;N52.82;10;
2;England;Shropshire;Balls Hill;;W2.01;N52.53;10;
2;England;Shropshire;Balmer;;W2.83;N52.90;10;
2;England;Shropshire;Balmer Heath;;W2.83;N52.90;10;
2;England;Shropshire;Bankshead;;W3.03;N52.49;10;
2;England;Shropshire;Barkers Green;;W2.71;N52.84;10;
2;England;Shropshire;Barnsley;;W2.37;N52.53;10;
2;England;Shropshire;Barrow;;W2.51;N52.58;10;
2;England;Shropshire;Barrow;;W2.51;N52.59;10;
2;England;Shropshire;Baschurch;;W2.86;N52.78;10;
2;England;Shropshire;Basford;;W2.89;N52.45;10;
2;England;Shropshire;Battlefield;;W2.72;N52.73;10;
2;England;Shropshire;Bayston Hill;;W2.78;N52.66;10;
2;England;Shropshire;Beambridge;;W2.69;N52.48;10;
2;England;Shropshire;Bearwood;;W1.97;N52.47;10;
2;England;Shropshire;Beckbury;;W2.35;N52.60;10;
2;England;Shropshire;Beckjay;;W2.89;N52.38;10;
