"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Somerset;Aaron's Hill;;W2.22;N51.06;10;
2;England;Somerset;Abbas Combe;;W2.42;N50.99;10;
2;England;Somerset;Abbots Leigh;;W2.66;N51.45;10;
2;England;Somerset;Adsborough;;W3.04;N51.05;10;
2;England;Somerset;Adscombe;;W3.17;N51.12;10;
2;England;Somerset;Aisholt;;W3.15;N51.10;10;
2;England;Somerset;Alcombe;;W2.28;N51.41;10;
2;England;Somerset;Alcombe;;W3.47;N51.19;10;
2;England;Somerset;Alder Row;;W2.33;N51.18;10;
2;England;Somerset;Aley;;W3.17;N51.12;10;
2;England;Somerset;Alford;;W2.57;N51.08;10;
2;England;Somerset;Alhampton;;W2.54;N51.10;10;
2;England;Somerset;Aller;;W2.85;N51.05;10;
2;England;Somerset;Allerford;;W3.18;N51.01;10;
2;England;Somerset;Allerford;;W3.57;N51.21;10;
2;England;Somerset;Allowenshay;;W2.86;N50.91;10;
2;England;Somerset;Alston Sutton;;W2.84;N51.25;10;
2;England;Somerset;Alstone;;W2.98;N51.20;10;
2;England;Somerset;Alvington;;W2.68;N50.93;10;
2;England;Somerset;Amesbury;;W2.50;N51.32;10;
2;England;Somerset;Andersea;;W2.95;N51.09;10;
2;England;Somerset;Andersfield;;W3.08;N51.10;10;
2;England;Somerset;Angersleigh;;W3.15;N50.96;10;
2;England;Somerset;Ansford;;W2.52;N51.09;10;
2;England;Somerset;Appley;;W3.32;N50.98;10;
2;England;Somerset;Arno's Vale;;W2.57;N51.43;10;
2;England;Somerset;Ash (near Taunton);;W3.02;N50.99;10;
2;England;Somerset;Ash (near Yeovil);;W2.75;N50.97;10;
2;England;Somerset;Ash Priors;;W3.21;N51.05;10;
2;England;Somerset;Ashbeer;;W3.31;N51.10;10;
2;England;Somerset;Ashbrittle;;W3.35;N50.98;10;
2;England;Somerset;Ashcombe Park;;W2.96;N51.35;10;
2;England;Somerset;Ashcott;;W2.81;N51.12;10;
2;England;Somerset;Ashcott Corner;;W2.80;N51.14;10;
2;England;Somerset;Ashgrove;;W2.43;N51.31;10;
2;England;Somerset;Ashill;;W2.96;N50.94;10;
2;England;Somerset;Ashington;;W2.62;N50.98;10;
2;England;Somerset;Ashley Down;;W2.59;N51.47;10;
2;England;Somerset;Ashton;;W2.84;N51.23;10;
2;England;Somerset;Ashton Gate;;W2.62;N51.43;10;
2;England;Somerset;Ashton Vale;;W2.63;N51.42;10;
2;England;Somerset;Ashwell;;W2.91;N50.93;10;
2;England;Somerset;Ashwick;;W2.53;N51.23;10;
2;England;Somerset;Asney;;W2.77;N51.12;10;
2;England;Somerset;Athelney;;W2.94;N51.04;10;
2;England;Somerset;Atherstone;;W2.88;N50.94;10;
2;England;Somerset;Avon;;W2.51;N51.42;10;
2;England;Somerset;Avoncliff;;W2.28;N51.32;10;
2;England;Somerset;Avonmouth;;W2.69;N51.49;10;
2;England;Somerset;Axbridge;;W2.81;N51.28;10;
2;England;Somerset;Axe;;W2.78;N51.23;10;
2;England;Somerset;Axe;;W2.96;N51.29;10;
2;England;Somerset;Babcary;;W2.62;N51.04;10;
2;England;Somerset;Backwell;;W2.74;N51.40;10;
2;England;Somerset;Backwell Common;;W2.74;N51.41;10;
2;England;Somerset;Backwell Green;;W2.73;N51.41;10;
2;England;Somerset;Badger Street;;W3.05;N50.96;10;
2;England;Somerset;Badgworth;;W2.87;N51.26;10;
2;England;Somerset;Bagley;;W2.78;N51.20;10;
2;England;Somerset;Bagley Green;;W3.25;N50.96;10;
2;England;Somerset;Bailbrook;;W2.34;N51.40;10;
2;England;Somerset;Baltonsborough;;W2.65;N51.10;10;
2;England;Somerset;Bankland;;W2.98;N51.05;10;
2;England;Somerset;Banwell;;W2.87;N51.32;10;
2;England;Somerset;Bare Ash;;W3.07;N51.10;10;
2;England;Somerset;Barlake;;W2.50;N51.23;10;
2;England;Somerset;Barle;;W3.66;N51.10;10;
2;England;Somerset;Barr;;W3.15;N51.00;10;
2;England;Somerset;Barrington;;W2.88;N50.95;10;
2;England;Somerset;Barrow;;W2.64;N51.16;10;
2;England;Somerset;Barrow Common;;W2.66;N51.40;10;
2;England;Somerset;Barrow Gurney;;W2.67;N51.40;10;
2;England;Somerset;Barrow Vale;;W2.51;N51.33;10;
2;England;Somerset;Barton;;W2.87;N51.30;10;
2;England;Somerset;Barton Hill;;W2.57;N51.44;10;
2;England;Somerset;Barton St David;;W2.65;N51.08;10;
2;England;Somerset;Barwick;;W2.62;N50.91;10;
