"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Sussex;Abbotsford;;W0.14;N50.96;10;
2;England;Sussex;Abingworth;;W0.43;N50.93;10;
2;England;Sussex;Adur;;W0.09;N50.96;10;
2;England;Sussex;Adversane;;W0.47;N50.99;10;
2;England;Sussex;Albourne;;W0.20;N50.92;10;
2;England;Sussex;Albourne Green;;W0.20;N50.92;10;
2;England;Sussex;Alciston;;E0.12;N50.82;10;
2;England;Sussex;Alderbrook;;E0.16;N51.04;10;
2;England;Sussex;Aldingbourne;;W0.69;N50.83;10;
2;England;Sussex;Aldrington;;W0.19;N50.83;10;
2;England;Sussex;Aldwick;;W0.71;N50.77;10;
2;England;Sussex;Alfold Bars;;W0.53;N51.08;10;
2;England;Sussex;Alfriston;;E0.14;N50.80;10;
2;England;Sussex;Amberley;;W0.53;N50.90;10;
2;England;Sussex;Ancton;;W0.61;N50.79;10;
2;England;Sussex;Angmering;;W0.49;N50.82;10;
2;England;Sussex;Ansty;;W0.16;N50.99;10;
2;England;Sussex;Apuldram;;W0.80;N50.82;10;
2;England;Sussex;Ardingly;;W0.08;N51.04;10;
2;England;Sussex;Ardingly Reservoir;;W0.10;N51.04;10;
2;England;Sussex;Argos Hill;;E0.23;N51.03;10;
2;England;Sussex;Arlington;;E0.18;N50.84;10;
2;England;Sussex;Arlington Reservoir;;E0.18;N50.84;10;
2;England;Sussex;Arun;;W0.53;N50.88;10;
2;England;Sussex;Arundel;;W0.56;N50.85;10;
2;England;Sussex;Ashburnham Forge;;E0.38;N50.91;10;
2;England;Sussex;Ashdown Forest;;E0.06;N51.05;10;
2;England;Sussex;Ashfold Crossways;;W0.24;N51.03;10;
2;England;Sussex;Ashington;;W0.39;N50.93;10;
2;England;Sussex;Ashton Green;;E0.07;N50.88;10;
2;England;Sussex;Ashurst;;W0.33;N50.93;10;
2;England;Sussex;Ashurst Wood;;E0.01;N51.10;10;
2;England;Sussex;Atherington;;W0.58;N50.79;10;
2;England;Sussex;Bachelor's Bump;;E0.61;N50.87;10;
2;England;Sussex;Balcombe;;W0.13;N51.05;10;
2;England;Sussex;Balcombe Lane;;W0.13;N51.07;10;
2;England;Sussex;Baldslow;;E0.54;N50.88;10;
2;England;Sussex;Baldwins Hill;;W0.02;N51.13;10;
2;England;Sussex;Balls Cross;;W0.60;N51.02;10;
2;England;Sussex;Balls Green;;E0.12;N51.10;10;
2;England;Sussex;Balls Green;;W0.43;N50.99;10;
2;England;Sussex;Barcombe;;W0.00;N50.90;10;
2;England;Sussex;Barcombe Cross;;E0.01;N50.91;10;
2;England;Sussex;Bardown;;E0.36;N51.03;10;
2;England;Sussex;Barlavington;;W0.62;N50.93;10;
2;England;Sussex;Barnham;;W0.63;N50.82;10;
2;England;Sussex;Barns Green;;W0.40;N51.03;10;
2;England;Sussex;Battle;;E0.47;N50.91;10;
2;England;Sussex;Beachlands;;E0.35;N50.81;10;
2;England;Sussex;Beachy Head;;E0.25;N50.73;10;
2;England;Sussex;Beacon Down;;E0.20;N50.96;10;
2;England;Sussex;Beckley;;E0.63;N50.97;10;
2;England;Sussex;Beckley Furnace;;E0.60;N50.95;10;
2;England;Sussex;Beddingham;;E0.04;N50.84;10;
2;England;Sussex;Bedham;;W0.56;N50.97;10;
2;England;Sussex;Bedlam Street;;W0.19;N50.92;10;
2;England;Sussex;Beggars Bush;;W0.35;N50.85;10;
2;England;Sussex;Bells Yew Green;;E0.28;N51.10;10;
2;England;Sussex;Belmont;;E0.59;N50.86;10;
2;England;Sussex;Bepton;;W0.79;N50.95;10;
2;England;Sussex;Berner's Hill;;E0.42;N51.04;10;
2;England;Sussex;Berwick;;E0.14;N50.82;10;
2;England;Sussex;Best Beech Hill;;E0.29;N51.05;10;
2;England;Sussex;Bevendean;;W0.09;N50.83;10;
2;England;Sussex;Bewbush;;W0.23;N51.10;10;
2;England;Sussex;Bewl Bridge Reservoir;;E0.39;N51.06;10;
2;England;Sussex;Bexhill;;E0.45;N50.84;10;
2;England;Sussex;Bexleyhill;;W0.70;N51.01;10;
2;England;Sussex;Bignor;;W0.60;N50.91;10;
2;England;Sussex;Billingshurst;;W0.46;N51.01;10;
2;England;Sussex;Bilsham;;W0.62;N50.80;10;
2;England;Sussex;Bines Green;;W0.32;N50.94;10;
2;England;Sussex;Binsted;;W0.60;N50.84;10;
2;England;Sussex;Birchden;;E0.18;N51.10;10;
2;England;Sussex;Birchett's Green;;E0.36;N51.05;10;
2;England;Sussex;Birchgrove;;W0.00;N51.04;10;
2;England;Sussex;Birdham;;W0.83;N50.79;10;
2;England;Sussex;Birling Gap;;E0.19;N50.74;10;
2;England;Sussex;Bishopstone;;E0.08;N50.79;10;
2;England;Sussex;Black Corner;;W0.15;N51.13;10;
2;England;Sussex;Black Rock;;W0.11;N50.81;10;
2;England;Sussex;Blackboys;;E0.16;N50.95;10;
2;England;Sussex;Blackham;;E0.14;N51.13;10;
2;England;Sussex;Blacklands;;E0.57;N50.86;10;
2;England;Sussex;Blackness;;E0.16;N51.04;10;
2;England;Sussex;Blackstone;;W0.23;N50.93;10;
2;England;Sussex;Blackwell;;W0.01;N51.13;10;
2;England;Sussex;Boarshead;;E0.18;N51.06;10;
2;England;Sussex;Bodiam;;E0.53;N50.99;10;
2;England;Sussex;Bodle Street Green;;E0.34;N50.90;10;
2;England;Sussex;Bognor Regis;;W0.68;N50.78;10;
2;England;Sussex;Bohemia;;E0.55;N50.86;10;
2;England;Sussex;Bolney;;W0.20;N50.99;10;
2;England;Sussex;Bolnore;;W0.12;N50.99;10;
2;England;Sussex;Borden;;W0.83;N51.00;10;
2;England;Sussex;Boreham Street;;E0.35;N50.87;10;
2;England;Sussex;Bosham;;W0.86;N50.83;10;
2;England;Sussex;Bosham Hoe;;W0.85;N50.80;10;
2;England;Sussex;Botolphs;;W0.31;N50.86;10;
2;England;Sussex;Bowler's Town;;E0.71;N50.96;10;
2;England;Sussex;Boxgrove;;W0.72;N50.85;10;
2;England;Sussex;Bracklesham;;W0.86;N50.75;10;
2;England;Sussex;Bramber;;W0.32;N50.87;10;
2;England;Sussex;Breach;;W0.90;N50.84;10;
2;England;Sussex;Brede;;E0.70;N50.92;10;
2;England;Sussex;Brede;;E0.58;N50.93;10;
2;England;Sussex;Brightling;;E0.39;N50.96;10;
2;England;Sussex;Brighton;;W0.14;N50.83;10;
2;England;Sussex;Broad Oak;;E0.58;N50.95;10;
2;England;Sussex;Broad Oak;;E0.27;N50.97;10;
2;England;Sussex;Broad Street;;E0.64;N50.91;10;
2;England;Sussex;Broadbridge;;W0.85;N50.83;10;
2;England;Sussex;Broadbridge Heath;;W0.37;N51.06;10;
2;England;Sussex;Broadfield;;W0.21;N51.09;10;
