"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Westmorland;Ambleside;;W2.97;N54.42;10;
2;England;Westmorland;Applethwaite;;W3.14;N54.61;10;
2;England;Westmorland;Arnside;;W2.84;N54.19;10;
2;England;Westmorland;Asby;;W3.45;N54.56;10;
2;England;Westmorland;Askham;;W2.76;N54.60;10;
2;England;Westmorland;Casterton;;W2.58;N54.20;10;
2;England;Westmorland;Cliburn;;W2.65;N54.60;10;
2;England;Westmorland;Clifton;;W2.72;N54.62;10;
2;England;Westmorland;Colby;;W2.52;N54.57;10;
2;England;Westmorland;Crackenthorpe;;W2.52;N54.59;10;
2;England;Westmorland;Crook;;W2.83;N54.34;10;
2;England;Westmorland;Crosby Garrett;;W2.43;N54.47;10;
2;England;Westmorland;Crosby Ravensworth;;W2.58;N54.52;10;
2;England;Westmorland;Dalton;;W2.70;N54.17;10;
2;England;Westmorland;Dufton;;W2.49;N54.61;10;
2;England;Westmorland;Farleton;;W2.72;N54.22;10;
2;England;Westmorland;Firbank;;W2.58;N54.34;10;
2;England;Westmorland;Grasmere;;W3.03;N54.45;10;
2;England;Westmorland;Grayrigg;;W2.66;N54.36;10;
2;England;Westmorland;Great Musgrave;;W2.37;N54.51;10;
2;England;Westmorland;Great Strickland;;W2.69;N54.59;10;
2;England;Westmorland;Hartley;;W2.34;N54.46;10;
2;England;Westmorland;Heversham;;W2.78;N54.24;10;
2;England;Westmorland;Hincaster;;W2.76;N54.24;10;
2;England;Westmorland;Hoff;;W2.51;N54.54;10;
2;England;Westmorland;Holme;;W2.73;N54.19;10;
2;England;Westmorland;Hutton Roof;;W2.66;N54.19;10;
2;England;Westmorland;Hutton Roof;;W2.97;N54.69;10;
2;England;Westmorland;Kaber;;W2.32;N54.49;10;
2;England;Westmorland;Kendal;;W2.75;N54.32;10;
2;England;Westmorland;Kentmere;;W2.84;N54.42;10;
2;England;Westmorland;Killington;;W2.60;N54.28;10;
2;England;Westmorland;Kirkby Lonsdale;;W2.59;N54.19;10;
2;England;Westmorland;Kirkby Stephen;;W2.35;N54.46;10;
2;England;Westmorland;Kirkby Thore;;W2.57;N54.61;10;
2;England;Westmorland;Kirkland;;W3.43;N54.54;10;
2;England;Westmorland;Kirkland;;W2.55;N54.68;10;
2;England;Westmorland;Kirkland;;W3.15;N54.82;10;
2;England;Westmorland;Levens;;W2.79;N54.26;10;
2;England;Westmorland;Little Musgrave;;W2.38;N54.51;10;
2;England;Westmorland;Little Strickland;;W2.68;N54.56;10;
2;England;Westmorland;Long Marton;;W2.52;N54.61;10;
2;England;Westmorland;Lowther;;W2.69;N54.51;10;
2;England;Westmorland;Lowther;;W2.72;N54.60;10;
2;England;Westmorland;Lupton;;W2.69;N54.22;10;
2;England;Westmorland;Mansergh;;W2.61;N54.23;10;
2;England;Westmorland;Martindale;;W2.88;N54.56;10;
2;England;Westmorland;Middleton;;W2.58;N54.26;10;
2;England;Westmorland;Milburn;;W2.54;N54.65;10;
2;England;Westmorland;Milnthorpe;;W2.78;N54.22;10;
2;England;Westmorland;Morland;;W2.63;N54.59;10;
2;England;Westmorland;Murton;;W2.43;N54.58;10;
2;England;Westmorland;Nateby;;W2.35;N54.44;10;
2;England;Westmorland;Natland;;W2.73;N54.29;10;
2;England;Westmorland;New Hutton;;W2.67;N54.31;10;
2;England;Westmorland;Newbiggin;;W3.13;N54.11;10;
2;England;Westmorland;Newbiggin;;W2.69;N54.20;10;
2;England;Westmorland;Newbiggin;;W3.40;N54.33;10;
2;England;Westmorland;Newbiggin;;W2.59;N54.64;10;
2;England;Westmorland;Newbiggin;;W2.82;N54.65;10;
2;England;Westmorland;Newbiggin;;W2.70;N54.83;10;
2;England;Westmorland;Newby;;W2.63;N54.58;10;
2;England;Westmorland;Orton;;W2.58;N54.46;10;
2;England;Westmorland;Patterdale;;W2.94;N54.52;10;
2;England;Westmorland;Ravenstonedale;;W2.43;N54.42;10;
2;England;Westmorland;Sedgwick;;W2.75;N54.27;10;
2;England;Westmorland;Shap;;W2.68;N54.52;10;
2;England;Westmorland;Sleagill;;W2.63;N54.56;10;
2;England;Westmorland;Smardale;;W2.41;N54.46;10;
2;England;Westmorland;Sockbridge;;W2.77;N54.62;10;
2;England;Westmorland;Soulby;;W2.40;N54.49;10;
2;England;Westmorland;Soulby;;W2.83;N54.61;10;
2;England;Westmorland;Stainton;;W2.73;N54.25;10;
2;England;Westmorland;Stainton;;W2.80;N54.64;10;
2;England;Westmorland;Stainton;;W2.98;N54.89;10;
2;England;Westmorland;Tebay;;W2.60;N54.43;10;
2;England;Westmorland;Temple Sowerby;;W2.60;N54.63;10;
2;England;Westmorland;Troutbeck;;W2.92;N54.41;10;
2;England;Westmorland;Waitby;;W2.38;N54.46;10;
2;England;Westmorland;Warcop;;W2.40;N54.53;10;
2;England;Westmorland;Windermere;;W2.90;N54.37;10;
2;England;Westmorland;Winton;;W2.34;N54.48;10;
2;England;Westmorland;Witherslack;;W2.87;N54.24;10;
