"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Wiltshire;Ablington;;W1.78;N51.21;10;
2;England;Wiltshire;Aldbourne;;W1.62;N51.47;10;
2;England;Wiltshire;Alderbury;;W1.74;N51.03;10;
2;England;Wiltshire;Alderton;;W2.24;N51.53;10;
2;England;Wiltshire;All Cannings;;W1.90;N51.34;10;
2;England;Wiltshire;Allington;;W1.71;N51.15;10;
2;England;Wiltshire;Allington;;W1.91;N51.36;10;
2;England;Wiltshire;Allington;;W2.15;N51.47;10;
2;England;Wiltshire;Allington Bar;;W2.15;N51.46;10;
2;England;Wiltshire;Alton;;W1.78;N51.21;10;
2;England;Wiltshire;Alton Barnes;;W1.85;N51.35;10;
2;England;Wiltshire;Alton Priors;;W1.84;N51.35;10;
2;England;Wiltshire;Alvediston;;W2.04;N51.00;10;
2;England;Wiltshire;Amesbury;;W1.78;N51.16;10;
2;England;Wiltshire;Ansty;;W2.07;N51.03;10;
2;England;Wiltshire;Ansty Coombe;;W2.07;N51.03;10;
2;England;Wiltshire;Ashley;;W2.27;N51.41;10;
2;England;Wiltshire;Ashton Common;;W2.15;N51.32;10;
2;England;Wiltshire;Ashton Keynes;;W1.94;N51.64;10;
2;England;Wiltshire;Atworth;;W2.20;N51.38;10;
2;England;Wiltshire;Aughton;;W1.67;N51.30;10;
2;England;Wiltshire;Avebury;;W1.85;N51.42;10;
2;England;Wiltshire;Avebury Trusloe;;W1.87;N51.42;10;
2;England;Wiltshire;Avon;;W1.81;N51.29;10;
2;England;Wiltshire;Avon;;W2.07;N51.48;10;
2;England;Wiltshire;Axford;;W1.67;N51.41;10;
2;England;Wiltshire;Badbury;;W1.72;N51.51;10;
2;England;Wiltshire;Badbury Wick;;W1.74;N51.52;10;
2;England;Wiltshire;Bagshot;;W1.55;N51.38;10;
2;England;Wiltshire;Ballard's Ash;;W1.91;N51.55;10;
