Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Alicante;Adsubia;;W0.17;N38.85;12;
2;España;Alicante;Agost;;W0.62;N38.45;12;
2;España;Alicante;Agres;;W0.51;N38.79;12;
2;España;Alicante;Aigües;;W0.36;N38.51;12;
2;España;Alicante;Albatera;;W0.90;N38.22;12;
2;España;Alicante;Alcalalí;;W0.03;N38.75;12;
2;España;Alicante;Alcocer de Planes;;W0.40;N38.79;12;
2;España;Alicante;Alcoleja;;W0.32;N38.67;12;
2;España;Alicante;Alcoy/Alcoi;;W0.52;N38.68;12;
2;España;Alicante;Alfafara;;W0.57;N38.78;12;
2;España;Alicante;l'Alfàs del Pi;;W0.10;N38.58;12;
2;España;Alicante;Algorfa;;W0.78;N38.07;12;
2;España;Alicante;Algueña;;W1.00;N38.35;12;
2;España;Alicante;Alicante/Alacant;;W0.51;N38.41;12;
2;España;Alicante;Almoradí;;W0.78;N38.07;12;
2;España;Alicante;Almudaina;;W0.36;N38.77;12;
2;España;Alicante;l'Alqueria d'Asnar;;W0.42;N38.77;12;
2;España;Alicante;Altea;;W0.05;N38.60;12;
2;España;Alicante;Aspe;;W0.79;N38.33;12;
2;España;Alicante;Balones;;W0.33;N38.74;12;
2;España;Alicante;Banyeres de Mariola;;W0.67;N38.71;12;
2;España;Alicante;Benasau;;W0.34;N38.70;12;
2;España;Alicante;Beneixama;;W0.76;N38.72;12;
2;España;Alicante;Benejúzar;;W0.83;N38.08;12;
2;España;Alicante;Benferri;;W0.98;N38.15;12;
2;España;Alicante;Beniarbeig;;W0.01;N38.82;12;
2;España;Alicante;Beniardá;;W0.21;N38.69;12;
2;España;Alicante;Beniarrés;;W0.37;N38.83;12;
2;España;Alicante;Benidoleig;;W0.03;N38.80;12;
2;España;Alicante;Benidorm;;W0.12;N38.54;12;
2;España;Alicante;Benifallim;;W0.41;N38.65;12;
2;España;Alicante;Benifato;;W0.24;N38.67;12;
2;España;Alicante;Benigembla;;W0.11;N38.75;12;
2;España;Alicante;Benijófar;;W0.74;N38.08;12;
2;España;Alicante;Benilloba;;W0.39;N38.71;12;
2;España;Alicante;Benillup;;W0.38;N38.76;12;
2;España;Alicante;Benimantell;;W0.20;N38.66;12;
2;España;Alicante;Benimarfull;;W0.39;N38.77;12;
2;España;Alicante;Benimassot;;W0.29;N38.75;12;
2;España;Alicante;Benimeli;;W0.04;N38.83;12;
2;España;Alicante;Benissa;;E0.05;N38.70;12;
2;España;Alicante;Benitachell/el Poble Nou de Benitatxell;;E0.15;N38.71;12;
2;España;Alicante;Biar;;W0.75;N38.66;12;
2;España;Alicante;Bigastro;;W0.89;N38.06;12;
2;España;Alicante;Bolulla;;W0.13;N38.70;12;
2;España;Alicante;Busot;;W0.43;N38.50;12;
2;España;Alicante;Callosa de Segura;;W0.88;N38.12;12;
2;España;Alicante;Callosa d'En Sarrià;;W0.10;N38.65;12;
2;España;Alicante;Calpe/Calp;;E0.05;N38.65;12;
2;España;Alicante;el Campello;;W0.36;N38.47;12;
2;España;Alicante;Campo de Mirra/el Camp de Mirra;;W0.79;N38.70;12;
2;España;Alicante;Cañada;;W0.81;N38.68;12;
2;España;Alicante;Castalla;;W0.65;N38.57;12;
2;España;Alicante;Castell de Castells;;W0.20;N38.74;12;
2;España;Alicante;el Castell de Guadalest;;W0.18;N38.67;12;
2;España;Alicante;Catral;;W0.80;N38.16;12;
2;España;Alicante;Cocentaina;;W0.44;N38.73;12;
2;España;Alicante;Confrides;;W0.28;N38.67;12;
2;España;Alicante;Cox;;W0.89;N38.15;12;
2;España;Alicante;Crevillent;;W0.82;N38.23;12;
2;España;Alicante;Daya Nueva;;W0.77;N38.11;12;
2;España;Alicante;Daya Vieja;;W0.73;N38.11;12;
2;España;Alicante;Dénia;;E0.07;N38.83;12;
2;España;Alicante;Dolores;;W0.76;N38.14;12;
2;España;Alicante;Elche/Elx;;W0.64;N38.23;12;
2;España;Alicante;Elda;;W0.80;N38.48;12;
2;España;Alicante;Facheca;;W0.28;N38.74;12;
2;España;Alicante;Famorca;;W0.23;N38.73;12;
2;España;Alicante;Finestrat;;W0.20;N38.56;12;
2;España;Alicante;el Fondó de les Neus/Hondón de las Nieves;;W0.89;N38.31;12;
2;España;Alicante;Formentera del Segura;;W0.73;N38.09;12;
2;España;Alicante;Gaianes;;W0.41;N38.81;12;
2;España;Alicante;Gata de Gorgos;;E0.08;N38.76;12;
2;España;Alicante;Gorga;;W0.38;N38.72;12;
2;España;Alicante;Granja de Rocamora;;W0.90;N38.15;12;
2;España;Alicante;Guardamar del Segura;;W0.65;N38.08;12;
2;España;Alicante;Hondón de los Frailes;;W0.93;N38.27;12;
2;España;Alicante;Ibi;;W0.56;N38.63;12;
2;España;Alicante;Jacarilla;;W0.86;N38.06;12;
2;España;Alicante;Jávea/Xàbia;;E0.19;N38.76;12;
2;España;Alicante;Jijona/Xixona;;W0.48;N38.55;12;
2;España;Alicante;Llíber;;E0.01;N38.72;12;
2;España;Alicante;Lorcha/l'Orxa;;W0.32;N38.86;12;
2;España;Alicante;Millena;;W0.38;N38.74;12;
2;España;Alicante;Monforte del Cid;;W0.70;N38.37;12;
2;España;Alicante;Monóvar/Monòver;;W0.92;N38.43;12;
2;España;Alicante;Los Montesinos;;W0.75;N38.03;12;
2;España;Alicante;Murla;;W0.08;N38.76;12;
2;España;Alicante;Muro de Alcoy;;W0.43;N38.78;12;
2;España;Alicante;Mutxamel;;W0.46;N38.43;12;
2;España;Alicante;Novelda;;W0.78;N38.38;12;
2;España;Alicante;la Nucia;;W0.13;N38.61;12;
2;España;Alicante;Ondara;;E0.02;N38.83;12;
2;España;Alicante;Onil;;W0.66;N38.64;12;
2;España;Alicante;Orba;;W0.07;N38.79;12;
2;España;Alicante;Orihuela;;W0.87;N38.07;12;
2;España;Alicante;Orxeta;;W0.29;N38.55;12;
2;España;Alicante;Parcent;;W0.07;N38.74;12;
2;España;Alicante;Pedreguer;;E0.04;N38.81;12;
2;España;Alicante;Pego;;W0.09;N38.85;12;
2;España;Alicante;Penàguila;;W0.38;N38.66;12;
2;España;Alicante;Petrer;;W0.74;N38.49;12;
2;España;Alicante;Pilar de la Horadada;;W0.81;N37.90;12;
2;España;Alicante;el Pinós/Pinoso;;W1.04;N38.41;12;
2;España;Alicante;Planes;;W0.35;N38.79;12;
2;España;Alicante;els Poblets;;E0.02;N38.86;12;
2;España;Alicante;Polop;;W0.15;N38.62;12;
2;España;Alicante;Quatretondeta;;W0.32;N38.72;12;
2;España;Alicante;Rafal;;W0.85;N38.11;12;
2;España;Alicante;El Ràfol d'Almúnia;;W0.04;N38.83;12;
2;España;Alicante;Redován;;W0.92;N38.12;12;
