Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Barcelona;Abrera;;E1.90;N41.52;12;
2;España;Barcelona;Aguilar de Segarra;;E1.62;N41.73;12;
2;España;Barcelona;Aiguafreda;;E2.26;N41.78;12;
2;España;Barcelona;Alella;;E2.29;N41.49;12;
2;España;Barcelona;Alpens;;E2.10;N42.12;12;
2;España;Barcelona;L'Ametlla del Vallès;;E2.25;N41.68;12;
2;España;Barcelona;Arenys de Mar;;E2.55;N41.58;12;
2;España;Barcelona;Arenys de Munt;;E2.53;N41.61;12;
2;España;Barcelona;Argençola;;E1.47;N41.59;12;
2;España;Barcelona;Argentona;;E2.40;N41.56;12;
2;España;Barcelona;Artés;;E1.95;N41.80;12;
2;España;Barcelona;Avià;;E1.83;N42.06;12;
2;España;Barcelona;Avinyó;;E1.98;N41.86;12;
2;España;Barcelona;Avinyonet del Penedès;;E1.78;N41.36;12;
2;España;Barcelona;Badalona;;E2.13;N41.40;10;
2;España;Barcelona;Badia del Vallès;;E2.12;N41.51;12;
2;España;Barcelona;Bagà;;E1.83;N42.28;12;
2;España;Barcelona;Balenyà;;E2.23;N41.82;12;
2;España;Barcelona;Balsareny;;E1.87;N41.87;12;
2;España;Barcelona;Barberà del Vallès;;E2.13;N41.52;12;
2;España;Barcelona;Barcelona;;E2.13;N41.40;10;
2;España;Barcelona;Begues;;E1.90;N41.33;12;
2;España;Barcelona;Bellprat;;E1.45;N41.51;12;
2;España;Barcelona;Berga;;E1.84;N42.10;12;
2;España;Barcelona;Bigues i Riells;;E2.20;N41.69;12;
2;España;Barcelona;Borredà;;E1.99;N42.13;12;
2;España;Barcelona;El Bruc;;E1.76;N41.61;12;
2;España;Barcelona;El Brull;;E2.30;N41.82;12;
2;España;Barcelona;Les Cabanyes;;E1.69;N41.37;12;
2;España;Barcelona;Cabrera d'Anoia;;E1.72;N41.49;12;
2;España;Barcelona;Cabrera de Mar;;E2.40;N41.53;12;
2;España;Barcelona;Cabrils;;E2.37;N41.53;12;
2;España;Barcelona;Calaf;;E1.51;N41.73;12;
2;España;Barcelona;Calders;;E1.97;N41.77;12;
2;España;Barcelona;Caldes de Montbui;;E2.15;N41.65;12;
2;España;Barcelona;Caldes d'Estrac;;E2.53;N41.57;12;
2;España;Barcelona;Calella;;E2.64;N41.62;12;
2;España;Barcelona;Calldetenes;;E2.28;N41.92;12;
2;España;Barcelona;Callús;;E1.79;N41.80;12;
2;España;Barcelona;Calonge de Segarra;;E1.48;N41.76;12;
2;España;Barcelona;Campins;;E2.47;N41.72;12;
2;España;Barcelona;Canet de Mar;;E2.58;N41.60;12;
2;España;Barcelona;Canovelles;;E2.27;N41.63;12;
2;España;Barcelona;Cànoves i Samalús;;E2.34;N41.71;12;
2;España;Barcelona;Canyelles;;E1.73;N41.28;12;
2;España;Barcelona;Capellades;;E1.69;N41.53;12;
2;España;Barcelona;Capolat;;E1.75;N42.09;12;
2;España;Barcelona;Cardedeu;;E2.35;N41.64;12;
2;España;Barcelona;Cardona;;E1.67;N41.91;12;
2;España;Barcelona;Carme;;E1.62;N41.54;12;
2;España;Barcelona;Casserres;;E1.85;N42.01;12;
2;España;Barcelona;Castell de l'Areny;;E1.94;N42.17;12;
2;España;Barcelona;Castellar de n'Hug;;E2.01;N42.28;12;
2;España;Barcelona;Castellar del Riu;;E1.75;N42.13;12;
2;España;Barcelona;Castellar del Vallès;;E2.08;N41.62;12;
2;España;Barcelona;Castellbell i el Vilar;;E1.86;N41.63;12;
2;España;Barcelona;Castellbisbal;;E1.97;N41.48;12;
2;España;Barcelona;Castellcir;;E2.15;N41.75;12;
2;España;Barcelona;Castelldefels;;E1.97;N41.28;12;
2;España;Barcelona;Castellet i la Gornal;;E1.63;N41.28;12;
2;España;Barcelona;Castellfollit de Riubregós;;E1.44;N41.77;12;
2;España;Barcelona;Castellfollit del Boix;;E1.67;N41.67;12;
2;España;Barcelona;Castellgalí;;E1.82;N41.67;12;
2;España;Barcelona;Castellnou de Bages;;E1.81;N41.84;12;
2;España;Barcelona;Castellolí;;E1.71;N41.59;12;
2;España;Barcelona;Castellterçol;;E2.10;N41.75;12;
2;España;Barcelona;Castellví de la Marca;;E1.61;N41.33;12;
2;España;Barcelona;Castellví de Rosanes;;E1.92;N41.45;12;
2;España;Barcelona;Centelles;;E2.22;N41.80;12;
2;España;Barcelona;Cercs;;E1.87;N42.13;12;
2;España;Barcelona;Cerdanyola del Vallès;;E2.12;N41.49;12;
2;España;Barcelona;Cervelló;;E1.96;N41.40;12;
2;España;Barcelona;Collbató;;E1.83;N41.57;12;
2;España;Barcelona;Collsuspina;;E2.17;N41.82;12;
2;España;Barcelona;Copons;;E1.51;N41.65;12;
2;España;Barcelona;Corbera de Llobregat;;E1.93;N41.43;12;
2;España;Barcelona;Cornellà de Llobregat;;E2.08;N41.36;12;
2;España;Barcelona;Cubelles;;E1.67;N41.21;12;
2;España;Barcelona;Dosrius;;E2.44;N41.61;12;
2;España;Barcelona;Esparreguera;;E1.87;N41.55;12;
2;España;Barcelona;Esplugues de Llobregat;;E2.09;N41.38;12;
2;España;Barcelona;L'Espunyola;;E1.75;N42.04;12;
2;España;Barcelona;L'Estany;;E2.11;N41.87;12;
2;España;Barcelona;Figaró-Montmany;;E2.27;N41.72;12;
2;España;Barcelona;Fígols;;E1.78;N42.17;12;
2;España;Barcelona;Fogars de la Selva;;E2.68;N41.73;12;
2;España;Barcelona;Fogars de Montclús;;E2.44;N41.75;12;
2;España;Barcelona;Folgueroles;;E2.32;N41.94;12;
2;España;Barcelona;Fonollosa;;E1.70;N41.77;12;
2;España;Barcelona;Font-rubí;;E1.65;N41.42;12;
2;España;Barcelona;Les Franqueses del Vallès;;E2.30;N41.65;12;
2;España;Barcelona;Gaià;;E1.91;N41.93;12;
2;España;Barcelona;Gallifa;;E2.11;N41.69;12;
2;España;Barcelona;La Garriga;;E2.28;N41.69;12;
2;España;Barcelona;Gavà;;E1.98;N41.30;12;
2;España;Barcelona;Gelida;;E1.86;N41.44;12;
2;España;Barcelona;Gironella;;E1.89;N42.02;12;
2;España;Barcelona;Gisclareny;;E1.80;N42.26;12;
2;España;Barcelona;La Granada;;E1.73;N41.38;12;
2;España;Barcelona;Granera;;E2.07;N41.73;12;
2;España;Barcelona;Granollers;;E2.28;N41.61;12;
2;España;Barcelona;Gualba;;E2.50;N41.74;12;
2;España;Barcelona;Guardiola de Berguedà;;E1.89;N42.23;12;
2;España;Barcelona;Gurb;;E2.22;N41.96;12;
2;España;Barcelona;L'Hospitalet de Llobregat;;E2.11;N41.37;12;
2;España;Barcelona;Els Hostalets de Pierola;;E1.80;N41.54;12;
2;España;Barcelona;Igualada;;E1.61;N41.59;12;
2;España;Barcelona;Jorba;;E1.53;N41.60;12;
2;España;Barcelona;La Llacuna;;E1.55;N41.48;12;
2;España;Barcelona;La Llagosta;;E2.20;N41.52;12;
2;España;Barcelona;Lliçà d'Amunt;;E2.22;N41.61;12;
2;España;Barcelona;Lliçà de Vall;;E2.23;N41.59;12;
2;España;Barcelona;Llinars del Vallès;;E2.42;N41.64;12;
2;España;Barcelona;Lluçà;;E2.06;N42.07;12;
2;España;Barcelona;Malgrat de Mar;;E2.74;N41.65;12;
2;España;Barcelona;Malla;;E2.24;N41.89;12;
2;España;Barcelona;Manlleu;;E2.28;N42.00;12;
2;España;Barcelona;Manresa;;E1.82;N41.72;12;
2;España;Barcelona;Marganell;;E1.80;N41.63;12;
2;España;Barcelona;Martorell;;E1.92;N41.48;12;
2;España;Barcelona;Martorelles;;E2.24;N41.53;12;
2;España;Barcelona;Les Masies de Roda;;E2.32;N41.99;12;
2;España;Barcelona;Les Masies de Voltregà;;E2.24;N42.02;12;
2;España;Barcelona;El Masnou;;E2.32;N41.48;12;
2;España;Barcelona;Masquefa;;E1.81;N41.50;12;
2;España;Barcelona;Matadepera;;E2.02;N41.63;12;
2;España;Barcelona;Mataró;;E2.45;N41.55;12;
2;España;Barcelona;Mediona;;E1.62;N41.48;12;
2;España;Barcelona;Moià;;E2.10;N41.81;12;
2;España;Barcelona;Molins de Rei;;E2.04;N41.42;12;
2;España;Barcelona;Mollet del Vallès;;E2.21;N41.55;12;
2;España;Barcelona;Monistrol de Calders;;E2.01;N41.76;12;
2;España;Barcelona;Monistrol de Montserrat;;E1.84;N41.62;12;
2;España;Barcelona;Montcada i Reixac;;E2.18;N41.50;12;
2;España;Barcelona;Montclar;;E1.76;N42.02;12;
2;España;Barcelona;Montesquiu;;E2.21;N42.11;12;
2;España;Barcelona;Montgat;;E2.28;N41.47;12;
2;España;Barcelona;Montmajor;;E1.70;N42.01;12;
2;España;Barcelona;Montmaneu;;E1.40;N41.62;12;
2;España;Barcelona;Montmeló;;E2.25;N41.56;12;
2;España;Barcelona;Montornès del Vallès;;E2.27;N41.55;12;
2;España;Barcelona;Montseny;;E2.39;N41.78;12;
2;España;Barcelona;Muntanyola;;E2.17;N41.90;12;
2;España;Barcelona;Mura;;E1.97;N41.69;12;
2;España;Barcelona;Navarcles;;E1.91;N41.76;12;
2;España;Barcelona;Navàs;;E1.87;N41.90;12;
2;España;Barcelona;La Nou de Berguedà;;E1.89;N42.19;12;
