Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Burgos;Abajas;;W3.58;N42.62;12;
2;España;Burgos;Adrada de Haza;;W3.82;N41.60;12;
2;España;Burgos;Aguas Cándidas;;W3.50;N42.73;12;
2;España;Burgos;Aguilar de Bureba;;W3.33;N42.59;12;
2;España;Burgos;Albillos;;W3.79;N42.28;12;
2;España;Burgos;Alcocero de Mola;;W3.36;N42.47;12;
2;España;Burgos;Alfoz de Bricia;;W3.88;N42.90;12;
2;España;Burgos;Alfoz de Quintanadueñas;;W3.75;N42.41;12;
2;España;Burgos;Alfoz de Santa Gadea;;W3.94;N42.94;12;
2;España;Burgos;Altable;;W3.08;N42.60;12;
2;España;Burgos;Los Altos;;W3.66;N42.81;12;
2;España;Burgos;Ameyugo;;W3.063;N42.659;10;
2;España;Burgos;Anguix;;W3.92;N41.75;12;
2;España;Burgos;Aranda de Duero;;W3.68;N41.69;12;
2;España;Burgos;Arandilla;;W3.42;N41.73;12;
2;España;Burgos;Arauzo de Miel;;W3.37;N41.87;12;
2;España;Burgos;Arauzo de Salce;;W3.40;N41.82;12;
2;España;Burgos;Arauzo de Torre;;W3.42;N41.80;12;
2;España;Burgos;Arcos;;W3.76;N42.25;12;
2;España;Burgos;Arenillas de Riopisuerga;;W4.22;N42.35;12;
2;España;Burgos;Arija;;W3.95;N42.98;12;
2;España;Burgos;Arlanzón;;W3.41;N42.35;12;
2;España;Burgos;Arraya de Oca;;W3.39;N42.40;12;
2;España;Burgos;Atapuerca;;W3.507;N42.379;10;
2;España;Burgos;Los Ausines;;W3.58;N42.22;12;
2;España;Burgos;Avellanosa de Muñó;;W3.86;N41.99;12;
2;España;Burgos;Bahabón de Esgueva;;W3.72;N41.87;12;
2;España;Burgos;Los Balbases;;W4.06;N42.21;12;
2;España;Burgos;Baños de Valdearados;;W3.55;N41.77;12;
2;España;Burgos;Bañuelos de Bureba;;W3.27;N42.50;12;
2;España;Burgos;Barbadillo de Herreros;;W3.16;N42.19;12;
2;España;Burgos;Barbadillo del Mercado;;W3.37;N42.05;12;
2;España;Burgos;Barbadillo del Pez;;W3.23;N42.13;12;
2;España;Burgos;Barrio de Muñó;;W4.00;N42.18;12;
2;España;Burgos;Los Barrios de Bureba;;W3.37;N42.65;12;
2;España;Burgos;Barrios de Colina;;W3.43;N42.38;12;
2;España;Burgos;Basconcillos del Tozo;;W3.94;N42.69;12;
2;España;Burgos;Bascuñana;;W3.10;N42.41;12;
2;España;Burgos;Belbimbre;;W4.01;N42.16;12;
2;España;Burgos;Belorado;;W3.17;N42.40;12;
2;España;Burgos;Berberana;;W3.05;N42.92;12;
2;España;Burgos;Berlangas de Roa;;W3.86;N41.69;12;
2;España;Burgos;Berzosa de Bureba;;W3.27;N42.63;12;
2;España;Burgos;Bozoó;;W3.09;N42.75;12;
2;España;Burgos;Brazacorta;;W3.40;N41.69;12;
2;España;Burgos;Briviesca;;W3.32;N42.53;12;
2;España;Burgos;Bugedo;;W3.02;N42.66;12;
2;España;Burgos;Buniel;;W3.81;N42.31;12;
2;España;Burgos;Burgos;;W3.68;N42.35;10;
2;España;Burgos;Busto de Bureba;;W3.25;N42.66;12;
2;España;Burgos;Cabañes de Esgueva;;W3.79;N41.84;12;
2;España;Burgos;Cabezón de la Sierra;;W3.25;N41.93;12;
2;España;Burgos;Caleruega;;W3.48;N41.81;12;
2;España;Burgos;Campillo de Aranda;;W3.73;N41.61;12;
2;España;Burgos;Campolara;;W3.42;N42.12;12;
2;España;Burgos;Canicosa de la Sierra;;W3.03;N41.93;12;
2;España;Burgos;Cantabrana;;W3.47;N42.74;12;
2;España;Burgos;Carazo;;W3.35;N41.97;12;
2;España;Burgos;Carcedo de Bureba;;W3.50;N42.58;12;
2;España;Burgos;Carcedo de Burgos;;W3.62;N42.28;12;
2;España;Burgos;Cardeñadijo;;W3.66;N42.30;12;
2;España;Burgos;Cardeñajimeno;;W3.61;N42.33;12;
2;España;Burgos;Cardeñuela Riopico;;W3.55;N42.37;12;
2;España;Burgos;Carrias;;W3.30;N42.48;12;
2;España;Burgos;Cascajares de Bureba;;W3.23;N42.68;12;
2;España;Burgos;Cascajares de la Sierra;;W3.39;N42.07;12;
2;España;Burgos;Castellanos de Castro;;W4.03;N42.33;12;
2;España;Burgos;Castil de Peones;;W3.38;N42.47;12;
2;España;Burgos;Castildelgado;;W3.09;N42.44;12;
2;España;Burgos;Castrillo de la Reina;;W3.23;N41.98;12;
2;España;Burgos;Castrillo de la Vega;;W3.77;N41.65;12;
2;España;Burgos;Castrillo de Riopisuerga;;W4.27;N42.54;12;
2;España;Burgos;Castrillo del Val;;W3.58;N42.32;12;
2;España;Burgos;Castrillo Matajudíos;;W4.18;N42.30;12;
2;España;Burgos;Castrojeriz;;W4.15;N42.26;12;
2;España;Burgos;Cavia;;W3.84;N42.28;12;
2;España;Burgos;Cayuela;;W3.80;N42.27;12;
2;España;Burgos;Cebrecos;;W3.59;N42.01;12;
2;España;Burgos;Celada del Camino;;W3.94;N42.27;12;
2;España;Burgos;Cerezo de Río Tirón;;W3.14;N42.50;12;
2;España;Burgos;Cerratón de Juarros;;W3.37;N42.42;12;
2;España;Burgos;Ciadoncha;;W3.93;N42.17;12;
2;España;Burgos;Cillaperlata;;W3.38;N42.78;12;
2;España;Burgos;Cilleruelo de Abajo;;W3.79;N41.89;12;
2;España;Burgos;Cilleruelo de Arriba;;W3.65;N41.91;12;
2;España;Burgos;Ciruelos de Cervera;;W3.53;N41.92;12;
2;España;Burgos;Cogollos;;W3.70;N42.20;12;
2;España;Burgos;Condado de Treviño;;W2.70;N42.70;12;
2;España;Burgos;Contreras;;W3.43;N42.03;12;
2;España;Burgos;Coruña del Conde;;W3.40;N41.76;12;
2;España;Burgos;Covarrubias;;W3.55;N42.04;12;
2;España;Burgos;Cubillo del Campo;;W3.60;N42.16;12;
2;España;Burgos;Cubo de Bureba;;W3.21;N42.64;12;
