Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Castellón;Aín;;W0.34;N39.89;12;
2;España;Castellón;Albocàsser;;E0.03;N40.40;12;
2;España;Castellón;Alcalà de Xivert;;E0.27;N40.26;12;
2;España;Castellón;l'Alcora;;W0.22;N40.06;12;
2;España;Castellón;Alcudia de Veo;;W0.35;N39.92;12;
2;España;Castellón;Alfondeguilla;;W0.27;N39.83;12;
2;España;Castellón;Algimia de Almonacid;;W0.42;N39.92;12;
2;España;Castellón;Almazora/Almassora;;W0.07;N39.95;12;
2;España;Castellón;Almedíjar;;W0.40;N39.87;12;
2;España;Castellón;Almenara;;W0.23;N39.75;12;
2;España;Castellón;Alquerías del Niño Perdido;;W0.13;N39.89;12;
2;España;Castellón;Altura;;W0.56;N39.83;12;
2;España;Castellón;Arañuel;;W0.48;N40.09;12;
2;España;Castellón;Ares del Maestre;;W0.09;N40.44;12;
2;España;Castellón;Argelita;;W0.34;N40.07;12;
2;España;Castellón;Artana;;W0.25;N39.90;12;
2;España;Castellón;Atzeneta del Maestrat;;W0.15;N40.23;12;
2;España;Castellón;Ayódar;;W0.38;N39.99;12;
2;España;Castellón;Azuébar;;W0.36;N39.85;12;
2;España;Castellón;Barracas;;W0.69;N39.98;12;
2;España;Castellón;Bejís;;W0.74;N39.90;12;
2;España;Castellón;Benafer;;W0.60;N39.97;12;
2;España;Castellón;Benafigos;;W0.18;N40.28;12;
2;España;Castellón;Benasal;;W0.19;N40.38;12;
2;España;Castellón;Benicarló;;E0.41;N40.45;12;
2;España;Castellón;Benicasim/Benicàssim;;E0.06;N40.05;12;
2;España;Castellón;Benlloch;;E0.07;N40.21;12;
2;España;Castellón;Betxí;;W0.20;N39.92;12;
2;España;Castellón;Borriol;;W0.08;N40.04;12;
2;España;Castellón;Burriana;;W0.08;N39.89;12;
2;España;Castellón;Cabanes;;E0.12;N40.15;12;
2;España;Castellón;Càlig;;E0.35;N40.46;12;
2;España;Castellón;Canet lo Roig;;E0.24;N40.58;12;
2;España;Castellón;Castell de Cabres;;E0.03;N40.67;12;
2;España;Castellón;Castellfort;;W0.21;N40.52;12;
2;España;Castellón;Castellnovo;;W0.45;N39.85;12;
2;España;Castellón;Castellón de la Plana/Castelló de la Plana;;E0.24;N39.95;12;
2;España;Castellón;Castillo de Villamalefa;;W0.37;N40.16;12;
2;España;Castellón;Catí;;E0.02;N40.47;12;
2;España;Castellón;Caudiel;;W0.59;N39.99;12;
2;España;Castellón;Cervera del Maestre;;E0.29;N40.43;12;
2;España;Castellón;Chert/Xert;;E0.12;N40.53;12;
2;España;Castellón;Chilches/Xilxes;;W0.17;N39.78;12;
2;España;Castellón;Chodos/Xodos;;W0.31;N40.24;12;
2;España;Castellón;Chóvar;;W0.33;N39.85;12;
2;España;Castellón;Cinctorres;;W0.22;N40.57;12;
2;España;Castellón;Cirat;;W0.46;N40.05;12;
2;España;Castellón;Cortes de Arenoso;;W0.53;N40.16;12;
2;España;Castellón;Costur;;W0.16;N40.13;12;
2;España;Castellón;les Coves de Vinromà;;E0.10;N40.32;12;
2;España;Castellón;Culla;;W0.13;N40.31;12;
2;España;Castellón;Eslida;;W0.31;N39.88;12;
2;España;Castellón;Espadilla;;W0.36;N40.03;12;
2;España;Castellón;Fanzara;;W0.31;N40.02;12;
2;España;Castellón;Figueroles;;W0.21;N40.13;12;
2;España;Castellón;Forcall;;W0.21;N40.66;12;
2;España;Castellón;Fuente la Reina;;W0.61;N40.06;12;
2;España;Castellón;Fuentes de Ayódar;;W0.43;N40.02;12;
2;España;Castellón;Gaibiel;;W0.51;N39.93;12;
2;España;Castellón;Geldo;;W0.46;N39.84;12;
2;España;Castellón;Herbés;;W0.02;N40.71;12;
2;España;Castellón;Higueras;;W0.50;N39.99;12;
2;España;Castellón;la Jana;;E0.23;N40.50;12;
2;España;Castellón;Jérica;;W0.59;N39.90;12;
2;España;Castellón;la Llosa;;W0.19;N39.76;12;
2;España;Castellón;Lucena del Cid;;W0.29;N40.14;12;
2;España;Castellón;Ludiente;;W0.37;N40.10;12;
2;España;Castellón;la Mata de Morella;;W0.27;N40.61;12;
2;España;Castellón;Matet;;W0.46;N39.95;12;
2;España;Castellón;Moncofa;;W0.15;N39.80;12;
2;España;Castellón;Montán;;W0.55;N40.03;12;
2;España;Castellón;Montanejos;;W0.53;N40.07;12;
2;España;Castellón;Morella;;W0.08;N40.58;12;
2;España;Castellón;Navajas;;W0.50;N39.88;12;
2;España;Castellón;Nules;;W0.17;N39.86;12;
