Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Córdoba;Adamuz;;W4.57;N38.09;12;
2;España;Córdoba;Aguilar de la Frontera;;W4.67;N37.45;12;
2;España;Córdoba;Alcaracejos;;W4.91;N38.28;12;
2;España;Córdoba;Almedinilla;;W4.06;N37.45;12;
2;España;Córdoba;Almodóvar del Río;;W5.02;N37.83;12;
2;España;Córdoba;Añora;;W4.87;N38.31;12;
2;España;Córdoba;Baena;;W4.33;N37.66;12;
2;España;Córdoba;Belalcázar;;W5.17;N38.60;12;
2;España;Córdoba;Belmez;;W5.20;N38.27;12;
2;España;Córdoba;Benamejí;;W4.55;N37.24;12;
2;España;Córdoba;Los Blázquez;;W5.47;N38.44;12;
2;España;Córdoba;Bujalance;;W4.34;N37.94;12;
2;España;Córdoba;Cabra;;W4.46;N37.49;12;
2;España;Córdoba;Cañete de las Torres;;W4.33;N37.86;12;
2;España;Córdoba;Carcabuey;;W4.30;N37.44;12;
2;España;Córdoba;Cardeña;;W4.36;N38.27;12;
2;España;Córdoba;La Carlota;;W4.93;N37.68;12;
2;España;Córdoba;El Carpio;;W4.49;N37.95;12;
2;España;Córdoba;Castro del Río;;W4.50;N37.68;12;
2;España;Córdoba;Conquista;;W4.49;N38.41;12;
2;España;Córdoba;Córdoba;;W4.77;N37.89;10;
2;España;Córdoba;Doña Mencía;;W4.37;N37.56;12;
2;España;Córdoba;Dos Torres;;W4.83;N38.49;12;
2;España;Córdoba;Encinas Reales;;W4.47;N37.28;12;
2;España;Córdoba;Espejo;;W4.55;N37.67;12;
2;España;Córdoba;Espiel;;W5.12;N38.08;12;
2;España;Córdoba;Fernán-Núñez;;W4.72;N37.69;12;
2;España;Córdoba;Fuente la Lancha;;W5.04;N38.42;12;
2;España;Córdoba;Fuente Obejuna;;W5.45;N38.26;12;
2;España;Córdoba;Fuente Palmera;;W5.08;N37.70;12;
2;España;Córdoba;Fuente-Tójar;;W4.12;N37.52;12;
2;España;Córdoba;La Granjuela;;W5.34;N38.36;12;
2;España;Córdoba;Guadalcázar;;W4.97;N37.76;12;
2;España;Córdoba;El Guijo;;W4.75;N38.53;12;
2;España;Córdoba;Hinojosa del Duque;;W5.16;N38.46;12;
2;España;Córdoba;Hornachuelos;;W5.33;N37.94;12;
2;España;Córdoba;Iznájar;;W4.32;N37.28;12;
2;España;Córdoba;Lucena;;W4.55;N37.35;12;
2;España;Córdoba;Luque;;W4.21;N37.56;12;
2;España;Córdoba;Montalbán de Córdoba;;W4.75;N37.55;12;
2;España;Córdoba;Montemayor;;W4.66;N37.65;12;
2;España;Córdoba;Montilla;;W4.64;N37.57;12;
2;España;Córdoba;Montoro;;W4.35;N38.13;12;
2;España;Córdoba;Monturque;;W4.58;N37.48;12;
2;España;Córdoba;Moriles;;W4.63;N37.42;12;
2;España;Córdoba;Nueva Carteya;;W4.43;N37.61;12;
2;España;Córdoba;Obejo;;W4.77;N38.09;12;
2;España;Córdoba;Palenciana;;W4.59;N37.25;12;
2;España;Córdoba;Palma del Río;;W5.32;N37.66;12;
2;España;Córdoba;Pedro Abad;;W4.47;N37.97;12;
2;España;Córdoba;Pedroche;;W4.74;N38.42;12;
2;España;Córdoba;Peñarroya-Pueblonuevo;;W5.24;N38.31;12;
2;España;Córdoba;Posadas;;W5.12;N37.82;12;
2;España;Córdoba;Pozoblanco;;W4.81;N38.24;12;
2;España;Córdoba;Priego de Córdoba;;W4.16;N37.48;12;
2;España;Córdoba;Puente Genil;;W4.76;N37.41;12;
2;España;Córdoba;La Rambla;;W4.81;N37.67;12;
2;España;Córdoba;Rute;;W4.368;N37.327;10;
2;España;Córdoba;San Sebastián de los Ballesteros;;W4.84;N37.67;12;
2;España;Córdoba;Santa Eufemia;;W4.88;N38.61;12;
2;España;Córdoba;Santaella;;W4.87;N37.55;12;
2;España;Córdoba;Torrecampo;;W4.65;N38.47;12;
2;España;Córdoba;Valenzuela;;W4.24;N37.77;12;
2;España;Córdoba;Valsequillo;;W5.38;N38.48;12;
2;España;Córdoba;La Victoria;;W4.86;N37.69;12;
2;España;Córdoba;Villa del Río;;W4.29;N37.98;12;
2;España;Córdoba;Villafranca de Córdoba;;W4.56;N37.96;12;
2;España;Córdoba;Villaharta;;W4.90;N38.14;12;
2;España;Córdoba;Villanueva de Córdoba;;W4.64;N38.25;12;
2;España;Córdoba;Villanueva del Duque;;W5.05;N38.36;12;
2;España;Córdoba;Villanueva del Rey;;W5.20;N38.11;12;
2;España;Córdoba;Villaralto;;W4.98;N38.46;12;
2;España;Córdoba;Villaviciosa de Córdoba;;W5.04;N38.02;12;
2;España;Córdoba;El Viso;;W5.00;N38.61;12;
2;España;Córdoba;Zuheros;;W4.33;N37.54;12;
