Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Girona;Agullana;;E2.84;N42.41;12;
2;España;Girona;Aiguaviva;;E2.78;N41.93;12;
2;España;Girona;Albanyà;;E2.72;N42.30;12;
2;España;Girona;Albons;;E3.08;N42.11;12;
2;España;Girona;Alp;;E1.95;N42.35;12;
2;España;Girona;Amer;;E2.60;N42.01;12;
2;España;Girona;Anglès;;E2.64;N41.96;12;
2;España;Girona;Arbúcies;;E2.49;N41.83;12;
2;España;Girona;Argelaguer;;E2.63;N42.21;12;
2;España;Girona;L'Armentera;;E3.09;N42.17;12;
2;España;Girona;Avinyonet de Puigventós;;E2.91;N42.25;12;
2;España;Girona;Banyoles;;E2.77;N42.13;12;
2;España;Girona;Bàscara;;E2.92;N42.14;12;
2;España;Girona;Begur;;E3.21;N41.96;12;
2;España;Girona;Bellcaire d'Empordà;;E3.10;N42.08;12;
2;España;Girona;Besalú;;E2.70;N42.20;12;
2;España;Girona;Bescanó;;E2.72;N41.96;12;
2;España;Girona;Beuda;;E2.70;N42.24;12;
2;España;Girona;La Bisbal d'Empordà;;E3.04;N41.95;12;
2;España;Girona;Biure;;E2.90;N42.34;12;
2;España;Girona;Blanes;;E2.79;N41.68;12;
2;España;Girona;Boadella i les Escaules;;E2.85;N42.33;12;
2;España;Girona;Bolvir;;E1.88;N42.42;12;
2;España;Girona;Bordils;;E2.91;N42.05;12;
2;España;Girona;Borrassà;;E2.93;N42.22;12;
2;España;Girona;Breda;;E2.56;N41.75;12;
2;España;Girona;Brunyola;;E2.66;N41.92;12;
2;España;Girona;Cabanelles;;E2.81;N42.23;12;
2;España;Girona;Cabanes;;E2.97;N42.31;12;
2;España;Girona;Cadaqués;;E3.29;N42.30;12;
2;España;Girona;Caldes de Malavella;;E2.81;N41.84;12;
2;España;Girona;Calonge;;E3.08;N41.86;12;
2;España;Girona;Camós;;E2.77;N42.08;12;
2;España;Girona;Campdevànol;;E2.14;N42.24;12;
2;España;Girona;Campelles;;E2.14;N42.29;12;
2;España;Girona;Campllong;;E2.83;N41.90;12;
2;España;Girona;Camprodon;;E2.36;N42.31;12;
2;España;Girona;Canet d'Adri;;E2.73;N42.03;12;
2;España;Girona;Cantallops;;E2.93;N42.43;12;
2;España;Girona;Capmany;;E2.90;N42.37;12;
2;España;Girona;Cassà de la Selva;;E2.87;N41.88;12;
2;España;Girona;Castellfollit de la Roca;;E2.54;N42.22;12;
2;España;Girona;Castelló d'Empúries;;E3.08;N42.25;12;
2;España;Girona;Castell-Platja d'Aro;;E3.05;N41.81;12;
2;España;Girona;La Cellera de Ter;;E2.60;N41.97;12;
2;España;Girona;Celrà;;E2.87;N42.02;12;
2;España;Girona;Cervià de Ter;;E2.91;N42.07;12;
2;España;Girona;Cistella;;E2.84;N42.27;12;
2;España;Girona;Colera;;E3.14;N42.40;12;
2;España;Girona;Colomers;;E2.99;N42.09;12;
2;España;Girona;Corçà;;E3.01;N42.00;12;
2;España;Girona;Cornellà del Terri;;E2.83;N42.09;12;
2;España;Girona;Crespià;;E2.80;N42.20;12;
2;España;Girona;Cruïlles, Monells i Sant Sadurní de l'Heura;;E3.02;N41.95;12;
2;España;Girona;Darnius;;E2.83;N42.37;12;
2;España;Girona;Das;;E1.87;N42.36;12;
2;España;Girona;L'Escala;;E3.13;N42.13;12;
2;España;Girona;Espinelves;;E2.42;N41.88;12;
2;España;Girona;Espolla;;E3.01;N42.43;12;
2;España;Girona;Esponellà;;E2.80;N42.17;12;
2;España;Girona;El Far d'Empordà;;E2.99;N42.25;12;
2;España;Girona;Figueres;;E2.98;N42.27;12;
2;España;Girona;Flaçà;;E2.96;N42.05;12;
2;España;Girona;Foixà;;E3.00;N42.04;12;
2;España;Girona;Fontanals de Cerdanya;;E1.92;N42.38;12;
2;España;Girona;Fontanilles;;E3.10;N42.02;12;
2;España;Girona;Fontcoberta;;E2.81;N42.14;12;
2;España;Girona;Forallac;;E3.08;N41.95;12;
2;España;Girona;Fornells de la Selva;;E2.82;N41.93;12;
2;España;Girona;Fortià;;E3.03;N42.24;12;
2;España;Girona;Garrigàs;;E2.96;N42.18;12;
2;España;Girona;Garrigoles;;E3.02;N42.10;12;
2;España;Girona;Garriguella;;E3.06;N42.34;12;
2;España;Girona;Ger;;E1.82;N42.44;12;
2;España;Girona;Girona;;E2.83;N41.98;12;
2;España;Girona;Gombrèn;;E2.06;N42.25;12;
2;España;Girona;Gualta;;E3.12;N42.02;12;
2;España;Girona;Guils de Cerdanya;;E1.86;N42.46;12;
2;España;Girona;Hostalric;;E2.64;N41.74;12;
2;España;Girona;Isòvol;;E1.83;N42.39;12;
2;España;Girona;Jafre;;E3.01;N42.07;12;
2;España;Girona;La Jonquera;;E2.87;N42.42;12;
2;España;Girona;Juià;;E2.91;N42.02;12;
2;España;Girona;Lladó;;E2.82;N42.25;12;
2;España;Girona;Llagostera;;E2.91;N41.83;12;
2;España;Girona;Llambilles;;E2.87;N41.92;12;
2;España;Girona;Llanars;;E2.35;N42.34;12;
2;España;Girona;Llançà;;E3.14;N42.37;12;
2;España;Girona;Llers;;E2.92;N42.30;12;
2;España;Girona;Llívia;;E1.98;N42.46;12;
2;España;Girona;Lloret de Mar;;E2.85;N41.70;12;
2;España;Girona;Les Llosses;;E2.08;N42.16;12;
2;España;Girona;Maçanet de Cabrenys;;E2.74;N42.38;12;
2;España;Girona;Maçanet de la Selva;;E2.73;N41.77;12;
2;España;Girona;Madremanya;;E2.94;N41.98;12;
2;España;Girona;Maià de Montcal;;E2.75;N42.21;12;
2;España;Girona;Masarac;;E2.97;N42.34;12;
