Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Granada;Agrón;;W3.82;N37.02;12;
2;España;Granada;Alamedilla;;W3.22;N37.60;12;
2;España;Granada;Albolote;;W3.66;N37.29;12;
2;España;Granada;Albondón;;W3.21;N36.84;12;
2;España;Granada;Albuñán;;W3.14;N37.23;12;
2;España;Granada;Albuñol;;W3.204;N36.794;10;
2;España;Granada;Albuñuelas;;W3.68;N36.92;12;
2;España;Granada;Aldeire;;W3.08;N37.17;12;
2;España;Granada;Alfacar;;W3.55;N37.25;12;
2;España;Granada;Algarinejo;;W4.19;N37.27;12;
2;España;Granada;Alhama de Granada;;W3.96;N37.02;12;
2;España;Granada;Alhendín;;W3.70;N37.07;12;
2;España;Granada;Alicún de Ortega;;W3.16;N37.61;12;
2;España;Granada;Almegíjar;;W3.28;N36.90;12;
2;España;Granada;Almuñécar;;W3.73;N36.76;12;
2;España;Granada;Alpujarra de la Sierra;;W3.13;N37.00;12;
2;España;Granada;Alquife;;W3.11;N37.19;12;
2;España;Granada;Arenas del Rey;;W3.85;N36.95;12;
2;España;Granada;Armilla;;W3.62;N37.15;12;
2;España;Granada;Atarfe;;W3.70;N37.25;12;
2;España;Granada;Baza;;W2.775;N37.497;10;
2;España;Granada;Beas de Granada;;W3.47;N37.24;12;
2;España;Granada;Beas de Guadix;;W3.21;N37.28;12;
2;España;Granada;Benalúa;;W3.16;N37.36;12;
2;España;Granada;Benalúa de las Villas;;W3.66;N37.44;12;
2;España;Granada;Benamaurel;;W2.71;N37.63;12;
2;España;Granada;Bérchules;;W3.20;N37.02;12;
2;España;Granada;Bubión;;W3.37;N36.98;12;
2;España;Granada;Busquístar;;W3.28;N36.96;12;
2;España;Granada;Cacín;;W3.92;N37.08;12;
2;España;Granada;Cádiar;;W3.16;N36.93;12;
2;España;Granada;Cájar;;W3.57;N37.13;12;
2;España;Granada;La Calahorra;;W3.05;N37.22;12;
2;España;Granada;Calicasas;;W3.63;N37.28;12;
2;España;Granada;Campotéjar;;W3.60;N37.51;12;
2;España;Granada;Caniles;;W2.65;N37.40;12;
2;España;Granada;Cáñar;;W3.42;N36.97;12;
2;España;Granada;Capileira;;W3.35;N37.01;12;
2;España;Granada;Carataunas;;W3.39;N36.92;12;
2;España;Granada;Cástaras;;W3.24;N36.91;12;
2;España;Granada;Castilléjar;;W2.65;N37.73;12;
2;España;Granada;Castril;;W2.78;N37.85;12;
2;España;Granada;Cenes de la Vega;;W3.54;N37.16;12;
2;España;Granada;Chauchina;;W3.78;N37.18;12;
2;España;Granada;Chimeneas;;W3.82;N37.12;12;
2;España;Granada;Churriana de la Vega;;W3.64;N37.15;12;
2;España;Granada;Cijuela;;W3.83;N37.18;12;
2;España;Granada;Cogollos de Guadix;;W3.18;N37.22;12;
2;España;Granada;Cogollos de la Vega;;W3.56;N37.30;12;
2;España;Granada;Colomera;;W3.69;N37.39;12;
2;España;Granada;Cortes de Baza;;W2.80;N37.68;12;
2;España;Granada;Cortes y Graena;;W3.24;N37.30;12;
2;España;Granada;Cuevas del Campo;;W2.89;N37.60;12;
2;España;Granada;Cúllar;;W2.53;N37.57;12;
2;España;Granada;Cúllar Vega;;W3.68;N37.16;12;
2;España;Granada;Darro;;W3.28;N37.36;12;
2;España;Granada;Dehesas de Guadix;;W3.09;N37.60;12;
2;España;Granada;Deifontes;;W3.60;N37.35;12;
2;España;Granada;Diezma;;W3.34;N37.33;12;
2;España;Granada;Dílar;;W3.50;N37.06;12;
2;España;Granada;Dólar;;W2.93;N37.23;12;
2;España;Granada;Dúdar;;W3.49;N37.19;12;
2;España;Granada;Dúrcal;;W3.50;N37.03;12;
2;España;Granada;Escúzar;;W3.77;N37.05;12;
2;España;Granada;Ferreira;;W3.02;N37.18;12;
2;España;Granada;Fonelas;;W3.16;N37.42;12;
2;España;Granada;Freila;;W2.95;N37.54;12;
2;España;Granada;Fuente Vaqueros;;W3.78;N37.22;12;
2;España;Granada;Las Gabias;;W3.69;N37.13;12;
2;España;Granada;Galera;;W2.58;N37.71;12;
2;España;Granada;Gobernador;;W3.30;N37.48;12;
2;España;Granada;Gójar;;W3.59;N37.10;12;
2;España;Granada;Gor;;W2.92;N37.37;12;
2;España;Granada;Gorafe;;W3.03;N37.53;12;
2;España;Granada;Granada;;W3.6;N37.18;10;
2;España;Granada;Guadahortuna;;W3.38;N37.52;12;
2;España;Granada;Guadix;;W3.10;N37.40;12;
2;España;Granada;Los Guajares;;W3.61;N36.86;12;
2;España;Granada;Gualchos;;W3.39;N36.73;12;
2;España;Granada;Güejar Sierra;;W3.36;N37.14;12;
2;España;Granada;Güevéjar;;W3.60;N37.26;12;
2;España;Granada;Huélago;;W3.26;N37.42;12;
2;España;Granada;Huéneja;;W2.94;N37.19;12;
2;España;Granada;Huéscar;;W2.59;N37.93;12;
2;España;Granada;Huétor de Santillán;;W3.46;N37.28;12;
2;España;Granada;Huétor Tájar;;W4.06;N37.19;12;
2;España;Granada;Huétor Vega;;W3.57;N37.15;12;
2;España;Granada;Illora;;W3.90;N37.28;12;
2;España;Granada;Itrabo;;W3.64;N36.79;12;
2;España;Granada;Iznalloz;;W3.55;N37.44;12;
2;España;Granada;Jayena;;W3.79;N36.94;12;
2;España;Granada;Jerez del Marquesado;;W3.19;N37.17;12;
2;España;Granada;Jete;;W3.67;N36.80;12;
2;España;Granada;Jun;;W3.59;N37.22;12;
2;España;Granada;Juviles;;W3.23;N36.97;12;
