Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Huelva;Alájar;;W6.65;N37.84;12;
2;España;Huelva;Aljaraque;;W7.02;N37.28;12;
2;España;Huelva;El Almendro;;W7.38;N37.57;12;
2;España;Huelva;Almonaster la Real;;W6.76;N37.80;12;
2;España;Huelva;Almonte;;W6.47;N37.00;12;
2;España;Huelva;Alosno;;W7.05;N37.55;12;
2;España;Huelva;Aracena;;W6.57;N37.86;12;
2;España;Huelva;Aroche;;W6.97;N37.97;12;
2;España;Huelva;Arroyomolinos de León;;W6.42;N38.01;12;
2;España;Huelva;Ayamonte;;W7.402;N37.219;10;
2;España;Huelva;Beas;;W6.81;N37.48;12;
2;España;Huelva;Berrocal;;W6.52;N37.60;12;
2;España;Huelva;Bollullos Par del Condado;;W6.54;N37.33;12;
2;España;Huelva;Bonares;;W6.69;N37.30;12;
2;España;Huelva;Cabezas Rubias;;W7.10;N37.75;12;
2;España;Huelva;Cala;;W6.32;N37.97;12;
2;España;Huelva;Calañas;;W6.91;N37.61;12;
2;España;Huelva;El Campillo;;W6.64;N37.69;12;
2;España;Huelva;Campofrío;;W6.57;N37.78;12;
2;España;Huelva;Cañaveral de León;;W6.48;N37.99;12;
2;España;Huelva;Cartaya;;W7.17;N37.32;12;
2;España;Huelva;Castaño del Robledo;;W6.69;N37.89;12;
2;España;Huelva;El Cerro de Andévalo;;W7.02;N37.72;12;
2;España;Huelva;Chucena;;W6.39;N37.36;12;
2;España;Huelva;Corteconcepción;;W6.49;N37.94;12;
2;España;Huelva;Cortegana;;W6.90;N37.86;12;
2;España;Huelva;Cortelazor;;W6.62;N37.94;12;
2;España;Huelva;Cumbres de Enmedio;;W6.70;N38.09;12;
2;España;Huelva;Cumbres de San Bartolomé;;W6.79;N38.06;12;
2;España;Huelva;Cumbres Mayores;;W6.68;N38.04;12;
2;España;Huelva;Encinasola;;W6.90;N38.12;12;
2;España;Huelva;Escacena del Campo;;W6.38;N37.50;12;
2;España;Huelva;Fuenteheridos;;W6.66;N37.91;12;
2;España;Huelva;Galaroza;;W6.68;N37.93;12;
2;España;Huelva;Gibraleón;;W7.00;N37.39;12;
2;España;Huelva;La Granada de Río-Tinto;;W6.51;N37.77;12;
2;España;Huelva;El Granado;;W7.43;N37.52;12;
2;España;Huelva;Higuera de la Sierra;;W6.44;N37.83;12;
2;España;Huelva;Hinojales;;W6.56;N37.99;12;
2;España;Huelva;Hinojos;;W6.40;N37.21;12;
2;España;Huelva;Huelva;;W6.93;N37.26;12;
2;España;Huelva;Isla Cristina;;W7.31;N37.22;12;
2;España;Huelva;Jabugo;;W6.75;N37.91;12;
2;España;Huelva;Lepe;;W7.19;N37.28;12;
2;España;Huelva;Linares de la Sierra;;W6.61;N37.85;12;
2;España;Huelva;Lucena del Puerto;;W6.74;N37.25;12;
2;España;Huelva;Manzanilla;;W6.43;N37.39;12;
2;España;Huelva;Los Marines;;W6.62;N37.91;12;
2;España;Huelva;Minas de Riotinto;;W6.57;N37.69;12;
2;España;Huelva;Moguer;;W6.82;N37.25;12;
2;España;Huelva;La Nava;;W6.76;N37.97;12;
2;España;Huelva;Nerva;;W6.53;N37.70;12;
2;España;Huelva;Niebla;;W6.68;N37.43;12;
2;España;Huelva;La Palma del Condado;;W6.56;N37.40;12;
2;España;Huelva;Palos de la Frontera;;W6.84;N37.15;12;
2;España;Huelva;Paterna del Campo;;W6.49;N37.48;12;
2;España;Huelva;Paymogo;;W7.32;N37.74;12;
2;España;Huelva;Puebla de Guzmán;;W7.33;N37.64;12;
2;España;Huelva;Puerto Moral;;W6.47;N37.90;12;
2;España;Huelva;Punta Umbría;;W7.01;N37.21;12;
2;España;Huelva;Rociana del Condado;;W6.61;N37.31;12;
2;España;Huelva;Rosal de la Frontera;;W7.19;N37.94;12;
2;España;Huelva;San Bartolomé de la Torre;;W7.11;N37.46;12;
2;España;Huelva;San Juan del Puerto;;W6.84;N37.33;12;
2;España;Huelva;San Silvestre de Guzmán;;W7.40;N37.39;12;
2;España;Huelva;Sanlúcar de Guadiana;;W7.39;N37.45;12;
2;España;Huelva;Santa Ana la Real;;W6.71;N37.85;12;
2;España;Huelva;Santa Bárbara de Casa;;W7.22;N37.80;12;
2;España;Huelva;Santa Olalla del Cala;;W6.19;N37.88;12;
2;España;Huelva;Trigueros;;W6.86;N37.42;12;
2;España;Huelva;Valdelarco;;W6.66;N37.95;12;
2;España;Huelva;Valverde del Camino;;W6.75;N37.55;12;
2;España;Huelva;Villablanca;;W7.33;N37.31;12;
2;España;Huelva;Villalba del Alcor;;W6.47;N37.37;12;
2;España;Huelva;Villanueva de las Cruces;;W7.00;N37.61;12;
2;España;Huelva;Villanueva de los Castillejos;;W7.19;N37.45;12;
2;España;Huelva;Villarrasa;;W6.63;N37.40;12;
2;España;Huelva;Zalamea la Real;;W6.66;N37.64;12;
2;España;Huelva;Zufre;;W6.38;N37.83;12;
