Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Huesca;Abiego;;W0.07;N42.14;12;
2;España;Huesca;Abizanda;;E0.18;N42.26;12;
2;España;Huesca;Adahuesca;;W0.02;N42.21;12;
2;España;Huesca;Agüero;;W0.85;N42.31;12;
2;España;Huesca;Aínsa-Sobrarbe;;E0.07;N42.33;12;
2;España;Huesca;Aisa;;W0.59;N42.72;12;
2;España;Huesca;Albalate de Cinca;;E0.17;N41.74;12;
2;España;Huesca;Albalatillo;;W0.15;N41.74;12;
2;España;Huesca;Albelda;;E0.50;N41.85;12;
2;España;Huesca;Albero Alto;;W0.35;N42.05;12;
2;España;Huesca;Albero Bajo;;W0.38;N42.03;12;
2;España;Huesca;Alberuela de Tubo;;W0.23;N41.90;12;
2;España;Huesca;Alcalá de Gurrea;;W0.69;N42.11;12;
2;España;Huesca;Alcalá del Obispo;;W0.28;N42.08;12;
2;España;Huesca;Alcampell;;E0.43;N41.88;12;
2;España;Huesca;Alcolea de Cinca;;E0.06;N41.73;12;
2;España;Huesca;Alcubierre;;W0.45;N41.79;12;
2;España;Huesca;Alerre;;W0.48;N42.16;12;
2;España;Huesca;Alfántega;;E0.15;N41.83;12;
2;España;Huesca;Almudévar;;W0.58;N42.06;12;
2;España;Huesca;Almunia de San Juan;;E0.24;N41.95;12;
2;España;Huesca;Almuniente;;W0.43;N41.94;12;
2;España;Huesca;Alquézar;;E0.01;N42.19;12;
2;España;Huesca;Altorricón;;E0.41;N41.79;12;
2;España;Huesca;Angüés;;W0.15;N42.08;12;
2;España;Huesca;Ansó;;W0.74;N42.79;12;
2;España;Huesca;Antillón;;W0.17;N42.03;12;
2;España;Huesca;Aragüés del Puerto;;W0.66;N42.72;12;
2;España;Huesca;Arén;;E0.72;N42.26;12;
2;España;Huesca;Argavieso;;W0.28;N42.05;12;
2;España;Huesca;Arguis;;W0.47;N42.32;12;
2;España;Huesca;Ayerbe;;W0.71;N42.24;12;
2;España;Huesca;Azanuy-Alins;;E0.32;N41.99;12;
2;España;Huesca;Azara;;W0.03;N42.07;12;
2;España;Huesca;Azlor;;W0.04;N42.10;12;
2;España;Huesca;Baélls;;E0.46;N41.96;12;
2;España;Huesca;Bailo;;W0.80;N42.50;12;
2;España;Huesca;Baldellou;;E0.57;N41.91;12;
2;España;Huesca;Ballobar;;E0.14;N41.60;12;
2;España;Huesca;Banastás;;W0.45;N42.19;12;
2;España;Huesca;Barbastro;;E0.13;N42.04;12;
2;España;Huesca;Barbués;;W0.44;N41.98;12;
2;España;Huesca;Barbuñales;;W0.10;N42.04;12;
2;España;Huesca;Bárcabo;;E0.06;N42.25;12;
2;España;Huesca;Belver de Cinca;;E0.24;N41.71;12;
2;España;Huesca;Benabarre;;E0.49;N42.09;12;
2;España;Huesca;Benasque;;E0.56;N42.63;12;
2;España;Huesca;Berbegal;;E0.01;N41.97;12;
2;España;Huesca;Bielsa;;E0.18;N42.68;12;
2;España;Huesca;Bierge;;W0.08;N42.24;12;
2;España;Huesca;Biescas;;W0.31;N42.63;12;
2;España;Huesca;Binaced;;E0.22;N41.81;12;
2;España;Huesca;Binéfar;;E0.30;N41.85;12;
2;España;Huesca;Bisaurri;;E0.54;N42.49;12;
2;España;Huesca;Biscarrués;;W0.73;N42.21;12;
2;España;Huesca;Blecua y Torres;;W0.19;N42.07;12;
2;España;Huesca;Boltaña;;E0.01;N42.42;12;
2;España;Huesca;Bonansa;;E0.69;N42.42;12;
2;España;Huesca;Borau;;W0.58;N42.68;12;
2;España;Huesca;Broto;;W0.16;N42.57;12;
2;España;Huesca;Caldearenas;;W0.48;N42.41;12;
2;España;Huesca;Campo;;E0.40;N42.43;12;
2;España;Huesca;Camporrélls;;E0.52;N41.94;12;
2;España;Huesca;Canal de Berdún;;W0.86;N42.61;12;
2;España;Huesca;Candasnos;;E0.07;N41.50;12;
2;España;Huesca;Canfranc;;W0.48;N42.76;12;
2;España;Huesca;Capdesaso;;W0.18;N41.85;12;
2;España;Huesca;Capella;;E0.44;N42.18;12;
2;España;Huesca;Casbas de Huesca;;W0.17;N42.20;12;
2;España;Huesca;Castejón de Monegros;;W0.22;N41.65;12;
2;España;Huesca;Castejón de Sos;;E0.53;N42.54;12;
2;España;Huesca;Castejón del Puente;;E0.14;N41.96;12;
2;España;Huesca;Castelflorite;;W0.02;N41.80;12;
2;España;Huesca;Castiello de Jaca;;W0.56;N42.65;12;
2;España;Huesca;Castigaleu;;E0.58;N42.20;12;
2;España;Huesca;Castillazuelo;;E0.06;N42.06;12;
2;España;Huesca;Castillonroy;;E0.55;N41.89;12;
2;España;Huesca;Chalamera;;E0.16;N41.66;12;
2;España;Huesca;Chía;;E0.44;N42.54;12;
2;España;Huesca;Chimillas;;W0.48;N42.16;12;
2;España;Huesca;Colungo;;E0.07;N42.19;12;
2;España;Huesca;Esplús;;E0.30;N41.77;12;
2;España;Huesca;Estada;;E0.25;N42.08;12;
2;España;Huesca;Estadilla;;E0.24;N42.04;12;
2;España;Huesca;Estopiñán del Castillo;;E0.55;N42.01;12;
2;España;Huesca;Fago;;W0.89;N42.73;12;
2;España;Huesca;Fanlo;;E0.01;N42.61;12;
2;España;Huesca;Fiscal;;W0.08;N42.49;12;
2;España;Huesca;Fonz;;E0.24;N42.01;12;
2;España;Huesca;Foradada del Toscar;;E0.36;N42.44;12;
2;España;Huesca;Fraga;;E0.20;N41.48;12;
2;España;Huesca;La Fueva;;E0.27;N42.37;12;
2;España;Huesca;Gistaín;;E0.37;N42.67;12;
2;España;Huesca;El Grado;;E0.20;N42.12;12;
2;España;Huesca;Grañén;;W0.34;N41.93;12;
2;España;Huesca;Graus;;E0.37;N42.20;12;
2;España;Huesca;Gurrea de Gállego;;W0.77;N42.03;12;
2;España;Huesca;Hoz de Jaca;;W0.30;N42.68;12;
2;España;Huesca;Hoz y Costean;;E0.15;N42.13;12;
2;España;Huesca;Huerto;;W0.18;N41.92;12;
2;España;Huesca;Huesca;;W0.41;N42.15;12;
2;España;Huesca;Ibieca;;W0.20;N42.16;12;
2;España;Huesca;Igriés;;W0.43;N42.21;12;
2;España;Huesca;Ilche;;E0.05;N41.94;12;
2;España;Huesca;Isábena;;E0.54;N42.31;12;
2;España;Huesca;Jaca;;W0.54;N42.58;12;
2;España;Huesca;Jasa;;W0.65;N42.70;12;
2;España;Huesca;Labuerda;;E0.12;N42.45;12;
2;España;Huesca;Laluenga;;W0.02;N42.01;12;
2;España;Huesca;Lalueza;;W0.25;N41.87;12;
2;España;Huesca;Lanaja;;W0.35;N41.74;12;
2;España;Huesca;Laperdiguera;;W0.05;N42.00;12;
2;España;Huesca;Lascellas-Ponzano;;W0.08;N42.07;12;
2;España;Huesca;Lascuarre;;E0.52;N42.19;12;
2;España;Huesca;Laspaúles;;E0.60;N42.48;12;
2;España;Huesca;Laspuña;;E0.18;N42.52;12;
2;España;Huesca;Loarre;;W0.65;N42.32;12;
2;España;Huesca;Loporzano;;W0.31;N42.21;12;
2;España;Huesca;Loscorrales;;W0.67;N42.20;12;
2;España;Huesca;Lupiñén-Ortilla;;W0.65;N42.15;12;
2;España;Huesca;Monesma y Cajigar;;E0.61;N42.22;12;
2;España;Huesca;Monflorite-Lascasas;;W0.37;N42.09;12;
2;España;Huesca;Montanuy;;E0.69;N42.55;12;
2;España;Huesca;Monzón;;E0.170;N41.902;10;
2;España;Huesca;Naval;;E0.17;N42.20;12;
2;España;Huesca;Novales;;W0.28;N42.04;12;
2;España;Huesca;Nueno;;W0.32;N42.29;12;
2;España;Huesca;Olvena;;E0.27;N42.11;12;
2;España;Huesca;Ontiñena;;E0.03;N41.63;12;
2;España;Huesca;Osso de Cinca;;E0.22;N41.66;12;
2;España;Huesca;Palo;;E0.24;N42.33;12;
2;España;Huesca;Panticosa;;W0.24;N42.75;12;
2;España;Huesca;Peñalba;;W0.03;N41.48;12;
2;España;Huesca;Las Peñas de Riglos;;W0.73;N42.41;12;
2;España;Huesca;Peralta de Alcofea;;W0.04;N41.89;12;
2;España;Huesca;Peralta de Calasanz;;E0.38;N41.99;12;
2;España;Huesca;Peraltilla;;W0.02;N42.05;12;
2;España;Huesca;Perarrúa;;E0.35;N42.27;12;
2;España;Huesca;Pertusa;;W0.13;N42.00;12;
2;España;Huesca;Piracés;;W0.31;N42.00;12;
2;España;Huesca;Plan;;E0.31;N42.55;12;
2;España;Huesca;Poleñino;;W0.32;N41.85;12;
2;España;Huesca;Pozán de Vero;;E0.03;N42.08;12;
2;España;Huesca;La Puebla de Castro;;E0.30;N42.14;12;
2;España;Huesca;Puente de Montañana;;E0.66;N42.17;12;
2;España;Huesca;Puente la Reina de Jaca;;W0.77;N42.58;12;
2;España;Huesca;Puértolas;;E0.13;N42.55;12;
2;España;Huesca;El Pueyo de Araguás;;E0.20;N42.46;12;
2;España;Huesca;Pueyo de Santa Cruz;;E0.16;N41.85;12;
2;España;Huesca;Quicena;;W0.35;N42.15;12;
2;España;Huesca;Robres;;W0.48;N41.86;12;
2;España;Huesca;Sabiñánigo;;W0.33;N42.48;12;
2;España;Huesca;Sahún;;E0.47;N42.61;12;
2;España;Huesca;Salas Altas;;E0.08;N42.12;12;
2;España;Huesca;Salas Bajas;;E0.09;N42.10;12;
2;España;Huesca;Salillas;;W0.17;N41.98;12;
2;España;Huesca;Sallent de Gállego;;W0.34;N42.79;12;
2;España;Huesca;San Esteban de Litera;;E0.35;N41.90;12;
2;España;Huesca;San Juan de Plan;;E0.39;N42.64;12;
2;España;Huesca;San Miguel del Cinca;;E0.09;N41.83;12;
2;España;Huesca;Sangarrén;;W0.45;N42.01;12;
2;España;Huesca;Santa Cilia;;W0.71;N42.56;12;
2;España;Huesca;Santa Cruz de la Serós;;W0.68;N42.54;12;
2;España;Huesca;Santa María de Dulcis;;E0.03;N42.13;12;
2;España;Huesca;Santaliestra y San Quílez;;E0.37;N42.31;12;
2;España;Huesca;Sariñena;;W0.17;N41.78;12;
2;España;Huesca;Secastilla;;E0.25;N42.19;12;
2;España;Huesca;Seira;;E0.39;N42.51;12;
2;España;Huesca;Sena;;W0.10;N41.68;12;
2;España;Huesca;Senés de Alcubierre;;W0.52;N41.90;12;
2;España;Huesca;Sesa;;W0.25;N41.99;12;
2;España;Huesca;Sesué;;E0.48;N42.55;12;
2;España;Huesca;Siétamo;;W0.25;N42.15;12;
2;España;Huesca;Sopeira;;E0.72;N42.35;12;
2;España;Huesca;La Sotonera;;W0.53;N42.24;12;
2;España;Huesca;Tamarite de Litera;;E0.39;N41.81;12;
2;España;Huesca;Tardienta;;W0.56;N41.96;12;
2;España;Huesca;Tella-Sin;;E0.21;N42.58;12;
2;España;Huesca;Tierz;;W0.35;N42.13;12;
2;España;Huesca;Tolva;;E0.57;N42.13;12;
2;España;Huesca;Torla;;W0.11;N42.68;12;
2;España;Huesca;Torralba de Aragón;;W0.53;N41.92;12;
2;España;Huesca;Torre la Ribera;;E0.54;N42.38;12;
2;España;Huesca;Torrente de Cinca;;E0.32;N41.46;12;
2;España;Huesca;Torres de Alcanadre;;W0.10;N41.95;12;
2;España;Huesca;Torres de Barbués;;W0.45;N41.96;12;
2;España;Huesca;Tramaced;;W0.30;N41.97;12;
2;España;Huesca;Valfarta;;W0.12;N41.55;12;
2;España;Huesca;Valle de Bardají;;E0.47;N42.43;12;
2;España;Huesca;Valle de Hecho;;W0.73;N42.72;12;
2;España;Huesca;Valle de Lierp;;E0.50;N42.38;12;
2;España;Huesca;Velilla de Cinca;;E0.26;N41.58;12;
2;España;Huesca;Vencillón;;E0.32;N41.71;12;
2;España;Huesca;Veracruz;;E0.60;N42.38;12;
2;España;Huesca;Viacamp y Litera;;E0.63;N42.07;12;
2;España;Huesca;Vicién;;W0.45;N42.05;12;
2;España;Huesca;Villanova;;E0.46;N42.55;12;
2;España;Huesca;Villanúa;;W0.51;N42.69;12;
2;España;Huesca;Villanueva de Sigena;;W0.03;N41.68;12;
2;España;Huesca;Yebra de Basa;;W0.24;N42.49;12;
2;España;Huesca;Yésero;;W0.22;N42.64;12;
2;España;Huesca;Zaidín;;E0.28;N41.62;12;
