Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Salamanca;Abusejo;;W6.13;N40.71;12;
2;España;Salamanca;Agallas;;W6.43;N40.42;12;
2;España;Salamanca;Ahigal de los Aceiteros;;W6.76;N40.86;12;
2;España;Salamanca;Ahigal de Villarino;;W6.37;N41.17;12;
2;España;Salamanca;La Alameda de Gardón;;W6.76;N40.64;12;
2;España;Salamanca;La Alamedilla;;W6.81;N40.46;12;
2;España;Salamanca;Alaraz;;W5.32;N40.72;12;
2;España;Salamanca;Alba de Tormes;;W5.515823;N40.841087;10;
2;España;Salamanca;Alba de Yeltes;;W6.33;N40.67;12;
2;España;Salamanca;La Alberca;;W6.13;N40.49;12;
2;España;Salamanca;La Alberguería de Argañán;;W6.80;N40.42;12;
2;España;Salamanca;Alconada;;W5.37;N40.91;12;
2;España;Salamanca;Aldea del Obispo;;W6.79;N40.71;12;
2;España;Salamanca;Aldeacipreste;;W5.90;N40.38;12;
2;España;Salamanca;Aldeadávila de la Ribera;;W6.64;N41.21;12;
2;España;Salamanca;Aldealengua;;W5.54;N40.99;12;
2;España;Salamanca;Aldeanueva de Figueroa;;W5.53;N41.16;12;
2;España;Salamanca;Aldeanueva de la Sierra;;W6.10;N40.61;12;
2;España;Salamanca;Aldearrodrigo;;W5.81;N41.11;12;
2;España;Salamanca;Aldearrubia;;W5.50;N41.00;12;
2;España;Salamanca;Aldeaseca de Alba;;W5.45;N40.82;12;
2;España;Salamanca;Aldeaseca de la Frontera;;W5.21;N40.94;12;
2;España;Salamanca;Aldeatejada;;W5.71;N40.91;12;
2;España;Salamanca;Aldeavieja de Tormes;;W5.63;N40.58;12;
2;España;Salamanca;Aldehuela de la Bóveda;;W6.07;N40.85;12;
2;España;Salamanca;Aldehuela de Yeltes;;W6.25;N40.65;12;
2;España;Salamanca;Almenara de Tormes;;W5.82;N41.07;12;
2;España;Salamanca;Almendra;;W6.33;N41.24;12;
2;España;Salamanca;Anaya de Alba;;W5.49;N40.73;12;
2;España;Salamanca;Añover de Tormes;;W5.92;N41.13;12;
2;España;Salamanca;Arabayona de Mógica;;W5.39;N41.05;12;
2;España;Salamanca;Arapiles;;W5.65;N40.89;12;
2;España;Salamanca;Arcediano;;W5.56;N41.10;12;
2;España;Salamanca;El Arco;;W5.83;N41.11;12;
2;España;Salamanca;Armenteros;;W5.48;N40.61;12;
2;España;Salamanca;La Atalaya;;W6.41;N40.51;12;
2;España;Salamanca;Babilafuente;;W5.43;N40.99;12;
2;España;Salamanca;Bañobárez;;W6.61;N40.79;12;
2;España;Salamanca;Barbadillo;;W5.81;N40.89;12;
2;España;Salamanca;Barbalos;;W5.94;N40.66;12;
2;España;Salamanca;Barceo;;W6.45;N41.07;12;
2;España;Salamanca;Barruecopardo;;W6.67;N41.06;12;
2;España;Salamanca;La Bastida;;W6.04;N40.58;12;
2;España;Salamanca;Béjar;;W5.77;N40.39;12;
2;España;Salamanca;Beleña;;W5.65;N40.74;12;
2;España;Salamanca;Bermellar;;W6.66;N41.01;12;
2;España;Salamanca;Berrocal de Huebra;;W6.00;N40.70;12;
2;España;Salamanca;Berrocal de Salvatierra;;W5.69;N40.64;12;
