Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Toledo;Ajofrín;;W3.98;N39.73;12;
2;España;Toledo;Alameda de la Sagra;;W3.81;N40.01;12;
2;España;Toledo;Albarreal de Tajo;;W4.22;N39.89;12;
2;España;Toledo;Alcabón;;W4.37;N40.00;12;
2;España;Toledo;Alcañizo;;W5.11;N39.91;12;
2;España;Toledo;Alcaudete de la Jara;;W4.85;N39.78;12;
2;España;Toledo;Alcolea de Tajo;;W5.13;N39.81;12;
2;España;Toledo;Aldea en Cabo;;W4.47;N40.19;12;
2;España;Toledo;Aldeanueva de Barbarroya;;W5.02;N39.74;12;
2;España;Toledo;Aldeanueva de San Bartolomé;;W5.11;N39.65;12;
2;España;Toledo;Almendral de la Cañada;;W4.75;N40.19;12;
2;España;Toledo;Almonacid de Toledo;;W3.84;N39.80;12;
2;España;Toledo;Almorox;;W4.38;N40.25;12;
2;España;Toledo;Añover de Tajo;;W3.77;N39.98;12;
2;España;Toledo;Arcicóllar;;W4.10;N40.06;12;
2;España;Toledo;Argés;;W4.11;N39.83;12;
2;España;Toledo;Azután;;W5.13;N39.77;12;
2;España;Toledo;Barcience;;W4.23;N39.98;12;
2;España;Toledo;Bargas;;W4.07;N39.96;12;
2;España;Toledo;Belvís de la Jara;;W4.94;N39.77;12;
2;España;Toledo;Borox;;W3.72;N40.06;12;
2;España;Toledo;Buenaventura;;W4.87;N40.17;12;
2;España;Toledo;Burguillos de Toledo;;W4.00;N39.79;12;
2;España;Toledo;Burujón;;W4.299;N39.902;10;
2;España;Toledo;Cabañas de la Sagra;;W3.95;N40.00;12;
2;España;Toledo;Cabañas de Yepes;;W3.53;N39.89;12;
2;España;Toledo;Cabezamesada;;W3.08;N39.81;12;
2;España;Toledo;Calera y Chozas;;W5.01;N39.88;12;
2;España;Toledo;Caleruela;;W5.26;N39.87;12;
2;España;Toledo;Calzada de Oropesa;;W5.30;N39.98;12;
2;España;Toledo;Camarena;;W4.11;N40.10;12;
2;España;Toledo;Camarenilla;;W4.09;N40.01;12;
2;España;Toledo;El Campillo de la Jara;;W5.04;N39.60;12;
2;España;Toledo;Camuñas;;W3.49;N39.38;12;
2;España;Toledo;Cardiel de los Montes;;W4.64;N40.07;12;
2;España;Toledo;Carmena;;W4.39;N39.94;12;
2;España;Toledo;El Carpio de Tajo;;W4.47;N39.86;12;
2;España;Toledo;Carranque;;W3.93;N40.18;12;
2;España;Toledo;Carriches;;W4.46;N39.96;12;
2;España;Toledo;El Casar de Escalona;;W4.52;N40.06;12;
2;España;Toledo;Casarrubios del Monte;;W4.07;N40.20;12;
2;España;Toledo;Casasbuenas;;W4.10;N39.77;12;
2;España;Toledo;Castillo de Bayuela;;W4.68;N40.09;12;
2;España;Toledo;Cazalegas;;W4.70;N40.00;12;
2;España;Toledo;Cebolla;;W4.56;N39.94;12;
2;España;Toledo;Cedillo del Condado;;W3.93;N40.10;12;
2;España;Toledo;Los Cerralbos;;W4.58;N40.02;12;
2;España;Toledo;Cervera de los Montes;;W4.83;N40.06;12;
2;España;Toledo;Chozas de Canales;;W4.05;N40.11;12;
2;España;Toledo;Chueca;;W3.94;N39.73;12;
2;España;Toledo;Ciruelos;;W3.62;N39.95;12;
2;España;Toledo;Cobeja;;W3.85;N40.01;12;
2;España;Toledo;Cobisa;;W4.02;N39.80;12;
2;España;Toledo;Consuegra;;W3.61;N39.46;10;
2;España;Toledo;Corral de Almaguer;;W3.19;N39.75;12;
2;España;Toledo;Cuerva;;W4.21;N39.66;12;
2;España;Toledo;Domingo Pérez;;W4.50;N39.98;12;
2;España;Toledo;Dosbarrios;;W3.49;N39.85;12;
2;España;Toledo;Erustes;;W4.50;N39.96;12;
2;España;Toledo;Escalona;;W4.39;N40.15;12;
2;España;Toledo;Escalonilla;;W4.342;N39.922;10;
2;España;Toledo;Espinoso del Rey;;W4.79;N39.64;12;
2;España;Toledo;Esquivias;;W3.75;N40.11;12;
2;España;Toledo;La Estrella;;W5.08;N39.69;12;
2;España;Toledo;Fuensalida;;W4.18;N40.06;12;
2;España;Toledo;Gálvez;;W4.28;N39.73;12;
2;España;Toledo;Garciotum;;W4.64;N40.12;12;
2;España;Toledo;Gerindote;;W4.27;N39.95;12;
2;España;Toledo;Guadamur;;W4.14;N39.83;12;
2;España;Toledo;La Guardia;;W3.58;N39.80;12;
2;España;Toledo;Las Herencias;;W4.83;N39.89;12;
2;España;Toledo;Herreruela de Oropesa;;W5.24;N39.90;12;
2;España;Toledo;Hinojosa de San Vicente;;W4.74;N40.11;12;
2;España;Toledo;Hontanar;;W4.53;N39.56;12;
2;España;Toledo;Hormigos;;W4.46;N40.09;12;
2;España;Toledo;Huecas;;W4.20;N40.02;12;
2;España;Toledo;Huerta de Valdecarábanos;;W3.62;N39.83;12;
2;España;Toledo;La Iglesuela;;W4.74;N40.23;12;
2;España;Toledo;Illán de Vacas;;W4.56;N39.97;12;
2;España;Toledo;Illescas;;W3.85;N40.13;10;
2;España;Toledo;Lagartera;;W5.23;N39.98;12;
2;España;Toledo;Layos;;W4.06;N39.77;12;
2;España;Toledo;Lillo;;W3.35;N39.71;12;
2;España;Toledo;Lominchar;;W3.98;N40.09;12;
2;España;Toledo;Lucillos;;W4.62;N40.00;12;
2;España;Toledo;Madridejos;;W3.54;N39.44;12;
2;España;Toledo;Magán;;W3.93;N39.97;12;
2;España;Toledo;Malpica de Tajo;;W4.57;N39.89;12;
2;España;Toledo;Manzaneque;;W3.79;N39.64;12;
2;España;Toledo;Maqueda;;W4.35;N40.08;12;
2;España;Toledo;Marjaliza;;W3.96;N39.55;12;
2;España;Toledo;Marrupe;;W4.81;N40.09;12;
2;España;Toledo;Mascaraque;;W3.80;N39.75;12;
2;España;Toledo;La Mata;;W4.45;N39.93;12;
2;España;Toledo;Mazarambroz;;W4.07;N39.64;12;
2;España;Toledo;Mejorada;;W4.93;N40.02;12;
2;España;Toledo;Menasalbas;;W4.37;N39.62;12;
2;España;Toledo;Méntrida;;W4.17;N40.23;12;
2;España;Toledo;Mesegar de Tajo;;W4.50;N39.92;12;
2;España;Toledo;Miguel Esteban;;W3.10;N39.52;12;
2;España;Toledo;Mocejón;;W3.91;N39.92;12;
