Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Valencia;Ademuz;;W1.22;N40.08;12;
2;España;Valencia;Ador;;W0.25;N38.93;12;
2;España;Valencia;Agullent;;W0.55;N38.84;12;
2;España;Valencia;Aielo de Malferit;;W0.60;N38.89;12;
2;España;Valencia;Aielo de Rugat;;W0.34;N38.88;12;
2;España;Valencia;Alaquàs;;W0.46;N39.46;12;
2;España;Valencia;Albaida;;W0.53;N38.85;12;
2;España;Valencia;Albal;;W0.41;N39.39;12;
2;España;Valencia;Albalat de la Ribera;;W0.37;N39.22;12;
2;España;Valencia;Albalat dels Sorells;;W0.34;N39.55;12;
2;España;Valencia;Albalat dels Tarongers;;W0.36;N39.68;12;
2;España;Valencia;Alberic;;W0.52;N39.12;12;
2;España;Valencia;Alborache;;W0.76;N39.38;12;
2;España;Valencia;Alboraya;;W0.34;N39.50;12;
2;España;Valencia;Albuixech;;W0.32;N39.54;12;
2;España;Valencia;Alcàntera de Xúquer;;W0.56;N39.07;12;
2;España;Valencia;Alcàsser;;W0.45;N39.38;12;
2;España;Valencia;Alcublas;;W0.69;N39.81;12;
2;España;Valencia;l'Alcúdia;;W0.51;N39.18;12;
2;España;Valencia;l'Alcúdia de Crespins;;W0.60;N38.97;12;
2;España;Valencia;Aldaia;;W0.46;N39.46;12;
2;España;Valencia;Alfafar;;W0.37;N39.41;12;
2;España;Valencia;Alfara de Algimia;;W0.35;N39.77;12;
2;España;Valencia;Alfara del Patriarca;;W0.38;N39.54;12;
2;España;Valencia;Alfarp;;W0.53;N39.28;12;
2;España;Valencia;Alfarrasí;;W0.50;N38.91;12;
2;España;Valencia;Alfauir;;W0.24;N38.93;12;
2;España;Valencia;Algar de Palancia;;W0.37;N39.78;12;
2;España;Valencia;Algemesí;;W0.42;N39.21;12;
2;España;Valencia;Algimia de Alfara;;W0.39;N39.74;12;
2;España;Valencia;Alginet;;W0.47;N39.26;12;
2;España;Valencia;Almàssera;;W0.35;N39.52;12;
2;España;Valencia;Almiserà;;W0.28;N38.92;12;
2;España;Valencia;Almoines;;W0.18;N38.95;12;
2;España;Valencia;Almussafes;;W0.41;N39.30;12;
2;España;Valencia;Alpuente;;W1.03;N39.92;12;
2;España;Valencia;l'Alqueria de la Comtessa;;W0.15;N38.94;12;
2;España;Valencia;Alzira;;W0.51;N39.14;12;
2;España;Valencia;Andilla;;W0.79;N39.83;12;
2;España;Valencia;Anna;;W0.64;N39.01;12;
2;España;Valencia;Antella;;W0.60;N39.09;12;
2;España;Valencia;Aras de los Olmos;;W1.16;N39.94;12;
2;España;Valencia;Atzeneta d'Albaida;;W0.49;N38.83;12;
2;España;Valencia;Ayora;;W1.00;N39.03;12;
2;España;Valencia;Barx;;W0.31;N39.01;12;
2;España;Valencia;Barxeta;;W0.43;N39.02;12;
2;España;Valencia;Bèlgida;;W0.46;N38.87;12;
2;España;Valencia;Bellreguard;;W0.15;N38.95;12;
2;España;Valencia;Bellús;;W0.50;N38.95;12;
2;España;Valencia;Benagéber;;W1.13;N39.73;12;
2;España;Valencia;Benaguasil;;W0.61;N39.59;12;
2;España;Valencia;Benavites;;W0.24;N39.74;12;
2;España;Valencia;Beneixida;;W0.55;N39.07;12;
2;España;Valencia;Benetússer;;W0.40;N39.42;12;
2;España;Valencia;Beniarjó;;W0.19;N38.94;12;
2;España;Valencia;Beniatjar;;W0.42;N38.86;12;
2;España;Valencia;Benicolet;;W0.34;N38.92;12;
2;España;Valencia;Benicull de Xúquer;;W0.38;N39.18;12;
2;España;Valencia;Benifaió;;W0.44;N39.29;12;
2;España;Valencia;Benifairó de la Valldigna;;W0.30;N39.06;12;
2;España;Valencia;Benifairó de les Valls;;W0.27;N39.72;12;
2;España;Valencia;Beniflá;;W0.19;N38.93;12;
2;España;Valencia;Benigánim;;W0.45;N38.95;12;
2;España;Valencia;Benimodo;;W0.54;N39.17;12;
2;España;Valencia;Benimuslem;;W0.49;N39.14;12;
2;España;Valencia;Beniparrell;;W0.41;N39.38;12;
2;España;Valencia;Benirredrà;;W0.19;N38.96;12;
2;España;Valencia;Benisanó;;W0.58;N39.62;12;
2;España;Valencia;Benissoda;;W0.53;N38.83;12;
2;España;Valencia;Benisuera;;W0.48;N38.91;12;
2;España;Valencia;Bétera;;W0.47;N39.59;12;
2;España;Valencia;Bicorp;;W0.84;N39.11;12;
2;España;Valencia;Bocairent;;W0.61;N38.74;12;
2;España;Valencia;Bolbaite;;W0.76;N39.05;12;
2;España;Valencia;Bonrepòs i Mirambell;;W0.37;N39.52;12;
2;España;Valencia;Bufali;;W0.50;N38.87;12;
2;España;Valencia;Bugarra;;W0.78;N39.62;12;
2;España;Valencia;Buñol;;W0.87;N39.42;12;
2;España;Valencia;Burjassot;;W0.41;N39.51;12;
2;España;Valencia;Calles;;W0.98;N39.73;12;
2;España;Valencia;Camporrobles;;W1.37;N39.62;12;
2;España;Valencia;Canals;;W0.59;N38.97;12;
2;España;Valencia;Canet d'En Berenguer;;W0.22;N39.68;12;
2;España;Valencia;Carcaixent;;W0.46;N39.11;12;
2;España;Valencia;Càrcer;;W0.57;N39.06;12;
2;España;Valencia;Carlet;;W0.52;N39.23;12;
2;España;Valencia;Carrícola;;W0.47;N38.84;12;
2;España;Valencia;Casas Altas;;W1.26;N40.03;12;
2;España;Valencia;Casas Bajas;;W1.27;N40.02;12;
2;España;Valencia;Casinos;;W0.74;N39.70;12;
2;España;Valencia;Castelló de Rugat;;W0.38;N38.88;12;
2;España;Valencia;Castellonet de la Conquesta;;W0.26;N38.91;12;
2;España;Valencia;Castielfabib;;W1.32;N40.14;12;
2;España;Valencia;Catadau;;W0.58;N39.26;12;
2;España;Valencia;Catarroja;;W0.40;N39.40;12;
2;España;Valencia;Caudete de las Fuentes;;W1.29;N39.55;12;
2;España;Valencia;Cerdà;;W0.59;N38.99;12;
2;España;Valencia;Chella;;W0.69;N39.05;12;
2;España;Valencia;Chelva;;W1.02;N39.73;12;
2;España;Valencia;Chera;;W0.94;N39.58;12;
2;España;Valencia;Cheste;;W0.71;N39.52;12;
2;España;Valencia;Chiva;;W0.73;N39.48;12;
2;España;Valencia;Chulilla;;W0.85;N39.65;12;
2;España;Valencia;Cofrentes;;W1.09;N39.26;12;
2;España;Valencia;Corbera;;W0.34;N39.16;12;
2;España;Valencia;Cortes de Pallás;;W0.91;N39.24;12;
2;España;Valencia;Cotes;;W0.59;N39.06;12;
2;España;Valencia;Cullera;;W0.25;N39.16;12;
2;España;Valencia;Daimús;;W0.15;N38.97;12;
2;España;Valencia;Domeño;;W0.93;N39.69;12;
2;España;Valencia;Dos Aguas;;W0.79;N39.27;12;
2;España;Valencia;l'Eliana;;W0.53;N39.57;12;
2;España;Valencia;Emperador;;W0.34;N39.56;12;
2;España;Valencia;Enguera;;W0.85;N38.99;12;
2;España;Valencia;l'Ènova;;W0.46;N39.05;12;
2;España;Valencia;Estivella;;W0.36;N39.72;12;
2;España;Valencia;Estubeny;;W0.61;N39.01;12;
2;España;Valencia;Faura;;W0.26;N39.73;12;
2;España;Valencia;Favara;;W0.30;N39.12;12;
2;España;Valencia;Foios;;W0.35;N39.54;12;
2;España;Valencia;la Font de la Figuera;;W0.86;N38.82;12;
2;España;Valencia;la Font d'En Carròs;;W0.16;N38.92;12;
2;España;Valencia;Fontanars dels Alforins;;W0.78;N38.78;12;
2;España;Valencia;Fortaleny;;W0.31;N39.18;12;
2;España;Valencia;Fuenterrobles;;W1.37;N39.59;12;
2;España;Valencia;Gandia;;W0.20;N38.99;12;
2;España;Valencia;Gátova;;W0.49;N39.56;12;
2;España;Valencia;Gavarda;;W0.55;N39.09;12;
2;España;Valencia;Genovés;;W0.48;N38.99;12;
2;España;Valencia;Gestalgar;;W0.85;N39.58;12;
2;España;Valencia;Gilet;;W0.33;N39.67;12;
2;España;Valencia;Godella;;W0.42;N39.53;12;
2;España;Valencia;Godelleta;;W0.69;N39.43;12;
2;España;Valencia;la Granja de la Costera;;W0.56;N38.99;12;
2;España;Valencia;Guadasequies;;W0.49;N38.93;12;
2;España;Valencia;Guadassuar;;W0.52;N39.18;12;
2;España;Valencia;Guardamar de la Safor;;W0.15;N38.96;12;
2;España;Valencia;Higueruelas;;W0.86;N39.77;12;
2;España;Valencia;Jalance;;W1.12;N39.21;12;
2;España;Valencia;Jarafuel;;W1.08;N39.15;12;
2;España;Valencia;Llanera de Ranes;;W0.59;N39.00;12;
2;España;Valencia;Llaurí;;W0.32;N39.14;12;
2;España;Valencia;Llíria;;W0.65;N39.66;12;
2;España;Valencia;Llocnou de la Corona;;W0.38;N39.42;12;
2;España;Valencia;Llocnou de Sant Jeroni;;W0.29;N38.90;12;
2;España;Valencia;Llocnou d'En Fenollet;;W0.47;N39.01;12;
2;España;Valencia;Llombai;;W0.57;N39.30;12;
2;España;Valencia;la Llosa de Ranes;;W0.54;N39.03;12;
