Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Valladolid;Adalia;;W5.13;N41.64;12;
2;España;Valladolid;Aguasal;;W4.63;N41.30;12;
2;España;Valladolid;Aguilar de Campos;;W5.20;N41.98;12;
2;España;Valladolid;Alaejos;;W5.22;N41.31;10;
2;España;Valladolid;Alcazarén;;W4.67;N41.38;12;
2;España;Valladolid;Aldea de San Miguel;;W4.61;N41.45;12;
2;España;Valladolid;Aldeamayor de San Martín;;W4.64;N41.53;12;
2;España;Valladolid;Almenara de Adaja;;W4.68;N41.21;12;
2;España;Valladolid;Amusquillo;;W4.29;N41.75;12;
2;España;Valladolid;Arroyo de la Encomienda;;W4.79;N41.62;12;
2;España;Valladolid;Ataquines;;W4.78;N41.19;12;
2;España;Valladolid;Bahabón;;W4.28;N41.48;12;
2;España;Valladolid;Barcial de la Loma;;W5.28;N41.95;12;
2;España;Valladolid;Barruelo del Valle;;W5.08;N41.68;12;
2;España;Valladolid;Becilla de Valderaduey;;W5.20;N42.10;12;
2;España;Valladolid;Benafarces;;W5.28;N41.62;12;
2;España;Valladolid;Bercero;;W5.07;N41.56;12;
2;España;Valladolid;Berceruelo;;W5.02;N41.59;12;
2;España;Valladolid;Berrueces;;W5.10;N41.95;12;
2;España;Valladolid;Bobadilla del Campo;;W5.04;N41.18;12;
2;España;Valladolid;Bocigas;;W4.69;N41.24;12;
2;España;Valladolid;Bocos de Duero;;W4.06;N41.62;12;
2;España;Valladolid;Boecillo;;W4.73;N41.54;12;
2;España;Valladolid;Bolaños de Campos;;W5.27;N42.01;12;
2;España;Valladolid;Brahojos de Medina;;W5.04;N41.22;12;
2;España;Valladolid;Bustillo de Chaves;;W5.11;N42.12;12;
2;España;Valladolid;Cabezón de Pisuerga;;W4.646;N41.736;10;
2;España;Valladolid;Cabezón de Valderaduey;;W5.17;N42.17;12;
2;España;Valladolid;Cabreros del Monte;;W5.28;N41.84;12;
2;España;Valladolid;Campaspero;;W4.23;N41.50;12;
2;España;Valladolid;El Campillo;;W6.64;N37.69;12;
2;España;Valladolid;Camporredondo;;W4.51;N41.47;12;
2;España;Valladolid;Canalejas de Peñafiel;;W4.11;N41.52;12;
2;España;Valladolid;Canillas de Esgueva;;W4.14;N41.76;12;
2;España;Valladolid;Carpio;;W5.11;N41.22;12;
2;España;Valladolid;Casasola de Arión;;W5.25;N41.58;12;
2;España;Valladolid;Castrejón de Trabancos;;W5.18;N41.25;12;
2;España;Valladolid;Castrillo de Duero;;W4.01;N41.58;12;
2;España;Valladolid;Castrillo-Tejeriego;;W4.37;N41.69;12;
2;España;Valladolid;Castrobol;;W5.31;N42.14;12;
2;España;Valladolid;Castrodeza;;W4.95;N41.65;12;
2;España;Valladolid;Castromembibre;;W5.31;N41.68;12;
2;España;Valladolid;Castromonte;;W5.06;N41.76;12;
2;España;Valladolid;Castronuevo de Esgueva;;W4.59;N41.67;12;
2;España;Valladolid;Castronuño;;W5.25;N41.41;12;
2;España;Valladolid;Castroponce;;W5.17;N42.12;12;
2;España;Valladolid;Castroverde de Cerrato;;W4.24;N41.75;12;
2;España;Valladolid;Ceinos de Campos;;W5.15;N42.03;12;
2;España;Valladolid;Cervillego de la Cruz;;W4.97;N41.18;12;
2;España;Valladolid;Cigales;;W4.72;N41.78;12;
2;España;Valladolid;Ciguñuela;;W4.86;N41.64;12;
2;España;Valladolid;Cistérniga;;W4.65;N41.59;12;
2;España;Valladolid;Cogeces de Íscar;;W4.54;N41.41;12;
2;España;Valladolid;Cogeces del Monte;;W4.33;N41.54;12;
2;España;Valladolid;Corcos;;W4.66;N41.79;12;
2;España;Valladolid;Corrales de Duero;;W4.06;N41.68;12;
2;España;Valladolid;Cubillas de Santa Marta;;W4.60;N41.82;12;
2;España;Valladolid;Cuenca de Campos;;W5.05;N42.04;12;
2;España;Valladolid;Curiel de Duero;;W4.09;N41.65;12;
