Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Vizcaya;Abadiño;;W2.62;N43.13;12;
2;España;Vizcaya;Abanto y Ciérvana-Abanto Zierbena;;W3.09;N43.35;12;
2;España;Vizcaya;Ajangiz;;W2.67;N43.30;12;
2;España;Vizcaya;Alonsotegi;;W2.98;N43.23;12;
2;España;Vizcaya;Amorebieta-Etxano;;W2.71;N43.22;12;
2;España;Vizcaya;Amoroto;;W2.50;N43.32;12;
2;España;Vizcaya;Arakaldo;;W2.93;N43.15;12;
2;España;Vizcaya;Arantzazu;;W2.78;N43.15;12;
2;España;Vizcaya;Areatza;;W2.78;N43.11;12;
2;España;Vizcaya;Arrankudiaga;;W2.92;N43.17;12;
2;España;Vizcaya;Arratzu;;W2.64;N43.31;12;
2;España;Vizcaya;Arrieta;;W2.76;N43.35;12;
2;España;Vizcaya;Arrigorriaga;;W2.887;N43.209;10;
2;España;Vizcaya;Artea;;W2.79;N43.13;12;
2;España;Vizcaya;Artzentales;;W3.24;N43.23;12;
2;España;Vizcaya;Atxondo;;W2.58;N43.11;12;
2;España;Vizcaya;Aulesti;;W2.48;N43.30;12;
2;España;Vizcaya;Bakio;;W2.81;N43.43;12;
2;España;Vizcaya;Balmaseda;;W3.21;N43.19;10;
2;España;Vizcaya;Barakaldo;;W2.99;N43.30;12;
2;España;Vizcaya;Barrika;;W2.96;N43.41;12;
2;España;Vizcaya;Basauri;;W2.88;N43.22;12;
2;España;Vizcaya;Bedia;;W2.82;N43.20;12;
2;España;Vizcaya;Berango;;W2.97;N43.36;12;
2;España;Vizcaya;Bermeo;;W2.72;N43.42;10;
2;España;Vizcaya;Berriatua;;W2.46;N43.32;12;
2;España;Vizcaya;Berriz;;W2.59;N43.19;12;
2;España;Vizcaya;Bilbao;;W2.93;N43.26;10;
2;España;Vizcaya;Busturia;;W2.70;N43.38;12;
2;España;Vizcaya;Derio;;W2.88;N43.28;12;
2;España;Vizcaya;Dima;;W2.73;N43.13;12;
2;España;Vizcaya;Durango;;W2.650;N43.165;10;
2;España;Vizcaya;Ea;;W2.58;N43.38;12;
2;España;Vizcaya;Elantxobe;;W2.64;N43.40;12;
2;España;Vizcaya;Elorrio;;W2.537;N43.128;10;
2;España;Vizcaya;Erandio;;W2.95;N43.32;12;
2;España;Vizcaya;Ereño;;W2.61;N43.36;12;
2;España;Vizcaya;Ermua;;W2.50;N43.19;10;
2;España;Vizcaya;Errigoiti;;W2.73;N43.33;12;
2;España;Vizcaya;Etxebarri;;W2.88;N43.25;12;
2;España;Vizcaya;Etxebarria;;W2.47;N43.26;12;
2;España;Vizcaya;Forua;;W2.68;N43.34;12;
2;España;Vizcaya;Fruiz;;W2.79;N43.33;12;
2;España;Vizcaya;Galdakao;;W2.85;N43.23;12;
2;España;Vizcaya;Galdames;;W3.11;N43.27;12;
2;España;Vizcaya;Gamiz-Fika;;W2.81;N43.32;12;
2;España;Vizcaya;Garai;;W2.62;N43.20;12;
2;España;Vizcaya;Gatika;;W2.88;N43.36;12;
2;España;Vizcaya;Gautegiz Arteaga;;W2.66;N43.36;12;
2;España;Vizcaya;Gernika-Lumo;;W2.68;N43.31;12;
2;España;Vizcaya;Getxo;;W3.02;N43.36;12;
2;España;Vizcaya;Gizaburuaga;;W2.54;N43.33;12;
2;España;Vizcaya;Gordexola;;W3.07;N43.18;12;
2;España;Vizcaya;Gorliz;;W2.94;N43.42;12;
2;España;Vizcaya;Güeñes;;W3.05;N43.22;12;
2;España;Vizcaya;Ibarrangelu;;W2.66;N43.40;12;
2;España;Vizcaya;Igorre;;W2.78;N43.18;12;
2;España;Vizcaya;Ispaster;;W2.54;N43.36;12;
2;España;Vizcaya;Iurreta;;W2.66;N43.19;12;
2;España;Vizcaya;Izurtza;;W2.65;N43.15;12;
2;España;Vizcaya;Karrantza Harana/Valle de Carranza;;W3.35;N43.22;12;
2;España;Vizcaya;Kortezubi;;W2.64;N43.33;12;
2;España;Vizcaya;Lanestosa;;W3.44;N43.22;12;
2;España;Vizcaya;Larrabetzu;;W2.79;N43.27;12;
2;España;Vizcaya;Laukiz;;W2.91;N43.35;12;
2;España;Vizcaya;Leioa;;W2.98;N43.33;12;
2;España;Vizcaya;Lekeitio;;W2.50;N43.37;12;
2;España;Vizcaya;Lemoa;;W2.78;N43.22;12;
2;España;Vizcaya;Lemoiz;;W2.89;N43.43;12;
2;España;Vizcaya;Lezama;;W2.82;N43.27;12;
2;España;Vizcaya;Loiu;;W2.91;N43.31;12;
2;España;Vizcaya;Mallabia;;W2.53;N43.21;12;
2;España;Vizcaya;Mañaria;;W2.66;N43.13;12;
2;España;Vizcaya;Markina-Xemein;;W2.48;N43.26;12;
2;España;Vizcaya;Maruri-Jatabe;;W2.86;N43.39;12;
2;España;Vizcaya;Mendata;;W2.64;N43.28;12;
2;España;Vizcaya;Mendexa;;W2.48;N43.35;12;
2;España;Vizcaya;Meñaka;;W2.80;N43.37;12;
2;España;Vizcaya;Morga;;W2.76;N43.31;12;
2;España;Vizcaya;Mundaka;;W2.70;N43.41;12;
2;España;Vizcaya;Mungia;;W2.84;N43.35;12;
2;España;Vizcaya;Munitibar-Arbatzegi Gerrikaitz;;W2.59;N43.26;12;
2;España;Vizcaya;Murueta;;W2.68;N43.36;12;
2;España;Vizcaya;Muskiz;;W3.13;N43.33;12;
2;España;Vizcaya;Muxika;;W2.68;N43.25;12;
2;España;Vizcaya;Nabarniz;;W2.59;N43.33;12;
2;España;Vizcaya;Ondarroa;;W2.43;N43.33;12;
2;España;Vizcaya;Orozko;;W2.92;N43.12;12;
2;España;Vizcaya;Ortuella;;W3.05;N43.31;12;
2;España;Vizcaya;Otxandio;;W2.66;N43.04;12;
2;España;Vizcaya;Plentzia;;W2.93;N43.40;12;
2;España;Vizcaya;Portugalete;;W3.02;N43.32;12;
2;España;Vizcaya;Santurtzi;;W3.04;N43.33;12;
2;España;Vizcaya;Sestao;;W2.99;N43.31;12;
2;España;Vizcaya;Sondika;;W2.93;N43.29;12;
2;España;Vizcaya;Sopelana;;W2.98;N43.38;12;
2;España;Vizcaya;Sopuerta;;W3.165;N43.259;10;
2;España;Vizcaya;Sukarrieta;;W2.70;N43.39;12;
2;España;Vizcaya;Trucios-Turtzioz;;W3.28;N43.29;12;
2;España;Vizcaya;Ubide;;W2.69;N43.03;12;
2;España;Vizcaya;Ugao-Miraballes;;W2.90;N43.19;12;
2;España;Vizcaya;Urduliz;;W2.94;N43.37;12;
2;España;Vizcaya;Urduña-Orduña;;W3.02;N43.01;12;
2;España;Vizcaya;Valle de Trápaga-Trapagaran;;W3.08;N43.30;12;
2;España;Vizcaya;Zaldibar;;W2.52;N43.17;12;
2;España;Vizcaya;Zalla;;W3.133;N43.217;10;
2;España;Vizcaya;Zamudio;;W2.88;N43.29;12;
2;España;Vizcaya;Zaratamo;;W2.87;N43.21;12;
2;España;Vizcaya;Zeanuri;;W2.74;N43.07;12;
2;España;Vizcaya;Zeberio;;W2.87;N43.16;12;
2;España;Vizcaya;Zierbena;;W3.09;N43.35;12;
2;España;Vizcaya;Ziortza-Bolibar;;W2.57;N43.25;12;
