Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
1;España;Álava;;;W2.6;N42.9;8;
1;España;Albacete;;;W2.0;N38.8;7;
1;España;Alicante;;;W0.7;N38.4;8;
1;España;Almería;;;W2.3;N37.0;8;
1;España;Ávila;;;W5;N40.7;8;
1;España;Badajoz;;;W6.1;N38.7;6;
1;España;Islas Baleares;;;E3.0;N39.6;7;
1;España;Barcelona;;;W2.0;N41.7;7;
1;España;Burgos;;;W3.7;N42.3;7;
1;España;Cáceres;;;W6.0;N39.7;7;
1;España;Cádiz;;;W5.8;N36.5;7;
1;España;Castellón;;;W0.2;N40.2;7;
1;España;Ciudad Real;;;W4.0;N39.0;7;
1;España;Córdoba;;;W4.8;N38.0;7;
1;España;A Coruña;;;W8.4;N43.1;7;
1;España;Cuenca;;;W2.0;N40.0;7;
1;España;Girona;;;E2.8;N42.0;7;
1;España;Granada;;;W3.4;N37.2;8;
1;España;Guadalajara;;;W2.5;N40.8;7;
1;España;Guipúzcoa;;;W2.2;N43.2;7;
1;España;Huelva;;;W7.0;N37.7;7;
1;España;Huesca;;;W0.2;N42.2;7;
1;España;Jaén;;;W3.5;N38.0;7;
1;España;León;;;W6.0;N42.7;7;
1;España;Lleida;;;E0.6;N41.6;7;
1;España;La Rioja;;;W2.5;N42.3;7;
1;España;Lugo;;;W7.5;N43.0;7;
1;España;Madrid;;;W3.7;N40.4;7;
1;España;Málaga;;;W4.8;N36.8;7;
1;España;Murcia;;;W1.5;N38.0;7;
1;España;Navarra;;;W1.7;N42.8;7;
1;España;Ourense;;;W7.5;N42.2;7;
1;España;Asturias;;;W5.9;N43.3;8;
1;España;Palencia;;;W4.5;N42.4;7;
1;España;Las Palmas;;;W14.3;N28.3;7;
1;España;Pontevedra;;;W8.5;N42.5;7;
1;España;Salamanca;;;W6.0;N40.8;7;
1;España;Santa Cruz de Tenerife;;;W17.3;N28.2;7;
1;España;Cantabria;;;W4.1;N43.3;7;
1;España;Segovia;;;W4.0;N41.2;7;
1;España;Sevilla;;;W5.5;N37.5;8;
1;España;Soria;;;W2.7;N41.7;7;
1;España;Tarragona;;;E1.0;N41.2;7;
1;España;Teruel;;;W0.7;N40.7;7;
1;España;Toledo;;;W4.0;N39.8;7;
1;España;Valencia;;;W0.8;N39.3;7;
1;España;Valladolid;;;W4.7;N41.6;7;
1;España;Vizcaya;;;W2.9;N43.2;7;
1;España;Zamora;;;W6.0;N41.8;7;
1;España;Zaragoza;;;W1.0;N41.6;7;
1;España;Ceuta;;;W5.31;N35.89;12;
1;España;Melilla;;;W2.94;N35.29;12;
