Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;France;Alsace;Bas-Rhin;;E7.5421;N48.5602;9;
3;France;Alsace;Bas-Rhin;Achenheim 67001;E7.6333;N48.5833;13;
3;France;Alsace;Bas-Rhin;Adamswiller 67002;E7.2000;N48.9000;13;
3;France;Alsace;Bas-Rhin;Albé 67003;E7.3167;N48.3500;13;
3;France;Alsace;Bas-Rhin;Allenwiller 67004;E7.3833;N48.6667;13;
3;France;Alsace;Bas-Rhin;Alteckendorf 67005;E7.6000;N48.7833;13;
3;France;Alsace;Bas-Rhin;Altenheim 67006;E7.4637;N48.7185;13;
3;France;Alsace;Bas-Rhin;Altenstadt 67007=67544;E7.9667;N49.0333;13;
3;France;Alsace;Bas-Rhin;Altorf 67008;E7.5333;N48.5167;13;
3;France;Alsace;Bas-Rhin;Altwiller 67009;E6.9667;N48.9333;13;
3;France;Alsace;Bas-Rhin;Andlau 67010;E7.4167;N48.3833;13;
3;France;Alsace;Bas-Rhin;Artolsheim 67011;E7.5720;N48.2103;13;
3;France;Alsace;Bas-Rhin;Aschbach 67012;E7.9833;N48.9333;13;
3;France;Alsace;Bas-Rhin;Asswiller 67013;E7.2167;N48.8833;13;
3;France;Alsace;Bas-Rhin;Auenheim 67014;E8.0167;N48.8167;13;
3;France;Alsace;Bas-Rhin;Avenheim 67015=67452;E7.5500;N48.6667;13;
3;France;Alsace;Bas-Rhin;Avolsheim 67016;E7.5000;N48.5500;13;
3;France;Alsace;Bas-Rhin;Baerendorf 67017;E7.0833;N48.8333;13;
3;France;Alsace;Bas-Rhin;Balbronn 67018;E7.4333;N48.5833;13;
3;France;Alsace;Bas-Rhin;Baldenheim 67019;E7.5333;N48.2333;13;
3;France;Alsace;Bas-Rhin;Barembach 67020;E7.2333;N48.4833;13;
3;France;Alsace;Bas-Rhin;Barr 67021;E7.4500;N48.4000;13;
3;France;Alsace;Bas-Rhin;Bassemberg 67022;E7.2833;N48.3333;13;
3;France;Alsace;Bas-Rhin;Batzendorf 67023;E7.7000;N48.7833;13;
3;France;Alsace;Bas-Rhin;Behlenheim 67024=67495;E7.6167;N48.6500;13;
3;France;Alsace;Bas-Rhin;Beinheim 67025;E8.0833;N48.8667;13;
3;France;Alsace;Bas-Rhin;Bellefosse 67026;E7.2167;N48.4000;13;
3;France;Alsace;Bas-Rhin;Belmont 67027;E7.2362;N48.4087;13;
3;France;Alsace;Bas-Rhin;Benfeld 67028;E7.6000;N48.3667;13;
3;France;Alsace;Bas-Rhin;Berg 67029;E7.1667;N48.9000;13;
3;France;Alsace;Bas-Rhin;Bergbieten 67030;E7.4575;N48.5739;13;
3;France;Alsace;Bas-Rhin;Bernardswiller 67031;E7.4667;N48.4500;13;
3;France;Alsace;Bas-Rhin;Bernardvillé 67032;E7.4000;N48.3667;13;
3;France;Alsace;Bas-Rhin;Bernolsheim 67033;E7.6833;N48.7500;13;
3;France;Alsace;Bas-Rhin;Berstett 67034;E7.6667;N48.6833;13;
3;France;Alsace;Bas-Rhin;Berstheim 67035;E7.6833;N48.8000;13;
3;France;Alsace;Bas-Rhin;Betschdorf 67339;E7.9000;N48.8833;13;
3;France;Alsace;Bas-Rhin;Bettwiller 67036;E7.1833;N48.8833;13;
3;France;Alsace;Bas-Rhin;Biblisheim 67037;E7.8000;N48.9000;13;
3;France;Alsace;Bas-Rhin;Bietlenheim 67038;E7.7833;N48.7167;13;
3;France;Alsace;Bas-Rhin;Bilwisheim 67039;E7.6667;N48.7167;13;
3;France;Alsace;Bas-Rhin;Bindernheim 67040;E7.6000;N48.2833;13;
3;France;Alsace;Bas-Rhin;Birkenwald 67041;E7.3500;N48.6667;13;
3;France;Alsace;Bas-Rhin;Birlenbach 67042=67104;E7.8833;N48.9833;13;
3;France;Alsace;Bas-Rhin;Bischheim 67043;E7.7500;N48.6167;13;
3;France;Alsace;Bas-Rhin;Bischholtz 67044;E7.5500;N48.9000;13;
3;France;Alsace;Bas-Rhin;Bischoffsheim 67045;E7.4833;N48.4833;13;
3;France;Alsace;Bas-Rhin;Bischtroff-sur-Sarre 67376=67435;E7.0667;N48.9000;13;
3;France;Alsace;Bas-Rhin;Bischwiller 67046;E7.8667;N48.7667;13;
3;France;Alsace;Bas-Rhin;Bissert 67047;E7.0333;N48.9333;13;
3;France;Alsace;Bas-Rhin;Bitschhoffen 67048;E7.6167;N48.8500;13;
3;France;Alsace;Bas-Rhin;Blaesheim 67049;E7.6000;N48.5000;13;
3;France;Alsace;Bas-Rhin;Blancherupt 67050;E7.2000;N48.4000;13;
3;France;Alsace;Bas-Rhin;Blienschwiller 67051;E7.4167;N48.3333;13;
3;France;Alsace;Bas-Rhin;Boersch 67052;E7.4333;N48.4833;13;
3;France;Alsace;Bas-Rhin;Boesenbiesen 67053;E7.5667;N48.2167;13;
3;France;Alsace;Bas-Rhin;Bolsenheim 67054;E7.6167;N48.4167;13;
3;France;Alsace;Bas-Rhin;Boofzheim 67055;E7.6833;N48.3333;13;
3;France;Alsace;Bas-Rhin;Bootzheim 67056;E7.5667;N48.1833;13;
3;France;Alsace;Bas-Rhin;Bosselshausen 67057=67242;E7.5167;N48.8000;13;
3;France;Alsace;Bas-Rhin;Bossendorf 67058;E7.5667;N48.7833;13;
3;France;Alsace;Bas-Rhin;Bourg-Bruche 67059;E7.1500;N48.3500;13;
3;France;Alsace;Bas-Rhin;Bourgheim 67060;E7.4833;N48.4167;13;
3;France;Alsace;Bas-Rhin;Bouxwiller 67061;E7.4833;N48,8167;13;
3;France;Alsace;Bas-Rhin;Breitenau 67062;E7.3000;N48.3167;13;
3;France;Alsace;Bas-Rhin;Breitenbach 67063;E7.2944;N48.3667;13;
3;France;Alsace;Bas-Rhin;Bremmelbach 67064=67074;E7.9000;N48.9833;13;
3;France;Alsace;Bas-Rhin;Breuschwickersheim 67065;E7.6000;N48.5833;13;
3;France;Alsace;Bas-Rhin;Brumath 67067;E7.7167;N48.7333;13;
3;France;Alsace;Bas-Rhin;Buhl 67069;E8.0000;N48.9167;13;
3;France;Alsace;Bas-Rhin;Burbach 67070;E7.1000;N48.8833;13;
3;France;Alsace;Bas-Rhin;Bust 67071;E7.2333;N48.8333;13;
