"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;Nederland;Drenthe;;;;;7;
2;Nederland;Drenthe;Aa en Hunze;;;;10;
3;Nederland;Drenthe;Aa en Hunze;Achter 't Hout;;;12;
3;Nederland;Drenthe;Aa en Hunze;Amen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Anderen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Anloo;;;12;
3;Nederland;Drenthe;Aa en Hunze;Annen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Annerveen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Annerveensche Kanaal;;;12;
3;Nederland;Drenthe;Aa en Hunze;Balloërveld;;;12;
3;Nederland;Drenthe;Aa en Hunze;Balloo;;;12;
3;Nederland;Drenthe;Aa en Hunze;Bareveld;;;12;
3;Nederland;Drenthe;Aa en Hunze;Bonnen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Bonnerveen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Bosje;;;12;
3;Nederland;Drenthe;Aa en Hunze;De Hilte;;;12;
3;Nederland;Drenthe;Aa en Hunze;Deurze;;;12;
3;Nederland;Drenthe;Aa en Hunze;Eext;;;12;
3;Nederland;Drenthe;Aa en Hunze;Eexterveen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Eexterveensche Kanaal;;;12;
3;Nederland;Drenthe;Aa en Hunze;Eexterzandvoort;;;12;
3;Nederland;Drenthe;Aa en Hunze;Ekehaar;;;12;
3;Nederland;Drenthe;Aa en Hunze;Eldersloo;;;12;
3;Nederland;Drenthe;Aa en Hunze;Eleveld;;;12;
3;Nederland;Drenthe;Aa en Hunze;Gasselte;;;12;
3;Nederland;Drenthe;Aa en Hunze;Gasselterboerveen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Gasselterboerveenschemond;;;12;
3;Nederland;Drenthe;Aa en Hunze;Gasselternijveen;E6.84747851323617;N52.9864321657083;12;
3;Nederland;Drenthe;Aa en Hunze;Gasselternijveenschemond;;;12;
3;Nederland;Drenthe;Aa en Hunze;Gasselternijveenschemond 1e Dwarsdiep;;;12;
3;Nederland;Drenthe;Aa en Hunze;Gasselternijveenschemond 2e Dwarsdiep;;;12;
3;Nederland;Drenthe;Aa en Hunze;Gasteren;;;12;
3;Nederland;Drenthe;Aa en Hunze;Geelbroek;;;12;
3;Nederland;Drenthe;Aa en Hunze;Gieten;E6.76371136570784;N53.0060416388154;12;
3;Nederland;Drenthe;Aa en Hunze;Gieterveen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Gieterzandvoort;;;12;
3;Nederland;Drenthe;Aa en Hunze;Grolloo;;;12;
3;Nederland;Drenthe;Aa en Hunze;Kostvlies;;;12;
3;Nederland;Drenthe;Aa en Hunze;Marwijksoord;;;12;
3;Nederland;Drenthe;Aa en Hunze;Nieuw-Annerveen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Nieuwediep;;;12;
3;Nederland;Drenthe;Aa en Hunze;Nijlande;;;12;
3;Nederland;Drenthe;Aa en Hunze;Nooitgedacht;;;12;
3;Nederland;Drenthe;Aa en Hunze;Oud-Annerveen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Papenvoort;;;12;
3;Nederland;Drenthe;Aa en Hunze;Rolde;;;12;
3;Nederland;Drenthe;Aa en Hunze;Schipborg;;;12;
3;Nederland;Drenthe;Aa en Hunze;Schoonlo;;;12;
3;Nederland;Drenthe;Aa en Hunze;Schoonloo;;;12;
3;Nederland;Drenthe;Aa en Hunze;Schreierswijk;;;12;
3;Nederland;Drenthe;Aa en Hunze;Spijkerboor;;;12;
3;Nederland;Drenthe;Aa en Hunze;Streek;;;12;
3;Nederland;Drenthe;Aa en Hunze;Torenveen;;;12;
3;Nederland;Drenthe;Aa en Hunze;Veenhof;;;12;
3;Nederland;Drenthe;Aa en Hunze;Vredenheim;;;12;
2;Nederland;Drenthe;Assen;;;;10;
3;Nederland;Drenthe;Assen;Anreep;;;12;
3;Nederland;Drenthe;Assen;Assen;E6.55949297839269;N52.9940888077679;12;
3;Nederland;Drenthe;Assen;De Haar;;;12;
3;Nederland;Drenthe;Assen;Graswijk;;;12;
3;Nederland;Drenthe;Assen;Kloosterveen;;;12;
3;Nederland;Drenthe;Assen;Loon;;;12;
3;Nederland;Drenthe;Assen;Peelo;;;12;
3;Nederland;Drenthe;Assen;Rhee;;;12;
3;Nederland;Drenthe;Assen;Schieven;;;12;
3;Nederland;Drenthe;Assen;Ter Aard;;;12;
3;Nederland;Drenthe;Assen;Ubbena;;;12;
3;Nederland;Drenthe;Assen;Witten;;;12;
3;Nederland;Drenthe;Assen;Zeijerveen;;;12;
3;Nederland;Drenthe;Assen;Zeijerveld;;;12;
2;Nederland;Drenthe;Borger-Odoorn;;;;10;
3;Nederland;Drenthe;Borger-Odoorn;Borger;E6.79386793155392;N52.9241647461399;12;
3;Nederland;Drenthe;Borger-Odoorn;Bronneger;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Bronnegerveen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Buinen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Buinerveen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Drouwen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Drouwenermond;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Drouwenerveen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Eerste Exloermond;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Eerste Valthermond;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Ees;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Eesergroen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Eeserveen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Ellertshaar;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Exloërveen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Exloo;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Klijndijk;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Nieuw-Buinen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Odoorn;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Odoornerveen;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Tweede Exloërmond;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Tweede Valthermond;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Valthe;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Valthermond;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Westdorp;;;12;
3;Nederland;Drenthe;Borger-Odoorn;Zandberg;;;12;
2;Nederland;Drenthe;Coevorden;;;;10;
3;Nederland;Drenthe;Coevorden;'t Haantje;;;12;
3;Nederland;Drenthe;Coevorden;Aalden;;;12;
3;Nederland;Drenthe;Coevorden;Achterste Erm;;;12;
3;Nederland;Drenthe;Coevorden;Ballast;;;12;
3;Nederland;Drenthe;Coevorden;Benneveld;;;12;
3;Nederland;Drenthe;Coevorden;Bovensteenwijksmoer;;;12;
3;Nederland;Drenthe;Coevorden;Coevorden;;;12;
3;Nederland;Drenthe;Coevorden;Dalen;;;12;
3;Nederland;Drenthe;Coevorden;Dalerend;;;12;
3;Nederland;Drenthe;Coevorden;Dalerpeel;;;12;
3;Nederland;Drenthe;Coevorden;Dalerveen;;;12;
3;Nederland;Drenthe;Coevorden;De Bente;;;12;
3;Nederland;Drenthe;Coevorden;De Haar;;;12;
3;Nederland;Drenthe;Coevorden;De Kiel;;;12;
3;Nederland;Drenthe;Coevorden;De Klencke;;;12;
3;Nederland;Drenthe;Coevorden;De Mars;;;12;
3;Nederland;Drenthe;Coevorden;Den Hool;;;12;
3;Nederland;Drenthe;Coevorden;Diphoorn;;;12;
3;Nederland;Drenthe;Coevorden;Eldijk;;;12;
3;Nederland;Drenthe;Coevorden;Erm;;;12;
3;Nederland;Drenthe;Coevorden;Ermerveen;;;12;
3;Nederland;Drenthe;Coevorden;Gees;;;12;
3;Nederland;Drenthe;Coevorden;Geesbrug;;;12;
3;Nederland;Drenthe;Coevorden;Grevenberg;;;12;
3;Nederland;Drenthe;Coevorden;Holsloot;;;12;
3;Nederland;Drenthe;Coevorden;Hoogehaar;;;12;
3;Nederland;Drenthe;Coevorden;Kibbelveen;;;12;
3;Nederland;Drenthe;Coevorden;Klooster;;;12;
3;Nederland;Drenthe;Coevorden;Meppen;;;12;
3;Nederland;Drenthe;Coevorden;Nieuw Zwinderen;;;12;
3;Nederland;Drenthe;Coevorden;Nieuwe Krim;;;12;
3;Nederland;Drenthe;Coevorden;Nieuwlande;;;12;
3;Nederland;Drenthe;Coevorden;Noord-Sleen;;;12;
3;Nederland;Drenthe;Coevorden;Oosterhesselen;;;12;
3;Nederland;Drenthe;Coevorden;Padhuis;;;12;
3;Nederland;Drenthe;Coevorden;Pikveld;;;12;
3;Nederland;Drenthe;Coevorden;Schimmelarij;;;12;
3;Nederland;Drenthe;Coevorden;Schoonoord;;;12;
3;Nederland;Drenthe;Coevorden;Sleen;;;12;
3;Nederland;Drenthe;Coevorden;Steenwijksmoer;;;12;
3;Nederland;Drenthe;Coevorden;Stieltjeskanaal;;;12;
3;Nederland;Drenthe;Coevorden;Valsteeg;;;12;
3;Nederland;Drenthe;Coevorden;Veenhuizen;;;12;
3;Nederland;Drenthe;Coevorden;Vlieghuis;;;12;
3;Nederland;Drenthe;Coevorden;Vossebelt;;;12;
3;Nederland;Drenthe;Coevorden;Wachtum;;;12;
3;Nederland;Drenthe;Coevorden;Weijerswold;;;12;
3;Nederland;Drenthe;Coevorden;Wezup;;;12;
3;Nederland;Drenthe;Coevorden;Wezuperbrug;;;12;
3;Nederland;Drenthe;Coevorden;Zweeloo;;;12;
3;Nederland;Drenthe;Coevorden;Zwinderen;;;12;
2;Nederland;Drenthe;De Wolden;;;;10;
3;Nederland;Drenthe;De Wolden;Alteveer;;;12;
3;Nederland;Drenthe;De Wolden;Anholt;;;12;
3;Nederland;Drenthe;De Wolden;Ansen;;;12;
3;Nederland;Drenthe;De Wolden;Armweide;;;12;
3;Nederland;Drenthe;De Wolden;Baltinge;;;12;
3;Nederland;Drenthe;De Wolden;Bazuin;;;12;
3;Nederland;Drenthe;De Wolden;Bendersche;;;12;
3;Nederland;Drenthe;De Wolden;Berghuizen;;;12;
3;Nederland;Drenthe;De Wolden;Blijdenstein;;;12;
3;Nederland;Drenthe;De Wolden;Bloemberg;;;12;
3;Nederland;Drenthe;De Wolden;Braamberg;;;12;
3;Nederland;Drenthe;De Wolden;Broekhuizen;;;12;
3;Nederland;Drenthe;De Wolden;Buitenhuizen;;;12;
3;Nederland;Drenthe;De Wolden;De Oude Tol;;;12;
3;Nederland;Drenthe;De Wolden;De Stapel;;;12;
3;Nederland;Drenthe;De Wolden;De Stuw;;;12;
3;Nederland;Drenthe;De Wolden;De Tippe;;;12;
3;Nederland;Drenthe;De Wolden;De Wijk;;;12;
3;Nederland;Drenthe;De Wolden;Dijkhuizen;;;12;
3;Nederland;Drenthe;De Wolden;Dikninge;;;12;
3;Nederland;Drenthe;De Wolden;Drogt;;;12;
3;Nederland;Drenthe;De Wolden;Drogteropslagen;;;12;
3;Nederland;Drenthe;De Wolden;Dunnigen;;;12;
3;Nederland;Drenthe;De Wolden;Echten;;;12;
3;Nederland;Drenthe;De Wolden;Eemten;;;12;
3;Nederland;Drenthe;De Wolden;Engeland;;;12;
3;Nederland;Drenthe;De Wolden;Eursinge;;;12;
3;Nederland;Drenthe;De Wolden;Fort;;;12;
3;Nederland;Drenthe;De Wolden;Gijsselte;;;12;
3;Nederland;Drenthe;De Wolden;Haakswold;;;12;
3;Nederland;Drenthe;De Wolden;Haalweide;;;12;
3;Nederland;Drenthe;De Wolden;Hees;;;12;
3;Nederland;Drenthe;De Wolden;Hoge Linthorst;;;12;
3;Nederland;Drenthe;De Wolden;Kerkenveld;;;12;
3;Nederland;Drenthe;De Wolden;Koekange;;;12;
3;Nederland;Drenthe;De Wolden;Koekangerveld;;;12;
3;Nederland;Drenthe;De Wolden;Kraloo;;;12;
3;Nederland;Drenthe;De Wolden;Leeuwte;;;12;
3;Nederland;Drenthe;De Wolden;Linde;;;12;
3;Nederland;Drenthe;De Wolden;Lubbinge;;;12;
3;Nederland;Drenthe;De Wolden;Lunssloten;;;12;
3;Nederland;Drenthe;De Wolden;Middelveen;;;12;
3;Nederland;Drenthe;De Wolden;Nolde;;;12;
3;Nederland;Drenthe;De Wolden;Noordwijk;;;12;
3;Nederland;Drenthe;De Wolden;Oldenhave;;;12;
3;Nederland;Drenthe;De Wolden;Oosteinde;;;12;
3;Nederland;Drenthe;De Wolden;Oosterwijk;;;12;
3;Nederland;Drenthe;De Wolden;Oshaar;;;12;
3;Nederland;Drenthe;De Wolden;Oud Veeningen;;;12;
3;Nederland;Drenthe;De Wolden;Paardelanden;;;12;
3;Nederland;Drenthe;De Wolden;Pieperij;;;12;
3;Nederland;Drenthe;De Wolden;Rheebruggen;;;12;
3;Nederland;Drenthe;De Wolden;Ruinen;;;12;
3;Nederland;Drenthe;De Wolden;Ruinerweide;;;12;
3;Nederland;Drenthe;De Wolden;Ruinerwold;;;12;
3;Nederland;Drenthe;De Wolden;Schottershuizen;;;12;
3;Nederland;Drenthe;De Wolden;Schrapveen;;;12;
3;Nederland;Drenthe;De Wolden;Steenbergen;;;12;
3;Nederland;Drenthe;De Wolden;Struikberg;;;12;
3;Nederland;Drenthe;De Wolden;Ten Arlo;;;12;
3;Nederland;Drenthe;De Wolden;Veeningen;;;12;
3;Nederland;Drenthe;De Wolden;Vuile Riete;;;12;
3;Nederland;Drenthe;De Wolden;Weerwille;;;12;
3;Nederland;Drenthe;De Wolden;Wemmenhove;;;12;
3;Nederland;Drenthe;De Wolden;Witteveen;;;12;
3;Nederland;Drenthe;De Wolden;Zuidwolde;E6.42855867889037;N52.6767274830778;12;
2;Nederland;Drenthe;Eelde;;;;10;
2;Nederland;Drenthe;Emmen;;;;10;
3;Nederland;Drenthe;Emmen;Amsterdamsche Veld;;;12;
3;Nederland;Drenthe;Emmen;Amsterdamscheveld;;;12;
3;Nederland;Drenthe;Emmen;Angelso;;;12;
3;Nederland;Drenthe;Emmen;Barger Erfsch Veen;;;12;
3;Nederland;Drenthe;Emmen;Barger Oosterveen;;;12;
3;Nederland;Drenthe;Emmen;Barger-Compascuüm;;;12;
3;Nederland;Drenthe;Emmen;Barger-Erfafscheidenveen;;;12;
3;Nederland;Drenthe;Emmen;Barger-Oosterveen;;;12;
3;Nederland;Drenthe;Emmen;Barger-Oosterveld;;;12;
3;Nederland;Drenthe;Emmen;Bargermeer;;;12;
3;Nederland;Drenthe;Emmen;Berkenrode;;;12;
3;Nederland;Drenthe;Emmen;Emmen;E6.96234650026333;N52.7497558656836;12;
3;Nederland;Drenthe;Emmen;Emmer-Compascuum;;;12;
3;Nederland;Drenthe;Emmen;Emmer-Erfscheidenveen;;;12;
3;Nederland;Drenthe;Emmen;Erica;;;12;
3;Nederland;Drenthe;Emmen;Halfweg;;;12;
3;Nederland;Drenthe;Emmen;Klazienaveen;;;12;
3;Nederland;Drenthe;Emmen;Koelveen;;;12;
3;Nederland;Drenthe;Emmen;Middendorp;;;12;
3;Nederland;Drenthe;Emmen;Nieuw-Amsterdam;;;12;
3;Nederland;Drenthe;Emmen;Nieuw-Dordrecht;;;12;
3;Nederland;Drenthe;Emmen;Nieuw-Schoonebeek;;;12;
3;Nederland;Drenthe;Emmen;Nieuw-Weerdinge;;;12;
3;Nederland;Drenthe;Emmen;Oosterse Bos;;;12;
3;Nederland;Drenthe;Emmen;Oranjedorp;;;12;
3;Nederland;Drenthe;Emmen;Roswinkel;;;12;
3;Nederland;Drenthe;Emmen;Schoonebeek;;;12;
3;Nederland;Drenthe;Emmen;Schutwijk;;;12;
3;Nederland;Drenthe;Emmen;Veenoord;;;12;
3;Nederland;Drenthe;Emmen;Weerdinge;;;12;
3;Nederland;Drenthe;Emmen;Weiteveen;;;12;
3;Nederland;Drenthe;Emmen;Westenesch;;;12;
3;Nederland;Drenthe;Emmen;Westerse Bos;;;12;
3;Nederland;Drenthe;Emmen;Wilhelmsoord;;;12;
3;Nederland;Drenthe;Emmen;Zandpol;;;12;
3;Nederland;Drenthe;Emmen;Zuidbarge;;;12;
3;Nederland;Drenthe;Emmen;Zwartemeer;;;12;
2;Nederland;Drenthe;Gasselte;;E6.78879907741612;N52.9666416925882;10;
2;Nederland;Drenthe;Hoogeveen;;;;10;
3;Nederland;Drenthe;Hoogeveen;Achterom;;;12;
3;Nederland;Drenthe;Hoogeveen;Elim;;;12;
3;Nederland;Drenthe;Hoogeveen;Fluitenberg;;;12;
3;Nederland;Drenthe;Hoogeveen;Hollandscheveld;;;12;
3;Nederland;Drenthe;Hoogeveen;Hoogeveen;;;12;
3;Nederland;Drenthe;Hoogeveen;Kalenberg;;;12;
3;Nederland;Drenthe;Hoogeveen;Moscou;;;12;
3;Nederland;Drenthe;Hoogeveen;Nieuweroord;;;12;
3;Nederland;Drenthe;Hoogeveen;Nieuwlande;;;12;
3;Nederland;Drenthe;Hoogeveen;Noordscheschut;;;12;
3;Nederland;Drenthe;Hoogeveen;Nuil;;;12;
3;Nederland;Drenthe;Hoogeveen;Pesse;;;12;
3;Nederland;Drenthe;Hoogeveen;Stadterij;;;12;
3;Nederland;Drenthe;Hoogeveen;Stuifzand;;;12;
3;Nederland;Drenthe;Hoogeveen;Tiendeveen;;;12;
3;Nederland;Drenthe;Hoogeveen;Zuideropgaande;;;12;
3;Nederland;Drenthe;Hoogeveen;Zwartschaap;;;12;
2;Nederland;Drenthe;Meppel;;;;10;
3;Nederland;Drenthe;Meppel;Broekhuizen;;;12;
3;Nederland;Drenthe;Meppel;De Kolk;;;12;
3;Nederland;Drenthe;Meppel;Havelterberg;;;12;
3;Nederland;Drenthe;Meppel;Havixhorst;;;12;
3;Nederland;Drenthe;Meppel;Kolderveen;;;12;
3;Nederland;Drenthe;Meppel;Kolderveense Bovenboer;;;12;
3;Nederland;Drenthe;Meppel;Lindenhorst;;;12;
3;Nederland;Drenthe;Meppel;Meppel;E6.19624601597166;N52.6996700884999;12;
3;Nederland;Drenthe;Meppel;Nijentap;;;12;
3;Nederland;Drenthe;Meppel;Nijeveen;;;12;
3;Nederland;Drenthe;Meppel;Nijeveense Bovenboer;;;12;
3;Nederland;Drenthe;Meppel;Oosterboer;;;12;
3;Nederland;Drenthe;Meppel;Rogat;;;12;
3;Nederland;Drenthe;Meppel;Schiphorst;;;12;
2;Nederland;Drenthe;Midden-Drenthe;;;;10;
3;Nederland;Drenthe;Midden-Drenthe;Balinge;;;12;
3;Nederland;Drenthe;Midden-Drenthe;Beilen;;;12;
3;Nederland;Drenthe;Midden-Drenthe;Bovensmilde;;;12;
3;Nederland;Drenthe;Midden-Drenthe;Brunsting;;;12;
3;Nederland;Drenthe;Midden-Drenthe;Bruntinge;;;12;
3;Nederland;Drenthe;Midden-Drenthe;Drijber;;;12;
3;Nederland;Drenthe;Midden-Drenthe;Elp;;;12;
3;Nederland;Drenthe;Midden-Drenthe;Eursinge;;;12;
