"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
0;Afghanistan;;;;E65;N33;4;places/flags/AFG.gif
0;Aland Islands;;;;E20;N60;7;places/flags/ALA.gif
0;Albania;;;;E20;N41;4;places/flags/ALB.gif
0;Algeria;;;;E3;N28;4;places/flags/DZA.gif
0;American Samoa;;;;W170;S14.3333;4;places/flags/ASM.gif
0;Andorra;;;;E1.5;N42.5;4;places/flags/AND.gif
0;Angola;;;;E18.5;S12.5;4;places/flags/AGO.gif
0;Anguilla;;;;W63.1667;N18.25;4;places/flags/AIA.gif
0;Antarctica;;;;E1;S85;4;places/flags/ATA.gif
0;Antigua and Barbuda;;;;W61.8;N17.05;4;places/flags/ATG.gif
0;Argentina;;;;W64;S34;4;places/flags/ARG.gif
0;Armenia;;;;E45;N40;4;places/flags/ARM.gif
0;Aruba;;;;W69.9667;N12.5;4;places/flags/ABW.gif
0;Australia;;;;E133;S27;4;places/flags/AUS.gif
0;Austria;;;;E13.3333;N47.3333;4;places/flags/AUT.gif
0;Azerbaijan;;;;E47.5;N40.5;4;places/flags/AZE.gif
0;Bahamas;;;;W76;N24.25;6;places/flags/BHS.gif
0;Bahrain;;;;E51;N26;7;places/flags/BHR.gif
0;Bangladesh;;;;E90;N25;5;places/flags/BGD.gif
0;Barbados;;;;W59;N13;6;places/flags/BRB.gif
0;Belarus;;;;E28;N53;4;places/flags/BLR.gif
0;Belgium;;;;E4;N50.8333;4;places/flags/BEL.gif
0;Belize;;;;W89;N17;7;places/flags/BLZ.gif
0;Benin;;;;E2.25;N9.5;4;places/flags/BEN.gif
0;Bermuda;;;;W64.75;N32.3333;4;places/flags/BMU.gif
0;Bhutan;;;;E90.5;N27.5;4;places/flags/BTN.gif
0;Bolivia;;;;W65;S17;4;places/flags/BOL.gif
0;Bosnia and Herzegovina;;;;E18;N44;5;places/flags/BIH.gif
0;Botswana;;;;E24;S22;4;places/flags/BWA.gif
0;Bouvet Island;;;;E3.4;S54.4333;5;places/flags/BVT.gif
0;Brazil;;;;W55;S10;4;places/flags/BRA.gif
0;British Indian Ocean Territory;;;;E71.5;S6;5;places/flags/IOT.gif
0;Brunei Darussalam;;;;E115;N4;6;places/flags/BRN.gif
0;Bulgaria;;;;E25;N43;4;places/flags/BGR.gif
0;Burkina Faso;;;;W2;N13;4;places/flags/BFA.gif
0;Burundi;;;;E30;S3.5;4;places/flags/BDI.gif
0;Cambodia;;;;E105;N13;4;places/flags/KHM.gif
0;Cameroon;;;;E12;N6;4;places/flags/CMR.gif
0;Canada;;;;W95;N60;4;places/flags/CAN.gif
0;Cape Verde;;;;W24;N16;4;places/flags/CPV.gif
0;Cayman Islands;;;;W80.5;N19.5;5;places/flags/CYM.gif
0;Central African Republic;;;;E21;N7;4;places/flags/CAF.gif
0;Chad;;;;E19;N15;4;places/flags/TCD.gif
0;Chile;;;;W71;S30;4;places/flags/CHL.gif
0;China;;;;E105;N35;4;places/flags/CHN.gif
0;Christmas Island;;;;E105.6667;S10.5;6;places/flags/CXR.gif
0;Cocos (Keeling Islands);;;;E96.8333;S12.5;5;places/flags/CCK.gif
0;Colombia;;;;W72;N4;4;places/flags/COL.gif
0;Comoros;;;;E44.25;S12.1667;5;places/flags/COM.gif
0;Congo;;;;E15;S1;4;places/flags/COG.gif
0;Congo (Democratic Republic);;;;E25.0;N0.0;4;places/flags/COD.gif
0;Cook Islands;;;;W159;S21;6;places/flags/COK.gif
0;Costa Rica;;;;W84;N10;4;places/flags/CRI.gif
0;Cote D'Ivoire (Ivory Coast);;;;W5;N8;4;places/flags/CIV.gif
0;Croatia Hrvatska;;;;E15.5;N45.1667;4;places/flags/HRV.gif
0;Cuba;;;;W80;N21.5;4;places/flags/CUB.gif
0;Cyprus;;;;E33;N35;5;places/flags/CYP.gif
0;Czech Republic;;;;E15.5;N49.75;4;places/flags/CZE.gif
0;Denmark;;;;E10;N56;4;places/flags/DNK.gif
0;Djibouti;;;;E43;N11.5;4;places/flags/DJI.gif
0;Dominica;;;;W61.3333;N15.4167;6;places/flags/DMA.gif
0;Dominican Republic;;;;W70.6667;N19;4;places/flags/DOM.gif
0;Ecuador;;;;W77.5;S2;4;places/flags/ECU.gif
0;Egypt;;;;E30;N27;4;places/flags/EGY.gif
0;El Salvador;;;;W88.9167;N13.8333;4;places/flags/SLV.gif
0;England;;;;W1;N52;4;places/flags/ENG.gif
0;Equatorial Guinea;;;;E10;N2;4;places/flags/GNQ.gif
0;Eritrea;;;;E39;N15;4;places/flags/ERI.gif
0;Estonia;;;;E26;N59;4;places/flags/EST.gif
0;Ethiopia;;;;E38;N8;4;places/flags/ETH.gif
0;Falkland Islands;;;;W59;S51.75;5;places/flags/FLK.gif
0;Faroe Islands;;;;W7;N62;5;places/flags/FRO.gif
0;Fiji;;;;E175;S18;5;places/flags/FJI.gif
0;Finland;;;;E26;N64;4;places/flags/FIN.gif
0;France;;;;E2;N46;4;places/flags/FRA.gif
0;French Guiana;;;;W53;N4;4;places/flags/GUF.gif
0;French Polynesia;;;;W148;S17;5;places/flags/PYF.gif
0;French Southern Territories;;;;E70;S48;5;places/flags/ATF.gif
0;Gabon;;;;E11.75;S1;4;places/flags/GAB.gif
0;Gambia;;;;W16.5667;N13.4667;4;places/flags/GMB.gif
0;Georgia;;;;E43.5;N42;4;places/flags/GEO.gif
0;Germany;;;;E9;N51;4;places/flags/DEU.gif
0;Ghana;;;;W2;N8;4;places/flags/GHA.gif
0;Gibraltar;;;;W5.3667;N36.1833;4;places/flags/GIB.gif
0;Greece;;;;E22;N39;4;places/flags/GRC.gif
0;Greenland;;;;W40;N72;4;places/flags/GRL.gif
0;Grenada;;;;W61.6667;N12.1167;4;places/flags/GRD.gif
0;Guadeloupe;;;;W61.5833;N16.25;6;places/flags/GLP.gif
0;Guam;;;;E144.7833;N13.4667;5;places/flags/GUM.gif
0;Guatemala;;;;W90.25;N15.5;4;places/flags/GTM.gif
0;Guinea;;;;W10;N11;4;places/flags/GIN.gif
0;Guinea-Bissau;;;;W15;N12;4;places/flags/GNB.gif
0;Guyana;;;;W59;N5;4;places/flags/GUY.gif
0;Haiti;;;;W72.4167;N19;5;places/flags/HTI.gif
0;Heard and McDonald Islands;;;;E72.5167;S53.1;5;places/flags/HMD.gif
0;Honduras;;;;W86.5;N15;4;places/flags/HND.gif
0;Hong Kong;;;;E114.1667;N22.25;4;places/flags/HKG.gif
0;Hungary;;;;E20;N47;4;places/flags/HUN.gif
0;Iceland;;;;W18;N65;4;places/flags/ISL.gif
0;India;;;;E77;N20;4;places/flags/IND.gif
0;Indonesia;;;;E120;S5;5;places/flags/IDN.gif
0;Iran;;;;E53;N32;4;places/flags/IRN.gif
0;Iraq;;;;E44;N33;4;places/flags/IRQ.gif
0;Ireland;;;;W8;N53;4;places/flags/IRL.gif
0;Israel;;;;E34.75;N31.5;4;places/flags/ISR.gif
0;Italy;;;;E12.8333;N42.8333;4;places/flags/ITA.gif
0;Jamaica;;;;W77.5;N18.25;5;places/flags/JAM.gif
0;Japan;;;;E138;N36;4;places/flags/JPN.gif
0;Jordan;;;;E36;N31;4;places/flags/JOR.gif
0;Kazakhstan;;;;E68;N48;4;places/flags/KAZ.gif
0;Kenya;;;;E38;N1;4;places/flags/KEN.gif
0;Kiribati;;;;E172;S2;4;places/flags/KIR.gif
0;Korea (North);;;;E127;N40;4;places/flags/PRK.gif
0;Korea (South);;;;E127.5;N37;4;places/flags/KOR.gif
0;Kuwait;;;;E45.75;N29.5;4;places/flags/KWT.gif
0;Kyrgyzstan;;;;E75;N41;4;places/flags/KGZ.gif
0;Laos;;;;E105;N18;4;places/flags/LAO.gif
0;Latvia;;;;E25;N57;4;places/flags/LVA.gif
0;Lebanon;;;;E35.8333;N33.8333;4;places/flags/LBN.gif
0;Lesotho;;;;E28.5;S29.5;4;places/flags/LSO.gif
0;Liberia;;;;W9.5;N6.5;4;places/flags/LBR.gif
0;Libya;;;;E17;N25;4;places/flags/LBY.gif
0;Liechtenstein;;;;E9.5333;N47.1667;4;places/flags/LIE.gif
0;Lithuania;;;;E24;N56;4;places/flags/LTU.gif
0;Luxembourg;;;;E6.1667;N49.75;4;places/flags/LUX.gif
0;Macau;;;;E113.55;N22.1667;4;places/flags/MAC.gif
0;Macedonia;;;;E22;N41.8333;5;places/flags/MKD.gif
0;Madagascar;;;;E47;S20;4;places/flags/MDG.gif
0;Malawi;;;;E34;S13.5;4;places/flags/MWI.gif
0;Malaysia;;;;E112.5;N2.5;4;places/flags/MYS.gif
0;Maldives;;;;E73;N3.25;5;places/flags/MDV.gif
0;Mali;;;;W4;N17;4;places/flags/MLI.gif
0;Malta;;;;E14.5833;N35.8333;5;places/flags/MLT.gif
0;Marshall Islands;;;;E168;N9;5;places/flags/MHL.gif
0;Martinique;;;;W61;N14.6667;6;places/flags/MTQ.gif
0;Mauritania;;;;W12;N20;4;places/flags/MRT.gif
0;Mauritius;;;;E57.55;S20.2833;5;places/flags/MUS.gif
0;Mayotte;;;;E45.1667;S12.8333;5;places/flags/MYT.gif
0;Mexico;;;;W102;N23;4;places/flags/MEX.gif
0;Micronesia;;;;E158.25;N6.9167;5;places/flags/FSM.gif
0;Moldova;;;;E29;N47;4;places/flags/MDA.gif
0;Monaco;;;;E7.4;N43.7333;5;places/flags/MCO.gif
0;Mongolia;;;;E105;N46;4;places/flags/MNG.gif
0;Montserrat;;;;W62.2;N16.75;6;places/flags/MSR.gif
0;Morocco;;;;W5;N32;4;places/flags/MAR.gif
0;Mozambique;;;;E35;S18.25;4;places/flags/MOZ.gif
0;Myanmar;;;;E98;N22;4;places/flags/MMR.gif
0;Namibia;;;;E17;S22;4;places/flags/NAM.gif
0;Nauru;;;;E168;S1;5;places/flags/NRU.gif
0;Nepal;;;;E84;N28;4;places/flags/NPL.gif
0;Netherlands;;;;E5.75;N52.5;4;places/flags/NLD.gif
0;Netherlands Antilles;;;;W68.75;N12.25;6;places/flags/ANT.gif
0;New Caledonia;;;;E165.5;S21.5;5;places/flags/NCL.gif
0;New Zealand;;;;E174;S41;4;places/flags/NZL.gif
0;Nicaragua;;;;W85;N13;4;places/flags/NIC.gif
0;Niger;;;;E8;N16;4;places/flags/NER.gif
0;Nigeria;;;;E8;N10;4;places/flags/NGA.gif
