"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;Australia;Queensland;;;143.6;-22.6;6;
2;Australia;Queensland;Abercorn;;151.0333333;-25.15;6;
2;Australia;Queensland;Abermain;;152.7833333;-27.5666667;6;
2;Australia;Queensland;Acacia Ridge;;153.0333333;-27.5833333;6;
2;Australia;Queensland;Ackland;;151.6833333;-27.3;6;
2;Australia;Queensland;Adavale;;144.6;-25.9166667;6;
2;Australia;Queensland;Advancetown;;153.2666667;-28.0666667;6;
2;Australia;Queensland;Aitkenvale;;146.8;-19.2833333;6;
2;Australia;Queensland;Albany Creek;;152.9833333;-27.35;6;
2;Australia;Queensland;Alberton;;153.25;-27.7;6;
2;Australia;Queensland;Aldershot;;152.6666667;-25.4666667;6;
2;Australia;Queensland;Alexandra;;149.1;-21.1666667;6;
2;Australia;Queensland;Alexandra-Mooloolaba;;153.1166667;-26.6833333;6;
2;Australia;Queensland;Alice;;145.8;-23.5666667;6;
2;Australia;Queensland;Allan;;151.95;-28.2;6;
2;Australia;Queensland;Alligator Creek;;149.2;-21.3333333;6;
2;Australia;Queensland;Allingham;;146.25;-18.6666667;6;
2;Australia;Queensland;Allora;;151.9833333;-28.0333333;6;
2;Australia;Queensland;Alma Creek;;150.2833333;-23.9166667;6;
2;Australia;Queensland;Almaden;;144.6833333;-17.3333333;6;
2;Australia;Queensland;Aloomba;;145.8333333;-17.1166667;6;
2;Australia;Queensland;Alpha;;146.6333333;-23.65;6;
2;Australia;Queensland;Alton Downs;;150.35;-23.3;6;
2;Australia;Queensland;Alton;;149.3166667;-27.9833333;6;
2;Australia;Queensland;Alva;;147.4833333;-19.45;6;
2;Australia;Queensland;Amamoor;;152.6833333;-26.35;6;
2;Australia;Queensland;Amberley;;152.7;-27.6333333;6;
2;Australia;Queensland;Ambrose;;150.9333333;-23.8;6;
2;Australia;Queensland;Amby;;148.1833333;-26.55;6;
2;Australia;Queensland;Amhurst;;149.2333333;-21.0666667;6;
2;Australia;Queensland;Amiens;;151.8166667;-28.5833333;6;
2;Australia;Queensland;Amity Point;;153.4333333;-27.4;6;
2;Australia;Queensland;Amos Quarries;;150.8333333;-23.75;6;
2;Australia;Queensland;Anakie;;147.75;-23.55;6;
2;Australia;Queensland;Andergrove;;149.1833333;-21.0833333;6;
2;Australia;Queensland;Anduramba;;152.1;-27.15;6;
2;Australia;Queensland;Angellala;;146.9;-26.4;6;
2;Australia;Queensland;Anthony;;152.6666667;-27.8833333;6;
2;Australia;Queensland;Antigua;;152.6;-25.6333333;6;
2;Australia;Queensland;Antil Plains;;146.8333333;-19.45;6;
