"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;Australia;Tasmania;;;146.4;-41.7;6;
2;Australia;Tasmania;Abbotsham;;146.1833333;-41.2166667;6;
2;Australia;Tasmania;Adamsfield;;146.3166667;-42.7333333;6;
2;Australia;Tasmania;Adventure Bay;;147.3333333;-43.3666667;6;
2;Australia;Tasmania;Alanvale;;147.1166667;-41.3875;6;
2;Australia;Tasmania;Alberton;;147.7833333;-41.2666667;6;
2;Australia;Tasmania;Alcomie;;145.1833333;-40.9166667;6;
2;Australia;Tasmania;Allen Siding;;145.6333333;-40.9666667;6;
2;Australia;Tasmania;Alonnah;;147.25;-43.3166667;6;
2;Australia;Tasmania;Andover;;147.45;-42.3333333;6;
2;Australia;Tasmania;Antill Ponds;;147.4;-42.2;6;
2;Australia;Tasmania;Apsiey;;147.1333333;-42.4333333;6;
2;Australia;Tasmania;Apsley Station;;147.1333333;-42.4333333;6;
2;Australia;Tasmania;Apsley;;147.1333333;-42.4333333;6;
2;Australia;Tasmania;Aspley;;147.1333333;-42.4333333;6;
2;Australia;Tasmania;Austins Ferry;;147.25;-42.7666667;6;
2;Australia;Tasmania;Back Creek;;147.1;-41.0333333;6;
2;Australia;Tasmania;Baden;;147.4666667;-42.4333333;6;
2;Australia;Tasmania;Bagdad;;147.2333333;-42.6333333;6;
2;Australia;Tasmania;Balfour;;144.9166667;-41.2666667;6;
2;Australia;Tasmania;Bally Park;;147.6166667;-42.8666667;6;
2;Australia;Tasmania;Bangor;;147.1333333;-41.2166667;6;
2;Australia;Tasmania;Barnes Bay;;147.3666667;-43.1166667;6;
2;Australia;Tasmania;Barrington;;146.2833333;-41.35;6;
2;Australia;Tasmania;Beaconsfield;;146.8166667;-41.2;6;
2;Australia;Tasmania;Beauty Point;;146.8166667;-41.1666667;6;
2;Australia;Tasmania;Bell Bay;;146.8666667;-41.1166667;6;
2;Australia;Tasmania;Bellerive;;147.3666667;-42.8666667;6;
2;Australia;Tasmania;Bellingham;;147.1666667;-41.0166667;6;
2;Australia;Tasmania;Berriedale;;147.25;-42.8166667;6;
2;Australia;Tasmania;Beulah;;146.3833333;-41.4333333;6;
2;Australia;Tasmania;Bicheno;;148.2886111;-41.8788889;6;
2;Australia;Tasmania;Birralee;;146.85;-41.45;6;
2;Australia;Tasmania;Bishopsbourne;;147.0166667;-41.5833333;6;
2;Australia;Tasmania;Black Hills;;147.0333333;-42.7166667;6;
2;Australia;Tasmania;Black River;;145.3166667;-40.85;6;
2;Australia;Tasmania;Blackwall;;146.9666667;-41.3111111;6;
2;Australia;Tasmania;Blackwood Creek;;146.9166667;-41.7333333;6;
2;Australia;Tasmania;Blessington Upper;;147.6;-41.4666667;6;
2;Australia;Tasmania;Blessington;;147.4833333;-41.4833333;6;
2;Australia;Tasmania;Boat Harbour;;145.6333333;-40.9666667;6;
2;Australia;Tasmania;Bothwell;;147;-42.3833333;6;
2;Australia;Tasmania;Bracknell;;146.9333333;-41.65;6;
2;Australia;Tasmania;Bradshaws Creek;;147.9333333;-41.0666667;6;
2;Australia;Tasmania;Brandy Bottom;;147.4166667;-42.5166667;6;
2;Australia;Tasmania;Branxholm;;147.7333333;-41.1666667;6;
2;Australia;Tasmania;Breadalbane;;147.2;-41.5333333;6;
2;Australia;Tasmania;Bream Creek;;147.8341667;-42.8133333;6;
2;Australia;Tasmania;Bredalbane;;147.2;-41.5333333;6;
2;Australia;Tasmania;Breona;;146.7166667;-41.7833333;6;
2;Australia;Tasmania;Bridge Water Junction;;147.2333333;-42.7333333;6;
2;Australia;Tasmania;Bridgenorth;;146.9833333;-41.3833333;6;
2;Australia;Tasmania;Bridgewater;;147.2333333;-42.7333333;6;
2;Australia;Tasmania;Bridport;;147.4;-41;6;
2;Australia;Tasmania;Broadmarsh;;147.1166667;-42.65;6;
2;Australia;Tasmania;Bronte;;146.4833333;-42.1666667;6;
2;Australia;Tasmania;Buckland;;147.7305556;-42.6161111;6;
2;Australia;Tasmania;Burnie;;145.9166667;-41.0666667;6;
2;Australia;Tasmania;Bushy Park;;146.9;-42.7;6;
2;Australia;Tasmania;Butlers Gorge;;146.2833333;-42.2833333;6;
2;Australia;Tasmania;Cambridge;;147.45;-42.8333333;6;
2;Australia;Tasmania;Camenana;;145.9666667;-41.1833333;6;
2;Australia;Tasmania;Campania;;147.4166667;-42.6666667;6;
2;Australia;Tasmania;Campbell Town;;147.5;-41.9166667;6;
2;Australia;Tasmania;Cape Barren Island;;148.0166667;-40.3833333;6;
2;Australia;Tasmania;Carlton;;147.6833333;-42.8666667;6;
2;Australia;Tasmania;Carnarvon;;147.85;-43.15;6;
2;Australia;Tasmania;Carnavon;;147.85;-43.15;6;
2;Australia;Tasmania;Carrick;;147;-41.5333333;6;
2;Australia;Tasmania;Catamaran;;146.9;-43.55;6;
2;Australia;Tasmania;Caveside;;146.4166667;-41.6166667;6;
2;Australia;Tasmania;Cethana;;146.1666667;-41.4833333;6;
2;Australia;Tasmania;Christmas Hills;;145;-40.9;6;
2;Australia;Tasmania;Chudleigh;;146.4666667;-41.5333333;6;
2;Australia;Tasmania;Claremont;;147.25;-42.7833333;6;
2;Australia;Tasmania;Claude Road;;146.2833333;-41.4333333;6;
2;Australia;Tasmania;Cleveland;;147.4;-41.8;6;
2;Australia;Tasmania;Colebrook;;147.3666667;-42.5333333;6;
2;Australia;Tasmania;Coles Bay;;148.2886111;-42.1227778;6;
2;Australia;Tasmania;Collins Cap;;147.15;-42.85;6;
2;Australia;Tasmania;Collinsvale;;147.1833333;-42.8333333;6;
2;Australia;Tasmania;Conara Junction;;147.4333333;-41.8333333;6;
2;Australia;Tasmania;Coningham;;147.2833333;-43.0833333;6;
2;Australia;Tasmania;Cooee;;145.8833333;-41.0666667;6;
2;Australia;Tasmania;Copping;;147.8;-42.8166667;6;
2;Australia;Tasmania;Corinna;;145.0833333;-41.65;6;
2;Australia;Tasmania;Cornwall;;148.1333333;-41.5666667;6;
2;Australia;Tasmania;Cradoc;;147.0666667;-43.1;6;
2;Australia;Tasmania;Cranbrook;;148.0763889;-42.0080556;6;
2;Australia;Tasmania;Cressy;;147.0666667;-41.6833333;6;
2;Australia;Tasmania;Cullenswood;;148.1333333;-41.55;6;
2;Australia;Tasmania;Cuprona;;145.9663889;-41.1441667;6;
2;Australia;Tasmania;Currie;;143.8666667;-39.9333333;6;
2;Australia;Tasmania;Cygnet;;147.0666667;-43.15;6;
2;Australia;Tasmania;Darlington;;148.0622222;-42.5863889;6;
2;Australia;Tasmania;Deddington;;147.4166667;-41.6166667;6;
2;Australia;Tasmania;Dee;;146.6166667;-42.2833333;6;
2;Australia;Tasmania;Deloraine;;146.6666667;-41.5333333;6;
2;Australia;Tasmania;Dennes Point;;147.35;-43.0666667;6;
2;Australia;Tasmania;Derby;;147.7833333;-41.1333333;6;
2;Australia;Tasmania;Derwent Bridge;;146.2333333;-42.15;6;
2;Australia;Tasmania;Derwent;;146.9;-42.7;6;
2;Australia;Tasmania;Detension River;;145.4833333;-40.9;6;
2;Australia;Tasmania;Detention River;;145.4833333;-40.9;6;
2;Australia;Tasmania;Detention;;145.4833333;-40.9;6;
2;Australia;Tasmania;Devenport;;146.35;-41.1666667;6;
2;Australia;Tasmania;Deviot;;146.9333333;-41.2333333;6;
2;Australia;Tasmania;Devonport;;146.35;-41.1666667;6;
2;Australia;Tasmania;Dilston;;147.0833333;-41.3333333;6;
2;Australia;Tasmania;Don;;146.3;-41.1833333;6;
2;Australia;Tasmania;Douglas River;;148.2502778;-41.7855556;6;
2;Australia;Tasmania;Dover;;147;-43.3333333;6;
2;Australia;Tasmania;Dromedary Upper;;147.15;-42.7166667;6;
2;Australia;Tasmania;Dromedary;;147.1666667;-42.7333333;6;
