"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;Australia;Victoria;;;144.3;-36.9;6;
2;Australia;Victoria;Aberfeldy;;146.3666667;-37.6833333;6;
2;Australia;Victoria;Acheron;;145.7;-37.25;6;
2;Australia;Victoria;Addington;;143.6833333;-37.3833333;6;
2;Australia;Victoria;Adelaide Lead;;143.6833333;-37.0666667;6;
2;Australia;Victoria;Ailsa;;142.35;-36.3333333;6;
2;Australia;Victoria;Aireys Inlet;;144.1;-38.4666667;6;
2;Australia;Victoria;Airly;;147.1166667;-38.0333333;6;
2;Australia;Victoria;Alambee;;146.0333333;-38.2666667;6;
2;Australia;Victoria;Albacutya;;142;-35.8166667;6;
2;Australia;Victoria;Alberton West;;146.6;-38.6;6;
2;Australia;Victoria;Alberton;;146.6666667;-38.6166667;6;
2;Australia;Victoria;Albion;;144.8333333;-37.7666667;6;
2;Australia;Victoria;Alexandra;;145.7;-37.1833333;6;
2;Australia;Victoria;Alfredton;;143.8166667;-37.5666667;6;
2;Australia;Victoria;Allambee South;;146.1;-38.35;6;
2;Australia;Victoria;Allambee;;146.0333333;-38.2666667;6;
2;Australia;Victoria;Allanby;;141.9;-36.15;6;
2;Australia;Victoria;Allans Flat;;146.9;-36.2666667;6;
2;Australia;Victoria;Allansford;;142.5833333;-38.4;6;
2;Australia;Victoria;Allendale;;143.9333333;-37.3666667;6;
2;Australia;Victoria;Allestree;;141.65;-38.2833333;6;
2;Australia;Victoria;Alma;;143.6833333;-37.0333333;6;
2;Australia;Victoria;Almonds;;145.9666667;-36.2;6;
2;Australia;Victoria;Almurta East;;145.5833333;-38.4666667;6;
2;Australia;Victoria;Almurta;;145.5833333;-38.4666667;6;
2;Australia;Victoria;Altona;;144.8333333;-37.8666667;6;
2;Australia;Victoria;Alvie;;143.5;-38.2333333;6;
2;Australia;Victoria;Amherst;;143.6666667;-37.15;6;
2;Australia;Victoria;Amphitheatre;;143.4166667;-37.1666667;6;
2;Australia;Victoria;Anakie;;144.25;-37.9166667;6;
2;Australia;Victoria;Ancona;;145.8166667;-36.9833333;6;
2;Australia;Victoria;Anderson;;145.45;-38.5333333;6;
2;Australia;Victoria;Angip;;142.2333333;-36.1;6;
2;Australia;Victoria;Anglesea River;;144.1666667;-38.4166667;6;
2;Australia;Victoria;Anglesea;;144.1666667;-38.4166667;6;
2;Australia;Victoria;Angustown;;145.1;-36.7;6;
2;Australia;Victoria;Annuello;;142.8333333;-34.85;6;
2;Australia;Victoria;Antwerp;;142.05;-36.3;6;
2;Australia;Victoria;Apollo Bay;;143.65;-38.75;6;
2;Australia;Victoria;Appin South;;143.8666667;-35.9166667;6;
2;Australia;Victoria;Appin;;143.8666667;-35.9;6;
2;Australia;Victoria;Apsley;;141.0833333;-36.9666667;6;
2;Australia;Victoria;Arapiles;;141.85;-36.7333333;6;
2;Australia;Victoria;Ararat;;142.9333333;-37.2833333;6;
2;Australia;Victoria;Arawata;;145.8666667;-38.4;6;
2;Australia;Victoria;Arcadia;;145.3166667;-36.5666667;6;
2;Australia;Victoria;Archdale;;143.5166667;-36.8333333;6;
2;Australia;Victoria;Archerton;;146.2;-36.8833333;6;
2;Australia;Victoria;Archies Creek;;145.5666667;-38.55;6;
2;Australia;Victoria;Ardmon;;145.3;-36.3833333;6;
2;Australia;Victoria;Ardmona;;145.3;-36.3833333;6;
2;Australia;Victoria;Ardno;;141;-37.7666667;6;
2;Australia;Victoria;Areegra;;142.6333333;-36.2833333;6;
2;Australia;Victoria;Argyle;;144.7333333;-36.95;6;
2;Australia;Victoria;Arkona;;142.0166667;-36.35;6;
2;Australia;Victoria;Armstrong;;142.9;-37.2166667;6;
2;Australia;Victoria;Armytage;;143.8833333;-38.2833333;6;
2;Australia;Victoria;Arnold West;;143.8;-36.6666667;6;
2;Australia;Victoria;Arnold;;143.8666667;-36.6833333;6;
2;Australia;Victoria;Arthurs Creek;;145.2;-37.5833333;6;
2;Australia;Victoria;Arundel;;142.8166667;-38.3666667;6;
2;Australia;Victoria;Ascot Vale;;144.9166667;-37.7833333;6;
2;Australia;Victoria;Ascot;;144.3333333;-36.7;6;
2;Australia;Victoria;Ashens;;142.5166667;-36.6833333;6;
2;Australia;Victoria;Aspendale;;145.1;-38.0333333;6;
2;Australia;Victoria;Athlone;;145.7666667;-38.2333333;6;
2;Australia;Victoria;Aubrey;;142.2333333;-36.2333333;6;
2;Australia;Victoria;Aura;;145.4166667;-37.9333333;6;
2;Australia;Victoria;Avenel;;145.2333333;-36.9;6;
2;Australia;Victoria;Avoca;;143.4833333;-37.0833333;6;
2;Australia;Victoria;Avon Plains;;142.9333333;-36.55;6;
2;Australia;Victoria;Avonmore;;144.5666667;-36.5333333;6;
2;Australia;Victoria;Avonsleigh;;145.4666667;-37.9333333;6;
2;Australia;Victoria;Awonga;;141.3833333;-36.95;6;
2;Australia;Victoria;Axedale;;144.5166667;-36.8;6;
2;Australia;Victoria;Baarmutha;;146.6833333;-36.4166667;6;
2;Australia;Victoria;Bacchus Marsh;;144.45;-37.6833333;6;
2;Australia;Victoria;Back Creek;;146.85;-36.3666667;6;
2;Australia;Victoria;Baddaginnie;;145.8666667;-36.5833333;6;
2;Australia;Victoria;Badger Creek;;145.5166667;-37.7;6;
2;Australia;Victoria;Badgers Creek;;145.5166667;-37.7;6;
2;Australia;Victoria;Bagshot;;144.4166667;-36.65;6;
2;Australia;Victoria;Bahgallah;;141.3833333;-37.6333333;6;
2;Australia;Victoria;Bailieston East;;145.1166667;-36.75;6;
2;Australia;Victoria;Bailieston;;145.05;-36.7333333;6;
2;Australia;Victoria;Bairnsdale;;147.6166667;-37.8333333;6;
2;Australia;Victoria;Bairsdale;;147.6166667;-37.8333333;6;
2;Australia;Victoria;Baker;;141.5833333;-36.0833333;6;
