"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Cheshire;Abbot's Meads;;W2.91;N53.19;10; 
2;England;Cheshire;Acton;;W2.55;N53.07;10; 
2;England;Cheshire;Acton Bridge;;W2.61;N53.27;10; 
2;England;Cheshire;Adlington;;W2.13;N53.31;10; 
2;England;Cheshire;Alderley Edge;;W2.24;N53.29;10; 
2;England;Cheshire;Aldersey Green;;W2.80;N53.09;10; 
2;England;Cheshire;Aldford;;W2.88;N53.12;10; 
2;England;Cheshire;Aldford Brook;;W2.87;N53.13;10; 
2;England;Cheshire;Allostock;;W2.39;N53.23;10; 
2;England;Cheshire;Alpraham;;W2.62;N53.12;10; 
2;England;Cheshire;Alsager;;W2.31;N53.09;10; 
2;England;Cheshire;Alvanley;;W2.76;N53.25;10; 
2;England;Cheshire;Anderton With Marbury;;W2.54;N53.27;10; 
2;England;Cheshire;Antrobus;;W2.54;N53.30;10; 
2;England;Cheshire;Appleton;;W2.73;N53.36;10; 
2;England;Cheshire;Appleton Park;;W2.58;N53.35;10; 
2;England;Cheshire;Appleton Thorn;;W2.55;N53.34;10; 
2;England;Cheshire;Arclid;;W2.33;N53.15;10; 
2;England;Cheshire;Arclid Green;;W2.33;N53.14;10; 
2;England;Cheshire;Arley;;W2.49;N53.32;10; 
2;England;Cheshire;Arley Green;;W2.48;N53.31;10; 
2;England;Cheshire;Arthill;;W2.42;N53.36;10; 
2;England;Cheshire;Ashley;;W2.34;N53.35;10; 
2;England;Cheshire;Ashley Heath;;W2.36;N53.36;10; 
2;England;Cheshire;Ashton;;W2.75;N53.21;10; 
2;England;Cheshire;Ashton Heath;;W2.66;N53.30;10; 
2;England;Cheshire;Astbury;;W2.24;N53.14;10; 
2;England;Cheshire;Astle;;W2.27;N53.25;10; 
2;England;Cheshire;Astmoor;;W2.70;N53.34;10; 
2;England;Cheshire;Aston;;W2.58;N53.01;10; 
2;England;Cheshire;Aston;;W2.67;N53.29;10; 
2;England;Cheshire;Aston juxta Mondrum;;W2.53;N53.10;10; 
2;England;Cheshire;Audlem;;W2.50;N52.98;10; 
2;England;Cheshire;Backford;;W2.91;N53.23;10; 
2;England;Cheshire;Backford Cross;;W2.93;N53.25;10; 
2;England;Cheshire;Balderton;;W2.94;N53.15;10; 
2;England;Cheshire;Ball o'Ditton;;W2.76;N53.36;10; 
2;England;Cheshire;Balterley Heath;;W2.38;N53.04;10; 
2;England;Cheshire;Barbridge;;W2.58;N53.10;10; 
2;England;Cheshire;Barnett Brook;;W2.56;N52.99;10; 
2;England;Cheshire;Barnhill;;W2.77;N53.08;10; 
2;England;Cheshire;Barnton;;W2.55;N53.27;10; 
2;England;Cheshire;Barrets Green;;W2.62;N53.12;10; 
2;England;Cheshire;Barrowmore Estate;;W2.79;N53.21;10; 
2;England;Cheshire;Barrows Green;;W2.46;N53.11;10; 
2;England;Cheshire;Barrow's Green;;W2.72;N53.37;10; 
2;England;Cheshire;Barthomley;;W2.35;N53.06;10; 
2;England;Cheshire;Barton;;W2.83;N53.08;10; 
2;England;Cheshire;Bate Heath;;W2.48;N53.30;10; 
2;England;Cheshire;Bath Vale;;W2.19;N53.16;10; 
2;England;Cheshire;Beechwood;;W2.70;N53.31;10; 
2;England;Cheshire;Beeston;;W2.68;N53.11;10; 
2;England;Cheshire;Belgrave;;W2.92;N53.14;10; 
2;England;Cheshire;Bell o' th' Hill;;W2.71;N53.00;10; 
2;England;Cheshire;Betchton Heath;;W2.34;N53.13;10; 
2;England;Cheshire;Betley Common;;W2.38;N53.02;10; 
2;England;Cheshire;Bewsey;;W2.61;N53.39;10; 
2;England;Cheshire;Bickerton;;W2.74;N53.06;10; 
2;England;Cheshire;Bickley Moss;;W2.68;N53.03;10; 
2;England;Cheshire;Bickley Town;;W2.70;N53.02;10; 
2;England;Cheshire;Bickleywood;;W2.71;N53.01;10; 
2;England;Cheshire;Birch Heath;;W2.68;N53.14;10; 
2;England;Cheshire;Birchwood;;W2.54;N53.41;10; 
2;England;Cheshire;Blackden Heath;;W2.33;N53.23;10; 
2;England;Cheshire;Blackwood;;W2.57;N53.40;10; 
2;England;Cheshire;Blacon;;W2.92;N53.19;10; 
2;England;Cheshire;Blakelow;;W2.47;N53.05;10; 
2;England;Cheshire;Blakenhall;;W2.41;N53.01;10; 
2;England;Cheshire;Bollin;;W2.35;N53.34;10; 
2;England;Cheshire;Bollington;;W2.10;N53.29;10; 
2;England;Cheshire;Bollington Cross;;W2.12;N53.29;10; 
2;England;Cheshire;Booth Bank;;W2.42;N53.36;10; 
2;England;Cheshire;Booth Green;;W2.12;N53.32;10; 
2;England;Cheshire;Boothsdale;;W2.70;N53.19;10; 
2;England;Cheshire;Boots Green;;W2.37;N53.24;10; 
2;England;Cheshire;Bostock Green;;W2.49;N53.21;10; 
2;England;Cheshire;Boughton;;W2.88;N53.18;10; 
2;England;Cheshire;Boughton Heath;;W2.86;N53.17;10; 
2;England;Cheshire;Bradfield Green;;W2.47;N53.12;10; 
2;England;Cheshire;Bradley Green;;W2.73;N53.00;10; 
2;England;Cheshire;Bradley Mount;;W2.13;N53.29;10; 
2;England;Cheshire;Bradwall Green;;W2.37;N53.16;10; 
2;England;Cheshire;Brassey Green;;W2.71;N53.13;10; 
2;England;Cheshire;Brereton Green;;W2.34;N53.17;10; 
2;England;Cheshire;Brereton Heath;;W2.30;N53.17;10; 
2;England;Cheshire;Brickhouses;;W2.34;N53.15;10; 
2;England;Cheshire;Bridgemere;;W2.43;N53.00;10; 
2;England;Cheshire;Bridgewater Canal;;W2.65;N53.31;10; 
2;England;Cheshire;Brindley;;W2.61;N53.07;10; 
2;England;Cheshire;Broken Cross;;W2.16;N53.25;10; 
2;England;Cheshire;Broken Cross;;W2.48;N53.25;10; 
2;England;Cheshire;Brook Bottom;;W2.03;N53.37;10; 
2;England;Cheshire;Brookhouse;;W2.09;N53.27;10; 
2;England;Cheshire;Brookhouse Green;;W2.28;N53.14;10; 
2;England;Cheshire;Brookvale;;W2.69;N53.31;10; 
2;England;Cheshire;Broomedge;;W2.45;N53.36;10; 
2;England;Cheshire;Broomhall;;W2.56;N53.01;10; 
2;England;Cheshire;Broomhall Green;;W2.56;N53.01;10; 
2;England;Cheshire;Broomhill;;W2.79;N53.21;10; 
2;England;Cheshire;Brown Heath;;W2.82;N53.17;10; 
2;England;Cheshire;Brown Knowl;;W2.76;N53.07;10; 
2;England;Cheshire;Brownedge;;W2.34;N53.16;10; 
2;England;Cheshire;Brownlow;;W2.27;N53.14;10; 
2;England;Cheshire;Brownlow Heath;;W2.27;N53.13;10; 
2;England;Cheshire;Brown's Bank;;W2.53;N52.98;10; 
2;England;Cheshire;Broxton;;W2.79;N53.08;10; 
2;England;Cheshire;Bruche;;W2.57;N53.39;10; 
