"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Dorset;Abbotsbury;;W2.60;N50.66;10;
2;England;Dorset;Acton;;W2.02;N50.60;10;
2;England;Dorset;Adam's Green;;W2.65;N50.86;10;
2;England;Dorset;Adber;;W2.58;N50.97;10;
2;England;Dorset;Affpuddle;;W2.28;N50.73;10;
2;England;Dorset;Alcester;;W2.21;N50.99;10;
2;England;Dorset;Alderholt;;W1.83;N50.90;10;
2;England;Dorset;Alderney;;W1.94;N50.74;10;
2;England;Dorset;Allen;;W1.98;N50.88;10;
2;England;Dorset;Aller;;W2.34;N50.81;10;
2;England;Dorset;Allington;;W2.76;N50.73;10;
2;England;Dorset;Almer;;W2.12;N50.78;10;
2;England;Dorset;Alton Pancras;;W2.44;N50.81;10;
2;England;Dorset;Alweston;;W2.48;N50.92;10;
2;England;Dorset;Ameysford;;W1.90;N50.81;10;
2;England;Dorset;Ammerham;;W2.91;N50.84;10;
2;England;Dorset;Anderson;;W2.18;N50.77;10;
2;England;Dorset;Ansty Cross;;W2.34;N50.82;10;
2;England;Dorset;Arne;;W2.04;N50.69;10;
2;England;Dorset;Ash (near Salway);;W2.76;N50.76;10;
2;England;Dorset;Ash (near Stourpaine);;W2.20;N50.88;10;
2;England;Dorset;Ashford;;W1.81;N50.92;10;
2;England;Dorset;Ashington;;W2.00;N50.78;10;
2;England;Dorset;Ashley;;W1.81;N50.83;10;
2;England;Dorset;Ashley Heath;;W1.84;N50.83;10;
2;England;Dorset;Ashmore;;W2.12;N50.95;10;
2;England;Dorset;Askerswell;;W2.68;N50.72;10;
2;England;Dorset;Athelhampton;;W2.32;N50.74;10;
2;England;Dorset;Atrim;;W2.79;N50.75;10;
2;England;Dorset;Avon;;W1.79;N50.77;10;
2;England;Dorset;Avon;;W1.80;N50.78;10;
2;England;Dorset;Axe;;W2.81;N50.84;10;
2;England;Dorset;Bagber;;W2.35;N50.91;10;
2;England;Dorset;Barrow Hill;;W2.07;N50.76;10;
2;England;Dorset;Batcombe;;W2.55;N50.83;10;
2;England;Dorset;Bay;;W2.27;N51.03;10;
2;England;Dorset;Beacon Hill;;W2.04;N50.74;10;
2;England;Dorset;Beaminster;;W2.75;N50.80;10;
2;England;Dorset;Bear Cross;;W1.93;N50.76;10;
2;England;Dorset;Bearwood;;W1.93;N50.77;10;
2;England;Dorset;Beaulieu Wood;;W2.42;N50.85;10;
2;England;Dorset;Bedchester;;W2.21;N50.95;10;
2;England;Dorset;Beer Hackett;;W2.58;N50.89;10;
2;England;Dorset;Belchalwell;;W2.29;N50.88;10;
2;England;Dorset;Belchalwell Street;;W2.29;N50.88;10;
2;England;Dorset;Benville;;W2.65;N50.82;10;
2;England;Dorset;Bere Regis;;W2.22;N50.75;10;
2;England;Dorset;Bettiscombe;;W2.86;N50.79;10;
2;England;Dorset;Bill Of Portland;;W2.45;N50.51;10;
2;England;Dorset;Bincombe;;W2.45;N50.65;10;
2;England;Dorset;Binnegar;;W2.18;N50.68;10;
2;England;Dorset;Birdsmoorgate;;W2.86;N50.79;10;
2;England;Dorset;Bishop's Caundle;;W2.44;N50.91;10;
2;England;Dorset;Bishop's Down;;W2.47;N50.90;10;
2;England;Dorset;Bittles Green;;W2.21;N51.01;10;
2;England;Dorset;Blackdown;;W2.86;N50.82;10;
2;England;Dorset;Blackney;;W2.82;N50.78;10;
2;England;Dorset;Blacknoll;;W2.28;N50.67;10;
2;England;Dorset;Blandford Camp;;W2.11;N50.87;10;
2;England;Dorset;Blandford Forum;;W2.17;N50.85;10;
2;England;Dorset;Blandford St Mary;;W2.17;N50.84;10;
2;England;Dorset;Bloxworth;;W2.17;N50.74;10;
2;England;Dorset;Bluntshay;;W2.83;N50.76;10;
2;England;Dorset;Bookham;;W2.42;N50.83;10;
2;England;Dorset;Borough The;;W2.42;N50.89;10;
2;England;Dorset;Bothenhampton;;W2.76;N50.71;10;
2;England;Dorset;Bourne Valley;;W1.91;N50.73;10;
2;England;Dorset;Bourton;;W2.34;N51.06;10;
2;England;Dorset;Boveridge;;W1.91;N50.92;10;
2;England;Dorset;Bovington Camp;;W2.24;N50.70;10;
2;England;Dorset;Bowden;;W2.32;N51.00;10;
2;England;Dorset;Bowridge Hill;;W2.27;N51.04;10;
2;England;Dorset;Boys Hill;;W2.47;N50.88;10;
2;England;Dorset;Bradford Abbas;;W2.59;N50.92;10;
2;England;Dorset;Bradford Peverell;;W2.49;N50.72;10;
2;England;Dorset;Bradpole;;W2.75;N50.74;10;
2;England;Dorset;Bramblecombe;;W2.32;N50.79;10;
2;England;Dorset;Branksome;;W1.93;N50.72;10;
2;England;Dorset;Branksome Park;;W1.93;N50.70;10;
2;England;Dorset;Bransgore;;W1.74;N50.77;10;
2;England;Dorset;Braytown;;W2.24;N50.67;10;
2;England;Dorset;Briantspuddle;;W2.27;N50.73;10;
2;England;Dorset;Bridge;;W2.91;N50.84;10;
2;England;Dorset;Bridport;;W2.76;N50.72;10;
2;England;Dorset;Broad Oak;;W2.31;N50.90;10;
2;England;Dorset;Broadmayne;;W2.39;N50.67;10;
2;England;Dorset;Broadoak;;W2.80;N50.76;10;
2;England;Dorset;Broadstone;;W2.00;N50.75;10;
2;England;Dorset;Broadwey;;W2.48;N50.64;10;
2;England;Dorset;Broadwindsor;;W2.81;N50.81;10;
2;England;Dorset;Brockhampton Green;;W2.41;N50.85;10;
2;England;Dorset;Broom Hill;;W1.95;N50.81;10;
2;England;Dorset;Brownsea Island;;W1.97;N50.69;10;
2;England;Dorset;Bryanston;;W2.18;N50.85;10;
2;England;Dorset;Buckham;;W2.75;N50.82;10;
2;England;Dorset;Buckhorn Weston;;W2.35;N51.01;10;
2;England;Dorset;Buckland Newton;;W2.44;N50.84;10;
2;England;Dorset;Buckland Ripers;;W2.51;N50.63;10;
2;England;Dorset;Bugley;;W2.31;N51.01;10;
2;England;Dorset;Burleston;;W2.32;N50.74;10;
2;England;Dorset;Burstock;;W2.82;N50.82;10;
2;England;Dorset;Burton;;W2.45;N50.71;10;
2;England;Dorset;Burton;;W1.77;N50.74;10;
2;England;Dorset;Burton Bradstock;;W2.73;N50.69;10;
2;England;Dorset;Bushey;;W2.02;N50.64;10;
2;England;Dorset;Cale;;W2.34;N50.97;10;
2;England;Dorset;Camel Green;;W1.83;N50.90;10;
2;England;Dorset;Camesworth;;W2.75;N50.77;10;
2;England;Dorset;Canford Cliffs;;W1.93;N50.70;10;
2;England;Dorset;Canford Heath;;W1.97;N50.74;10;
2;England;Dorset;Canford Magna;;W1.95;N50.78;10;
2;England;Dorset;Cann;;W2.18;N50.98;10;
2;England;Dorset;Cann Common;;W2.17;N50.98;10;
2;England;Dorset;Cashmoor;;W2.04;N50.91;10;
2;England;Dorset;Castletown;;W2.45;N50.56;10;
2;England;Dorset;Catherston Leweston;;W2.89;N50.74;10;
2;England;Dorset;Cattistock;;W2.58;N50.78;10;
2;England;Dorset;Caundle Marsh;;W2.47;N50.91;10;
2;England;Dorset;Cerne;;W2.46;N50.78;10;
2;England;Dorset;Cerne Abbas;;W2.48;N50.80;10;
2;England;Dorset;Chalbury;;W1.98;N50.85;10;
2;England;Dorset;Chalbury Common;;W1.97;N50.85;10;
2;England;Dorset;Chaldon Herring (East Chaldon);;W2.29;N50.64;10;
2;England;Dorset;Chalmington;;W2.58;N50.79;10;
2;England;Dorset;Champernhayes Marsh;;W2.92;N50.76;10;
2;England;Dorset;Char;;W2.81;N50.77;10;
2;England;Dorset;Chard Junction;;W2.93;N50.83;10;
2;England;Dorset;Charlestown;;W2.51;N50.60;10;
2;England;Dorset;Charlton Marshall;;W2.14;N50.82;10;
