"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Essex;Abberton;;E0.90;N51.83;10;
2;England;Essex;Abberton Reservoir;;E0.86;N51.82;10;
2;England;Essex;Abbess End;;E0.27;N51.77;10;
2;England;Essex;Abbess Roding;;E0.27;N51.77;10;
2;England;Essex;Abbey Field;;E0.89;N51.87;10;
2;England;Essex;Abridge;;E0.10;N51.64;10;
2;England;Essex;Aimes Green;;E0.01;N51.69;10;
2;England;Essex;Aingers Green;;E1.06;N51.83;10;
2;England;Essex;Aldborough Hatch;;E0.09;N51.58;10;
2;England;Essex;Aldersbrook;;E0.01;N51.56;10;
2;England;Essex;Aldham;;E0.78;N51.89;10;
2;England;Essex;Almshouse Green;;E0.54;N51.96;10;
2;England;Essex;Alphamstone;;E0.72;N51.98;10;
2;England;Essex;Alresford;;E0.98;N51.84;10;
2;England;Essex;Althorne;;E0.75;N51.64;10;
2;England;Essex;Ardleigh;;E0.98;N51.92;10;
2;England;Essex;Ardleigh Heath;;E0.96;N51.93;10;
2;England;Essex;Ardleigh Reservoir;;E0.96;N51.92;10;
2;England;Essex;Ardley End;;E0.20;N51.80;10;
2;England;Essex;Arkesden;;E0.15;N51.98;10;
2;England;Essex;Armigers;;E0.31;N51.92;10;
2;England;Essex;Ashdon;;E0.30;N52.05;10;
2;England;Essex;Asheldham;;E0.84;N51.67;10;
2;England;Essex;Ashen;;E0.53;N52.04;10;
2;England;Essex;Ashingdon;;E0.68;N51.60;10;
2;England;Essex;Audley End;;E0.63;N52.00;10;
2;England;Essex;Audley End;;E0.21;N52.01;10;
2;England;Essex;Aveley;;E0.24;N51.49;10;
2;England;Essex;Aythorpe Roding;;E0.30;N51.80;10;
2;England;Essex;Bacon End;;E0.32;N51.83;10;
2;England;Essex;Baconend Green;;E0.32;N51.84;10;
2;England;Essex;Baddow Park;;E0.48;N51.69;10;
2;England;Essex;Baker Street;;E0.34;N51.50;10;
2;England;Essex;Ballards Gore;;E0.74;N51.59;10;
2;England;Essex;Ballingdon;;E0.71;N52.02;10;
2;England;Essex;Balls Green;;E1.03;N51.86;10;
2;England;Essex;Balstonia;;E0.43;N51.52;10;
2;England;Essex;Bamber's Green;;E0.27;N51.88;10;
2;England;Essex;Bannister Green;;E0.45;N51.85;10;
2;England;Essex;Bardfield End Green;;E0.35;N51.94;10;
2;England;Essex;Bardfield Saling;;E0.44;N51.90;10;
2;England;Essex;Barking;;E0.07;N51.53;10;
2;England;Essex;Barkingside;;E0.07;N51.58;10;
2;England;Essex;Barling;;E0.78;N51.56;10;
2;England;Essex;Barnston;;E0.37;N51.84;10;
2;England;Essex;Barstable;;E0.46;N51.56;10;
2;England;Essex;Bartholomew Green;;E0.49;N51.86;10;
2;England;Essex;Bartlow;;E0.30;N52.08;10;
2;England;Essex;Basildon;;E0.49;N51.57;10;
2;England;Essex;Bath Side;;E1.27;N51.94;10;
2;England;Essex;Battlesbridge;;E0.55;N51.61;10;
2;England;Essex;Baythorne End;;E0.50;N52.04;10;
2;England;Essex;Beacon End;;E0.83;N51.88;10;
2;England;Essex;Beacon Hill;;E0.68;N51.77;10;
2;England;Essex;Beam;;E0.16;N51.52;10;
2;England;Essex;Beauchamp Roding;;E0.28;N51.76;10;
2;England;Essex;Beaumont;;E1.15;N51.88;10;
2;England;Essex;Beazley End;;E0.52;N51.93;10;
2;England;Essex;Beckton;;E0.05;N51.51;10;
2;England;Essex;Becontree;;E0.13;N51.54;10;
2;England;Essex;Bedlar's Green;;E0.20;N51.85;10;
2;England;Essex;Beggar Hill;;E0.35;N51.68;10;
2;England;Essex;Belchamp Otten;;E0.62;N52.03;10;
2;England;Essex;Belchamp St Paul;;E0.60;N52.04;10;
2;England;Essex;Belchamp Walter;;E0.63;N52.02;10;
2;England;Essex;Bell Common;;E0.08;N51.68;10;
2;England;Essex;Bentfield Bury;;E0.16;N51.90;10;
2;England;Essex;Bentfield Green;;E0.17;N51.90;10;
2;England;Essex;Bentley;;E0.25;N51.64;10;
2;England;Essex;Berden;;E0.12;N51.94;10;
2;England;Essex;Berechurch;;E0.88;N51.86;10;
2;England;Essex;Berners Roding;;E0.31;N51.75;10;
2;England;Essex;Bicknacre;;E0.57;N51.68;10;
2;England;Essex;Biggin;;E0.37;N51.46;10;
2;England;Essex;Bigods;;E0.35;N51.89;10;
2;England;Essex;Billericay;;E0.41;N51.62;10;
2;England;Essex;Birch;;E0.81;N51.83;10;
2;England;Essex;Birch Green;;E0.81;N51.82;10;
2;England;Essex;Birchanger;;E0.19;N51.87;10;
2;England;Essex;Birchhall Corner;;E0.96;N51.93;10;
2;England;Essex;Bird Green;;E0.10;N51.97;10;
2;England;Essex;Birdbrook;;E0.47;N52.04;10;
2;England;Essex;Birds Green;;E0.28;N51.74;10;
2;England;Essex;Bishops Green;;E0.34;N51.82;10;
2;England;Essex;Black Notley;;E0.55;N51.85;10;
2;England;Essex;Blackheath;;E0.90;N51.85;10;
