"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Huntingdonshire;Abbots Ripton;;W0.19;N52.37;10;
2;England;Huntingdonshire;Abbotsley;;W0.21;N52.18;10;
2;England;Huntingdonshire;Alconbury;;W0.26;N52.36;10;
2;England;Huntingdonshire;Alconbury Weston;;W0.28;N52.36;10;
2;England;Huntingdonshire;Alwalton;;W0.33;N52.54;10;
2;England;Huntingdonshire;Barham;;W0.34;N52.36;10;
2;England;Huntingdonshire;Bluntisham;;W0.00;N52.34;10;
2;England;Huntingdonshire;Brampton;;W0.24;N52.31;10;
2;England;Huntingdonshire;Brington;;W0.41;N52.36;10;
2;England;Huntingdonshire;Broughton;;W0.12;N52.37;10;
2;England;Huntingdonshire;Buckden;;W0.25;N52.28;10;
2;England;Huntingdonshire;Buckworth;;W0.32;N52.37;10;
2;England;Huntingdonshire;Bury;;W0.11;N52.43;10;
2;England;Huntingdonshire;Bythorn;;W0.45;N52.36;10;
2;England;Huntingdonshire;Caldecote;;W0.04;N52.19;10;
2;England;Huntingdonshire;Caldecote;;W0.32;N52.47;10;
2;England;Huntingdonshire;Catworth;;W0.41;N52.34;10;
2;England;Huntingdonshire;Chesterton;;E0.13;N52.21;10;
2;England;Huntingdonshire;Chesterton;;W0.34;N52.54;10;
2;England;Huntingdonshire;Colne;;E0.01;N52.35;10;
2;England;Huntingdonshire;Conington;;W0.06;N52.27;10;
2;England;Huntingdonshire;Conington;;W0.27;N52.45;10;
2;England;Huntingdonshire;Coppingford;;W0.29;N52.40;10;
2;England;Huntingdonshire;Denton;;W0.32;N52.46;10;
2;England;Huntingdonshire;Diddington;;W0.25;N52.27;10;
2;England;Huntingdonshire;Earith;;E0.02;N52.34;10;
2;England;Huntingdonshire;Easton;;W0.34;N52.32;10;
2;England;Huntingdonshire;Ellington;;W0.31;N52.32;10;
2;England;Huntingdonshire;Elton;;W0.40;N52.52;10;
2;England;Huntingdonshire;Eynesbury;;W0.27;N52.21;10;
2;England;Huntingdonshire;Farcet;;W0.23;N52.53;10;
2;England;Huntingdonshire;Fenstanton;;W0.08;N52.29;10;
2;England;Huntingdonshire;Folksworth;;W0.32;N52.48;10;
2;England;Huntingdonshire;Glatton;;W0.30;N52.46;10;
2;England;Huntingdonshire;Godmanchester;;W0.18;N52.31;10;
2;England;Huntingdonshire;Great Gransden;;W0.14;N52.17;10;
2;England;Huntingdonshire;Great Paxton;;W0.24;N52.25;10;
2;England;Huntingdonshire;Great Raveley;;W0.16;N52.41;10;
2;England;Huntingdonshire;Great Staughton;;W0.36;N52.26;10;
2;England;Huntingdonshire;Great Stukeley;;W0.22;N52.35;10;
2;England;Huntingdonshire;Haddon;;W0.33;N52.51;10;
2;England;Huntingdonshire;Hail Weston;;W0.30;N52.24;10;
2;England;Huntingdonshire;Hamerton;;W0.34;N52.39;10;
2;England;Huntingdonshire;Hartford;;W0.16;N52.33;10;
2;England;Huntingdonshire;Hemingford Abbots;;W0.13;N52.31;10;
2;England;Huntingdonshire;Hemingford Grey;;W0.10;N52.31;10;
2;England;Huntingdonshire;Hilton;;W0.12;N52.27;10;
2;England;Huntingdonshire;Holme;;W0.24;N52.46;10;
2;England;Huntingdonshire;Houghton;;W0.12;N52.33;10;
2;England;Huntingdonshire;Huntingdon;;W0.18;N52.33;10;
2;England;Huntingdonshire;Keyston;;W0.47;N52.36;10;
2;England;Huntingdonshire;Kimbolton;;W0.40;N52.29;10;
2;England;Huntingdonshire;Kings Ripton;;W0.15;N52.36;10;
2;England;Huntingdonshire;Little Catworth;;W0.38;N52.33;10;
