"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Norfolk;Acle;;E1.54;N52.63;10;
2;England;Norfolk;Alburgh;;E1.33;N52.42;10;
2;England;Norfolk;Alby Hill;;E1.25;N52.85;10;
2;England;Norfolk;Aldborough;;E1.23;N52.85;10;
2;England;Norfolk;Aldeby;;E1.60;N52.48;10;
2;England;Norfolk;Alderford;;E1.13;N52.71;10;
2;England;Norfolk;Alpington;;E1.37;N52.55;10;
2;England;Norfolk;Anchor Corner;;E0.94;N52.54;10;
2;England;Norfolk;Anchor Street;;E1.42;N52.76;10;
2;England;Norfolk;Anmer;;E0.58;N52.83;10;
2;England;Norfolk;Ant;;E1.49;N52.73;10;
2;England;Norfolk;Antingham;;E1.34;N52.84;10;
2;England;Norfolk;Arminghall;;E1.32;N52.58;10;
2;England;Norfolk;Ashby St Mary;;E1.42;N52.56;10;
2;England;Norfolk;Ashill;;E0.77;N52.60;10;
2;England;Norfolk;Ashmanhaugh;;E1.42;N52.73;10;
2;England;Norfolk;Ashwellthorpe;;E1.15;N52.52;10;
2;England;Norfolk;Ashwicken;;E0.51;N52.74;10;
2;England;Norfolk;Aslacton;;E1.16;N52.46;10;
2;England;Norfolk;Attleborough;;E1.00;N52.51;10;
2;England;Norfolk;Attlebridge;;E1.13;N52.70;10;
2;England;Norfolk;Audley End;;E1.14;N52.39;10;
2;England;Norfolk;Aylmerton;;E1.24;N52.90;10;
2;England;Norfolk;Aylsham;;E1.24;N52.79;10;
2;England;Norfolk;Babingley;;E0.38;N52.80;10;
2;England;Norfolk;Babingley;;E0.47;N52.80;10;
2;England;Norfolk;Baconsthorpe;;E1.15;N52.88;10;
2;England;Norfolk;Bacton;;E1.47;N52.84;10;
2;England;Norfolk;Bacton Green;;E1.47;N52.85;10;
2;England;Norfolk;Bagthorpe;;E0.65;N52.85;10;
2;England;Norfolk;Bale;;E0.98;N52.88;10;
2;England;Norfolk;Banham;;E1.03;N52.45;10;
2;England;Norfolk;Banningham;;E1.27;N52.81;10;
2;England;Norfolk;Barford;;E1.11;N52.62;10;
2;England;Norfolk;Barmer;;E0.68;N52.86;10;
2;England;Norfolk;Barney;;E0.95;N52.84;10;
2;England;Norfolk;Barnham Broom;;E1.05;N52.62;10;
2;England;Norfolk;Barningham Green;;E1.14;N52.85;10;
2;England;Norfolk;Barroway Drove;;E0.30;N52.60;10;
2;England;Norfolk;Barton Bendish;;E0.52;N52.61;10;
2;England;Norfolk;Barton Turf;;E1.48;N52.74;10;
2;England;Norfolk;Bastwick;;E1.58;N52.69;10;
2;England;Norfolk;Bawburgh;;E1.17;N52.62;10;
2;England;Norfolk;Bawdeswell;;E1.02;N52.73;10;
2;England;Norfolk;Bawsey;;E0.48;N52.74;10;
2;England;Norfolk;Beachamwell;;E0.58;N52.61;10;
2;England;Norfolk;Beckett End;;E0.60;N52.55;10;
2;England;Norfolk;Bedingham Green;;E1.35;N52.47;10;
2;England;Norfolk;Beeston;;E0.81;N52.69;10;
2;England;Norfolk;Beeston Regis;;E1.21;N52.93;10;
2;England;Norfolk;Beeston St Lawrence;;E1.43;N52.73;10;
2;England;Norfolk;Beetley;;E0.91;N52.71;10;
2;England;Norfolk;Beighton;;E1.51;N52.60;10;
2;England;Norfolk;Belaugh;;E1.37;N52.71;10;
2;England;Norfolk;Bellmount;;E0.28;N52.76;10;
2;England;Norfolk;Belton;;E1.65;N52.55;10;
2;England;Norfolk;Bengate;;E1.41;N52.79;10;
2;England;Norfolk;Bergh Apton;;E1.39;N52.55;10;
2;England;Norfolk;Bessingham;;E1.20;N52.87;10;
2;England;Norfolk;Besthorpe;;E1.03;N52.51;10;
2;England;Norfolk;Bexfield;;E0.99;N52.78;10;
2;England;Norfolk;Bexwell;;E0.40;N52.60;10;
2;England;Norfolk;Billingford;;E0.97;N52.74;10;
2;England;Norfolk;Billockby;;E1.57;N52.66;10;
2;England;Norfolk;Binham;;E0.94;N52.91;10;
2;England;Norfolk;Bintree;;E0.97;N52.76;10;
2;England;Norfolk;Bircham Newton;;E0.61;N52.86;10;
2;England;Norfolk;Bircham Tofts;;E0.62;N52.85;10;
2;England;Norfolk;Bittering;;E0.85;N52.71;10;
2;England;Norfolk;Black Carr;;E1.07;N52.51;10;
2;England;Norfolk;Blackborough;;E0.47;N52.69;10;
2;England;Norfolk;Blackborough End;;E0.45;N52.69;10;
2;England;Norfolk;Blackwater;;E1.09;N52.73;10;
2;England;Norfolk;Blakeney;;E1.00;N52.94;10;
2;England;Norfolk;Blickling;;E1.21;N52.80;10;
2;England;Norfolk;Blofield;;E1.44;N52.62;10;
2;England;Norfolk;Blofield Heath;;E1.42;N52.64;10;
2;England;Norfolk;Bodham;;E1.15;N52.91;10;
2;England;Norfolk;Bodney;;E0.69;N52.54;10;
2;England;Norfolk;Booton;;E1.12;N52.75;10;
2;England;Norfolk;Boughton;;E0.50;N52.58;10;
2;England;Norfolk;Bow Street;;E0.96;N52.53;10;
2;England;Norfolk;Bowthorpe;;E1.20;N52.63;10;
2;England;Norfolk;Boyland Common;;E1.05;N52.41;10;
2;England;Norfolk;Bracon Ash;;E1.21;N52.54;10;
2;England;Norfolk;Bradenham;;E0.83;N52.63;10;
2;England;Norfolk;Bradfield;;E1.36;N52.84;10;
2;England;Norfolk;Bradwell;;E1.68;N52.57;10;
2;England;Norfolk;Brakefield Green;;E0.98;N52.64;10;
2;England;Norfolk;Bramerton;;E1.38;N52.59;10;
2;England;Norfolk;Brampton;;E1.28;N52.76;10;
2;England;Norfolk;Brancaster;;E0.63;N52.95;10;
2;England;Norfolk;Brancaster Staithe;;E0.66;N52.96;10;
2;England;Norfolk;Brandiston;;E1.15;N52.74;10;
2;England;Norfolk;Brandon Parva;;E1.05;N52.62;10;
2;England;Norfolk;Breckles;;E0.87;N52.50;10;
2;England;Norfolk;Bressingham;;E1.04;N52.37;10;
2;England;Norfolk;Bressingham Common;;E1.07;N52.39;10;
2;England;Norfolk;Brettenham;;E0.83;N52.41;10;
2;England;Norfolk;Brewers Green;;E1.08;N52.37;10;
2;England;Norfolk;Bridge Green;;E1.14;N52.40;10;
2;England;Norfolk;Bridgham;;E0.86;N52.42;10;
2;England;Norfolk;Briggate;;E1.42;N52.79;10;
2;England;Norfolk;Briningham;;E1.01;N52.86;10;
2;England;Norfolk;Brinton;;E1.01;N52.87;10;
2;England;Norfolk;Brisley;;E0.88;N52.75;10;
2;England;Norfolk;Briston;;E1.05;N52.84;10;
2;England;Norfolk;Brockdish;;E1.23;N52.36;10;
2;England;Norfolk;Brock's Watering;;E1.15;N52.48;10;
2;England;Norfolk;Brooke;;E1.36;N52.54;10;
2;England;Norfolk;Brookville;;E0.54;N52.53;10;
2;England;Norfolk;Broom Green;;E0.93;N52.77;10;
2;England;Norfolk;Broome;;E1.44;N52.46;10;
2;England;Norfolk;Broomhill;;E0.37;N52.61;10;
2;England;Norfolk;Broomholm;;E1.47;N52.84;10;
2;England;Norfolk;Broomsthorpe;;E0.72;N52.81;10;
2;England;Norfolk;Brundall;;E1.42;N52.62;10;
2;England;Norfolk;Brundish;;E1.52;N52.50;10;
2;England;Norfolk;Buckenham;;E1.46;N52.59;10;
2;England;Norfolk;Bull's Green;;E1.54;N52.49;10;
2;England;Norfolk;Bumwell Hill;;E1.12;N52.47;10;
2;England;Norfolk;Bunker's Hill;;E1.22;N52.63;10;
2;England;Norfolk;Bunwell;;E1.12;N52.49;10;
2;England;Norfolk;Bunwell Bottom;;E1.09;N52.51;10;
2;England;Norfolk;Bure;;E1.53;N52.68;10;
2;England;Norfolk;Burgh Castle;;E1.65;N52.57;10;
2;England;Norfolk;Burgh Common;;E1.03;N52.50;10;
2;England;Norfolk;Burgh next Aylsham;;E1.29;N52.77;10;
2;England;Norfolk;Burgh St Margaret (Fleggburgh);;E1.60;N52.66;10;
2;England;Norfolk;Burgh St Peter;;E1.62;N52.47;10;
2;England;Norfolk;Burgh Stubbs;;E1.02;N52.86;10;
2;England;Norfolk;Burlingham Green;;E1.48;N52.63;10;
2;England;Norfolk;Burn;;E0.74;N52.95;10;
2;England;Norfolk;Burnham Deepdale;;E0.67;N52.96;10;
2;England;Norfolk;Burnham Market;;E0.72;N52.94;10;
2;England;Norfolk;Burnham Norton;;E0.70;N52.95;10;
2;England;Norfolk;Burnham Overy Staithe;;E0.73;N52.96;10;
2;England;Norfolk;Burnham Overy Town;;E0.73;N52.94;10;
2;England;Norfolk;Burnham Thorpe;;E0.75;N52.93;10;
2;England;Norfolk;Burston;;E1.13;N52.40;10;
2;England;Norfolk;Bush Estate;;E1.55;N52.80;10;
2;England;Norfolk;Bush Green;;E1.25;N52.43;10;
2;England;Norfolk;Bush Green;;E0.97;N52.54;10;
2;England;Norfolk;Bushy Common;;E0.88;N52.67;10;
2;England;Norfolk;Bustard's Green;;E1.19;N52.48;10;
2;England;Norfolk;Butcher's Common;;E1.46;N52.72;10;
2;England;Norfolk;Buxton;;E1.30;N52.74;10;
2;England;Norfolk;Caister-on-Sea;;E1.72;N52.64;10;
2;England;Norfolk;Caistor St Edmund;;E1.29;N52.57;10;
2;England;Norfolk;California;;E1.71;N52.67;10;
2;England;Norfolk;Calthorpe;;E1.23;N52.83;10;
2;England;Norfolk;Cangate;;E1.43;N52.71;10;
2;England;Norfolk;Cantley;;E1.51;N52.57;10;
2;England;Norfolk;Carbrooke;;E0.86;N52.58;10;
2;England;Norfolk;Cargate Common;;E1.13;N52.46;10;
2;England;Norfolk;Carleton Forehoe;;E1.08;N52.60;10;
2;England;Norfolk;Carleton Rode;;E1.10;N52.48;10;
2;England;Norfolk;Carleton St Peter;;E1.45;N52.56;10;
2;England;Norfolk;Castle Acre;;E0.67;N52.70;10;
2;England;Norfolk;Castle Rising;;E0.46;N52.78;10;
2;England;Norfolk;Caston;;E0.87;N52.53;10;
2;England;Norfolk;Catfield;;E1.52;N52.73;10;
2;England;Norfolk;Cat's Common;;E1.46;N52.75;10;
2;England;Norfolk;Caudlesprings;;E0.86;N52.57;10;
2;England;Norfolk;Cawston;;E1.15;N52.76;10;
2;England;Norfolk;Cess;;E1.60;N52.69;10;
2;England;Norfolk;Chalkhill;;E0.72;N52.57;10;
2;England;Norfolk;Chapel Field;;E1.49;N52.76;10;
2;England;Norfolk;Chedgrave;;E1.47;N52.53;10;
2;England;Norfolk;Chequers Corner;;E0.20;N52.64;10;
2;England;Norfolk;Chet;;E1.52;N52.55;10;
2;England;Norfolk;Church End;;E0.23;N52.71;10;
2;England;Norfolk;Church Green;;E1.03;N52.47;10;
2;England;Norfolk;Claxton;;E1.43;N52.57;10;
2;England;Norfolk;Clenchwarton;;E0.35;N52.75;10;
2;England;Norfolk;Cley next the Sea;;E1.03;N52.94;10;
2;England;Norfolk;Cliftonville;;E1.41;N52.88;10;
2;England;Norfolk;Clint Green;;E0.98;N52.65;10;
2;England;Norfolk;Clippesby;;E1.57;N52.66;10;
2;England;Norfolk;Clippings Green;;E1.01;N52.66;10;
2;England;Norfolk;Cobbler's Green;;E1.35;N52.47;10;
2;England;Norfolk;Cobholm Island;;E1.70;N52.60;10;
2;England;Norfolk;Cockley Cley;;E0.64;N52.60;10;
2;England;Norfolk;Cockthorpe;;E0.94;N52.93;10;
2;England;Norfolk;Colby;;E1.29;N52.83;10;
2;England;Norfolk;Colegate End;;E1.22;N52.44;10;
2;England;Norfolk;Colkirk;;E0.83;N52.79;10;
2;England;Norfolk;Colney;;E1.21;N52.61;10;
2;England;Norfolk;Coltishall;;E1.36;N52.73;10;
2;England;Norfolk;Colton;;E1.10;N52.63;10;
2;England;Norfolk;Congham;;E0.53;N52.77;10;
2;England;Norfolk;Copy's Green;;E0.88;N52.91;10;
2;England;Norfolk;Cordwell;;E1.13;N52.49;10;
2;England;Norfolk;Corpusty;;E1.13;N52.82;10;
2;England;Norfolk;Costessey;;E1.20;N52.66;10;
2;England;Norfolk;Costessey Park;;E1.19;N52.65;10;
2;England;Norfolk;Coston;;E1.04;N52.61;10;
2;England;Norfolk;Coxford;;E0.72;N52.82;10;
2;England;Norfolk;Crabgate;;E1.09;N52.80;10;
2;England;Norfolk;Crane's Corner;;E0.82;N52.68;10;
2;England;Norfolk;Cranwich;;E0.62;N52.51;10;
2;England;Norfolk;Cranworth;;E0.92;N52.59;10;
2;England;Norfolk;Craymere Beck;;E1.05;N52.82;10;
2;England;Norfolk;Crimplesham;;E0.42;N52.60;10;
2;England;Norfolk;Cringleford;;E1.23;N52.59;10;
2;England;Norfolk;Cromer;;E1.28;N52.93;10;
2;England;Norfolk;Crossdale Street;;E1.29;N52.90;10;
2;England;Norfolk;Crostwick;;E1.32;N52.69;10;
2;England;Norfolk;Crowgate Street;;E1.40;N52.73;10;
2;England;Norfolk;Crownthorpe;;E1.06;N52.58;10;
2;England;Norfolk;Crowshill;;E0.86;N52.61;10;
2;England;Norfolk;Croxton;;E0.75;N52.44;10;
2;England;Norfolk;Croxton;;E0.93;N52.84;10;
2;England;Norfolk;Cucumber Corner;;E1.51;N52.59;10;
2;England;Norfolk;Cut-off Canal;;E0.35;N52.59;10;
2;England;Norfolk;Cut-off Channel;;E0.49;N52.48;10;
2;England;Norfolk;Daffy Green;;E0.89;N52.64;10;
2;England;Norfolk;Dam Green;;E1.01;N52.42;10;
2;England;Norfolk;Damgate;;E1.54;N52.62;10;
2;England;Norfolk;Damgate;;E1.62;N52.71;10;
2;England;Norfolk;Danemoor Green;;E1.02;N52.60;10;
2;England;Norfolk;Darrow Green;;E1.31;N52.45;10;
2;England;Norfolk;Denton;;E1.33;N52.44;10;
2;England;Norfolk;Denver;;E0.37;N52.58;10;
2;England;Norfolk;Deopham;;E1.02;N52.55;10;
2;England;Norfolk;Deopham Green;;E1.00;N52.55;10;
2;England;Norfolk;Deopham Stalland;;E0.99;N52.55;10;
2;England;Norfolk;Dersingham;;E0.49;N52.84;10;
2;England;Norfolk;Dickleburgh;;E1.17;N52.39;10;
2;England;Norfolk;Dickleburgh Moor;;E1.18;N52.40;10;
2;England;Norfolk;Didlington;;E0.60;N52.54;10;
2;England;Norfolk;Dilham;;E1.45;N52.77;10;
2;England;Norfolk;Diss;;E1.09;N52.37;10;
2;England;Norfolk;Dockeney;;E1.50;N52.46;10;
2;England;Norfolk;Docking;;E0.61;N52.90;10;
2;England;Norfolk;Doddshill;;E0.50;N52.84;10;
2;England;Norfolk;Doughton;;E0.77;N52.82;10;
2;England;Norfolk;Dowe Hill;;E1.69;N52.68;10;
2;England;Norfolk;Downham Market;;E0.37;N52.60;10;
2;England;Norfolk;Drabblegate;;E1.26;N52.80;10;
2;England;Norfolk;Drayton;;E1.22;N52.67;10;
2;England;Norfolk;Drury Square;;E0.81;N52.69;10;
2;England;Norfolk;Drurylane;;E0.86;N52.57;10;
2;England;Norfolk;Drymere;;E0.62;N52.62;10;
2;England;Norfolk;Dumpling Green;;E0.95;N52.66;10;
2;England;Norfolk;Dunkirk;;E1.26;N52.79;10;
2;England;Norfolk;Dunston;;E1.27;N52.57;10;
2;England;Norfolk;Dunton;;E0.77;N52.83;10;
2;England;Norfolk;Dunton Patch;;E0.77;N52.83;10;
2;England;Norfolk;Earlham;;E1.23;N52.62;10;
2;England;Norfolk;Earsham;;E1.41;N52.44;10;
2;England;Norfolk;East Barsham;;E0.83;N52.86;10;
2;England;Norfolk;East Beckham;;E1.21;N52.90;10;
2;England;Norfolk;East Bilney;;E0.87;N52.73;10;
2;England;Norfolk;East Carleton;;E1.20;N52.56;10;
2;England;Norfolk;East Dereham;;E0.92;N52.66;10;
2;England;Norfolk;East Harling;;E0.92;N52.43;10;
2;England;Norfolk;East Lexham;;E0.73;N52.71;10;
2;England;Norfolk;East Raynham;;E0.78;N52.79;10;
2;England;Norfolk;East Rudham;;E0.69;N52.81;10;
2;England;Norfolk;East Runton;;E1.25;N52.93;10;
2;England;Norfolk;East Ruston;;E1.46;N52.79;10;
2;England;Norfolk;East Somerton;;E1.67;N52.71;10;
2;England;Norfolk;East Tuddenham;;E1.07;N52.65;10;
2;England;Norfolk;East Walton;;E0.57;N52.71;10;
2;England;Norfolk;East Winch;;E0.50;N52.71;10;
2;England;Norfolk;East Wretham;;E0.81;N52.47;10;
2;England;Norfolk;East Wretham;;E0.81;N52.47;10;
2;England;Norfolk;Eastgate;;E1.17;N52.76;10;
2;England;Norfolk;Easthaugh;;E1.07;N52.71;10;
2;England;Norfolk;Easton;;E1.14;N52.64;10;
2;England;Norfolk;Eaton;;E1.26;N52.60;10;
2;England;Norfolk;Eau Brink;;E0.33;N52.71;10;
2;England;Norfolk;Eccles on Sea;;E1.55;N52.80;10;
2;England;Norfolk;Eccles Road;;E0.95;N52.47;10;
2;England;Norfolk;Edge Green;;E0.99;N52.42;10;
2;England;Norfolk;Edgefield;;E1.10;N52.86;10;
2;England;Norfolk;Edgefield Street;;E1.10;N52.85;10;
2;England;Norfolk;Edingthorpe;;E1.44;N52.83;10;
2;England;Norfolk;Edingthorpe Green;;E1.42;N52.82;10;
2;England;Norfolk;Egmere;;E0.82;N52.89;10;
2;England;Norfolk;Ellingham;;E1.47;N52.47;10;
2;England;Norfolk;Elsing;;E1.03;N52.70;10;
2;England;Norfolk;Emneth;;E0.18;N52.64;10;
2;England;Norfolk;Emneth Hungate;;E0.23;N52.64;10;
2;England;Norfolk;Emorsgate;;E0.26;N52.75;10;
2;England;Norfolk;Erpingham;;E1.24;N52.83;10;
2;England;Norfolk;Etling Green;;E0.97;N52.67;10;
2;England;Norfolk;Fair Green;;E0.44;N52.71;10;
2;England;Norfolk;Fairstead;;E0.42;N52.74;10;
2;England;Norfolk;Fakenham;;E0.84;N52.83;10;
2;England;Norfolk;Felbrigg;;E1.27;N52.90;10;
2;England;Norfolk;Felmingham;;E1.33;N52.81;10;
2;England;Norfolk;Felthorpe;;E1.19;N52.71;10;
2;England;Norfolk;Feltwell;;E0.50;N52.48;10;
2;England;Norfolk;Fen Street;;E1.02;N52.37;10;
2;England;Norfolk;Fengate;;E1.24;N52.76;10;
2;England;Norfolk;Fersfield;;E1.02;N52.40;10;
2;England;Norfolk;Fiddler' Green;;E1.00;N52.52;10;
2;England;Norfolk;Field Dalling;;E0.97;N52.90;10;
2;England;Norfolk;Filby;;E1.63;N52.65;10;
