"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Northumberland;Acklington;;W1.65;N55.30;10;
2;England;Northumberland;Acomb;;W2.11;N54.98;10;
2;England;Northumberland;Akeld;;W2.08;N55.55;10;
2;England;Northumberland;Albany;;W1.54;N54.90;10;
2;England;Northumberland;Allen;;W2.32;N54.95;10;
2;England;Northumberland;Allendale Town;;W2.26;N54.88;10;
2;England;Northumberland;Allenheads;;W2.23;N54.80;10;
2;England;Northumberland;Allensford;;W1.89;N54.84;10;
2;England;Northumberland;Aln;;W1.86;N55.40;10;
2;England;Northumberland;Alnham;;W2.01;N55.38;10;
2;England;Northumberland;Alnmouth;;W1.62;N55.38;10;
2;England;Northumberland;Alnwick;;W1.71;N55.41;10;
2;England;Northumberland;Alwinton;;W2.12;N55.34;10;
2;England;Northumberland;Amble;;W1.57;N55.32;10;
2;England;Northumberland;Ancroft;;W2.00;N55.69;10;
2;England;Northumberland;Ancroft Northmoor;;W2.06;N55.69;10;
2;England;Northumberland;Anick;;W2.07;N54.98;10;
2;England;Northumberland;Annitsford;;W1.59;N55.06;10;
2;England;Northumberland;Apperley Dene;;W1.92;N54.91;10;
2;England;Northumberland;Ashington;;W1.57;N55.17;10;
2;England;Northumberland;Aydon;;W2.00;N54.98;10;
2;England;Northumberland;Ayle;;W2.45;N54.83;10;
2;England;Northumberland;Ayres Quay;;W1.39;N54.90;10;
2;England;Northumberland;Ayton;;W1.56;N54.88;10;
2;England;Northumberland;Backworth;;W1.53;N55.04;10;
2;England;Northumberland;Bamburgh;;W1.73;N55.59;10;
2;England;Northumberland;Bank Top;;W1.78;N54.98;10;
2;England;Northumberland;Bardon Mill;;W2.34;N54.97;10;
2;England;Northumberland;Bareless;;W2.20;N55.63;10;
2;England;Northumberland;Barmston;;W1.51;N54.89;10;
2;England;Northumberland;Barrasford;;W2.14;N55.05;10;
2;England;Northumberland;Barrow Burn;;W2.22;N55.38;10;
2;England;Northumberland;Battle Hill;;W1.53;N55.00;10;
2;England;Northumberland;Baybridge;;W2.07;N54.84;10;
2;England;Northumberland;Beaconhill;;W1.60;N55.07;10;
2;England;Northumberland;Beadnell;;W1.63;N55.55;10;
2;England;Northumberland;Beal;;W1.90;N55.67;10;
2;England;Northumberland;Beanley;;W1.87;N55.45;10;
2;England;Northumberland;Bearsbridge;;W2.34;N54.90;10;
2;England;Northumberland;Beauclerc;;W2.00;N54.94;10;
2;England;Northumberland;Bebside;;W1.56;N55.12;10;
2;England;Northumberland;Bedlington;;W1.59;N55.12;10;
2;England;Northumberland;Bedlington Station;;W1.57;N55.13;10;
2;England;Northumberland;Beldon Burn;;W2.10;N54.83;10;
2;England;Northumberland;Belford;;W1.84;N55.59;10;
2;England;Northumberland;Bellingham;;W2.26;N55.14;10;
2;England;Northumberland;Belsay;;W1.84;N55.09;10;
2;England;Northumberland;Beltingham;;W2.34;N54.96;10;
2;England;Northumberland;Benwell;;W1.67;N54.97;10;
2;England;Northumberland;Berrington;;W2.00;N55.68;10;
2;England;Northumberland;Berwick Hill;;W1.73;N55.06;10;
2;England;Northumberland;Berwick Upon Tweed;;W2.01;N55.76;10;
2;England;Northumberland;Biddick;;W1.53;N54.88;10;
2;England;Northumberland;Biddick Hall;;W1.45;N54.96;10;
2;England;Northumberland;Billy Mill;;W1.48;N55.01;10;
2;England;Northumberland;Bilton;;W1.65;N55.38;10;
2;England;Northumberland;Bingfield;;W2.04;N55.04;10;
2;England;Northumberland;Birkshaw;;W2.36;N54.97;10;
2;England;Northumberland;Birtley;;W2.20;N55.09;10;
2;England;Northumberland;Bishopwearmouth;;W1.39;N54.89;10;
2;England;Northumberland;Black Callerton;;W1.73;N55.01;10;
2;England;Northumberland;Black Heddon;;W1.89;N55.07;10;
2;England;Northumberland;Blacka Burn;;W2.32;N55.08;10;
2;England;Northumberland;Blackfell;;W1.54;N54.89;10;
2;England;Northumberland;Blakelaw;;W1.67;N54.98;10;
2;England;Northumberland;Blanchland;;W2.06;N54.84;10;
2;England;Northumberland;Blenkinsopp Hall;;W2.50;N54.97;10;
2;England;Northumberland;Blyth;;W1.53;N55.12;10;
2;England;Northumberland;Bolam;;W1.86;N55.13;10;
2;England;Northumberland;Bolam West Houses;;W1.90;N55.13;10;
2;England;Northumberland;Boldon Colliery;;W1.47;N54.94;10;
2;England;Northumberland;Bolton;;W1.84;N55.41;10;
2;England;Northumberland;Bomarsund;;W1.57;N55.15;10;
2;England;Northumberland;Bothal;;W1.64;N55.16;10;
2;England;Northumberland;Boulmer;;W1.59;N55.41;10;
2;England;Northumberland;Bowmont Water;;W2.15;N55.57;10;
2;England;Northumberland;Bowsden;;W2.01;N55.66;10;
2;England;Northumberland;Branch End;;W1.90;N54.94;10;
2;England;Northumberland;Branton;;W1.93;N55.43;10;
2;England;Northumberland;Branxton;;W2.17;N55.62;10;
2;England;Northumberland;Breamish;;W2.01;N55.43;10;
2;England;Northumberland;Brenkley;;W1.67;N55.06;10;
2;England;Northumberland;Bridge End;;W2.09;N54.97;10;
2;England;Northumberland;Bridge End;;W2.14;N54.98;10;
2;England;Northumberland;Broomhaugh;;W1.98;N54.94;10;
2;England;Northumberland;Broomhill;;W1.62;N55.30;10;
2;England;Northumberland;Broomley;;W1.95;N54.93;10;
2;England;Northumberland;Broxfield;;W1.68;N55.43;10;
2;England;Northumberland;Brunswick Village;;W1.64;N55.04;10;
2;England;Northumberland;Burdon;;W1.40;N54.85;10;
2;England;Northumberland;Burnside;;W1.48;N54.84;10;
2;England;Northumberland;Burradon;;W1.57;N55.04;10;
2;England;Northumberland;Burradon;;W2.03;N55.34;10;
2;England;Northumberland;Butteryhaugh;;W2.58;N55.23;10;
2;England;Northumberland;Byerhope;;W2.21;N54.80;10;
2;England;Northumberland;Byker;;W1.57;N54.97;10;
2;England;Northumberland;Byrness;;W2.37;N55.31;10;
2;England;Northumberland;Bywell;;W1.93;N54.94;10;
2;England;Northumberland;Callaly;;W1.92;N55.37;10;
2;England;Northumberland;Callerton;;W1.73;N55.00;10;
2;England;Northumberland;Callerton Lane End;;W1.75;N55.01;10;
2;England;Northumberland;Cambo;;W1.97;N55.15;10;
2;England;Northumberland;Cambois;;W1.53;N55.14;10;
2;England;Northumberland;Camperdown;;W1.57;N55.04;10;
2;England;Northumberland;Capheaton;;W1.95;N55.11;10;
2;England;Northumberland;Carley Hill;;W1.40;N54.92;10;
2;England;Northumberland;Carr Sheild;;W2.31;N54.81;10;
2;England;Northumberland;Carterway Heads;;W1.93;N54.85;10;
2;England;Northumberland;Cartington;;W1.95;N55.33;10;
2;England;Northumberland;Castletown;;W1.45;N54.91;10;
2;England;Northumberland;Catcleugh;;W2.41;N55.32;10;
2;England;Northumberland;Catton;;W2.28;N54.90;10;
2;England;Northumberland;Causey Park Bridge;;W1.71;N55.24;10;
2;England;Northumberland;Charlton;;W2.31;N55.15;10;
2;England;Northumberland;Chathill;;W1.71;N55.52;10;
2;England;Northumberland;Chatton;;W1.92;N55.54;10;
2;England;Northumberland;Chesterhope;;W2.17;N55.15;10;
2;England;Northumberland;Chesterwood;;W2.28;N54.97;10;
2;England;Northumberland;Cheswick;;W1.95;N55.70;10;
2;England;Northumberland;Cheswick Buildings;;W1.96;N55.69;10;
2;England;Northumberland;Cheviot Hills;;W2.32;N55.39;10;
2;England;Northumberland;Chillingham;;W1.90;N55.52;10;
2;England;Northumberland;Chirton;;W1.46;N55.00;10;
2;England;Northumberland;Chollerford;;W2.14;N55.02;10;
2;England;Northumberland;Chollerton;;W2.11;N55.04;10;
2;England;Northumberland;Choppington;;W1.60;N55.14;10;
2;England;Northumberland;Cleadon;;W1.40;N54.95;10;
2;England;Northumberland;Cleadon Park;;W1.40;N54.96;10;
2;England;Northumberland;Clennell;;W2.12;N55.35;10;
2;England;Northumberland;Clifton;;W1.68;N55.13;10;
2;England;Northumberland;Coalcleugh;;W2.31;N54.79;10;
2;England;Northumberland;Coanwood;;W2.50;N54.92;10;
2;England;Northumberland;Coldstream;;W2.25;N55.64;10;
2;England;Northumberland;Collingwood;;W1.57;N55.06;10;
2;England;Northumberland;Colpitts Grange;;W2.03;N54.89;10;
2;England;Northumberland;Columbia;;W1.51;N54.88;10;
2;England;Northumberland;Colwell;;W2.07;N55.06;10;
2;England;Northumberland;Concord;;W1.53;N54.90;10;
2;England;Northumberland;Cooklaw;;W2.11;N55.03;10;
2;England;Northumberland;Coquet;;W1.91;N55.30;10;
2;England;Northumberland;Coquet;;W2.33;N55.36;10;
2;England;Northumberland;Coquet Island;;W1.54;N55.33;10;
2;England;Northumberland;Corbridge;;W2.01;N54.97;10;
2;England;Northumberland;Cornhill on-Tweed;;W2.22;N55.64;10;
2;England;Northumberland;Coupland;;W2.11;N55.57;10;
2;England;Northumberland;Cowpen;;W1.54;N55.12;10;
2;England;Northumberland;Coxlodge;;W1.64;N55.00;10;
2;England;Northumberland;Cramlington;;W1.59;N55.07;10;
2;England;Northumberland;Craster;;W1.60;N55.46;10;
2;England;Northumberland;Cresswell;;W1.54;N55.23;10;
2;England;Northumberland;Crookham;;W2.14;N55.63;10;
2;England;Northumberland;Cullercoats;;W1.43;N55.02;10;
2;England;Northumberland;Dalton;;W2.14;N54.91;10;
2;England;Northumberland;Dalton;;W1.82;N55.03;10;
2;England;Northumberland;Darras Hall;;W1.76;N55.03;10;
2;England;Northumberland;Dene;;W1.45;N54.83;10;
2;England;Northumberland;Denton Burn;;W1.70;N54.97;10;
2;England;Northumberland;Denwick;;W1.68;N55.42;10;
2;England;Northumberland;Deptford;;W1.40;N54.90;10;
2;England;Northumberland;Derwent;;W1.95;N54.85;10;
2;England;Northumberland;Detchant;;W1.87;N55.61;10;
2;England;Northumberland;Devil's Water;;W2.08;N54.94;10;
2;England;Northumberland;Dilston;;W2.04;N54.96;10;
2;England;Northumberland;Dinnington;;W1.68;N55.05;10;
2;England;Northumberland;Diptonmill;;W2.12;N54.93;10;
2;England;Northumberland;Dirt Pot;;W2.23;N54.80;10;
2;England;Northumberland;Doddington;;W2.01;N55.58;10;
2;England;Northumberland;Donwell;;W1.54;N54.91;10;
2;England;Northumberland;Downham;;W2.22;N55.59;10;
2;England;Northumberland;Downhill;;W1.45;N54.92;10;
2;England;Northumberland;Doxford Park;;W1.42;N54.86;10;
2;England;Northumberland;Dry Burn;;W2.09;N55.09;10;
2;England;Northumberland;Duddo;;W2.11;N55.67;10;
2;England;Northumberland;Dudley;;W1.59;N55.05;10;
2;England;Northumberland;Dukesfield;;W2.09;N54.90;10;
2;England;Northumberland;Dunstan;;W1.62;N55.46;10;
2;England;Northumberland;Dye House;;W2.11;N54.91;10;
2;England;Northumberland;Eachwick;;W1.82;N55.03;10;
2;England;Northumberland;Eals;;W2.51;N54.88;10;
2;England;Northumberland;Eals;;W2.37;N55.15;10;
2;England;Northumberland;Earsdon;;W1.50;N55.04;10;
2;England;Northumberland;Easington Lane;;W1.44;N54.80;10;
2;England;Northumberland;East Allen;;W2.24;N54.81;10;
2;England;Northumberland;East Boldon;;W1.43;N54.94;10;
2;England;Northumberland;East Cramlington;;W1.56;N55.07;10;
2;England;Northumberland;East Denton;;W1.68;N54.97;10;
2;England;Northumberland;East Hartford;;W1.59;N55.10;10;
2;England;Northumberland;East Herrington;;W1.44;N54.87;10;
2;England;Northumberland;East Holywell;;W1.51;N55.05;10;
2;England;Northumberland;East Horton;;W1.96;N55.56;10;
2;England;Northumberland;East Law;;W1.86;N54.88;10;
2;England;Northumberland;East Learmouth;;W2.22;N55.62;10;
2;England;Northumberland;East Lilburn;;W1.93;N55.50;10;
2;England;Northumberland;East Ord;;W2.01;N55.75;10;
2;England;Northumberland;East Rainton;;W1.48;N54.81;10;
2;England;Northumberland;East Sleekburn;;W1.56;N55.14;10;
2;England;Northumberland;East Thirston;;W1.70;N55.28;10;
2;England;Northumberland;East Woodburn;;W2.15;N55.16;10;
2;England;Northumberland;Eastfield;;W1.57;N55.08;10;
2;England;Northumberland;Eastfield Hall;;W1.65;N55.34;10;
2;England;Northumberland;Edlingham;;W1.82;N55.36;10;
2;England;Northumberland;Eglingham;;W1.84;N55.46;10;
2;England;Northumberland;Eglingham Burn;;W1.78;N55.45;10;
2;England;Northumberland;Eland Green;;W1.75;N55.05;10;
2;England;Northumberland;Ellingham;;W1.73;N55.51;10;
2;England;Northumberland;Ellington;;W1.57;N55.21;10;
2;England;Northumberland;Elrington;;W2.22;N54.96;10;
2;England;Northumberland;Elsdon;;W2.11;N55.23;10;
2;England;Northumberland;Eltringham;;W1.87;N54.95;10;
2;England;Northumberland;Elwick;;W1.82;N55.61;10;
2;England;Northumberland;Embleton;;W1.63;N55.49;10;
2;England;Northumberland;Erring Burn;;W2.03;N55.06;10;
2;England;Northumberland;Eshott;;W1.68;N55.26;10;
2;England;Northumberland;Eslington Park;;W1.93;N55.40;10;
2;England;Northumberland;Etal;;W2.12;N55.64;10;
2;England;Northumberland;Fair Moor;;W1.71;N55.17;10;
2;England;Northumberland;Fallowlees Burn;;W2.04;N55.24;10;
2;England;Northumberland;Falstone;;W2.44;N55.17;10;
2;England;Northumberland;Farringdon;;W1.44;N54.87;10;
2;England;Northumberland;Fatfield;;W1.53;N54.88;10;
2;England;Northumberland;Fawdon;;W1.65;N55.00;10;
2;England;Northumberland;Fawdon;;W1.95;N55.42;10;
2;England;Northumberland;Felkington;;W2.09;N55.69;10;
2;England;Northumberland;Fellgate;;W1.50;N54.95;10;
2;England;Northumberland;Felton;;W1.71;N55.29;10;
2;England;Northumberland;Fence Houses;;W1.50;N54.84;10;
2;England;Northumberland;Fenham;;W1.65;N54.97;10;
2;England;Northumberland;Fenton;;W2.04;N55.59;10;
2;England;Northumberland;Fenwick;;W1.92;N55.04;10;
2;England;Northumberland;Fenwick;;W1.90;N55.65;10;
2;England;Northumberland;Font;;W1.79;N55.18;10;
2;England;Northumberland;Ford;;W2.09;N55.62;10;
2;England;Northumberland;Ford Forge;;W2.11;N55.63;10;
2;England;Northumberland;Ford Hill;;W2.08;N55.62;10;
2;England;Northumberland;Fordley;;W1.59;N55.05;10;
2;England;Northumberland;Forest Hall;;W1.57;N55.01;10;
2;England;Northumberland;Fourstones;;W2.17;N54.99;10;
2;England;Northumberland;Foxton Burn;;W1.96;N55.31;10;
2;England;Northumberland;Freelands;;W1.70;N55.40;10;
2;England;Northumberland;Fulbeck;;W1.70;N55.17;10;
2;England;Northumberland;Fulwell;;W1.39;N54.92;10;
2;England;Northumberland;Gateshead;;W1.62;N54.93;10;
2;England;Northumberland;Glantlees;;W1.78;N55.33;10;
2;England;Northumberland;Glanton;;W1.89;N55.42;10;
2;England;Northumberland;Glebe;;W1.53;N54.89;10;
2;England;Northumberland;Glen;;W2.19;N55.48;10;
2;England;Northumberland;Glen;;W2.15;N55.57;10;
2;England;Northumberland;Glororum;;W1.74;N55.59;10;
2;England;Northumberland;Gosforth;;W1.64;N55.00;10;
2;England;Northumberland;Grangetown;;W1.37;N54.87;10;
2;England;Northumberland;Grasswell;;W1.48;N54.84;10;
2;England;Northumberland;Great Bavington;;W2.03;N55.11;10;
2;England;Northumberland;Great Eppleton;;W1.44;N54.82;10;
2;England;Northumberland;Great Swinburne;;W2.11;N55.06;10;
2;England;Northumberland;Great Tosson;;W1.97;N55.29;10;
2;England;Northumberland;Great Whittington;;W2.00;N55.02;10;
2;England;Northumberland;Greendykes;;W1.90;N55.54;10;
2;England;Northumberland;Greenhaugh;;W2.33;N55.17;10;
2;England;Northumberland;Greenhead;;W2.53;N54.97;10;
2;England;Northumberland;Greystead;;W2.36;N55.15;10;
2;England;Northumberland;Grindon;;W2.14;N55.68;10;
2;England;Northumberland;Grindon;;W1.45;N54.88;10;
2;England;Northumberland;Guide Post;;W1.60;N55.15;10;
2;England;Northumberland;Gunnerton;;W2.15;N55.06;10;
2;England;Northumberland;Guyzance;;W1.67;N55.32;10;
2;England;Northumberland;Hadston;;W1.60;N55.28;10;
2;England;Northumberland;Haggerston;;W1.93;N55.68;10;
2;England;Northumberland;Hallington;;W2.03;N55.06;10;
2;England;Northumberland;Halton;;W2.01;N54.99;10;
2;England;Northumberland;Halton Lea Gate;;W2.54;N54.91;10;
2;England;Northumberland;Halton Shields;;W1.98;N55.00;10;
2;England;Northumberland;Haltwhistle;;W2.47;N54.97;10;
2;England;Northumberland;Hampeth;;W1.73;N55.35;10;
2;England;Northumberland;Harbottle;;W2.11;N55.33;10;
2;England;Northumberland;Harlow Hill;;W1.89;N55.00;10;
2;England;Northumberland;Harnham;;W1.89;N55.11;10;
2;England;Northumberland;Harraton;;W1.54;N54.88;10;
2;England;Northumberland;Hartburn;;W1.87;N55.16;10;
2;England;Northumberland;Harton;;W1.42;N54.96;10;
2;England;Northumberland;Hasting Hill;;W1.45;N54.88;10;
2;England;Northumberland;Haugh Head;;W2.00;N55.52;10;
2;England;Northumberland;Hawkhill;;W1.65;N55.40;10;
2;England;Northumberland;Hawkhope;;W2.45;N55.18;10;
2;England;Northumberland;Haydon Bridge;;W2.25;N54.97;10;
2;England;Northumberland;Hazlerigg;;W1.64;N55.03;10;
2;England;Northumberland;Hazon;;W1.70;N55.33;10;
2;England;Northumberland;Healey;;W1.98;N54.91;10;
2;England;Northumberland;Healey Cote;;W1.82;N55.29;10;
2;England;Northumberland;Healey Hall;;W2.00;N54.90;10;
2;England;Northumberland;Heaton;;W1.57;N54.98;10;
2;England;Northumberland;Hebburn;;W1.51;N54.97;10;
2;England;Northumberland;Hebburn Colliery;;W1.51;N54.97;10;
2;England;Northumberland;Hebburn New Town;;W1.53;N54.97;10;
2;England;Northumberland;Hebron;;W1.70;N55.19;10;
2;England;Northumberland;Heddon-on-the-Wall;;W1.79;N54.98;10;
2;England;Northumberland;Hedley on the Hill;;W1.89;N54.92;10;
2;England;Northumberland;Hedworth;;W1.48;N54.96;10;
2;England;Northumberland;Hendon;;W1.37;N54.88;10;
2;England;Northumberland;Henshaw;;W2.37;N54.97;10;
2;England;Northumberland;Hepburn;;W1.90;N55.51;10;
2;England;Northumberland;Hepple;;W2.03;N55.29;10;
2;England;Northumberland;Hepscott;;W1.65;N55.15;10;
