"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Oxfordshire;Abingdon;;W1.29;N51.66;10;
2;England;Oxfordshire;Adderbury;;W1.31;N52.01;10;
2;England;Oxfordshire;Adwell;;W1.00;N51.68;10;
2;England;Oxfordshire;Alkerton;;W1.46;N52.07;10;
2;England;Oxfordshire;Alvescot;;W1.61;N51.73;10;
2;England;Oxfordshire;Ambrosden;;W1.12;N51.86;10;
2;England;Oxfordshire;Appleford;;W1.25;N51.63;10;
2;England;Oxfordshire;Appleton;;W1.36;N51.70;10;
2;England;Oxfordshire;Ardington;;W1.38;N51.58;10;
2;England;Oxfordshire;Ardington Wick;;W1.38;N51.59;10;
2;England;Oxfordshire;Ardley;;W1.21;N51.93;10;
2;England;Oxfordshire;Ascott d'Oyley;;W1.56;N51.86;10;
2;England;Oxfordshire;Ascott Earl;;W1.58;N51.86;10;
2;England;Oxfordshire;Ascott under Wychwood;;W1.56;N51.86;10;
2;England;Oxfordshire;Ashbury;;W1.62;N51.56;10;
2;England;Oxfordshire;Asthall;;W1.59;N51.79;10;
2;England;Oxfordshire;Asthall Leigh;;W1.56;N51.80;10;
2;England;Oxfordshire;Aston;;W1.50;N51.72;10;
2;England;Oxfordshire;Aston Rowant;;W0.95;N51.68;10;
2;England;Oxfordshire;Aston Tirrold;;W1.20;N51.56;10;
2;England;Oxfordshire;Aston Upthorpe;;W1.20;N51.57;10;
2;England;Oxfordshire;Bainton;;W1.15;N51.92;10;
2;England;Oxfordshire;Baldon Row;;W1.19;N51.69;10;
2;England;Oxfordshire;Balscote;;W1.43;N52.06;10;
2;England;Oxfordshire;Bampton;;W1.55;N51.72;10;
2;England;Oxfordshire;Banbury;;W1.34;N52.05;10;
2;England;Oxfordshire;Barford St John;;W1.37;N51.99;10;
2;England;Oxfordshire;Barford St Michael;;W1.37;N51.98;10;
2;England;Oxfordshire;Barnard Gate;;W1.42;N51.78;10;
2;England;Oxfordshire;Barton;;W1.20;N51.75;10;
2;England;Oxfordshire;Barton Abbey;;W1.34;N51.91;10;
2;England;Oxfordshire;Baulking;;W1.55;N51.60;10;
2;England;Oxfordshire;Baynard's Green;;W1.21;N51.95;10;
2;England;Oxfordshire;Bayworth;;W1.27;N51.70;10;
2;England;Oxfordshire;Beckley;;W1.18;N51.78;10;
2;England;Oxfordshire;Begbroke;;W1.31;N51.81;10;
2;England;Oxfordshire;Belmont;;W1.43;N51.58;10;
2;England;Oxfordshire;Benson;;W1.12;N51.61;10;
2;England;Oxfordshire;Berinsfield;;W1.17;N51.66;10;
2;England;Oxfordshire;Berrick Salome;;W1.10;N51.64;10;
2;England;Oxfordshire;Bessels Leigh;;W1.35;N51.70;10;
2;England;Oxfordshire;Bicester;;W1.15;N51.89;10;
2;England;Oxfordshire;Binfield Heath;;W0.93;N51.49;10;
2;England;Oxfordshire;Binsey;;W1.29;N51.75;10;
2;England;Oxfordshire;Bix;;W0.96;N51.55;10;
2;England;Oxfordshire;Black Bourton;;W1.59;N51.73;10;
2;England;Oxfordshire;Blackditch;;W1.40;N51.74;10;
2;England;Oxfordshire;Blackird Leys;;W1.20;N51.72;10;
2;England;Oxfordshire;Blackthorn;;W1.10;N51.86;10;
2;England;Oxfordshire;Bladon;;W1.36;N51.82;10;
2;England;Oxfordshire;Bledington;;W1.65;N51.89;10;
