"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Suffolk;Acton;;E0.75;N52.06;10;
2;England;Suffolk;Acton Place;;E0.74;N52.07;10;
2;England;Suffolk;Akenham;;E1.12;N52.08;10;
2;England;Suffolk;Alde;;E1.33;N52.27;10;
2;England;Suffolk;Aldeburgh;;E1.59;N52.14;10;
2;England;Suffolk;Alderton;;E1.40;N52.01;10;
2;England;Suffolk;Aldham;;E0.97;N52.06;10;
2;England;Suffolk;Aldringham;;E1.56;N52.18;10;
2;England;Suffolk;All Saints South Elmham;;E1.43;N52.38;10;
2;England;Suffolk;Allwood Green;;E0.99;N52.30;10;
2;England;Suffolk;Alpheton;;E0.74;N52.11;10;
2;England;Suffolk;Alton Water Reservoir;;E1.12;N51.98;10;
2;England;Suffolk;Ampton;;E0.72;N52.30;10;
2;England;Suffolk;Annis Hill;;E1.45;N52.44;10;
2;England;Suffolk;Apsey Green;;E1.32;N52.21;10;
2;England;Suffolk;Ardleigh Green;;E0.20;N51.57;10;
2;England;Suffolk;Ash Street;;E0.93;N52.07;10;
2;England;Suffolk;Ashbocking;;E1.15;N52.14;10;
2;England;Suffolk;Ashfield;;E1.21;N52.21;10;
2;England;Suffolk;Ashfield Cum Thorpe;;E1.21;N52.21;10;
2;England;Suffolk;Ashfield Green (near Stradbroke);;E1.31;N52.30;10;
2;England;Suffolk;Ashfield Green (near Wickhambrook);;E0.57;N52.16;10;
2;England;Suffolk;Aspall;;E1.17;N52.24;10;
2;England;Suffolk;Assington;;E0.81;N52.00;10;
2;England;Suffolk;Assington Green;;E0.58;N52.12;10;
2;England;Suffolk;Athelington;;E1.22;N52.28;10;
2;England;Suffolk;Attleton Green;;E0.54;N52.15;10;
2;England;Suffolk;Audley End;;E0.70;N52.14;10;
2;England;Suffolk;Babel Green;;E0.52;N52.10;10;
2;England;Suffolk;Back Street;;E0.54;N52.19;10;
2;England;Suffolk;Bacton;;E1.00;N52.26;10;
2;England;Suffolk;Bacton Green;;E0.97;N52.24;10;
2;England;Suffolk;Badwell Ash;;E0.91;N52.28;10;
2;England;Suffolk;Badwell Green;;E0.94;N52.28;10;
2;England;Suffolk;Bardwell;;E0.84;N52.32;10;
2;England;Suffolk;Barham;;E1.12;N52.11;10;
2;England;Suffolk;Barking;;E1.02;N52.13;10;
2;England;Suffolk;Barking Tye;;E1.00;N52.12;10;
2;England;Suffolk;Barnaby Green;;E1.62;N52.35;10;
2;England;Suffolk;Barnardiston;;E0.49;N52.10;10;
2;England;Suffolk;Barnby;;E1.63;N52.44;10;
2;England;Suffolk;Barnham;;E0.74;N52.37;10;
2;England;Suffolk;Barningham;;E0.87;N52.34;10;
2;England;Suffolk;Barrow;;E0.57;N52.23;10;
2;England;Suffolk;Barsham;;E1.51;N52.44;10;
2;England;Suffolk;Barsham;;E1.51;N52.44;10;
2;England;Suffolk;Barton Mills;;E0.50;N52.32;10;
2;England;Suffolk;Base Green;;E0.94;N52.22;10;
2;England;Suffolk;Battisford;;E0.99;N52.14;10;
2;England;Suffolk;Battisford Tye;;E0.95;N52.14;10;
2;England;Suffolk;Battlesea Green;;E1.25;N52.32;10;
2;England;Suffolk;Battlies Green;;E0.76;N52.24;10;
2;England;Suffolk;Bawdsey;;E1.40;N52.00;10;
2;England;Suffolk;Baxter's Green;;E0.55;N52.19;10;
2;England;Suffolk;Baylham;;E1.06;N52.11;10;
2;England;Suffolk;Beacon Hill;;E1.25;N52.07;10;
2;England;Suffolk;Beccles;;E1.56;N52.45;10;
2;England;Suffolk;Beck Row;;E0.48;N52.36;10;
2;England;Suffolk;Bedfield;;E1.25;N52.24;10;
2;England;Suffolk;Bedingfield;;E1.19;N52.26;10;
2;England;Suffolk;Bell's Corner;;E0.89;N51.99;10;
2;England;Suffolk;Belstead;;E1.10;N52.02;10;
2;England;Suffolk;Benacre;;E1.68;N52.39;10;
2;England;Suffolk;Benhall Green;;E1.48;N52.19;10;
2;England;Suffolk;Benhall Street;;E1.43;N52.19;10;
2;England;Suffolk;Beyton;;E0.82;N52.23;10;
2;England;Suffolk;Beyton Green;;E0.82;N52.23;10;
2;England;Suffolk;Bildeston;;E0.90;N52.10;10;
2;England;Suffolk;Billingford;;E1.17;N52.35;10;
2;England;Suffolk;Bird Street;;E0.92;N52.13;10;
