"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Surrey;Aaron's Hill;;W0.64;N51.17;10;
2;England;Surrey;Abbey Mead;;W0.50;N51.39;10;
2;England;Surrey;Abbotswood;;W0.56;N51.24;10;
2;England;Surrey;Abinger Common;;W0.41;N51.19;10;
2;England;Surrey;Abinger Hammer;;W0.44;N51.21;10;
2;England;Surrey;Addington;;W0.03;N51.35;10;
2;England;Surrey;Addiscombe;;W0.07;N51.37;10;
2;England;Surrey;Addlestone;;W0.50;N51.36;10;
2;England;Surrey;Addlestonemoor;;W0.50;N51.37;10;
2;England;Surrey;Albury;;W0.49;N51.21;10;
2;England;Surrey;Albury Heath;;W0.48;N51.20;10;
2;England;Surrey;Alfold;;W0.53;N51.09;10;
2;England;Surrey;Alfold Crossways;;W0.51;N51.10;10;
2;England;Surrey;Anerley;;W0.07;N51.40;10;
2;England;Surrey;Ansteadbrook;;W0.67;N51.07;10;
2;England;Surrey;Aperfield;;E0.03;N51.30;10;
2;England;Surrey;Artington;;W0.58;N51.21;10;
2;England;Surrey;Ash;;W0.72;N51.25;10;
2;England;Surrey;Ash Green;;W0.71;N51.23;10;
2;England;Surrey;Ash Vale;;W0.72;N51.26;10;
2;England;Surrey;Ashford;;W0.47;N51.42;10;
2;England;Surrey;Ashford Common;;W0.44;N51.41;10;
2;England;Surrey;Ashley Park;;W0.42;N51.37;10;
2;England;Surrey;Ashtead;;W0.30;N51.30;10;
2;England;Surrey;Badshot Lea;;W0.76;N51.22;10;
2;England;Surrey;Bagshot;;W0.69;N51.35;10;
2;England;Surrey;Bagshot Heath;;W0.69;N51.34;10;
2;England;Surrey;Bandonhill;;W0.14;N51.36;10;
2;England;Surrey;Banstead;;W0.20;N51.31;10;
2;England;Surrey;Barnes;;W0.24;N51.47;10;
2;England;Surrey;Barwell;;W0.32;N51.35;10;
2;England;Surrey;Basingstoke Canal;;W0.71;N51.27;10;
2;England;Surrey;Beacon Hill;;W0.75;N51.11;10;
2;England;Surrey;Beare Green;;W0.32;N51.17;10;
2;England;Surrey;Beddington;;W0.13;N51.36;10;
2;England;Surrey;Beddington Corner;;W0.16;N51.37;10;
2;England;Surrey;Bellfields;;W0.58;N51.24;10;
2;England;Surrey;Belmont;;W0.20;N51.34;10;
2;England;Surrey;Benhilton;;W0.19;N51.37;10;
2;England;Surrey;Berrylands;;W0.29;N51.38;10;
2;England;Surrey;Betchworth;;W0.26;N51.23;10;
2;England;Surrey;Beverley Beck;;W0.24;N51.40;10;
2;England;Surrey;Binscombe;;W0.62;N51.19;10;
2;England;Surrey;Birtley Green;;W0.55;N51.17;10;
2;England;Surrey;Bishopsgate;;W0.59;N51.42;10;
2;England;Surrey;Bisley;;W0.63;N51.32;10;
2;England;Surrey;Bisley Camp;;W0.66;N51.30;10;
2;England;Surrey;Blackbrook;;W0.31;N51.20;10;
2;England;Surrey;Bletchingley;;W0.09;N51.23;10;
2;England;Surrey;Blindley Heath;;W0.05;N51.18;10;
2;England;Surrey;Boundstone;;W0.81;N51.18;10;
2;England;Surrey;Bowlhead Green;;W0.70;N51.13;10;
2;England;Surrey;Box Hill;;W0.29;N51.24;10;
2;England;Surrey;Bramley;;W0.57;N51.18;10;
2;England;Surrey;Brentford;;W0.30;N51.47;10;
2;England;Surrey;Brentford End;;W0.33;N51.48;10;
2;England;Surrey;Brewer Street;;W0.11;N51.24;10;
2;England;Surrey;Brick Hill;;W0.63;N51.36;10;
2;England;Surrey;Bridge End;;W0.46;N51.30;10;
2;England;Surrey;Broad Green;;W0.10;N51.37;10;
2;England;Surrey;Broadford;;W0.58;N51.20;10;
2;England;Surrey;Broadham Green;;W0.02;N51.24;10;
2;England;Surrey;Broadmoor;;W0.38;N51.19;10;
2;England;Surrey;Brockham;;W0.29;N51.22;10;
2;England;Surrey;Brockham Park;;W0.28;N51.20;10;
2;England;Surrey;Brook;;W0.67;N51.12;10;
2;England;Surrey;Brook;;W0.48;N51.20;10;
2;England;Surrey;Brook Place;;W0.63;N51.34;10;
2;England;Surrey;Brooklands;;W0.47;N51.34;10;
2;England;Surrey;Brookwood;;W0.63;N51.30;10;
2;England;Surrey;Broomhall;;W0.63;N51.38;10;
2;England;Surrey;Buckland;;W0.25;N51.23;10;
2;England;Surrey;Bunce Common;;W0.28;N51.20;10;
2;England;Surrey;Burgh Heath;;W0.22;N51.29;10;
2;England;Surrey;Burntcommon;;W0.52;N51.27;10;
2;England;Surrey;Burpham;;W0.55;N51.25;10;
2;England;Surrey;Burrowhill;;W0.60;N51.35;10;
2;England;Surrey;Burrows Cross;;W0.45;N51.20;10;
2;England;Surrey;Burwood Park;;W0.42;N51.36;10;
2;England;Surrey;Busbridge;;W0.61;N51.16;10;
2;England;Surrey;Bushbury;;W0.29;N51.21;10;
2;England;Surrey;Bushy Hill;;W0.53;N51.24;10;
2;England;Surrey;Byfleet;;W0.47;N51.33;10;
2;England;Surrey;Camberley;;W0.73;N51.33;10;
2;England;Surrey;Capel;;W0.32;N51.14;10;
2;England;Surrey;Carshalton;;W0.17;N51.36;10;
2;England;Surrey;Carshalton Beeches;;W0.17;N51.35;10;
2;England;Surrey;Carshalton on the Hill;;W0.16;N51.35;10;
2;England;Surrey;Cartbridge;;W0.55;N51.29;10;
2;England;Surrey;Castle Green;;W0.62;N51.33;10;
2;England;Surrey;Caterham;;W0.09;N51.27;10;
2;England;Surrey;Catteshall;;W0.59;N51.18;10;
2;England;Surrey;Chaldon;;W0.12;N51.27;10;
2;England;Surrey;Charleshill;;W0.72;N51.18;10;
