"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Warwickshire;Abbey Hey;;W2.16;N53.46;10;
2;England;Warwickshire;Abbots Salford;;W1.91;N52.14;10;
2;England;Warwickshire;Acocks Green;;W1.83;N52.44;10;
2;England;Warwickshire;Admington;;W1.70;N52.11;10;
2;England;Warwickshire;Ailstone;;W1.70;N52.14;10;
2;England;Warwickshire;Alcester;;W1.88;N52.21;10;
2;England;Warwickshire;Alcester Lane's End;;W1.89;N52.41;10;
2;England;Warwickshire;Alderman's Green;;W1.48;N52.44;10;
2;England;Warwickshire;Alderminster;;W1.66;N52.13;10;
2;England;Warwickshire;Aldridge;;W1.92;N52.59;10;
2;England;Warwickshire;Allen End;;W1.76;N52.56;10;
2;England;Warwickshire;Allesley;;W1.57;N52.42;10;
2;England;Warwickshire;Alne;;W1.78;N52.27;10;
2;England;Warwickshire;Alne End;;W1.84;N52.22;10;
2;England;Warwickshire;Alne Hills;;W1.84;N52.23;10;
2;England;Warwickshire;Alum Rock;;W1.83;N52.48;10;
2;England;Warwickshire;Alveston;;W1.66;N52.20;10;
2;England;Warwickshire;Alveston Hill;;W1.67;N52.18;10;
2;England;Warwickshire;Ancoats;;W2.22;N53.47;10;
2;England;Warwickshire;Anker;;W1.70;N52.62;10;
2;England;Warwickshire;Ansley;;W1.57;N52.51;10;
2;England;Warwickshire;Ansley Common;;W1.54;N52.53;10;
2;England;Warwickshire;Ansty;;W1.42;N52.44;10;
2;England;Warwickshire;Appleby Parva;;W1.55;N52.66;10;
2;England;Warwickshire;Ardens Grafton;;W1.84;N52.18;10;
2;England;Warwickshire;Ardwick;;W2.22;N53.46;10;
2;England;Warwickshire;Arlescote;;W1.43;N52.12;10;
2;England;Warwickshire;Armscote;;W1.65;N52.09;10;
2;England;Warwickshire;Arrow;;W1.88;N52.15;10;
2;England;Warwickshire;Arrow;;W1.89;N52.20;10;
2;England;Warwickshire;Ascott;;W1.53;N52.00;10;
2;England;Warwickshire;Ash Green;;W1.51;N52.46;10;
2;England;Warwickshire;Ashmore Lake;;W2.06;N52.58;10;
2;England;Warwickshire;Ashorne;;W1.56;N52.21;10;
2;England;Warwickshire;Ashow;;W1.54;N52.32;10;
2;England;Warwickshire;Astley;;W1.54;N52.49;10;
2;England;Warwickshire;Aston;;W1.88;N52.49;10;
2;England;Warwickshire;Aston Cantlow;;W1.81;N52.22;10;
2;England;Warwickshire;Atherstone;;W1.54;N52.57;10;
2;England;Warwickshire;Atherstone on Stour;;W1.70;N52.14;10;
2;England;Warwickshire;Attleborough;;W1.45;N52.50;10;
2;England;Warwickshire;Austrey;;W1.57;N52.65;10;
2;England;Warwickshire;Avon;;W1.59;N52.26;10;
2;England;Warwickshire;Avon Dassett;;W1.40;N52.14;10;
2;England;Warwickshire;Baddesley Clinton;;W1.70;N52.34;10;
2;England;Warwickshire;Baddesley Ensor;;W1.60;N52.57;10;
2;England;Warwickshire;Baginton;;W1.50;N52.36;10;
2;England;Warwickshire;Baguley;;W2.28;N53.39;10;
2;England;Warwickshire;Ballard's Green;;W1.60;N52.51;10;
2;England;Warwickshire;Balsall Heath;;W1.89;N52.45;10;
2;England;Warwickshire;Banners Gate;;W1.88;N52.55;10;
2;England;Warwickshire;Barcheston;;W1.62;N52.04;10;
2;England;Warwickshire;Barford;;W1.60;N52.23;10;
2;England;Warwickshire;Barlow Moor;;W2.27;N53.42;10;
2;England;Warwickshire;Barnacle;;W1.44;N52.45;10;
2;England;Warwickshire;Barnmoor Green;;W1.73;N52.27;10;
2;England;Warwickshire;Barr Common;;W1.92;N52.58;10;
2;England;Warwickshire;Bartley Green;;W1.98;N52.43;10;
2;England;Warwickshire;Barton;;W1.85;N52.15;10;
2;England;Warwickshire;Barton on the Heath;;W1.63;N51.98;10;
2;England;Warwickshire;Bascote;;W1.41;N52.26;10;
2;England;Warwickshire;Bascote Heath;;W1.43;N52.25;10;
2;England;Warwickshire;Baxterley;;W1.60;N52.57;10;
2;England;Warwickshire;Bearley;;W1.73;N52.23;10;
2;England;Warwickshire;Bearley Cross;;W1.76;N52.23;10;
2;England;Warwickshire;Beaudesert;;W1.78;N52.29;10;
2;England;Warwickshire;Beausale;;W1.66;N52.32;10;
2;England;Warwickshire;Bedworth;;W1.48;N52.47;10;
2;England;Warwickshire;Bedworth Heath;;W1.50;N52.47;10;
2;England;Warwickshire;Bedworth Woodlands;;W1.50;N52.48;10;
2;England;Warwickshire;Beech Lanes;;W1.98;N52.46;10;
2;England;Warwickshire;Bell Green;;W1.47;N52.42;10;
2;England;Warwickshire;Belle Vue;;W2.19;N53.46;10;
2;England;Warwickshire;Benchill;;W2.27;N53.38;10;
2;England;Warwickshire;Bentley;;W2.03;N52.58;10;
2;England;Warwickshire;Bentley;;W1.58;N52.55;10;
2;England;Warwickshire;Bentley Common;;W1.58;N52.56;10;
2;England;Warwickshire;Bermuda;;W1.48;N52.49;10;
2;England;Warwickshire;Beswick;;W2.21;N53.46;10;
2;England;Warwickshire;Bickmarsh;;W1.85;N52.13;10;
2;England;Warwickshire;Bidford on Avon;;W1.85;N52.15;10;
2;England;Warwickshire;Billesley;;W1.86;N52.41;10;
2;England;Warwickshire;Billesley;;W1.79;N52.20;10;
2;England;Warwickshire;Billesley Common;;W1.88;N52.41;10;
2;England;Warwickshire;Bilton;;W1.29;N52.35;10;
2;England;Warwickshire;Binley;;W1.45;N52.39;10;
2;England;Warwickshire;Binley Woods;;W1.42;N52.38;10;
2;England;Warwickshire;Binton;;W1.79;N52.18;10;
