"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Yorkshire;Abbeydale;;W1.52;N53.33;10;
2;England;Yorkshire;Abbeydale Park;;W1.53;N53.31;10;
2;England;Yorkshire;Abdy;;W1.35;N53.47;10;
2;England;Yorkshire;Aberford;;W1.34;N53.82;10;
2;England;Yorkshire;Acaster Malbis;;W1.11;N53.89;10;
2;England;Yorkshire;Acaster Selby;;W1.13;N53.86;10;
2;England;Yorkshire;Acklam;;W1.25;N54.54;10;
2;England;Yorkshire;Acklam;;W0.81;N54.03;10;
2;England;Yorkshire;Ackton;;W1.38;N53.68;10;
2;England;Yorkshire;Ackworth Moor Top;;W1.35;N53.63;10;
2;England;Yorkshire;Acomb;;W1.13;N53.94;10;
2;England;Yorkshire;Acre;;W2.10;N53.55;10;
2;England;Yorkshire;Addingham;;W1.89;N53.93;10;
2;England;Yorkshire;Addingham Moorside;;W1.89;N53.91;10;
2;England;Yorkshire;Adel;;W1.59;N53.84;10;
2;England;Yorkshire;Adlingfleet;;W0.72;N53.67;10;
2;England;Yorkshire;Adwalton;;W1.65;N53.74;10;
2;England;Yorkshire;Adwick le Street;;W1.20;N53.55;10;
2;England;Yorkshire;Adwick upon Dearne;;W1.29;N53.50;10;
2;England;Yorkshire;Agbrigg;;W1.48;N53.66;10;
2;England;Yorkshire;Agglethorpe;;W1.87;N54.27;10;
2;England;Yorkshire;Aike;;W0.41;N53.89;10;
2;England;Yorkshire;Aike Beck;;W0.42;N53.90;10;
2;England;Yorkshire;Ainderby Quernhow;;W1.48;N54.21;10;
2;England;Yorkshire;Ainderby Steeple;;W1.49;N54.32;10;
2;England;Yorkshire;Ainley Top;;W1.83;N53.66;10;
2;England;Yorkshire;Ainthorpe;;W0.92;N54.46;10;
2;England;Yorkshire;Aire;;W1.07;N53.70;10;
2;England;Yorkshire;Aire;;W1.30;N53.73;10;
2;England;Yorkshire;Aire and Calder Navigation;;W1.02;N53.65;10;
2;England;Yorkshire;Aire and Calder Navigation;;W1.24;N53.71;10;
2;England;Yorkshire;Aire View;;W2.01;N53.91;10;
2;England;Yorkshire;Airedale;;W1.31;N53.71;10;
2;England;Yorkshire;Airmyn;;W0.91;N53.71;10;
2;England;Yorkshire;Airton;;W2.15;N54.02;10;
2;England;Yorkshire;Airy Hill;;W0.62;N54.46;10;
2;England;Yorkshire;Aiskew;;W1.58;N54.28;10;
2;England;Yorkshire;Aislaby;;W0.81;N54.25;10;
2;England;Yorkshire;Aislaby;;W0.69;N54.46;10;
2;England;Yorkshire;Aldborough;;W1.38;N54.08;10;
2;England;Yorkshire;Aldbrough;;W0.11;N53.82;10;
2;England;Yorkshire;Aldbrough St John;;W1.69;N54.49;10;
2;England;Yorkshire;Aldfield;;W1.60;N54.11;10;
2;England;Yorkshire;Aldwark;;W1.29;N54.06;10;
2;England;Yorkshire;Aldwarke;;W1.33;N53.44;10;
2;England;Yorkshire;Allerston;;W0.66;N54.22;10;
2;England;Yorkshire;Allerthorpe;;W0.81;N53.91;10;
2;England;Yorkshire;Allerton;;W1.83;N53.80;10;
2;England;Yorkshire;Allerton Bywater;;W1.36;N53.73;10;
2;England;Yorkshire;Allerton Mauleverer;;W1.37;N54.01;10;
