Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Álava;Alegría-Dulantzi;;W2.51;N42.83;12;
2;España;Álava;Amurrio;;W2.97;N43.01;12;
2;España;Álava;Añana;;W2.99;N42.82;12;
2;España;Álava;Aramaio;;W2.60;N43.04;12;
2;España;Álava;Armiñón;;W2.87;N42.72;10;
2;España;Álava;Arraia-Maeztu;;W2.45;N42.74;12;
2;España;Álava;Arrazua-Ubarrundia;;W2.62;N42.92;12;
2;España;Álava;Artziniega;;W3.13;N43.13;12;
2;España;Álava;Asparrena;;W2.33;N42.90;12;
2;España;Álava;Ayala/Aiara;;W3.08;N43.08;12;
2;España;Álava;Baños de Ebro/Mañueta;;W2.67;N42.52;12;
2;España;Álava;Barrundia;;W2.51;N42.91;10;
2;España;Álava;Berantevilla;;W2.84;N42.68;12;
2;España;Álava;Bernedo;;W2.52;N42.71;12;
2;España;Álava;Campezo/Kanpezu;;W2.36;N42.69;12;
2;España;Álava;Elburgo/Burgelu;;W2.55;N42.88;12;
2;España;Álava;Elciego;;W2.62;N42.512;10;
2;España;Álava;Elvillar/Bilar;;W2.54;N42.56;12;
2;España;Álava;Harana/Valle de Arana;;W2.32;N42.76;12;
2;España;Álava;Iruña Oka/Iruña de Oca;;W2.81;N42.83;12;
2;España;Álava;Iruraiz-Gauna;;W2.49;N42.82;12;
2;España;Álava;Kripan;;W2.51;N42.59;12;
2;España;Álava;Kuartango;;W2.92;N42.89;12;
2;España;Álava;Labastida/Bastida;;W2.81;N42.61;12;
2;España;Álava;Lagrán;;W2.61;N42.63;12;
2;España;Álava;Laguardia;;W2.584;N42.554;10;
2;España;Álava;Lanciego/Lantziego;;W2.50;N42.54;12;
2;España;Álava;Lantarón;;W3.03;N42.76;12;
2;España;Álava;Lapuebla de Labarca;;W2.57;N42.49;12;
2;España;Álava;Laudio/Llodio;;W2.97;N43.14;12;
2;España;Álava;Legutiano;;W2.65;N42.98;12;
2;España;Álava;Leza;;W2.63;N42.57;12;
2;España;Álava;Moreda de Álava;;W2.42;N42.53;12;
2;España;Álava;Navaridas;;W2.63;N42.54;12;
2;España;Álava;Okondo;;W3.03;N43.15;12;
2;España;Álava;Oyón-Oion;;W2.44;N42.54;12;
2;España;Álava;Peñacerrada-Urizaharra;;W2.70;N42.64;12;
2;España;Álava;Ribera Alta;;W2.93;N42.80;10;
2;España;Álava;Ribera Baja/Erribera Beitia;;W2.90;N42.72;12;
2;España;Álava;Salvatierra/Agurain;;W2.39;N42.85;12;
2;España;Álava;Samaniego;;W2.67;N42.57;12;
2;España;Álava;San Millán/Donemiliaga;;W2.40;N42.87;12;
2;España;Álava;Urkabustaiz;;W2.92;N42.98;12;
2;España;Álava;Valdegovía/Gaubea;;W3.10;N42.85;12;
2;España;Álava;Villabuena de Álava/Eskuernaga;;W2.66;N42.54;12;
2;España;Álava;Vitoria-Gasteiz;;W2.67;N42.86;12;
2;España;Álava;Yécora/Iekora;;W2.46;N42.56;12;
2;España;Álava;Zalduondo;;W2.34;N42.90;12;
2;España;Álava;Zambrana;;W2.83;N42.66;12;
2;España;Álava;Zigoitia;;W2.72;N42.97;12;
2;España;Álava;Zuia;;W2.84;N42.96;12;
