Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Murcia;Abanilla;;W1.05;N38.22;12;
2;España;Murcia;Abarán;;W1.35;N38.25;12;
2;España;Murcia;Águilas;;W1.56;N37.45;12;
2;España;Murcia;Albudeite;;W1.37;N38.04;12;
2;España;Murcia;Alcantarilla;;W1.23;N37.98;12;
2;España;Murcia;Los Alcázares;;W0.85;N37.75;12;
2;España;Murcia;Aledo;;W1.63;N37.78;12;
2;España;Murcia;Alguazas;;W1.26;N38.06;12;
2;España;Murcia;Alhama de Murcia;;W1.39;N37.86;12;
2;España;Murcia;Archena;;W1.30;N38.12;12;
2;España;Murcia;Beniel;;W1.00;N38.03;12;
2;España;Murcia;Blanca;;W1.34;N38.20;12;
2;España;Murcia;Bullas;;W1.69;N38.02;12;
2;España;Murcia;Calasparra;;W1.67;N38.27;12;
2;España;Murcia;Campos del Río;;W1.37;N38.06;12;
2;España;Murcia;Caravaca de la Cruz;;W2.03;N37.99;12;
2;España;Murcia;Cartagena;;W0.99;N37.61;10;
2;España;Murcia;Cehegín;;W1.74;N38.05;12;
2;España;Murcia;Ceutí;;W1.27;N38.09;12;
2;España;Murcia;Cieza;;W1.43;N38.25;12;
2;España;Murcia;Fortuna;;W1.12;N38.18;12;
2;España;Murcia;Fuente Álamo de Murcia;;W1.17;N37.75;12;
2;España;Murcia;Jumilla;;W1.28;N38.47;12;
2;España;Murcia;Librilla;;W1.34;N37.90;12;
2;España;Murcia;Lorca;;W1.70;N37.62;10;
2;España;Murcia;Lorquí;;W1.25;N38.10;12;
2;España;Murcia;Mazarrón;;W1.32;N37.59;12;
2;España;Murcia;Molina de Segura;;W1.20;N38.10;12;
2;España;Murcia;Moratalla;;W1.91;N38.23;12;
2;España;Murcia;Mula;;W1.54;N37.99;12;
2;España;Murcia;Murcia;;W1.16;N37.94;12;
2;España;Murcia;Ojós;;W1.36;N38.12;12;
2;España;Murcia;Pliego;;W1.52;N37.98;12;
2;España;Murcia;Puerto Lumbreras;;W1.81;N37.55;12;
2;España;Murcia;Ricote;;W1.42;N38.16;12;
2;España;Murcia;San Javier;;W0.77;N37.76;12;
2;España;Murcia;San Pedro del Pinatar;;W0.78;N37.83;12;
2;España;Murcia;Santomera;;W1.07;N38.09;12;
2;España;Murcia;Torre-Pacheco;;W0.96;N37.79;12;
2;España;Murcia;Las Torres de Cotillas;;W1.26;N38.02;12;
2;España;Murcia;Totana;;W1.56;N37.78;12;
2;España;Murcia;Ulea;;W1.29;N38.16;12;
2;España;Murcia;La Unión;;W0.87;N37.60;12;
2;España;Murcia;Villanueva del Río Segura;;W1.32;N38.10;12;
2;España;Murcia;Yecla;;W1.13;N38.66;12;
