Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Segovia;Abades;;W4.27;N40.91;12;
2;España;Segovia;Adrada de Pirón;;W4.05;N41.06;12;
2;España;Segovia;Adrados;;W4.11;N41.37;12;
2;España;Segovia;Aguilafuente;;W4.09;N41.25;12;
2;España;Segovia;Alconada de Maderuelo;;W3.49;N41.45;12;
2;España;Segovia;Aldea Real;;W4.18;N41.18;12;
2;España;Segovia;Aldealcorvo;;W3.79;N41.26;12;
2;España;Segovia;Aldealengua de Pedraza;;W3.81;N41.05;12;
2;España;Segovia;Aldealengua de Santa María;;W3.46;N41.47;12;
2;España;Segovia;Aldeanueva de la Serrezuela;;W3.77;N41.46;12;
2;España;Segovia;Aldeanueva del Codonal;;W4.52;N41.09;12;
2;España;Segovia;Aldeasoña;;W4.06;N41.48;12;
2;España;Segovia;Aldehorno;;W3.78;N41.52;12;
2;España;Segovia;Aldehuela del Codonal;;W4.53;N41.05;12;
2;España;Segovia;Aldeonte;;W3.69;N41.34;12;
2;España;Segovia;Anaya;;W4.31;N40.99;12;
2;España;Segovia;Añe;;W4.29;N41.04;12;
2;España;Segovia;Arahuetes;;W3.86;N41.15;12;
2;España;Segovia;Arcones;;W3.71;N41.11;12;
2;España;Segovia;Arevalillo de Cega;;W3.89;N41.17;12;
2;España;Segovia;Armuña;;W4.29;N41.07;12;
2;España;Segovia;Ayllón;;W3.34;N41.36;12;
2;España;Segovia;Barbolla;;W3.66;N41.31;12;
2;España;Segovia;Basardilla;;W3.97;N41.00;12;
2;España;Segovia;Bercial;;W4.43;N40.89;12;
2;España;Segovia;Bercimuel;;W3.56;N41.40;12;
2;España;Segovia;Bernardos;;W4.33;N41.13;12;
2;España;Segovia;Bernuy de Porreros;;W4.11;N41.00;12;
2;España;Segovia;Boceguillas;;W3.60;N41.32;12;
2;España;Segovia;Brieva;;W4.04;N41.04;12;
2;España;Segovia;Caballar;;W3.96;N41.13;12;
2;España;Segovia;Cabañas de Polendos;;W4.10;N41.05;12;
2;España;Segovia;Cabezuela;;W3.98;N41.23;12;
2;España;Segovia;Calabazas de Fuentidueña;;W4.01;N41.45;12;
2;España;Segovia;Campo de San Pedro;;W3.55;N41.46;12;
2;España;Segovia;Cantalejo;;W3.92;N41.26;12;
2;España;Segovia;Cantimpalos;;W4.161;N41.074;10;
2;España;Segovia;Carbonero el Mayor;;W4.29;N41.15;12;
2;España;Segovia;Carrascal del Río;;W3.88;N41.35;12;
2;España;Segovia;Casla;;W3.65;N41.16;12;
2;España;Segovia;Castillejo de Mesleón;;W3.59;N41.28;12;
2;España;Segovia;Castro de Fuentidueña;;W3.86;N41.42;12;
2;España;Segovia;Castrojimeno;;W3.84;N41.41;12;
2;España;Segovia;Castroserna de Abajo;;W3.73;N41.21;12;
2;España;Segovia;Castroserracín;;W3.80;N41.41;12;
2;España;Segovia;Cedillo de la Torre;;W3.63;N41.43;12;
2;España;Segovia;Cerezo de Abajo;;W3.58;N41.22;12;
2;España;Segovia;Cerezo de Arriba;;W3.52;N41.22;12;
2;España;Segovia;Chañe;;W4.43;N41.35;12;
2;España;Segovia;Cilleruelo de San Mamés;;W3.59;N41.44;12;
2;España;Segovia;Cobos de Fuentidueña;;W3.92;N41.39;12;
2;España;Segovia;Coca;;W4.53;N41.22;12;
2;España;Segovia;Codorniz;;W4.61;N41.06;12;
2;España;Segovia;Collado Hermoso;;W3.91;N41.02;12;
2;España;Segovia;Condado de Castilnovo;;W3.75;N41.25;12;
2;España;Segovia;Corral de Ayllón;;W3.45;N41.39;12;
2;España;Segovia;Cozuelos de Fuentidueña;;W4.08;N41.40;12;
2;España;Segovia;Cubillo;;W3.92;N41.11;12;
2;España;Segovia;Cuéllar;;W4.31;N41.37;12;
2;España;Segovia;Cuevas de Provanco;;W3.94;N41.54;12;
2;España;Segovia;Domingo García;;W4.39;N41.12;12;
2;España;Segovia;Donhierro;;W4.70;N41.11;12;
2;España;Segovia;Duruelo;;W3.64;N41.22;12;
2;España;Segovia;Encinas;;W3.68;N41.40;12;
2;España;Segovia;Encinillas;;W4.15;N41.03;12;
2;España;Segovia;Escalona del Prado;;W4.11;N41.17;12;
2;España;Segovia;Escarabajosa de Cabezas;;W4.18;N41.11;12;
2;España;Segovia;Escobar de Polendos;;W4.11;N41.10;12;
2;España;Segovia;El Espinar;;W4.21;N40.73;12;
2;España;Segovia;Espirdo;;W4.07;N41.00;12;
2;España;Segovia;Fresneda de Cuéllar;;W4.46;N41.30;12;
2;España;Segovia;Fresno de Cantespino;;W3.49;N41.36;12;
2;España;Segovia;Fresno de la Fuente;;W3.64;N41.40;12;
2;España;Segovia;Frumales;;W4.19;N41.37;12;
