Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;España;Teruel;Ababuj;;W0.83;N40.55;12;
2;España;Teruel;Abejuela;;W0.87;N39.91;12;
2;España;Teruel;Aguatón;;W1.22;N40.67;12;
2;España;Teruel;Aguaviva;;W0.20;N40.82;12;
2;España;Teruel;Aguilar del Alfambra;;W0.81;N40.59;12;
2;España;Teruel;Alacón;;W0.71;N41.05;12;
2;España;Teruel;Alba;;W1.36;N40.62;12;
2;España;Teruel;Albalate del Arzobispo;;W0.58;N41.11;12;
2;España;Teruel;Albarracín;;W1.54;N40.36;12;
2;España;Teruel;Albentosa;;W0.73;N40.09;12;
2;España;Teruel;Alcaine;;W0.71;N40.95;12;
2;España;Teruel;Alcalá de la Selva;;W0.70;N40.36;12;
2;España;Teruel;Alcañiz;;W0.19;N41.05;12;
2;España;Teruel;Alcorisa;;W0.35;N40.93;12;
2;España;Teruel;Alfambra;;W1.03;N40.53;12;
2;España;Teruel;Aliaga;;W0.68;N40.68;12;
2;España;Teruel;Allepuz;;W0.68;N40.47;12;
2;España;Teruel;Alloza;;W0.55;N40.97;12;
2;España;Teruel;Allueva;;W1.04;N40.98;12;
2;España;Teruel;Almohaja;;W1.43;N40.60;12;
2;España;Teruel;Alobras;;W1.38;N40.19;12;
2;España;Teruel;Alpeñés;;W1.08;N40.81;12;
2;España;Teruel;Anadón;;W0.97;N40.99;12;
2;España;Teruel;Andorra;;W0.41;N41.02;12;
2;España;Teruel;Arcos de las Salinas;;W1.06;N40.01;12;
2;España;Teruel;Arens de Lledó;;E0.27;N40.99;12;
2;España;Teruel;Argente;;W1.18;N40.69;12;
2;España;Teruel;Ariño;;W0.60;N41.05;12;
2;España;Teruel;Azaila;;W0.52;N41.33;12;
2;España;Teruel;Bádenas;;W1.12;N41.09;12;
2;España;Teruel;Báguena;;W1.35;N41.03;12;
2;España;Teruel;Bañón;;W1.21;N40.83;12;
2;España;Teruel;Barrachina;;W1.14;N40.89;12;
2;España;Teruel;Bea;;W1.14;N41.02;12;
2;España;Teruel;Beceite;;E0.18;N40.83;12;
2;España;Teruel;Bello;;W1.51;N40.92;12;
2;España;Teruel;Belmonte de San José;;W0.07;N40.87;12;
2;España;Teruel;Berge;;W0.41;N40.85;12;
2;España;Teruel;Bezas;;W1.33;N40.33;12;
2;España;Teruel;Blancas;;W1.47;N40.82;12;
2;España;Teruel;Blesa;;W0.90;N41.08;12;
2;España;Teruel;Bordón;;W0.34;N40.69;12;
2;España;Teruel;Bronchales;;W1.56;N40.53;12;
2;España;Teruel;Bueña;;W1.27;N40.72;12;
2;España;Teruel;Burbáguena;;W1.34;N41.01;12;
2;España;Teruel;Cabra de Mora;;W0.81;N40.31;12;
2;España;Teruel;Calaceite;;E0.20;N41.01;12;
2;España;Teruel;Calamocha;;W1.24;N40.95;12;
2;España;Teruel;Calanda;;W0.21;N40.94;12;
2;España;Teruel;Calomarde;;W1.58;N40.37;12;
2;España;Teruel;Camañas;;W1.15;N40.60;12;
2;España;Teruel;Camarena de la Sierra;;W1.06;N40.13;12;
2;España;Teruel;Camarillas;;W0.77;N40.62;12;
2;España;Teruel;Caminreal;;W1.34;N40.84;12;
2;España;Teruel;Cantavieja;;W0.36;N40.52;12;
2;España;Teruel;Cañada de Benatanduz;;W0.53;N40.58;12;
2;España;Teruel;La Cañada de Verich;;W0.10;N40.85;12;
2;España;Teruel;Cañada Vellida;;W0.92;N40.70;12;
2;España;Teruel;Cañizar del Olivar;;W0.65;N40.80;12;
2;España;Teruel;Cascante del Río;;W1.13;N40.19;12;
2;España;Teruel;Castejón de Tornos;;W1.41;N41.00;12;
2;España;Teruel;Castel de Cabra;;W0.70;N40.80;12;
2;España;Teruel;El Castellar;;W0.84;N40.38;12;
2;España;Teruel;Castellote;;W0.35;N40.75;12;
2;España;Teruel;Castelnou;;W0.34;N41.24;12;
2;España;Teruel;Castelserás;;W0.14;N40.96;12;
2;España;Teruel;Cedrillas;;W0.85;N40.43;12;
2;España;Teruel;Celadas;;W1.16;N40.52;12;
2;España;Teruel;Cella;;W1.29;N40.44;12;
2;España;Teruel;La Cerollera;;W0.08;N40.82;12;
2;España;Teruel;La Codoñera;;W0.06;N40.93;12;
2;España;Teruel;Corbalán;;W0.97;N40.41;12;
2;España;Teruel;Cortes de Aragón;;W0.82;N40.98;12;
2;España;Teruel;Cosa;;W1.13;N40.80;12;
2;España;Teruel;Cretas;;E0.21;N40.93;12;
2;España;Teruel;Crivillén;;W0.58;N40.90;12;
2;España;Teruel;La Cuba;;W0.30;N40.59;12;
2;España;Teruel;Cubla;;W1.06;N40.22;12;
2;España;Teruel;Cucalón;;W1.19;N41.08;12;
2;España;Teruel;El Cuervo;;W1.35;N40.16;12;
2;España;Teruel;Cuevas de Almudén;;W0.81;N40.73;12;
2;España;Teruel;Cuevas Labradas;;W1.01;N40.45;12;
2;España;Teruel;Ejulve;;W0.56;N40.75;12;
2;España;Teruel;Escorihuela;;W0.95;N40.53;12;
2;España;Teruel;Escucha;;W0.85;N40.78;12;
2;España;Teruel;Estercuel;;W0.63;N40.89;12;
2;España;Teruel;Ferreruela de Huerva;;W1.24;N41.06;12;
2;España;Teruel;Fonfría;;W1.09;N40.99;12;
2;España;Teruel;Formiche Alto;;W0.88;N40.32;12;
2;España;Teruel;Fórnoles;;W0.01;N40.89;12;
2;España;Teruel;Fortanete;;W0.53;N40.50;12;
2;España;Teruel;Foz-Calanda;;W0.27;N40.91;12;
2;España;Teruel;La Fresneda;;E0.07;N40.93;12;
2;España;Teruel;Frías de Albarracín;;W1.61;N40.34;12;
2;España;Teruel;Fuenferrada;;W1.01;N40.87;12;
2;España;Teruel;Fuentes Calientes;;W0.98;N40.69;12;
2;España;Teruel;Fuentes Claras;;W1.33;N40.86;12;
2;España;Teruel;Fuentes de Rubielos;;W0.60;N40.17;12;
2;España;Teruel;Fuentespalda;;E0.07;N40.82;12;
2;España;Teruel;Galve;;W0.88;N40.65;12;
2;España;Teruel;Gargallo;;W0.59;N40.83;12;
2;España;Teruel;Gea de Albarracín;;W1.35;N40.40;12;
2;España;Teruel;La Ginebrosa;;W0.19;N40.86;12;
2;España;Teruel;Griegos;;W1.72;N40.44;12;
2;España;Teruel;Guadalaviar;;W1.74;N40.41;12;
2;España;Teruel;Gúdar;;W0.69;N40.43;12;
2;España;Teruel;Híjar;;W0.46;N41.16;12;
2;España;Teruel;Hinojosa de Jarque;;W0.77;N40.67;12;
2;España;Teruel;La Hoz de la Vieja;;W0.84;N40.93;12;
2;España;Teruel;Huesa del Común;;W0.96;N41.01;12;
2;España;Teruel;La Iglesuela del Cid;;W0.31;N40.48;12;
2;España;Teruel;Jabaloyas;;W1.41;N40.24;12;
2;España;Teruel;Jarque de la Val;;W0.80;N40.71;12;
2;España;Teruel;Jatiel;;W0.39;N41.24;12;
2;España;Teruel;Jorcas;;W0.75;N40.55;12;
2;España;Teruel;Josa;;W0.77;N40.96;12;
2;España;Teruel;Lagueruela;;W1.20;N41.03;12;
2;España;Teruel;Lanzuela;;W1.19;N41.11;12;
2;España;Teruel;Libros;;W1.22;N40.14;12;
2;España;Teruel;Lidón;;W1.11;N40.73;12;
2;España;Teruel;Linares de Mora;;W0.55;N40.31;12;
2;España;Teruel;Lledó;;E0.27;N40.95;12;
2;España;Teruel;Loscos;;W1.06;N41.07;12;
2;España;Teruel;Maicas;;W0.89;N40.97;12;
2;España;Teruel;Manzanera;;W0.86;N40.02;12;
2;España;Teruel;Martín del Río;;W0.92;N40.83;12;
2;España;Teruel;Mas de las Matas;;W0.26;N40.85;12;
