Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
1;New Zealand;Auckland;;;E174.7833333;S36.85;6;
1;New Zealand;Bay of Plenty;;;E175.5;S38;6;
1;New Zealand;Canterbury;;;E171.5;S43.5;6;
1;New Zealand;Chatham Islands;;;W176.5;S44;6;
1;New Zealand;East Cape;;;E178;S38.65;6;
1;New Zealand;Hawkes Bay;;;E176.5;S39.6666667;6;
1;New Zealand;Manawatu-Wanganui;;;E175.0166667;S39.95;6;
1;New Zealand;Marlborough;;;E173.5;S41.6666667;6;
1;New Zealand;Nelson;;;E173.28246116638;S41.270581680526;6;
1;New Zealand;Northland;;;E174.3333333;S35.7333333;6;
1;New Zealand;Otago;;;E170.51107406616;S45.884451928488;6;
1;New Zealand;Southland;;;E16;S45.6666667;6;
1;New Zealand;Taranaki;;;E174.6666667;S39.1666667;6;
1;New Zealand;Tasman;;;E173.014722;S41.123333;6;
1;New Zealand;Waikato;;;E175.3333333;S37.5;6;
1;New Zealand;Wellington;;;E174.7666667;S41.2833333;6
1;New Zealand;West Coast;;;E171.22080802918;S42.456584220211;6
