"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Berkshire;Aldermaston;;W1.15;N51.38;10; 
2;England;Berkshire;Aldermaston Soke;;W1.12;N51.36;10; 
2;England;Berkshire;Aldermaston Wharf;;W1.13;N51.39;10; 
2;England;Berkshire;Aldworth;;W1.20;N51.50;10; 
2;England;Berkshire;Altmore;;W.77;N51.50;10; 
2;England;Berkshire;Amen Corner;;W.79;N51.40;10; 
2;England;Berkshire;Anvilles;;W1.51;N51.38;10; 
2;England;Berkshire;Applehouse Hill;;W.80;N51.53;10; 
2;England;Berkshire;Arborfield;;W.92;N51.39;10; 
2;England;Berkshire;Arborfield Cross;;W.90;N51.39;10; 
2;England;Berkshire;Arborfield Garrison;;W.90;N51.37;10; 
2;England;Berkshire;Ascot;;W.67;N51.40;10; 
2;England;Berkshire;Ashampstead;;W1.19;N51.48;10; 
2;England;Berkshire;Ashampstead Green;;W1.19;N51.48;10; 
2;England;Berkshire;Ashmore Green;;W1.28;N51.41;10; 
2;England;Berkshire;Aston;;W.87;N51.54;10; 
2;England;Berkshire;Avington;;W1.46;N51.41;10; 
2;England;Berkshire;Bagnor;;W1.35;N51.41;10; 
2;England;Berkshire;Barkham;;W.88;N51.39;10; 
2;England;Berkshire;Beaumont;;W.57;N51.44;10; 
2;England;Berkshire;Beech Hill;;W1.01;N51.37;10; 
2;England;Berkshire;Beedon;;W1.30;N51.49;10; 
2;England;Berkshire;Beedon Hill;;W1.30;N51.49;10; 
2;England;Berkshire;Beenham;;W1.16;N51.40;10; 
2;England;Berkshire;Beenham Stocks;;W1.15;N51.40;10; 
2;England;Berkshire;Beenham's Heath;;W.79;N51.46;10; 
2;England;Berkshire;Bigfrith;;W.77;N51.54;10; 
2;England;Berkshire;Binfield;;W.79;N51.43;10; 
2;England;Berkshire;Birch Hill;;W.75;N51.38;10; 
2;England;Berkshire;Bisham;;W.77;N51.55;10; 
2;England;Berkshire;Blacknest;;W.63;N51.40;10; 
2;England;Berkshire;Blackwater;;W.83;N51.35;10; 
2;England;Berkshire;Borough Marsh;;W.89;N51.48;10; 
2;England;Berkshire;Bothampstead;;W1.28;N51.48;10; 
2;England;Berkshire;Boveney;;W.66;N51.48;10; 
2;England;Berkshire;Bowsey Hill;;W.84;N51.51;10; 
2;England;Berkshire;Boxford;;W1.39;N51.43;10; 
2;England;Berkshire;Boyn Hill;;W.74;N51.51;10; 
2;England;Berkshire;Bracknell;;W.76;N51.40;10; 
2;England;Berkshire;Bradfield;;W1.13;N51.44;10; 
2;England;Berkshire;Brands Hill;;W.54;N51.48;10; 
2;England;Berkshire;Bray;;W.70;N51.50;10; 
2;England;Berkshire;Bray Wick;;W.71;N51.50;10; 
2;England;Berkshire;Braywoodside;;W.74;N51.46;10; 
2;England;Berkshire;Brightwalton;;W1.39;N51.50;10; 
2;England;Berkshire;Brightwalton Green;;W1.39;N51.49;10; 
2;England;Berkshire;Brightwalton Holt;;W1.38;N51.49;10; 
2;England;Berkshire;Brimpton;;W1.21;N51.37;10; 
2;England;Berkshire;Britwell;;W.63;N51.52;10; 
2;England;Berkshire;Brookside;;W.69;N51.42;10; 
2;England;Berkshire;Bucklebury;;W1.21;N51.42;10; 
2;England;Berkshire;Bucklebury Alley;;W1.26;N51.42;10; 
2;England;Berkshire;Bullbrook;;W.73;N51.41;10; 
2;England;Berkshire;Burchett's Green;;W.80;N51.52;10; 
2;England;Berkshire;Burghfield;;W1.05;N51.40;10; 
2;England;Berkshire;Burghfield Common;;W1.06;N51.38;10; 
2;England;Berkshire;Burghfield Hill;;W1.06;N51.39;10; 
2;England;Berkshire;Burnt Hill;;W1.19;N51.46;10; 
2;England;Berkshire;Bury's Bank;;W1.29;N51.38;10; 
2;England;Berkshire;Cabbage Hill;;W.76;N51.43;10; 
2;England;Berkshire;Calcot;;W1.05;N51.43;10; 
2;England;Berkshire;Calcot Row;;W1.05;N51.43;10; 
2;England;Berkshire;Carter's Hill;;W.90;N51.41;10; 
2;England;Berkshire;Catmore;;W1.35;N51.51;10; 
2;England;Berkshire;Caversham;;W.97;N51.46;10; 
2;England;Berkshire;Caversham Heights;;W.99;N51.46;10; 
2;England;Berkshire;Chaddleworth;;W1.41;N51.49;10; 
2;England;Berkshire;Chalvey;;W.61;N51.50;10; 
2;England;Berkshire;Chapel Row;;W1.18;N51.41;10; 
2;England;Berkshire;Charvil;;W.89;N51.47;10; 
2;England;Berkshire;Chavey Down;;W.72;N51.41;10; 
2;England;Berkshire;Cheapside;;W.64;N51.41;10; 
2;England;Berkshire;Chieveley;;W1.32;N51.45;10; 
2;England;Berkshire;Churchend;;W1.03;N51.44;10; 
2;England;Berkshire;Cippenham;;W.64;N51.51;10; 
2;England;Berkshire;Clapton;;W1.45;N51.42;10; 
2;England;Berkshire;Clay Hill;;W1.18;N51.42;10; 
2;England;Berkshire;Clewer Green;;W.64;N51.46;10; 
2;England;Berkshire;Clewer New Town;;W.63;N51.47;10; 
2;England;Berkshire;Clewer Village;;W.63;N51.48;10; 
2;England;Berkshire;Cockpole Green;;W.86;N51.52;10; 
2;England;Berkshire;Cold Ash;;W1.26;N51.41;10; 
2;England;Berkshire;Cold Harbour;;W.80;N51.49;10; 
2;England;Berkshire;Coley;;W.97;N51.44;10; 
2;England;Berkshire;College Town;;W.78;N51.34;10; 
2;England;Berkshire;Colnbrook;;W.53;N51.48;10; 
2;England;Berkshire;Colne Brook;;W.53;N51.45;10; 
2;England;Berkshire;Colthrop;;W1.23;N51.39;10; 
2;England;Berkshire;Combe;;W1.47;N51.33;10; 
2;England;Berkshire;Compton;;W1.25;N51.51;10; 
2;England;Berkshire;Cookham;;W.71;N51.55;10; 
2;England;Berkshire;Cookham Dean;;W.76;N51.54;10; 
2;England;Berkshire;Cookham Rise;;W.73;N51.54;10; 
2;England;Berkshire;Cox Green;;W.74;N51.50;10; 
2;England;Berkshire;Cranbourne;;W.67;N51.43;10; 
2;England;Berkshire;Crazies Hill;;W.86;N51.51;10; 
2;England;Berkshire;Crockham Heath;;W1.38;N51.37;10; 
2;England;Berkshire;Crookham;;W1.22;N51.37;10; 
2;England;Berkshire;Crown Wood;;W.75;N51.39;10; 
2;England;Berkshire;Crowthorne;;W.79;N51.36;10; 
2;England;Berkshire;Curridge;;W1.31;N51.43;10; 
2;England;Berkshire;Datchet;;W.58;N51.48;10; 
2;England;Berkshire;Datchet Common;;W.57;N51.47;10; 
2;England;Berkshire;Dedworth;;W.64;N51.47;10; 
2;England;Berkshire;Donnington;;W1.33;N51.40;10; 
2;England;Berkshire;Dorney Reach;;W.69;N51.50;10; 
2;England;Berkshire;Dowlesgreen;;W.83;N51.41;10; 
2;England;Berkshire;Downend;;W1.32;N51.47;10; 
2;England;Berkshire;Earley;;W.92;N51.43;10; 
2;England;Berkshire;East Burnham;;W.63;N51.53;10; 
2;England;Berkshire;East Fields;;W1.32;N51.39;10; 
2;England;Berkshire;East Garston;;W1.48;N51.48;10; 
2;England;Berkshire;East Ilsley;;W1.29;N51.52;10; 
2;England;Berkshire;Eastbury;;W1.51;N51.49;10; 
2;England;Berkshire;Easthampstead;;W.76;N51.39;10; 
2;England;Berkshire;Eastheath;;W.85;N51.39;10; 
2;England;Berkshire;Easton;;W1.41;N51.44;10; 
2;England;Berkshire;Eddington;;W1.51;N51.41;10; 
2;England;Berkshire;Egypt;;W1.36;N51.48;10; 
2;England;Berkshire;Elcot;;W1.44;N51.41;10; 
2;England;Berkshire;Eling;;W1.25;N51.47;10; 
2;England;Berkshire;Emmbrook;;W.86;N51.41;10; 
2;England;Berkshire;Emmer Green;;W.96;N51.47;10; 
2;England;Berkshire;Enborne;;W1.39;N51.36;10; 
2;England;Berkshire;Enborne;;W1.38;N51.38;10; 
2;England;Berkshire;Englefield;;W1.10;N51.44;10; 
2;England;Berkshire;Eton;;W.61;N51.48;10; 
2;England;Berkshire;Eton Wick;;W.63;N51.49;10; 
2;England;Berkshire;Farley Hill;;W.92;N51.37;10; 
2;England;Berkshire;Farnborough;;W1.38;N51.52;10; 
2;England;Berkshire;Fawley;;W1.43;N51.52;10; 
2;England;Berkshire;Fifield;;W.70;N51.47;10; 
2;England;Berkshire;Finchampstead;;W.86;N51.36;10; 
2;England;Berkshire;Fishery;;W.71;N51.51;10; 
2;England;Berkshire;Foudry Brook;;W.97;N51.43;10; 
2;England;Berkshire;Four Points;;W1.20;N51.49;10; 
2;England;Berkshire;Frilsham;;W1.22;N51.45;10; 
2;England;Berkshire;Furze Platt;;W.74;N51.53;10; 
2;England;Berkshire;Gardeners Green;;W.82;N51.38;10; 
2;England;Berkshire;Goddard's Green;;W1.05;N51.38;10; 
2;England;Berkshire;Goldfinch Bottom;;W1.28;N51.37;10; 
2;England;Berkshire;Grand Union Canal;;W.58;N51.51;10; 
2;England;Berkshire;Grazeley;;W1.00;N51.38;10; 
2;England;Berkshire;Grazeley Green;;W1.03;N51.39;10; 
2;England;Berkshire;Great Hollands;;W.77;N51.39;10; 
2;England;Berkshire;Great Lea Common;;W.98;N51.40;10; 
2;England;Berkshire;Great Shefford;;W1.45;N51.47;10; 
2;England;Berkshire;Greenham;;W1.31;N51.38;10; 
2;England;Berkshire;Halfway;;W1.42;N51.40;10; 
2;England;Berkshire;Hampstead Norreys;;W1.25;N51.48;10; 
2;England;Berkshire;Hamstead Marshall;;W1.41;N51.38;10; 
2;England;Berkshire;Hanworth;;W.76;N51.38;10; 
2;England;Berkshire;Hare Hatch;;W.84;N51.48;10; 
2;England;Berkshire;Harmans Water;;W.75;N51.40;10; 
2;England;Berkshire;Hawthorn Hill;;W.74;N51.45;10; 
2;England;Berkshire;Heathlands;;W.82;N51.37;10; 
2;England;Berkshire;Hell Corner;;W1.45;N51.37;10; 
2;England;Berkshire;Hermitage;;W1.26;N51.45;10; 
2;England;Berkshire;Highway;;W.76;N51.52;10; 
2;England;Berkshire;Hillgreen;;W1.35;N51.48;10; 
2;England;Berkshire;Hoe Benham;;W1.41;N51.41;10; 
2;England;Berkshire;Holloway;;W.79;N51.51;10; 
2;England;Berkshire;Holly Cross;;W.84;N51.51;10; 
2;England;Berkshire;Holme Green;;W.82;N51.39;10; 
2;England;Berkshire;Holyport;;W.71;N51.48;10; 
2;England;Berkshire;Honey Hill;;W.82;N51.38;10; 
2;England;Berkshire;Hopgoods Green;;W1.23;N51.41;10; 
2;England;Berkshire;Horncastle;;W1.03;N51.44;10; 
2;England;Berkshire;Horton;;W.54;N51.46;10; 
2;England;Berkshire;Hungerford;;W1.52;N51.41;10; 
2;England;Berkshire;Hungerford;;W.82;N51.45;10; 
2;England;Berkshire;Hungerford Green;;W1.20;N51.50;10; 
2;England;Berkshire;Hungerford Newtown;;W1.49;N51.43;10; 
2;England;Berkshire;Hunt's Green;;W1.38;N51.42;10; 
2;England;Berkshire;Hurley;;W.81;N51.54;10; 
2;England;Berkshire;Hurley Bottom;;W.81;N51.54;10; 
2;England;Berkshire;Hurst;;W.86;N51.45;10; 
2;England;Berkshire;Inkpen;;W1.46;N51.37;10; 
2;England;Berkshire;Inkpen Common;;W1.45;N51.36;10; 
2;England;Berkshire;Jealott's Hill;;W.76;N51.44;10; 
2;England;Berkshire;Jennetts Hill;;W1.18;N51.43;10; 
2;England;Berkshire;Kennet;;W1.33;N51.39;10; 
2;England;Berkshire;Kennet and Avon Canal;;W1.23;N51.38;10; 
2;England;Berkshire;Kiff Green;;W1.18;N51.40;10; 
2;England;Berkshire;Kiln Green;;W.83;N51.49;10; 
2;England;Berkshire;Kintbury;;W1.45;N51.39;10; 
2;England;Berkshire;Knowl Hill;;W.81;N51.50;10; 
2;England;Berkshire;Lambourn;;W1.34;N51.41;10; 
2;England;Berkshire;Lambourn;;W1.54;N51.50;10; 
2;England;Berkshire;Lambourn Woodlands;;W1.55;N51.47;10; 
2;England;Berkshire;Langley;;W.56;N51.50;10; 
2;England;Berkshire;Langley Common;;W.90;N51.38;10; 
2;England;Berkshire;Leckhampstead;;W1.38;N51.48;10; 
2;England;Berkshire;Leckhampstead Thicket;;W1.39;N51.48;10; 
2;England;Berkshire;Leverton;;W1.52;N51.42;10; 
2;England;Berkshire;Lilley;;W1.36;N51.50;10; 
2;England;Berkshire;Little Heath;;W1.06;N51.45;10; 
2;England;Berkshire;Little Hungerford;;W1.26;N51.45;10; 
2;England;Berkshire;Little Sandhurst;;W.80;N51.35;10; 
2;England;Berkshire;Littlefield Green;;W.77;N51.47;10; 
2;England;Berkshire;Littlestead Green;;W.95;N51.47;10; 
2;England;Berkshire;Littlewick Green;;W.80;N51.51;10; 
2;England;Berkshire;Loddon;;W.88;N51.48;10; 
2;England;Berkshire;Longlane;;W1.28;N51.43;10; 
2;England;Berkshire;Lower Basildon;;W1.12;N51.49;10; 
2;England;Berkshire;Lower Caversham;;W.96;N51.46;10; 
2;England;Berkshire;Lower Earley;;W.92;N51.42;10; 
2;England;Berkshire;Lower Green;;W1.49;N51.37;10; 
2;England;Berkshire;Lower Padworth;;W1.13;N51.39;10; 
2;England;Berkshire;Lynch Hill;;W.64;N51.52;10; 
2;England;Berkshire;Maidenhead;;W.74;N51.52;10; 
2;England;Berkshire;Maidenhead Court;;W.70;N51.53;10; 
2;England;Berkshire;Maiden's Green;;W.72;N51.44;10; 
2;England;Berkshire;Malpas;;W1.09;N51.44;10; 
2;England;Berkshire;Manor Park;;W.61;N51.51;10; 
2;England;Berkshire;Marsh Benham;;W1.39;N51.40;10; 
2;England;Berkshire;Marsh Gate;;W1.54;N51.41;10; 
2;England;Berkshire;Matthewsgreen;;W.85;N51.41;10; 
2;England;Berkshire;Mell Green;;W1.35;N51.49;10; 
2;England;Berkshire;Merryhill Green;;W.87;N51.43;10; 
2;England;Berkshire;Midgham;;W1.21;N51.39;10; 
2;England;Berkshire;Midgham Green;;W1.19;N51.39;10; 
2;England;Berkshire;Miles's Green;;W1.22;N51.41;10; 
2;England;Berkshire;Mill End;;W.87;N51.55;10; 
2;England;Berkshire;Moneyrow Green;;W.71;N51.48;10; 
2;England;Berkshire;Moss End;;W.76;N51.44;10; 
2;England;Berkshire;New Town;;W.95;N51.45;10; 
2;England;Berkshire;New Town;;W1.13;N51.47;10; 
2;England;Berkshire;Newbury;;W1.32;N51.40;10; 
2;England;Berkshire;Newell Green;;W.74;N51.43;10; 
2;England;Berkshire;Nodmore;;W1.41;N51.49;10; 
2;England;Berkshire;North Ascot;;W.70;N51.41;10; 
2;England;Berkshire;North End;;W1.42;N51.36;10; 
2;England;Berkshire;North Heath;;W1.35;N51.46;10; 
2;England;Berkshire;North Street;;W1.09;N51.44;10; 
2;England;Berkshire;North Town;;W.73;N51.53;10; 
2;England;Berkshire;Nuptown;;W.73;N51.44;10; 
2;England;Berkshire;Oakley Green;;W.67;N51.47;10; 
2;England;Berkshire;Oare;;W1.28;N51.46;10; 
2;England;Berkshire;Old Windsor;;W.59;N51.45;10; 
2;England;Berkshire;Owlsmoor;;W.78;N51.35;10; 
2;England;Berkshire;Ownham;;W1.39;N51.42;10; 
2;England;Berkshire;Padworth;;W1.11;N51.38;10; 
2;England;Berkshire;Paley Street;;W.76;N51.47;10; 
2;England;Berkshire;Pangbourne;;W1.09;N51.47;10; 
2;England;Berkshire;Parker's Corner;;W1.10;N51.43;10; 
2;England;Berkshire;Peasemore;;W1.35;N51.49;10; 
2;England;Berkshire;Pingewood;;W1.00;N51.41;10; 
2;England;Berkshire;Pinkneys Green;;W.77;N51.53;10; 
2;England;Berkshire;Popeswood;;W.79;N51.41;10; 
2;England;Berkshire;Poundgreen;;W1.00;N51.39;10; 
2;England;Berkshire;Poyle;;W.51;N51.47;10; 
2;England;Berkshire;Priestwood;;W.76;N51.41;10; 
2;England;Berkshire;Purley on Thames;;W1.05;N51.47;10; 
2;England;Berkshire;Purton;;W1.30;N51.49;10; 
2;England;Berkshire;Quick's Green;;W1.16;N51.48;10; 
2;England;Berkshire;Ravenswood Village Settlement;;W.82;N51.36;10; 
2;England;Berkshire;Reading;;W.97;N51.45;10; 
2;England;Berkshire;Remenham;;W.89;N51.54;10; 
2;England;Berkshire;Remenham Hill;;W.87;N51.53;10; 
2;England;Berkshire;Riseley;;W.96;N51.36;10; 
2;England;Berkshire;Rotten Row;;W1.16;N51.43;10; 
2;England;Berkshire;Ruscombe;;W.86;N51.47;10; 
2;England;Berkshire;Ryeish Green;;W.96;N51.39;10; 
2;England;Berkshire;Salt Hill;;W.61;N51.51;10; 
2;England;Berkshire;Sandholme;;W.80;N51.34;10; 
2;England;Berkshire;Sanham Green;;W1.52;N51.39;10; 
2;England;Berkshire;Schoolgreen;;W.95;N51.39;10; 
2;England;Berkshire;Scotland;;W1.19;N51.41;10; 
2;England;Berkshire;Shaw;;W1.31;N51.40;10; 
2;England;Berkshire;Sheepdrove;;W1.52;N51.50;10; 
2;England;Berkshire;Sheffield Bottom;;W1.08;N51.41;10; 
2;England;Berkshire;Shefford Woodlands;;W1.48;N51.45;10; 
2;England;Berkshire;Shinfield;;W.95;N51.40;10; 
2;England;Berkshire;Shrubs Hill;;W.62;N51.39;10; 
2;England;Berkshire;Shurlock Row;;W.80;N51.45;10; 
2;England;Berkshire;Sindlesham;;W.89;N51.41;10; 
2;England;Berkshire;Skinners Green;;W1.36;N51.38;10; 
2;England;Berkshire;Slough;;W.57;N51.50;10; 
2;England;Berkshire;South Ascot;;W.67;N51.39;10; 
2;England;Berkshire;South Fawley;;W1.43;N51.51;10; 
2;England;Berkshire;South Field;;W.63;N51.49;10; 
2;England;Berkshire;Southcote;;W1.02;N51.43;10; 
2;England;Berkshire;Southend;;W1.15;N51.42;10; 
2;England;Berkshire;Southend;;W1.39;N51.49;10; 
2;England;Berkshire;Speen;;W1.33;N51.40;10; 
2;England;Berkshire;Spencers Wood;;W.98;N51.38;10; 
2;England;Berkshire;Spital;;W.63;N51.46;10; 
2;England;Berkshire;Stanford Dingley;;W1.18;N51.43;10; 
2;England;Berkshire;Stanmore;;W1.32;N51.50;10; 
2;England;Berkshire;Stockcross;;W1.38;N51.40;10; 
2;England;Berkshire;Stratfield Mortimer;;W1.05;N51.37;10; 
2;England;Berkshire;Streatley;;W1.15;N51.51;10; 
2;England;Berkshire;Stubbings;;W.79;N51.52;10; 
2;England;Berkshire;Stubbles;;W1.18;N51.48;10; 
2;England;Berkshire;Stud Green;;W.73;N51.48;10; 
2;England;Berkshire;Sulham;;W1.08;N51.46;10; 
2;England;Berkshire;Sulhampstead;;W1.09;N51.40;10; 
2;England;Berkshire;Sulhampstead Abbots;;W1.08;N51.39;10; 
2;England;Berkshire;Sulhampstead Bannister Upper End;;W1.09;N51.40;10; 
2;England;Berkshire;Sunningdale;;W.63;N51.39;10; 
2;England;Berkshire;Sunninghill;;W.66;N51.40;10; 
2;England;Berkshire;Sunnymeads;;W.56;N51.46;10; 
2;England;Berkshire;Sutton;;W.53;N51.49;10; 
2;England;Berkshire;Swallowfield;;W.96;N51.37;10; 
2;England;Berkshire;Temple;;W.78;N51.54;10; 
2;England;Berkshire;Templeton;;W1.49;N51.39;10; 
2;England;Berkshire;Thames;;W.58;N51.47;10; 
2;England;Berkshire;Thatcham;;W1.26;N51.39;10; 
2;England;Berkshire;The Holt;;W.84;N51.49;10; 
2;England;Berkshire;The Mount;;W.96;N51.44;10; 
2;England;Berkshire;The Ridges;;W.85;N51.36;10; 
2;England;Berkshire;The Rise;;W.65;N51.39;10; 
2;England;Berkshire;The Slade;;W1.23;N51.41;10; 
2;England;Berkshire;The Throat;;W.85;N51.38;10; 
2;England;Berkshire;Theale;;W1.08;N51.43;10; 
2;England;Berkshire;Three Mile Cross;;W.98;N51.39;10; 
2;England;Berkshire;Tickleback Row;;W.76;N51.44;10; 
2;England;Berkshire;Tidmarsh;;W1.09;N51.46;10; 
2;England;Berkshire;Tilehurst;;W1.05;N51.45;10; 
2;England;Berkshire;Titcomb;;W1.46;N51.38;10; 
2;England;Berkshire;Tittenhurst;;W.63;N51.40;10; 
2;England;Berkshire;Tittle Row;;W.76;N51.51;10; 
2;England;Berkshire;Touchen-end;;W.74;N51.47;10; 
2;England;Berkshire;Trapshill;;W1.46;N51.36;10; 
2;England;Berkshire;Trash Green;;W1.06;N51.41;10; 
2;England;Berkshire;Turner's Green;;W1.23;N51.40;10; 
2;England;Berkshire;Tutts Clump;;W1.16;N51.43;10; 
2;England;Berkshire;Twyford;;W.86;N51.46;10; 
2;England;Berkshire;Ufton Green;;W1.10;N51.40;10; 
2;England;Berkshire;Ufton Nervet;;W1.09;N51.39;10; 
2;England;Berkshire;Upper Basildon;;W1.15;N51.48;10; 
2;England;Berkshire;Upper Bucklebury;;W1.22;N51.40;10; 
2;England;Berkshire;Upper Green;;W1.48;N51.36;10; 
2;England;Berkshire;Upper Lambourn;;W1.55;N51.51;10; 
2;England;Berkshire;Upper Woolhampton;;W1.18;N51.39;10; 
2;England;Berkshire;Upton;;W.58;N51.50;10; 
2;England;Berkshire;Village, The;;W.63;N51.43;10; 
2;England;Berkshire;Waltham St Lawrence;;W.82;N51.48;10; 
2;England;Berkshire;Warfield;;W.74;N51.44;10; 
2;England;Berkshire;Wargrave;;W.87;N51.49;10; 
2;England;Berkshire;Warren Row;;W.83;N51.51;10; 
2;England;Berkshire;Wash Common;;W1.35;N51.37;10; 
2;England;Berkshire;Wasing;;W1.18;N51.37;10; 
2;England;Berkshire;Wawcott;;W1.44;N51.40;10; 
2;England;Berkshire;Welford;;W1.42;N51.45;10; 
2;England;Berkshire;Wellhouse;;W1.25;N51.44;10; 
2;England;Berkshire;West End;;W.76;N51.43;10; 
2;England;Berkshire;West End;;W.82;N51.46;10; 
2;England;Berkshire;West Fields;;W1.34;N51.39;10; 
2;England;Berkshire;West Ilsley;;W1.32;N51.53;10; 
2;England;Berkshire;West Woodhay;;W1.44;N51.36;10; 
2;England;Berkshire;Westbrook;;W1.39;N51.43;10; 
2;England;Berkshire;Weston;;W1.44;N51.45;10; 
2;England;Berkshire;Westridge Green;;W1.19;N51.50;10; 
2;England;Berkshire;Westrop Green;;W1.25;N51.43;10; 
