"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Durham;Annfield Plain;;W1.73;N54.85;10;
2;England;Durham;Archdeacon Newton;;W1.61;N54.54;10;
2;England;Durham;Arn Gill;;W1.91;N54.61;10;
2;England;Durham;Aukside;;W2.09;N54.62;10;
2;England;Durham;Aycliffe Village;;W1.56;N54.59;10;
2;England;Durham;Aykley Heads;;W1.59;N54.78;10;
2;England;Durham;Balder;;W2.04;N54.57;10;
2;England;Durham;Balderhead Reservoir;;W2.14;N54.55;10;
2;England;Durham;Barley Mow;;W1.58;N54.88;10;
2;England;Durham;Barmpton;;W1.52;N54.55;10;
2;England;Durham;Barnard Castle;;W1.92;N54.53;10;
2;England;Durham;Barningham;;W1.87;N54.48;10;
2;England;Durham;Beamish;;W1.65;N54.87;10;
2;England;Durham;Bearpark;;W1.64;N54.78;10;
2;England;Durham;Beaumont Hill;;W1.55;N54.55;10;
2;England;Durham;Bedburn;;W1.84;N54.67;10;
2;England;Durham;Belmont;;W1.53;N54.78;10;
2;England;Durham;Benfieldside;;W1.86;N54.86;10;
2;England;Durham;Bildershaw;;W1.69;N54.61;10;
2;England;Durham;Billy Row;;W1.75;N54.72;10;
2;England;Durham;Binchester Blocks;;W1.66;N54.68;10;
2;England;Durham;Bishop Auckland;;W1.69;N54.64;10;
2;England;Durham;Bishop Auckland;;W1.70;N54.64;10;
2;England;Durham;Bishop Middleham;;W1.48;N54.67;10;
2;England;Durham;Bishopton;;W1.44;N54.58;10;
2;England;Durham;Black Banks;;W1.55;N54.50;10;
2;England;Durham;Blackgill Burn;;W1.74;N54.81;10;
2;England;Durham;Blackhall Colliery;;W1.30;N54.74;10;
2;England;Durham;Blackhall Mill;;W1.82;N54.89;10;
2;England;Durham;Blackhall Rocks;;W1.28;N54.73;10;
2;England;Durham;Blackhill;;W1.86;N54.85;10;
2;England;Durham;Bolam;;W1.70;N54.59;10;
2;England;Durham;Boldron;;W1.95;N54.52;10;
2;England;Durham;Bollihope;;W2.00;N54.70;10;
2;England;Durham;Boltshope Park;;W2.09;N54.81;10;
2;England;Durham;Bournmoor;;W1.51;N54.85;10;
2;England;Durham;Bowbank;;W2.09;N54.60;10;
2;England;Durham;Bowburn;;W1.53;N54.73;10;
2;England;Durham;Bowes;;W2.01;N54.51;10;
2;England;Durham;Bowlees;;W2.15;N54.64;10;
2;England;Durham;Bradbury;;W1.52;N54.64;10;
2;England;Durham;Brafferton;;W1.55;N54.58;10;
2;England;Durham;Brancepeth;;W1.65;N54.72;10;
2;England;Durham;Brandon;;W1.64;N54.74;10;
2;England;Durham;Branksome;;W1.59;N54.53;10;
2;England;Durham;Bridge End;;W1.98;N54.71;10;
2;England;Durham;Bridgehill;;W1.86;N54.85;10;
2;England;Durham;Brignall;;W1.89;N54.50;10;
2;England;Durham;Broom Hill;;W1.84;N54.88;10;
2;England;Durham;Broompark;;W1.62;N54.76;10;
2;England;Durham;Brotherlee;;W2.12;N54.72;10;
2;England;Durham;Browney;;W1.62;N54.78;10;
2;England;Durham;Burnhope;;W1.72;N54.82;10;
2;England;Durham;Burnhope Burn;;W2.24;N54.74;10;
2;England;Durham;Burnopfield;;W1.75;N54.89;10;
2;England;Durham;Butterknowle;;W1.84;N54.62;10;
2;England;Durham;Butterwick;;W1.41;N54.65;10;
2;England;Durham;Byermoor;;W1.72;N54.90;10;
2;England;Durham;Byers Green;;W1.66;N54.70;10;
2;England;Durham;Carrville;;W1.53;N54.78;10;
2;England;Durham;Cassop;;W1.47;N54.73;10;
2;England;Durham;Castle Eden;;W1.34;N54.72;10;
2;England;Durham;Castleside;;W1.87;N54.82;10;
2;England;Durham;Catchgate;;W1.75;N54.86;10;
2;England;Durham;Causey;;W1.68;N54.89;10;
2;England;Durham;Chester Moor;;W1.59;N54.83;10;
2;England;Durham;Chester-Le-Street;;W1.58;N54.85;10;
2;England;Durham;Chilton;;W1.56;N54.65;10;
2;England;Durham;Chilton Lane;;W1.53;N54.66;10;
2;England;Durham;Chilton Moor;;W1.50;N54.83;10;
2;England;Durham;Cleatlam;;W1.83;N54.55;10;
2;England;Durham;Close House;;W1.64;N54.63;10;
2;England;Durham;Clough Dene;;W1.73;N54.88;10;
2;England;Durham;Coal Bank;;W1.45;N54.58;10;
2;England;Durham;Coatham Mundeville;;W1.56;N54.57;10;
2;England;Durham;Cockerton;;W1.58;N54.53;10;
2;England;Durham;Cockfield;;W1.81;N54.61;10;
2;England;Durham;Cold Hesledon;;W1.37;N54.81;10;
2;England;Durham;Colliery Row;;W1.50;N54.83;10;
2;England;Durham;Consett;;W1.86;N54.85;10;
2;England;Durham;Copley;;W1.87;N54.62;10;
2;England;Durham;Copthill;;W2.23;N54.75;10;
2;England;Durham;Cornforth;;W1.52;N54.70;10;
2;England;Durham;Cornriggs;;W2.25;N54.76;10;
2;England;Durham;Cornsay;;W1.78;N54.78;10;
2;England;Durham;Cornsay Colliery;;W1.75;N54.78;10;
2;England;Durham;Cotherstone;;W1.98;N54.56;10;
2;England;Durham;Coundon;;W1.62;N54.65;10;
2;England;Durham;Coundon Grange;;W1.66;N54.64;10;
2;England;Durham;Coundongate;;W1.66;N54.65;10;
2;England;Durham;Cowshill;;W2.23;N54.75;10;
2;England;Durham;Coxhoe;;W1.50;N54.70;10;
2;England;Durham;Coxhoe;;W1.52;N54.71;10;
2;England;Durham;Craghead;;W1.67;N54.84;10;
2;England;Durham;Craigside;;W1.81;N54.71;10;
2;England;Durham;Crawleyside;;W2.01;N54.75;10;
2;England;Durham;Crimdon Park;;W1.25;N54.72;10;
2;England;Durham;Crook;;W1.75;N54.71;10;
2;England;Durham;Crookgate Bank;;W1.72;N54.89;10;
2;England;Durham;Crookhall;;W1.83;N54.84;10;
2;England;Durham;Croxdale;;W1.59;N54.71;10;
2;England;Durham;Daddry Shield;;W2.17;N54.72;10;
2;England;Durham;Dalton-le-Dale;;W1.37;N54.81;10;
2;England;Durham;Dawdon;;W1.34;N54.82;10;
2;England;Durham;Deaf Hill;;W1.41;N54.71;10;
2;England;Durham;Dean Bank;;W1.56;N54.68;10;
2;England;Durham;Delves;;W1.81;N54.83;10;
2;England;Durham;Dene;;W1.83;N54.88;10;
2;England;Durham;Deneside;;W1.36;N54.82;10;
2;England;Durham;Dent Bank;;W2.10;N54.62;10;
2;England;Durham;Denton;;W1.67;N54.55;10;
2;England;Durham;Derwent;;W1.85;N54.89;10;
2;England;Durham;Dipton;;W1.76;N54.87;10;
2;England;Durham;Durham;;W1.58;N54.77;10;
2;England;Durham;Easington;;W1.36;N54.78;10;
2;England;Durham;Easington Colliery;;W1.33;N54.78;10;
