"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;England;Northamptonshire;Abington;;W0.87;N52.24;10;
2;England;Northamptonshire;Abington Vale;;W0.85;N52.24;10;
2;England;Northamptonshire;Abthorpe;;W1.06;N52.10;10;
2;England;Northamptonshire;Achurch;;W0.50;N52.42;10;
2;England;Northamptonshire;Adstone;;W1.13;N52.15;10;
2;England;Northamptonshire;Alderton;;W0.92;N52.10;10;
2;England;Northamptonshire;Aldwincle;;W0.53;N52.41;10;
2;England;Northamptonshire;Apethorpe;;W0.49;N52.54;10;
2;England;Northamptonshire;Armston;;W0.44;N52.45;10;
2;England;Northamptonshire;Arthingworth;;W0.89;N52.42;10;
2;England;Northamptonshire;Ashby St Ledgers;;W1.16;N52.30;10;
2;England;Northamptonshire;Ashley;;W0.83;N52.50;10;
2;England;Northamptonshire;Ashton;;W0.89;N52.13;10;
2;England;Northamptonshire;Ashton;;W0.45;N52.48;10;
2;England;Northamptonshire;Astcote;;W1.02;N52.17;10;
2;England;Northamptonshire;Aston le Walls;;W1.28;N52.14;10;
2;England;Northamptonshire;Astrop;;W1.27;N52.02;10;
2;England;Northamptonshire;Avon;;W1.04;N52.41;10;
2;England;Northamptonshire;Aynho;;W1.25;N51.99;10;
2;England;Northamptonshire;Badby;;W1.18;N52.21;10;
2;England;Northamptonshire;Barby;;W1.20;N52.32;10;
2;England;Northamptonshire;Barby Nortoft;;W1.19;N52.34;10;
2;England;Northamptonshire;Barnwell;;W0.47;N52.44;10;
2;England;Northamptonshire;Barton Seagrave;;W0.69;N52.38;10;
2;England;Northamptonshire;Blakesley;;W1.09;N52.14;10;
2;England;Northamptonshire;Blatherwycke;;W0.57;N52.54;10;
2;England;Northamptonshire;Blisworth;;W0.94;N52.17;10;
2;England;Northamptonshire;Boothville;;W0.85;N52.26;10;
2;England;Northamptonshire;Boughton;;W0.90;N52.27;10;
2;England;Northamptonshire;Bozeat;;W0.68;N52.21;10;
2;England;Northamptonshire;Brackley;;W1.15;N52.02;10;
2;England;Northamptonshire;Bradden;;W1.06;N52.12;10;
2;England;Northamptonshire;Brafield on the Green;;W0.80;N52.21;10;
2;England;Northamptonshire;Brampton Ash;;W0.83;N52.47;10;
2;England;Northamptonshire;Braunston;;W1.20;N52.28;10;
2;England;Northamptonshire;Braybrooke;;W0.88;N52.44;10;
2;England;Northamptonshire;Briar Hill;;W0.93;N52.22;10;
2;England;Northamptonshire;Brigstock;;W0.61;N52.45;10;
2;England;Northamptonshire;Brixworth;;W0.91;N52.32;10;
2;England;Northamptonshire;Brockhall;;W1.07;N52.25;10;
2;England;Northamptonshire;Broughton;;W0.78;N52.36;10;
2;England;Northamptonshire;Bugbrooke;;W1.02;N52.20;10;
2;England;Northamptonshire;Burton Latimer;;W0.69;N52.35;10;
2;England;Northamptonshire;Byfield;;W1.25;N52.17;10;
2;England;Northamptonshire;Caldecote;;W1.00;N52.15;10;
2;England;Northamptonshire;Caldecott;;W0.56;N52.30;10;
2;England;Northamptonshire;Canons Ashby;;W1.16;N52.14;10;
2;England;Northamptonshire;Carlton Purlieus;;W0.77;N52.47;10;
2;England;Northamptonshire;Castle Ashby;;W0.74;N52.22;10;
2;England;Northamptonshire;Castlethorpe;;W0.84;N52.08;10;
2;England;Northamptonshire;Cattle End;;W1.03;N52.08;10;
2;England;Northamptonshire;Chacombe;;W1.28;N52.08;10;
2;England;Northamptonshire;Chadstone;;W0.75;N52.21;10;
2;England;Northamptonshire;Chapel Brampton;;W0.94;N52.28;10;
2;England;Northamptonshire;Chapel End;;W0.36;N52.46;10;
2;England;Northamptonshire;Charlton;;W1.24;N52.02;10;
2;England;Northamptonshire;Charwelton;;W1.22;N52.19;10;
2;England;Northamptonshire;Chelveston;;W0.54;N52.31;10;
2;England;Northamptonshire;Cherwell;;W1.29;N51.98;10;
2;England;Northamptonshire;Chipping Warden;;W1.28;N52.12;10;
2;England;Northamptonshire;Church Brampton;;W0.96;N52.27;10;
2;England;Northamptonshire;Church Charwelton;;W1.21;N52.19;10;
2;England;Northamptonshire;Church Stowe;;W1.07;N52.20;10;
