<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id: CHE.txt,v 1.1.2.2 2005/11/25 13:30:31 opus27 Exp $ -->
Appenzell Rhodes Ext. (AR)
Appenzell Rhodes Int. (AI)
Argovie (AG)
Basel-Landschaft (BL)
Basel-Stadt (BS)
Berne (BE)
Fribourg (FR)
Genève (GE)
Glaris (GL)
Grisons (GR)
Jura (JU)
Lucerne (LU)
Neuchâtel (NE)
Nidwald (NW)
Obwald (OW)
Saint-Gall (SG)
Schaffhouse (SH)
Schwyz (SZ)
Soleure (SO)
Tessin (TI)
Thurgovie (TG)
Uri (UR)
Valais (VS)
Vaud (VD)
Zoug (ZG)
Zürich (ZH)
